AVAV,AeroVironment Inc,20110712,Analysis: Electronic warfare moves to frontline ,BANGALORE As the United States draws down troops in Afghanistan and Iraq and cuts back on defense spending  its reliance on technology will only rise  benefiting a clutch of companies specializing in intelligence gathering  surveillance and reconnaissance.,topStory
GOOG,Alphabet Inc,20110712,Electronic Arts buying PopCap Games for up to $1.3 billion ,NEW YORK Electronic Arts Inc   the video game publisher  is buying PopCap Games in a deal worth up to $1.3 billion as it tries to ramp up its social and casual games portfolio and better compete with Zynga Inc.,topStory
GOOG,Alphabet Inc,20110712,UPDATE 5-Electronic Arts buying PopCap Games for up to $1.3 bln , * EA paying $750 mln upfront  more in performance targets,normal
GOOG,Alphabet Inc,20110712,UPDATE 1-Groupon targets bigger items with car offer , * Applying Groupon model to cars a bit problematic -analyst,normal
GOOG,Alphabet Inc,20110712,Google costs in focus after busy quarter ,SAN FRANCISCO Google Inc's investment spree and shrinking profit margins will draw investor scrutiny when it reports its earnings on Thursday  following an eventful quarter when the company launched the Google+ social network and the government disclosed a probe of its business practices.,normal
GOOG,Alphabet Inc,20110712,PREVIEW-Google costs in focus after busy quarter , SAN FRANCISCO  July 12 Google Inc's  investment spree and shrinking profit margins will draw investor scrutiny when it reports its earnings on Thursday  following an eventful quarter when the company launched the Google+ social network and the government disclosed a probe of its business practices.,normal
GOOG,Alphabet Inc,20110712,REFILE-US STOCKS-Wall St flat in choppy day  brief lift from Fed , * Dow  S&P each up 0.1 pct  Nasdaq down 0.3 pct * For up-to-the-minute market news see [STXNEWS/US]  (Updates to late afternoon trading  changes byline),normal
GOOG,Alphabet Inc,20110712,Apple chief patent lawyer leaving: sources ,SAN FRANCISCO Apple Inc's chief patent counsel will soon leave the company  at a time when the iPhone maker is fighting numerous legal battles around the world  according to sources familiar with the situation.,normal
GOOG,Alphabet Inc,20110712,US STOCKS-Market flat in choppy trade on euro zone woes , * Dow  S&P helped by technical rebound after selling,normal
GOOG,Alphabet Inc,20110712,RIM could do better as two businesses: analyst ,TORONTO BlackBerry maker Research In Motion should split itself in two to liberate locked-in value and speed up innovation at a company that has lagged its competitors  a brokerage said on Tuesday.,normal
GOOG,Alphabet Inc,20110712,UPDATE 1-RIM could do better as two businesses - analyst , * RBC says a split would promote innovation  unlock value,normal
AMZN,Amazoncom Inc,20110712,Netflix raises DVD  streaming plan price by 60 percent ,LOS ANGELES Netflix Inc hiked monthly prices for customers who use both its mail and online services  a move that could steer users toward its growing Internet streaming service.,topStory
AMZN,Amazoncom Inc,20110712,UPDATE 1-Netflix raises DVD  streaming plan price by 60 pct , * Shares up slightly  (Adds company  analyst comment; adds shares),normal
AMZN,Amazoncom Inc,20110712,UPDATE 1-Groupon targets bigger items with car offer , * Applying Groupon model to cars a bit problematic -analyst,normal
AMZN,Amazoncom Inc,20110712,Surge in California tax measures seen for 2012 , * Measures for income tax hike  against online sales tax,normal
AMZN,Amazoncom Inc,20110712,Dealtalk: Barnes & Noble won't get better bid than Malone's ,NEW YORK/PHILADELPHIA Nearly a year after Barnes & Noble Inc  put itself up for sale  the largest U.S. bookstore chain likely will settle for the only firm offer it has received: $1 billion from John Malone's Liberty Media Corp .,normal
AMZN,Amazoncom Inc,20110712,DEALTALK-Barnes & Noble won't get better bid than Malone's , NEW YORK/PHILADELPHIA  July 12 Nearly a year after Barnes & Noble Inc  put itself up for sale  the largest U.S. bookstore chain likely will settle for the only firm offer it has received: $1 billion from John Malone's Liberty Media Corp .,normal
AMZN,Amazoncom Inc,20110712,Groupon offers first car deal  targets bigger items ,SAN FRANCISCO Groupon Inc offered its first car coupon on Tuesday  a sign the largest online daily deal company is expanding into bigger-ticket items.,normal
AMZN,Amazoncom Inc,20110712,Groupon offers 1st car deal  targets bigger items ,* Applying Groupon model to cars a bit problematic -analyst,normal
AMZN,Amazoncom Inc,20110712,Amazon seeks ballot measure to undo California tax ,SAN FRANCISCO Amazon.com Inc has taken the first step toward asking California voters to repeal a new law requiring websites that forward shoppers to it to collect sales tax  a spokeswoman for the state's attorney general said on Monday.,normal
AMZN,Amazoncom Inc,20110712,Amazon seeks ballot measure to undo California tax , SAN FRANCISCO  July 11 Amazon.com Inc  has taken the first step toward asking California voters to repeal a new law requiring websites that forward shoppers to it to collect sales tax  a spokeswoman for the state's attorney general said on Monday.,normal
AMED,Amedisys Inc,20110712,Analysis: New rules won't put home healthcare on life support ,BANGALORE U.S. home health service providers will remain under pressure in the near term as newly introduced rules and reimbursement rate cuts squeeze margins  but the tide should turn in 2012 as the regulatory uncertainty clears up.,topStory
AMED,Amedisys Inc,20110712,Analysis: New rules won't put home healthcare on life support ,BANGALORE Home health service providers will remain under pressure in the near term as newly introduced rules and reimbursement rate cuts squeeze margins  but the tide should turn in 2012 as the regulatory uncertainty clears up.,normal
AMED,Amedisys Inc,20110712,TIMELINE: Key developments in home healthcare since last year , July 11 For-profit home health companies have been under fire since last year  with regulatory bodies probing their reimbursement practices and issuing new rules. Following are the major developments since last year:,normal
ASYS,Amtech Systems Inc,20110712,UPDATE 1-Amtech Systems Q3 revenue beats Wall Street , * Order backlog at June 30 was about $140 mln   (Follows alerts),topStory
AAPL,Apple Inc,20110712,Electronic Arts buying PopCap Games for up to $1.3 billion ,NEW YORK Electronic Arts Inc   the video game publisher  is buying PopCap Games in a deal worth up to $1.3 billion as it tries to ramp up its social and casual games portfolio and better compete with Zynga Inc.,topStory
AAPL,Apple Inc,20110712,UPDATE 5-Electronic Arts buying PopCap Games for up to $1.3 bln , * EA paying $750 mln upfront  more in performance targets,normal
AAPL,Apple Inc,20110712,WRAPUP 2-Semiconductor worries fester after warnings , * Shares fall on sector worries  (Adds detail on KLA-Tencor  updates stock prices),normal
AAPL,Apple Inc,20110712,Dealtalk: Barnes & Noble won't get better bid than Malone's ,NEW YORK/PHILADELPHIA Nearly a year after Barnes & Noble Inc  put itself up for sale  the largest U.S. bookstore chain likely will settle for the only firm offer it has received: $1 billion from John Malone's Liberty Media Corp .,normal
