ATSG,Air Transport Services Group Inc,20110722,CORRECTED-BRIEF-ATSG expects reduction in role as provider for DB Schenker , JULY 22 -     July 22 Air Transport Services Group Inc :  * Expect reduction in role as provider of main-deck freighter lift for DB Schenker in North America  * If all dc-8 727 aircraft for DB Schenker removed from service sees annual fall in maintenance costs of $10-$15 million  * ATSG statement concerning DB Schenker announcement  * ATSG - sees each of 8 dc-8 and 8 727 aircraft dedicated to DB Schenker generating about $0.01 per share in earnings after tax annually,topStory
ALXN,Alexion Pharmaceuticals Inc,20110722,US STOCKS-Futures up on Greece rescue deal  GE rises early , * Futures up: Dow 36 pts  S&P 2.9 pts  Nasdaq 0.5 pt,topStory
GOOG,Alphabet Inc,20110722,UPDATE 1-US judge rejects Oracle damages estimate vs Google , SAN FRANCISCO  July 22 A U.S. judge rejected damages estimates from Oracle Corp  in a high stakes patent battle against Google Inc   but gave Oracle a chance to come up with new figures.,topStory
GOOG,Alphabet Inc,20110722,Apple joins Hulu bid talks: report ,LOS ANGELES Apple Inc is in early talks to join the bidding for Hulu  the online video site that Walt Disney Co  News Corp and its other owners have put up for sale  Bloomberg cited two unidentified sources as saying.,normal
GOOG,Alphabet Inc,20110722,UPDATE 3-TomTom writes down prospects for satnav devices , * 512 million-euro impairment charge reflects poor outlook,normal
GOOG,Alphabet Inc,20110722,PRESS DIGEST - Wall Street Journal - July 22 , July 22 The following were the top stories in The Wall Street Journal on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
GOOG,Alphabet Inc,20110722,UPDATE 1-U.S. judge criticizes Google and Oracle at hearing , * Both companies unreasonable in Java patent lawsuit-judge,normal
GOOG,Alphabet Inc,20110722,UPDATE 1-Apple joins Hulu bid talks-Bloomberg , LOS ANGELES  July 21 Apple Inc  is in early talks to join the bidding for Hulu  the online video site that Walt Disney Co   News Corp  and its other owners have put up for sale  Bloomberg cited two unidentified sources as saying.,normal
GOOG,Alphabet Inc,20110722,CORRECTED - Apple joins Hulu bid talks -Bloomberg , LOS ANGELES  July 21 Apple Inc  is in early talks to join the bidding for Hulu  the online video site that Walt Disney Co   News Corp  and its other owners have put up for sale  Bloomberg cited two unidentified sources as saying.,normal
GOOG,Alphabet Inc,20110722,Icahn: Motorola could split patents and handsets ,NEW YORK Activist investor Carl Icahn urged Motorola to consider splitting off its patent portfolio to cash in on surging interest in wireless technology from companies like Google Inc and Apple Inc.,normal
GOOG,Alphabet Inc,20110722,UPDATE 5-Icahn: Motorola could split patents and handsets , * Icahn urges Motorola to explore alternatives for patents,normal
AMZN,Amazoncom Inc,20110722,Amazon's next billion-dollar business eyed ,SAN FRANCISCO Amazon.com Inc's cloud computing unit may be its next billion-dollar business and analysts will be watching for clues on how fast this secretive unit is growing when the Internet retailer reports results next week.,topStory
AMZN,Amazoncom Inc,20110722,Amazon's next billion-dollar business eyed ,SAN FRANCISCO Amazon.com  Inc's cloud computing unit may be its next billion-dollar business and analysts will be watching for clues on how fast this secretive unit is growing when the Internet retailer reports results next week.,normal
AMZN,Amazoncom Inc,20110722,CORRECTED - RPT-PREVIEW-Amazon's next billion-dollar business eyed , (In July 21 story  deletes word "extra" when referring to computing power in paragraphs 2 and 7),normal
AMZN,Amazoncom Inc,20110722,CORRECTED - PREVIEW-Amazon's next billion-dollar business eyed , (In July 21 story  deletes word "extra" when referring to computing power in paragraphs 2 and 7),normal
AMZN,Amazoncom Inc,20110722,Spartoo hires Jefferies to help raise cash , PARIS/LONDON  July 22 Spartoo  a French online shoe retailer  has hired investment bank Jefferies to help it raise 100 million euros from a new investor as it seeks to expand  sources familiar with the situation said.,normal
AMZN,Amazoncom Inc,20110722,Amazon's next billion-dollar business eyed ,SAN FRANCISCO Amazon.com  Inc's cloud computing unit may be its next billion-dollar business and analysts will be watching for clues on how fast this secretive unit is growing when the Internet retailer reports results next week.,normal
AAPL,Apple Inc,20110722,Verizon iPhone sales dash hopes; shares fall ,NEW YORK Verizon Communications may have the iPhone  but the blockbuster smartphone has yet to pay off in its battle against AT&T Inc. | Video ,topStory
AAPL,Apple Inc,20110722,Analysis: Aging PC giants see writing on the wall ,SAN FRANCISCO Silicon Valley's old guard is waking up to the fact that the era of consumer PC may be in its twilight  accelerating the need to invest and adapt to rapidly changing tastes.,normal
AAPL,Apple Inc,20110722,UPDATE 6-Verizon iPhone sales dash hopes; shares fall , * Adds 1.3 mln net subscribers versus analyst view 930 000,normal
AAPL,Apple Inc,20110722,UPDATE 3-Air Products profit and outlook tepid; stock falls , * Forecasts fiscal Q4 profit in range mostly below Street,normal
AAPL,Apple Inc,20110722,Customers angry  staff defiant at China's fake Apple Store ,KUNMING  China Customers at an apparent Apple Store in the Chinese city of Kunming berated staff and demanded refunds on Friday after the shop was revealed to be an elaborate fake  sparking a media and Internet frenzy.,normal
AAPL,Apple Inc,20110722,Apple's must-have accessories for China's fashionable yuppies ,BEIJING So strong is the appeal of the Apple brand in China  some Chinese are willing to sell a kidney to pay for its gadgets.,normal
AAPL,Apple Inc,20110722,Insight: Fake Apple store cuts to core of China risk to brands ,SHANGHAI A fake Apple store in China  made famous by a blog that said even the staff working there didn't realize it was a bogus outlet  is probably the most audacious example to date of the risks Western companies face in the booming Chinese market.,normal
AAPL,Apple Inc,20110722,INSIGHT-Fake Apple store cuts to core of China risk to brands , * Brand choices: police operations or take full control-analyst,normal
AAPL,Apple Inc,20110722,UPDATE 1-Customers angry  staff defiant at China's fake Apple Store , ,normal
AAPL,Apple Inc,20110722,Customers angry  staff defiant at China's fake Apple Store , ,normal
ASML,ASML Holding NV,20110722,ADR Report-Tech shares help lift ADRs after robost earnings , NEW YORK  July 22 Tech shares helped lead gains in U.S.-listed shares of overseas companies on Friday as robust results from U.S. chipmakers including SanDisk  and Advanced Micro Devices  lifted the outlook for the sector.,topStory
BIDU,Baidu Inc,20110722,ADR Report-Tech shares help lift ADRs after robost earnings , NEW YORK  July 22 Tech shares helped lead gains in U.S.-listed shares of overseas companies on Friday as robust results from U.S. chipmakers including SanDisk  and Advanced Micro Devices  lifted the outlook for the sector.,topStory
BMLP,Bank Of Montreal,20110722,Dealtalk: Maple-TMX talks could lower regulatory hurdles ,TORONTO Talks between Toronto Stock Exchange operator TMX Group  and a consortium of Canadian financial heavyweights could result in the former adversaries reaching a friendly deal that would help overcome key competition hurdles.,topStory
BMLP,Bank Of Montreal,20110722,DEALTALK-Maple-TMX talks could lower regulatory hurdles , TORONTO  July 22 Talks between Toronto Stock Exchange operator TMX Group  and a consortium of Canadian financial heavyweights could result in the former adversaries reaching a friendly deal that would help overcome key competition hurdles.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110722,Lehman trustee appeals $1.1 billion win for Barclays ,NEW YORK The bankruptcy trustee for Lehman Brothers Holdings Inc's  brokerage arm is appealing a February decision awarding Barclays PLC  about $1.1 billion associated with Barclays' purchase of Lehman's North American unit at the height of the financial crisis.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110722,Lehman trustee appeals $1.1 bln win for Barclays , NEW YORK  July 22 The bankruptcy trustee for Lehman Brothers Holdings Inc's  brokerage arm is appealing a February decision awarding Barclays PLC  about $1.1 billion associated with Barclays' purchase of Lehman's North American unit at the height of the financial crisis.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110722,UPDATE 1-Wall Street boosts Obama's campaign cash haul , * Campaign spending in 2012 expected to set record  (Adds comments  details of donations),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110722,FACTBOX - Top liquidity providers on Nasdaq , NEW YORK  July 22 Below are the top 10 liquidity providers in Nasdaq and in New York Stock Exchange securities for June 2011  according to Nasdaq OMX Group .,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110722,RPT-UPDATE 2-Europe banks  insurers take Greek hit in stride , * Private sector agrees to take 21 pct loss on Greek debt,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110722,UPDATE 1-German "mini Madoff" jailed for 10 years 8 mths , * Kiener's lawyers pleaded for "significantly" less time,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110722,Barclays Capital emerging Asia research head Redward leaves co-sources , SINGAPORE  July 22 Peter Redward  the high-profile head of emerging Asia research at Barclays Capital  has left the firm  two sources familiar with the move said on Friday.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110722,Europe's banks  insurers jump on Greece rescue deal ,LONDON Europe's banks and insurers rose on Friday after Greece's private sector creditors agreed to take a 21 percent loss on their debt holdings as part of a rescue plan.,normal
