ACOR,Acorda Therapeutics Inc,20110725,UPDATE 1-Biogen wins conditional approval for MS drug in EU , * Study to evaluate safety  efficacy over the long term,topStory
GOOG,Alphabet Inc,20110725,Timberlake to Gaga: Hollywood courts social media ,LOS ANGELES When you think of Bono or Lady Gaga  the term "Silicon Valley entrepreneur" hardly springs to mind.,topStory
GOOG,Alphabet Inc,20110725,Timberlake to Gaga: Hollywood courts social media , LOS ANGELES  July 25 When you think of Bono or Lady Gaga  the term "Silicon Valley entrepreneur" hardly springs to mind.,normal
GOOG,Alphabet Inc,20110725,Baidu's Q3 view outpaces Street view  shares jump ,LOS ANGELES/BANGALORE Baidu Inc forecast revenue well ahead of Wall Street's expectations as major advertisers shrugged off fears of a Chinese economic slowdown  and its shares rose 7 percent.,normal
GOOG,Alphabet Inc,20110725,UPDATE 3-Baidu's Q3 view outpaces Street view  shares jump , * Q3 outlook outpaces Wall Street view  advertising strong,normal
GOOG,Alphabet Inc,20110725,LinkedIn tightens ties between jobseekers  employers ,SAN FRANCISCO Professional social network LinkedIn took the wraps off a tool that allows jobseekers to apply for open positions by sending their LinkedIn profiles directly to prospective employers.,normal
GOOG,Alphabet Inc,20110725,LinkedIn tightens ties between jobseekers  employers , * Netflix  LivingSocial  Photobucket already using tool,normal
GOOG,Alphabet Inc,20110725,AOL's top advertising executive to leave company ,NEW YORK AOL Inc's top advertising executive will leave the company as part of a revamping designed to turn around its advertising sales  AOL's chief executive told employees on Monday.,normal
GOOG,Alphabet Inc,20110725,AOL's top advertising executive to leave company , NEW YORK  July 25 AOL Inc's  top advertising executive will leave the company as part of a revamping designed to turn around its advertising sales  AOL's chief executive told employees on Monday.,normal
GOOG,Alphabet Inc,20110725,UPDATE 6-RIM adjusts to new reality by slashing workforce , * Shares drop 4 percent  (Adds details  updates share price),normal
GOOG,Alphabet Inc,20110725,RIM adjusts to new reality by slashing 2 000 jobs ,TORONTO BlackBerry maker Research In Motion plans to cut about 11 percent of its workforce as it struggles to keep pace with Apple and Google in the mobile market it once dominated.,normal
AAPL,Apple Inc,20110725,Timberlake to Gaga: Hollywood courts social media ,LOS ANGELES When you think of Bono or Lady Gaga  the term "Silicon Valley entrepreneur" hardly springs to mind.,topStory
AAPL,Apple Inc,20110725,Timberlake to Gaga: Hollywood courts social media , LOS ANGELES  July 25 When you think of Bono or Lady Gaga  the term "Silicon Valley entrepreneur" hardly springs to mind.,normal
