ACIW,ACI Worldwide Inc,20110726,UPDATE 3-ACI Worldwide offers to buy S1 Corp; Fundtech deal in doubt , * Says offer gives more value than S1's Fundtech merger plan,topStory
ATVI,Activision Blizzard Inc,20110726,EA posts narrower-than-expected loss ,NEW YORK Video game publisher Electronic Arts Inc  reported a narrower-than-expected loss and raised its second-quarter earnings forecast  as it sold more copies of the puzzle game "Portal 2" than expected and pocketed more money on digital games.,topStory
ATVI,Activision Blizzard Inc,20110726,UPDATE 3-EA posts narrower-than-expected loss  ups forecast , * Net loss of 37 cents beats Street view loss of 39 cents,normal
GOOG,Alphabet Inc,20110726,Facebook tackles face-recognition privacy concern ,LOS ANGELES Facebook has made it easier for users to opt out of its controversial facial-recognition technology for photographs  an effort to address concerns that it had violated consumers' privacy.,topStory
GOOG,Alphabet Inc,20110726,UPDATE 1-Facebook tackles face-recognition privacy concern , * Allows users to opt out of facial recognition program,normal
GOOG,Alphabet Inc,20110726,Facebook tweaks face-recognition after complaints , LOS ANGELES  July 26 Facebook has made it easier for users to opt out of its controversial facial-recognition technology for photographs  an effort to address concerns that it had violated consumers' privacy.,normal
GOOG,Alphabet Inc,20110726,InterDigital files Nokia  Huawei  ZTE complaint ,NEW YORK InterDigital Inc has filed a complaint with the U.S. International Trade Commission against Nokia Corp  Huawei Technologies Co Ltd and ZTE Corp accusing the cellphone makers of infringing seven InterDigital technology patents.,normal
GOOG,Alphabet Inc,20110726,UPDATE 2-InterDigital files Nokia  Huawei  ZTE complaint , * InterDigital shares up about 3 pct  (Adds Nokia comment  Huawei comment  background  share price),normal
GOOG,Alphabet Inc,20110726,Taking aim at Groupon  Gannett expands DealChicken ,NEW YORK Gannett Co is expanding its DealChicken daily deals service  which will be in more than 50 cities by the end of year  as the top U.S. newspaper chain tries to capitalize on the online coupon craze.,normal
GOOG,Alphabet Inc,20110726,Analysis: Canadians who follow RIM take pity on a local hero ,TORONTO Wall Street and Silicon Valley have issued verdicts on Research In Motion  and they are mostly damning for the BlackBerry maker. Canadians  on the other hand  are eager to give their compatriot the benefit of the doubt.,normal
GOOG,Alphabet Inc,20110726,Canadians who follow RIM take pity on a local hero ,TORONTO Wall Street and Silicon Valley have issued verdicts on Research In Motion   and they are mostly damning for the BlackBerry maker. Canadians  on the other hand  are eager to give their compatriot the benefit of the doubt.,normal
GOOG,Alphabet Inc,20110726,HTC faces test as investors fret over slowing growth ,TAIPEI/HELSINKI Taiwan's HTC  which rose from obscure origins making phones for others to become one of the world's top smartphone companies  is facing a test of its mettle as investor faith in its rapid growth wanes in an increasingly competitive market.,normal
GOOG,Alphabet Inc,20110726,Taking aim at Groupon  Gannett expands DealChicken , * Daily deals to be in more than 50 markets by end of year,normal
AMZN,Amazoncom Inc,20110726,Amazon revenue surges  stock jumps ,SAN FRANCISCO Amazon.com Inc reported a surge in quarterly revenue on sales of its kindle electronic reader and other electronics and forecast far better-than-expected revenue for the current quarter  sending its shares up more than 6 percent.,topStory
AMZN,Amazoncom Inc,20110726,UPDATE 4-Amazon revenue surges  stock jumps , * Shares up 6.3 percent in after-hours trading  (Adds analyst comment  business background),normal
AMZN,Amazoncom Inc,20110726,Instant view: Amazon results beat Street  margins wane ,LOS ANGELES Amazon.com Inc reported a dip in earnings but its revenue forecast raced past Wall Street's expectations  propelling its shares higher in after-hours trade.,normal
AMZN,Amazoncom Inc,20110726,US STOCKS-Futures up after Ford results  eyes on debt talks , * Case-Shiller  consumer confidence  new home sales due,normal
AMZN,Amazoncom Inc,20110726,Walmart puts Vudu on its main site to drive use ,CHICAGO Wal-Mart Stores Inc is moving its Vudu video streaming and rental service to a place where it can get attract more eyeballs -- the Walmart.com web site -- as the growing service competes for attention with a variety of video services.,normal
AMZN,Amazoncom Inc,20110726,Walmart puts Vudu on its main site to drive use , * Vudu prices movie rentals from $1-$6.99; no contracts,normal
AMZN,Amazoncom Inc,20110726,PRESS DIGEST - Financial Times - July 26 , News Corp shareholder Prince Alwaleed bin Talal has rebuffed calls to change the company's dual-class share structure or leadership in the wake of the phone-hacking affair. http://www.ft.com/cms/s/0/101b1844-b60d-11e0-8bed-00144feabdc0.html#axzz1T3bCNK00,normal
AAPL,Apple Inc,20110726,Economic jitters threaten holiday chip cheer ,SAN FRANCISCO Makers of chips for TVs  game consoles and other consumer electronics aren't expecting much for Christmas  but insatiable demand for high-end gadgets like Apple's iPad will likely deliver some cheer.,topStory
AAPL,Apple Inc,20110726,Economic jitters threaten holiday chip cheer , SAN FRANCISCO  July 26 Makers of chips for TVs  game consoles and other consumer electronics aren't expecting much for Christmas  but insatiable demand for high-end gadgets like Apple's  iPad will likely deliver some cheer.,normal
AAPL,Apple Inc,20110726,Patents take spotlight as Kodak posts losses ,NEW YORK Eastman Kodak Co posted another loss as the once-iconic photography company faced high raw material costs and struggled to shift its focus from film toward digital cameras and printers.,normal
