FLWS,1-800 FLOWERSCOM Inc,20110803,UPDATE 4-Sears hires former FreshDirect exec as CMO-memo , * Names Monica Woo as VP and chief marketing officer: memo,topStory
ATVI,Activision Blizzard Inc,20110803,UPDATE 3-Activision Blizzard raises outlook  shares rise , * Pre-sales of next Call of Duty game up vs. year ago-CEO,topStory
ATVI,Activision Blizzard Inc,20110803,Activision Blizzard raises outlook  shares rise ,NEW YORK Activision Blizzard  the biggest U.S. video game publisher  raised its earnings outlook as a strategy of focusing on a few key titles seemed to be paying off  boosting its shares more than 2 percent.,normal
GOOG,Alphabet Inc,20110803,PRESS DIGEST - Financial Times - Aug 4 , Royal Bank of Scotland plans to shed as many as 2 000 employees from its investment banking arm as it completes the integration of ABN Amro  the disastrous Dutch acquisition that pushed RBS to the brink of collapse. http://www.ft.com/cms/s/0/efd27a4a-bdba-11e0-babc-00144feabdc0.html#axzz1TurOf5zg,topStory
GOOG,Alphabet Inc,20110803,British smartphone use soaring  led by teens: survey ,LONDON Teenage Britons are spending more and more time using smartphones to make calls  send texts and use social networking sites  and more than half of those that own the devices claim to be addicted to them  regulator Ofcom said on Thursday.,normal
GOOG,Alphabet Inc,20110803,British smartphone use soaring  led by teens - survey , LONDON  Aug 4 Teenage Britons are spending more and more time using smartphones to make calls  send texts and use social networking sites  and more than half of those that own the devices claim to be addicted to them  regulator Ofcom said on Thursday.,normal
GOOG,Alphabet Inc,20110803,Google blasts Apple  Microsoft for patent gang-up ,LOS ANGELES/SAN FRANCISCO Google Inc  fresh off losing a bid to buy thousands of valuable patents from bankrupt Nortel  accused its biggest rivals on Wednesday of banding together to block the Internet giant in the red-hot smartphone arena.,normal
GOOG,Alphabet Inc,20110803,Google blasts Apple  Microsoft for patent gang-up , * Android-based handsets under pressure from patent suits,normal
GOOG,Alphabet Inc,20110803,UPDATE 3-RIM tilts at iPhone with new BlackBerry phones ,   * RIM says browser 40 percent faster than original Torch,normal
GOOG,Alphabet Inc,20110803,Time Inc to make all titles available on tablets ,NEW YORK Time Inc plans to make all 21 of its magazines  including Real Simple and Entertainment Weekly  available on leading tablet computers by the end of the year  the publishing arm of Time Warner said on Wednesday.,normal
GOOG,Alphabet Inc,20110803,Garmin sees gloom before revival in late-2012  shares down ,BANGALORE Garmin Ltd's efforts to revive waning sales of its once popular personal navigation devices will only bear fruit in the second half of next year  as many consumers have turned to free navigation apps on their smartphones and tablets.,normal
GOOG,Alphabet Inc,20110803,British Library offers e-classics app for iPad ,LONDON  - Frankenstein  Oliver Twist and Robinson Crusoe could all be lurking on your iPad if you download a new application launched by the British Library this week which provides access to over 45 000 historical and antiquarian titles.,normal
