AEIS,Advanced Energy Industries Inc,20110804,Analysis: SMA Solar faces profit margin struggle ,FRANKFURT Europe's biggest solar company is unlikely to meet profit margin forecasts this year  analysts say  as demand in its largest markets collapses and global competitors start to force down prices.,topStory
GOOG,Alphabet Inc,20110804,CFTC finalizes whistleblower  swap data rules ,WASHINGTON The U.S. futures regulator finalized on Thursday new measures on swap data collectors and guidelines for whistle-blowers as it races to meet its obligations required under last year's financial market overhaul law.,topStory
GOOG,Alphabet Inc,20110804,French online deal firm wants EU probe into Google ,BRUSSELS French online daily deals company Deal du Jour has complained about Google's business practices to EU antitrust regulators  the latest company to take its grievances about the web search giant to the European Commission.,normal
GOOG,Alphabet Inc,20110804,French online deal firm wants EU probe into Google , BRUSSELS  Aug 4 French online daily deals company Deal du Jour has complained about Google's business practices to EU antitrust regulators  the latest company to take its grievances  about the web search giant  to the European Commission.,normal
GOOG,Alphabet Inc,20110804,Mobile data revenue seen up 23 percent in year ,BONN  Germany Mobile data revenue is expected to jump 23 percent this year thanks to increased usage of smartphones and tablets  as the number of global mobile connections passes 5 billion.,normal
GOOG,Alphabet Inc,20110804,Mobile data revenue seen up 23 pct in year -Gartner , BONN  Germany  Aug 4 Mobile data revenue is expected to jump 23 percent this year thanks to increased usage of smartphones and tablets  as the number of global mobile connections passes 5 billion.,normal
GOOG,Alphabet Inc,20110804,CFTC to finish whistleblower  swap data rules , WASHINGTON  Aug 4 The U.S. futures regulator  is expected to finalize on Thursday new measures outlining requirements for swap data collectors and guidelines for whistle-blowers as it races to meet its obligations required under last year's financial market overhaul law.,normal
GOOG,Alphabet Inc,20110804,Google cries foul on Apple  Microsoft mobile gang-up ,LOS ANGELES Google Inc  fresh from losing a bid to buy thousands of patents from bankrupt Nortel  lashed out at its biggest rivals on Wednesday and accused them of banding together to block the Internet giant in the red-hot smartphone arena.,normal
GOOG,Alphabet Inc,20110804,UPDATE 2-Google cries foul on Apple  Microsoft mobile gang-up , * Android-based handsets under pressure from patent suits,normal
AMZN,Amazoncom Inc,20110804,Borders landlords wary of lease sale plan ,NEW YORK Borders Group Inc's  plan to auction its leases as it liquidates its bookstores is meeting opposition from landlords  who say the plan does not protect their interests.,topStory
AMZN,Amazoncom Inc,20110804,Borders landlords wary of lease sale plan , NEW YORK  Aug 4 Borders Group Inc's  plan to auction its leases as it liquidates its bookstores is meeting opposition from landlords  who say the plan does not protect their interests.,normal
AMED,Amedisys Inc,20110804,UPDATE 3-Gentiva lowers outlook as reimbursement cuts hit hard , * Cuts FY EPS outlook to $2.00-$2.20  rev view to $1.80-$1.85 bln   (Adds analyst comments),topStory
