ACIW,ACI Worldwide Inc,20110815,UPDATE 1-ACI asks S1 shareholders to vote against Fundtech deal , Aug 15 ACI Worldwide Inc urged shareholders of S1 Corp   which rejected its $540 million offer earlier this month  to vote against S1's proposed acquisition of Israel's Fundtech Ltd .,topStory
ATVI,Activision Blizzard Inc,20110815,Eyes on holiday season  casual games at Gamescom ,FRANKFURT Hackers  holiday season sales and "casual" gaming are expected to be in the spotlight at Gamescom  Europe's biggest video game trade fair  which throws its doors open to visitors this week.,topStory
ATVI,Activision Blizzard Inc,20110815,Eyes on holiday season  casual games at Gamescom , * All eyes on Sony for possible PlayStation 3 price cut,normal
ATVI,Activision Blizzard Inc,20110815,Electronic Arts upbeat about holiday season sales ,FRANKFURT  Aug 15 Video games publisher Electronic Arts (EA) is upbeat about Christmas holiday sales as it expects to release top titles and prepares its most high profile launch ever: "Star Wars: The Old Republic".,normal
GOOG,Alphabet Inc,20110815,Google's bold bet on Motorola could hit Asian handset makers , SEOUL  Aug 16 Asian handset vendors such as HTC  and Samsung Electronics could face pressure after Google Inc swooped in to buy Motorola Mobility Holdings Inc for $12.5 billion to help protect its fast-growing Android mobile operating system.,topStory
GOOG,Alphabet Inc,20110815,Google to buy Motorola Mobility in biggest deal ever ,NEW YORK/SAN FRANCISCO Google Inc's biggest deal ever  acquiring Motorola Mobility Holdings Inc for $12.5 billion  is an attempt to buy insurance against increasingly aggressive legal attacks from rivals such as Apple Inc. | Video ,normal
GOOG,Alphabet Inc,20110815,UPDATE 8-Google to buy Motorola Mobility in biggest deal ever , * Losers may include rival cellphone makers  (Adds anti-trust and other details  fund manager's comment),normal
GOOG,Alphabet Inc,20110815,Google deal boosts shares for third day ,NEW YORK Wall Street stocks rose for a third day on Monday as investors saw Google's offer for phone maker Motorola Mobility as an excuse to jump back into the market after weeks of sharp selling. | Video ,normal
GOOG,Alphabet Inc,20110815,Winners and losers in the Google-Motorola deal ,NEW YORK Research in Motion and Microsoft Corp are emerging as potential winners after Google Inc said it would buy Motorola Mobility for $12.5 billion.,normal
GOOG,Alphabet Inc,20110815,UPDATE 3-Winners and losers in the Google-Motorola deal , * Deal hurts InterDigital  (Adds details on Motorola's rivals),normal
GOOG,Alphabet Inc,20110815,"Boutique" banks triumph in Google's Motorola deal ,NEW YORK Former employees of elite Wall Street firms are triumphing over their previous investment banks in Google Inc's blockbuster $12.5 billion deal to buy Motorola Mobility Holdings Inc.,normal
GOOG,Alphabet Inc,20110815,UPDATE 3-'Boutique' banks triumph in Google's Motorola deal , * Bankers could cumulatively pocket $67 million  (Adds ric for Motorola Solutions  paragraph 11),normal
GOOG,Alphabet Inc,20110815,Google-Motorola tie-up may draw antitrust scrutiny ,NEW YORK Google Inc  already the subject of antitrust inquiries  likely opened itself up to more regulatory scrutiny with its proposed $12.5 billion cash acquisition of Motorola Mobility Holdings Inc.,normal
GOOG,Alphabet Inc,20110815,CORRECTED - Google-Motorola tie-up may draw antitrust scrutiny , (Corrects name of law firm in paragraph 17 to Shearman & Sterling LLP instead of Shearman & Stearling),normal
AMZN,Amazoncom Inc,20110815,PRESS DIGEST - New York Times business news - August 15 , Aug 15 The following were the top stories on The New York Times business pages on Monday. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
AAPL,Apple Inc,20110815,Google's bold bet on Motorola could hit Asian handset makers , SEOUL  Aug 16 Asian handset vendors such as HTC  and Samsung Electronics could face pressure after Google Inc swooped in to buy Motorola Mobility Holdings Inc for $12.5 billion to help protect its fast-growing Android mobile operating system.,topStory
AAPL,Apple Inc,20110815,Google to buy Motorola Mobility in biggest deal ever ,NEW YORK/SAN FRANCISCO Google Inc's biggest deal ever  acquiring Motorola Mobility Holdings Inc for $12.5 billion  is an attempt to buy insurance against increasingly aggressive legal attacks from rivals such as Apple Inc. | Video ,normal
AAPL,Apple Inc,20110815,UPDATE 8-Google to buy Motorola Mobility in biggest deal ever , * Losers may include rival cellphone makers  (Adds anti-trust and other details  fund manager's comment),normal
AAPL,Apple Inc,20110815,UPDATE 3-HIGHLIGHTS-Some US hedge funds bail on Bank of America ,  NEW YORK  Aug 15 Investors and traders started to get a glimpse on Monday of how some of Wall Street's savviest stock pickers positioned themselves before the summer's rout.,normal
AAPL,Apple Inc,20110815,Winners and losers in the Google-Motorola deal ,NEW YORK Research in Motion and Microsoft Corp are emerging as potential winners after Google Inc said it would buy Motorola Mobility for $12.5 billion.,normal
AAPL,Apple Inc,20110815,UPDATE 3-Winners and losers in the Google-Motorola deal , * Deal hurts InterDigital  (Adds details on Motorola's rivals),normal
AAPL,Apple Inc,20110815,Highlights: Some U.S. hedge funds trim gold  financials ,NEW YORK Investors and traders started to get a glimpse on Monday of how some of Wall Street's savviest stock pickers positioned themselves before the summer's rout.,normal
AAPL,Apple Inc,20110815,Google-Motorola tie-up may draw antitrust scrutiny ,NEW YORK Google Inc  already the subject of antitrust inquiries  likely opened itself up to more regulatory scrutiny with its proposed $12.5 billion cash acquisition of Motorola Mobility Holdings Inc.,normal
AAPL,Apple Inc,20110815,CORRECTED - Google-Motorola tie-up may draw antitrust scrutiny , (Corrects name of law firm in paragraph 17 to Shearman & Sterling LLP instead of Shearman & Stearling),normal
AAPL,Apple Inc,20110815,Timeline: Motorola from cellphone inventor to Google bolt-on ,Google Inc's purchase of Motorola Mobility marks the end of its 81-year story -- including its invention of the cellphone in the 1970s  its spectacular success with the Razr phone a few years ago  and then its slide into crisis and now its takeover.,normal
BMLP,Bank Of Montreal,20110815,Guilty plea in Bank of Montreal trading scandal ,NEW YORK A former chief executive of the Optionable Inc  commodities brokerage pleaded guilty for his role in a C$853 million (US$868 million) commodities trading scandal at Bank of Montreal .,topStory
BMLP,Bank Of Montreal,20110815,Guilty plea in Bank of Montreal trading scandal , * Cassidy said to help ex-trader inflate trading portfolio,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110815,BofA to exit Canada  Europe credit card business ,CHARLOTTE  N.C./TORONTO Eager to shed assets and rebuild its battered capital base  Bank of America Corp  said on Monday it plans to sell its $8.6 billion Canadian credit card portfolio to TD Bank Group .,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110815,UPDATE 4-BofA to exit Canada  Europe credit card business , * Sale at "modest premium" to $8.6 bln portfolio  TD says,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110815,Barclays gets green light to expand in Israel , JERUSALEM  Aug 15 Bank of Israel Governor Stanley Fischer has awarded Barclays a banking licence and permit to open a branch  the central bank said  paving the way for the UK-listed bank to expand its investment banking and brokerage activities.,normal
DLBL,Barclays PLC,20110815,BofA to exit Canada  Europe credit card business ,CHARLOTTE  N.C./TORONTO Eager to shed assets and rebuild its battered capital base  Bank of America Corp  said on Monday it plans to sell its $8.6 billion Canadian credit card portfolio to TD Bank Group .,topStory
DLBL,Barclays PLC,20110815,UPDATE 4-BofA to exit Canada  Europe credit card business , * Sale at "modest premium" to $8.6 bln portfolio  TD says,normal
DLBL,Barclays PLC,20110815,Barclays gets green light to expand in Israel , JERUSALEM  Aug 15 Bank of Israel Governor Stanley Fischer has awarded Barclays a banking licence and permit to open a branch  the central bank said  paving the way for the UK-listed bank to expand its investment banking and brokerage activities.,normal
DTYL,Barclays PLC,20110815,BofA to exit Canada  Europe credit card business ,CHARLOTTE  N.C./TORONTO Eager to shed assets and rebuild its battered capital base  Bank of America Corp  said on Monday it plans to sell its $8.6 billion Canadian credit card portfolio to TD Bank Group .,topStory
DTYL,Barclays PLC,20110815,UPDATE 4-BofA to exit Canada  Europe credit card business , * Sale at "modest premium" to $8.6 bln portfolio  TD says,normal
DTYL,Barclays PLC,20110815,Barclays gets green light to expand in Israel , JERUSALEM  Aug 15 Bank of Israel Governor Stanley Fischer has awarded Barclays a banking licence and permit to open a branch  the central bank said  paving the way for the UK-listed bank to expand its investment banking and brokerage activities.,normal
BKEP,Blueknight Energy Partners LP LLC,20110815,Vitol  Blueknight plan oil terminal in Midland  TX , * Blueknight to oversee construction and operate for Vitol,topStory
CA,CA Inc,20110815,BUY OR SELL-BMC Software: growth play or too cheap to ignore? , * Shares off 16 pct since Q1 numbers  but had pvsly touched decade-high,topStory
CENX,Century Aluminum Company,20110815,Century to restart Hawesville potline by year end , NEW YORK  Aug 15 Century Aluminum Co.  plans to restart the idled potline at its Hawesville  Kentucky  smelter by year-end and begin construction on the Helguvik  Iceland  smelter in early 2012 at the latest  company executives told analysts on a recent conference call.,topStory
CHTR,Charter Communications Inc,20110815,Time Warner Cable to buy Insight for $3 billion ,NEW YORK Time Warner Cable said it will buy cable operator Insight Communications from Carlyle Group for $3 billion in cash to broaden its presence in the U.S. Midwest.,topStory
CSCO,Cisco Systems Inc,20110815,Berkowitz's Fairholme slashes U.S. stock holdings , NEW YORK  Aug 15 Bruce Berkowitz's Fairholme Capital Group roughly halved its U.S. stock holdings in the second quarter by moving some of its money into more concentrated bets like insurer American International Group   according to a regulatory filing.,topStory
CSCO,Cisco Systems Inc,20110815,UPDATE 1-Repatriation needed  tax reform unlikely-Rep Brady , * Estimated $1.5 trillion in profits parked overseas  (Adds Brady comments  background  byline),normal
CMCSA,Comcast Corporation,20110815,PRESS DIGEST - New York Times business news - August 15 , Aug 15 The following were the top stories on The New York Times business pages on Monday. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
ERIC,Ericsson,20110815,Huawei closes in on Ericsson  sees growth in consumer sector ,HONG KONG China's Huawei Technologies Co Ltd  the world's No.2 network equipment maker  posted an 11 percent rise in its first-half sales as it closes in on market leader Ericsson.,topStory
ERIC,Ericsson,20110815,REFILE-UPDATE 2-Huawei closes in on Ericsson  sees growth in consumer sector , HONG KONG  Aug 15 China's Huawei Technologies Co Ltd   the world's No.2 network equipment maker  posted an 11 percent rise in its first-half sales as it closes in on market leader Ericsson .,normal
ESRX,Express Scripts Holding Company,20110815,Global loan backlog building as M&A  leverage slow ,LONDON (The following story appeared in the August 13 issue of International Financing Review  a Thomson Reuters publication).,topStory
ESRX,Express Scripts Holding Company,20110815,IFR-Global loan backlog building as M&A  leverage slow , LONDON  Aug 15 (The following story appeared in the August 13 issue of International Financing Review  a Thomson Reuters publication).,normal
FSLR,First Solar Inc,20110815,Solar company Evergreen files for bankruptcy ,LOS ANGELES U.S. solar company Evergreen Solar Inc filed for bankruptcy on Monday  its once cutting-edge technology falling victim to competition from cheaper Chinese rivals and solar subsidy cuts in Europe.,topStory
FSLR,First Solar Inc,20110815,UPDATE 3-U.S. solar company Evergreen files for bankruptcy , * Company struggled with falling prices on solar products,normal
GILD,Gilead Sciences Inc,20110815,Gilead's HIV pill shows positive results in trial ,BANGALORE Gilead Sciences Inc said its four-medicine HIV pill  known as the Quad  worked as well as the company's widely used Atripla three-drug tablet in a late-stage trial.,topStory
GLRE,Greenlight Reinsurance Ltd,20110815,UPDATE 1-Greenlight Capital Re names new CEO , * Hedges replaces Len Goldberg  who retired   (Follows Alerts),topStory
IPXL,Impax Laboratories Inc,20110815,UPDATE 1-GSK  Impax drug works in second Parkinson's study , LONDON  Aug 15 An experimental Parkinson's disease drug from GlaxoSmithKline and Impax Laboratories  has produced positive results in a second late-stage clinical trial  the companies said on Monday.,topStory
INTC,Intel Corporation,20110815,ASIA PRIVATE EQUITY WEEKLY NEWS  AUGUST 15  2011 , HONG KONG  August 15 News and developments in Asia private equity from Reuters News for the week ending August 12.,topStory
IDCC,InterDigital Inc,20110815,Analysis: Google deal ups RIM's allure  but for how long? ,TORONTO Google's $12.5 billion bid for Motorola Mobility brought a 9 percent gain for the beaten-down stock of tech rival Research In Motion on Monday as investors calculated what a similarly bulging premium would do for the BlackBerry maker's asking price.,topStory
IDCC,InterDigital Inc,20110815,InterDigital skids after Google goes for Motorola Mobility ,BANGALORE Shares of InterDigital Inc plunged 23 percent on Monday after Google's $12.5 billion Mobility Holdings buy sparked worries that the search giant may no longer be interested in the company's wireless patents.,normal
IDCC,InterDigital Inc,20110815,US SMALL/MIDCAPS-Energy rises alongside crude  telecom rallies , NEW YORK  Aug 15 Mid- and small-cap stocks advanced broadly on Monday as economic optimism lifted crude oil prices and energy shares  while a major telecom deal added to the positive sentiment.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110815,BofA to exit Canada  Europe credit card business ,CHARLOTTE  N.C./TORONTO Eager to shed assets and rebuild its battered capital base  Bank of America Corp  said on Monday it plans to sell its $8.6 billion Canadian credit card portfolio to TD Bank Group .,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110815,UPDATE 4-BofA to exit Canada  Europe credit card business , * Sale at "modest premium" to $8.6 bln portfolio  TD says,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110815,Barclays gets green light to expand in Israel , JERUSALEM  Aug 15 Bank of Israel Governor Stanley Fischer has awarded Barclays a banking licence and permit to open a branch  the central bank said  paving the way for the UK-listed bank to expand its investment banking and brokerage activities.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110815,BofA to exit Canada  Europe credit card business ,CHARLOTTE  N.C./TORONTO Eager to shed assets and rebuild its battered capital base  Bank of America Corp  said on Monday it plans to sell its $8.6 billion Canadian credit card portfolio to TD Bank Group .,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20110815,UPDATE 4-BofA to exit Canada  Europe credit card business , * Sale at "modest premium" to $8.6 bln portfolio  TD says,normal
