AKAM,Akamai Technologies Inc,20110824,UPDATE 1-Brightcove files for $50 mln public offering , NEW YORK  Aug 24 Digital media company Brightcove Inc filed with regulators for a public offering of up to $50 million as it seeks to expand its offering of online video and app services for business clients.,topStory
GOOG,Alphabet Inc,20110824,Apple wins ban on some Samsung smartphone sales ,AMSTERDAM Apple won an injunction in a Dutch court on Wednesday to stop Samsung Electronics from marketing three smartphone models in some European countries after alleging a breach of patents.,topStory
GOOG,Alphabet Inc,20110824,UPDATE 4-Apple wins ban on some Samsung smartphone sales , * Applies to the Netherlands and other European countries,normal
GOOG,Alphabet Inc,20110824,Hulu seen drawing bids from Yahoo  others: sources ,NEW YORK The deadline for initial bids in the auction for Hulu was extended from Wednesday until the end of the week to allow interested parties more time to examine the online video site's financial information  according to people familiar with the situation.,normal
GOOG,Alphabet Inc,20110824,Hulu seen drawing bids from Yahoo  others -sources , NEW YORK  Aug 24 The deadline for initial bids in the auction for Hulu was extended from Wednesday until the end of the week to allow interested parties more time to examine the online video site's financial information  according to people familiar with the situation.,normal
GOOG,Alphabet Inc,20110824,TiVo results beat estimates  patents in focus ,NEW YORK TiVo Inc  a maker of digital video recorders  reported second-quarter results on Wednesday that beat expectations and said it is looking at ways to boost the value of its patents.,normal
GOOG,Alphabet Inc,20110824,UPDATE 2-TiVo results beat estimates  patents in focus ,* Shares rise 9 pct after hours  (Adds outlook  byline  EPS estimate  details on Grande deal  byline),normal
GOOG,Alphabet Inc,20110824,COLUMN-2011: A Samsung litigation odyssey: Alison Frankel , -- Alison Frankel writes the On the Case blog for Thomson Reuters News & Insight (http://newsandinsight.com). The views expressed are her own. --,normal
GOOG,Alphabet Inc,20110824,Talent agency CAA mulls Silicon Valley office ,NEW YORK Creative Artists Agency  the largest talent representation firm in Hollywood  is considering opening an office in Silicon Valley to expand ties with the technology community  according to two people familiar with the firm's plans.,normal
GOOG,Alphabet Inc,20110824,Google to pay $500 million over online drug ads ,WASHINGTON Google Inc has agreed to pay $500 million to settle a criminal probe into ads it accepted for online Canadian pharmacies selling drugs in the United States  the U.S. Justice Department said on Wednesday.,normal
GOOG,Alphabet Inc,20110824,UPDATE 3-Google to pay U.S. $500 mln over online drug ads , * U.S. requires reporting to ensure ads remain stopped  (Adds that Justice Department probe was criminal  drug industry comment),normal
AMZN,Amazoncom Inc,20110824,Hulu seen drawing bids from Yahoo  others: sources ,NEW YORK The deadline for initial bids in the auction for Hulu was extended from Wednesday until the end of the week to allow interested parties more time to examine the online video site's financial information  according to people familiar with the situation.,topStory
