SHLM,A Schulman Inc,20110825,UPDATE 2-A. Schulman cuts profit target  to close plant , * Stock drops 3.5 percent  (Adds CEO comments  stock drop),topStory
ACIW,ACI Worldwide Inc,20110825,Deals of the day -- mergers and acquisitions , (Adds PharMerica  Bloomberg  Verizon  Humana and others),topStory
ACIW,ACI Worldwide Inc,20110825,UPDATE 3-ACI Worldwide sweetens S1 deal with more cash , * Raises per share cash component of bid to $6.20 from $5.70,normal
ADBE,Adobe Systems Incorporated,20110825,Chinese state TV shows military cyber hacking clip ,SHANGHAI A six-second clip on Chinese state television has provided a rare glimpse into purported cyber hacking attacks launched by the country's military  despite long-standing official denials that the government engages in such activity.,topStory
ADBE,Adobe Systems Incorporated,20110825,UPDATE 1-Chinese state TV shows military cyber hacking clip , SHANGHAI  Aug 25 A six-second clip on Chinese state television has provided a rare glimpse into purported cyber hacking attacks launched by the country's military  despite long-standing official denials that the government engages in such activity.,normal
GOOG,Alphabet Inc,20110825,Investors sanguine as Apple's Jobs steps aside ,SAN FRANCISCO/NEW YORK Apple Inc's first day without Steve Jobs as chief executive looked awfully similar to most other days: its share price beat the broader stock market. | Video ,topStory
GOOG,Alphabet Inc,20110825,WRAPUP 5-Investors sanguine as Apple's Jobs steps aside , * At least 13 brokerages maintain ratings on stock  (Adds link to package of Reuters stories),normal
GOOG,Alphabet Inc,20110825,Pandora Media revenue beats on strong ad sales ,NEW YORK Online radio service Pandora Media Inc reported results that beat expectations on strong advertising sales in its fiscal second quarter.,normal
GOOG,Alphabet Inc,20110825,UPDATE 3-Pandora Media revenue beats on strong ad sales , * Adj EPS 2 cents vs loss of 3 cents per share St. view,normal
GOOG,Alphabet Inc,20110825,Analysis: Little relief seen as U.S. finalizes patent reform ,WASHINGTON Congress is tantalizingly close to passing patent reform that President Barack Obama has hailed as an economic booster  but the legislation is expected to do little to divert money away from patent litigation and toward innovation.,normal
GOOG,Alphabet Inc,20110825,UK government not seeking to close social media in riots ,LONDON The government said on Thursday it was not seeking special powers to shut down social networking sites during civil unrest after holding talks with the industry and police on how to stop people plotting violence online.,normal
GOOG,Alphabet Inc,20110825,WRAPUP 2-Investors undaunted as Apple's Jobs steps aside , SAN FRANCISCO/LOS ANGELES  Aug 25 Apple Inc  began a new era on Thursday without Steve Jobs as chief executive  a momentous shift that surprised investors  but barely dented confidence in the near-term outlook for the stock.,normal
GOOG,Alphabet Inc,20110825,Apple fans pay tribute to "industry icon" Jobs ,SAN FRANCISCO/SHANGHAI (Reuters)- From San Francisco to Seoul to Sydney  fans of Apple Inc paid tribute to Steve Jobs after he resigned as CEO  calling him an icon for the entire technology industry  not just the company he co-founded.,normal
GOOG,Alphabet Inc,20110825,Newsmaker: Steve Jobs has a different operating system ,SAN FRANCISCO Hard to understand  difficult to work with and deemed irreplaceable by many Apple fans and investors  Steve Jobs has made a life defying conventions and expectations.,normal
GOOG,Alphabet Inc,20110825,Q+A: German court hears Samsung/Apple design spat ,FRANKFURT A German court will decide on Thursday whether Samsung can sell its latest iPad rival in Germany after an preliminary injunction requested by Apple barred the South Korean company from selling its new Galaxy tablets in Europe's biggest economy earlier this month.,normal
AMZN,Amazoncom Inc,20110825,Pandora Media revenue beats on strong ad sales ,NEW YORK Online radio service Pandora Media Inc reported results that beat expectations on strong advertising sales in its fiscal second quarter.,topStory
AMZN,Amazoncom Inc,20110825,UPDATE 3-Pandora Media revenue beats on strong ad sales , * Adj EPS 2 cents vs loss of 3 cents per share St. view,normal
AMZN,Amazoncom Inc,20110825,Amazon launches local deals site for New York ,NEW YORK Amazon.com Inc said on Thursday it has launched a local deals site in New York in its latest effort to compete with Groupon Inc.,normal
AMZN,Amazoncom Inc,20110825,UPDATE 1-Amazon launches local deals site for New York , NEW YORK  Aug 25 Amazon.com Inc  said on Thursday it has launched a local deals site in New York in its latest effort to compete with Groupon Inc.,normal
AMZN,Amazoncom Inc,20110825,Hulu seen drawing bids from Yahoo  others: sources ,NEW YORK The deadline for initial bids in the auction for Hulu was extended from Wednesday until the end of the week to allow interested parties more time to examine the online video site's financial information  according to people familiar with the situation.,normal
AMZN,Amazoncom Inc,20110825,SK Telecom says no plan to bid for Hulu , SEOUL  Aug 25 South Korea's top mobile carrier  SK Telecom   said on Thursday that it had no plans to bid for U.S. online video site Hulu.,normal
AAPL,Apple Inc,20110825,Analysis: Where does Jobs stand among America's iconic CEOs? ,NEW YORK The question is not whether Steve Jobs is an iconic CEO  but where Apple Inc's  co-founder ranks in the pantheon of business leaders who have carved out a place in history.,topStory
AAPL,Apple Inc,20110825,INSIGHT-UPDATE 4-Jobs exit opens door for nimble Apple rivals , * All battling for supremacy in booming smartphone market  (Adds analyst and executive comments  background),normal
