ATVI,Activision Blizzard Inc,20110902,United States loses video game jobs to Quebec ,MONTREAL Outside  the sun is shining  but it is dark in the production room where more than 150 Ubisoft artists  animators and engineers are racing to finish the latest edition of "Assassin's Creed " one of this holiday's hotly anticipated games.,topStory
GOOG,Alphabet Inc,20110902,U.S. firms challenged to get "intangibles" on the books ,CHAPEL HILL  N.C./NEW YORK With intangible assets such as patents dominating so much of the modern economy  why are they still largely off the balance sheets of America's largest corporations?,topStory
GOOG,Alphabet Inc,20110902,Microsoft to win from Google Motorola buy: Acer ,BERLIN Microsoft will be the winner in Google's acquisition of Motorola Mobility as the deal makes Google a direct rival to its phone-making clients  a senior executive from Acer Inc said on Friday.,normal
GOOG,Alphabet Inc,20110902,Microsoft to win from Google Motorola buy -Acer , BERLIN  Sept 2 Microsoft will be the winner in Google's acquisition of Motorola Mobility  as the deal makes Google a direct rival to its phone-making clients  a senior executive from Acer Inc  said on Friday.,normal
GOOG,Alphabet Inc,20110902,Baidu offers glimpse of new mobile OS ,BEIJING China's top search engine Baidu Inc offered a glimpse of its upcoming mobile operating system and launched a new mobile application platform on Friday aimed at bolstering its presence in the increasingly competitive mobile web market.,normal
GOOG,Alphabet Inc,20110902,Garmin eyes Europe No.1 spot with Navigon ,BERLIN Garmin Ltd is looking to challenge rival TomTom's leading position in the European market for portable navigation devices (PNDs) though its acquisition of Germany-based Navigon  its executive said on Friday.,normal
GOOG,Alphabet Inc,20110902,ZTE seeks 5-10 pct of Europe phone market , * To start selling Windows Phone 7 in Europe this year,normal
GOOG,Alphabet Inc,20110902,US firms challenged to get 'intangibles' on the books , * Brands  customer relationships  technology are factors,normal
GOOG,Alphabet Inc,20110902,Google-Motorola deal won't end Android suits: Nokia executive ,HELSINKI Google's move to buy Motorola Mobility will not put an end to patent lawsuits against the Android platform as the web search giant is hoping  a Nokia executive said in a report on Friday.,normal
GOOG,Alphabet Inc,20110902,Google-Motorola deal won't end Android suits-Nokia exec , HELSINKI  Sept 2 Google's move to buy Motorola Mobility will not put an end to patent lawsuits against the Android platform as the web search giant is hoping  a Nokia executive said in a report on Friday.,normal
GOOG,Alphabet Inc,20110902,UPDATE 3-China's Baidu offers glimpse of new mobile OS , * Part of increasingly crowded China mobile Internet space,normal
AMZN,Amazoncom Inc,20110902,Ex-employee sues Borders over mass layoffs ,NEW YORK A Borders Group Inc unit failed to give its workers proper notice of mass layoffs when it announced plan to liquidate in July  a new lawsuit alleges.,topStory
AMZN,Amazoncom Inc,20110902,Ex-employee sues Borders over mass layoffs , NEW YORK  Sept 2 A Borders Group Inc  unit failed to give its workers proper notice of mass layoffs when it announced plan to liquidate in July  a new lawsuit alleges.,normal
AMZN,Amazoncom Inc,20110902,Amazon tablet coming November at $250: TechCrunch ,LOS ANGELES Amazon.com Inc plans to unveil a cheaper  smaller $250 rival to Apple Inc's iPad tablet device in November  industry blog TechCrunch reported on Friday.,normal
AMZN,Amazoncom Inc,20110902,Amazon tablet coming November at $250-TechCrunch , LOS ANGELES  Sept 2 Amazon.com Inc  plans to unveil a cheaper  smaller $250 rival to Apple Inc's  iPad tablet device in November  industry blog TechCrunch reported on Friday.,normal
AMZN,Amazoncom Inc,20110902,UPDATE 1-Next Jump to stop emailing Borders customers ,   * Agrees after Borders sought temporary restraining order,normal
AMZN,Amazoncom Inc,20110902,Next Jump to stop emailing Borders customers ,NEW YORK Marketing engine Next Jump Inc agreed to stop emailing Borders Group Inc's customers while the parties hash out how to move forward in trademark infringement litigation  a lawyer for Borders said on Friday.,normal
AAPL,Apple Inc,20110902,Amazon tablet coming November at $250: TechCrunch ,LOS ANGELES Amazon.com Inc plans to unveil a cheaper  smaller $250 rival to Apple Inc's iPad tablet device in November  industry blog TechCrunch reported on Friday.,topStory
AAPL,Apple Inc,20110902,Amazon tablet coming November at $250-TechCrunch , LOS ANGELES  Sept 2 Amazon.com Inc  plans to unveil a cheaper  smaller $250 rival to Apple Inc's  iPad tablet device in November  industry blog TechCrunch reported on Friday.,normal
AAPL,Apple Inc,20110902,Best Buy cuts price of RIM PlayBook for weekend ,TORONTO Big box retailer Best Buy has slashed up to $150 off the U.S. price tag for Research In Motion's PlayBook tablet computer for the Labor Day weekend.,normal
AAPL,Apple Inc,20110902,UPDATE 1-WiLan starts patent litigation against Apple  8 others , Sept 2 Canadian technology licensing company WiLan Inc said on Friday it had begun its patent infringement cases against Apple Inc   Dell   Hewlett-Packard and six other companies.,normal
AAPL,Apple Inc,20110902,CORRECTED-Apple target site embroiled in sunlight wrangle , (Corrects paragraph six to say this month not next month),normal
AAPL,Apple Inc,20110902,Google-Motorola deal won't end Android suits: Nokia executive ,HELSINKI Google's move to buy Motorola Mobility will not put an end to patent lawsuits against the Android platform as the web search giant is hoping  a Nokia executive said in a report on Friday.,normal
AAPL,Apple Inc,20110902,Google-Motorola deal won't end Android suits-Nokia exec , HELSINKI  Sept 2 Google's move to buy Motorola Mobility will not put an end to patent lawsuits against the Android platform as the web search giant is hoping  a Nokia executive said in a report on Friday.,normal
AAPL,Apple Inc,20110902,PRESS DIGEST - New York Times business news - Sept 2 , Sept 2 The following were the top stories in The New York Times business pages on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
AAPL,Apple Inc,20110902,Sony tablets face tough sell on price  hardware ,TOKYO/NEW YORK Sony's new tablet computers failed to excite gadget reviewers and analysts who criticized the pricing and quality of the devices  underscoring the battle Sony faces regaining its consumer electronics crown. | Video ,normal
BIDU,Baidu Inc,20110902,Deals of the day -- mergers and acquisitions , (Adds Berkshire Hathaway  Microsemi  Johnson Controls  Gazprom  others),topStory
BIDU,Baidu Inc,20110902,Baidu sees possible acquisitions in mobile  cloud ,BEIJING China's top search engine Baidu Inc is on the lookout for potential acquisitions and investment opportunities in the mobile and cloud computing spaces  its chief financial officer said on Friday. | Video ,normal
BIDU,Baidu Inc,20110902,Baidu offers glimpse of new mobile OS ,BEIJING China's top search engine Baidu Inc offered a glimpse of its upcoming mobile operating system and launched a new mobile application platform on Friday aimed at bolstering its presence in the increasingly competitive mobile web market.,normal
BIDU,Baidu Inc,20110902,UPDATE 3-China's Baidu offers glimpse of new mobile OS , * Part of increasingly crowded China mobile Internet space,normal
BIDU,Baidu Inc,20110902,Baidu launches mobile platform Baidu Yi , BEIJING  Sept 2 China's top search engine Baidu Inc on Friday launched its new mobile platform  Baidu Yi  it said in a statement.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110902,U.S. regulator sues major banks over subprime bonds ,WASHINGTON/NEW YORK A U.S. regulator sued 17 large banks and financial institutions on Friday over losses on about $200 billion of subprime bonds  which may hamper a broader government settlement of the mortgage mess left over from the housing crisis.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110902,UPDATE 6-US regulator sues major banks over subprime bonds , * Litigation may hamper settlement with states  (Adds lawsuit details  bank comments  Wells Fargo),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110902,Factbox: Who the FHFA has sued over subprime bonds ,The U.S. Federal Housing Finance Agency sued 17 financial institutions on Friday  for allegedly misrepresenting material information when selling mortgage-backed securities.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110902,FACTBOX-Who the FHFA has sued over subprime bonds , Sept 2 The U.S. Federal Housing Finance Agency sued 17 financial institutions on Friday  for allegedly misrepresenting material information when selling mortgage-backed securities.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110902,MOVES-Capstan Capital  BNY Mellon  CLS Group  Insynergy  Barclays Capital , Sept 2 The following financial service industry appointments were announced on Friday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110902,Barclays sued by Madoff trustee ,NEW YORK Barclays Plc was sued for $67.4 million by the trustee seeking money for victims of Bernard Madoff's Ponzi scheme.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110902,Barclays sued by Madoff trustee , * Money funneled from Fairfield Sentry feeder fund sought,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110902,Elevated spreads put kibosh on senior FIG revival , LONDON  Sep 2 (IFR) - Hopes that the reopening of the covered bond market could help revive the fortunes of the senior FIG market might be dashed as European banks' senior spreads remain at elevated levels.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110902,UPDATE 1-Euro debt crisis ups cost pressure at Deutsche Bank , * Newspaper - bank eyes possible 1-2 bln eur in cost savings,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110902,Indigestion fears as covered issuers pile in , LONDON  Sep 1 (IFR) - The covered bond market revival could be jeopardised by overeager banks executing large deals and poor secondary performance  bankers said this week.,normal
