AVAV,AeroVironment Inc,20110907,UPDATE 1-AeroVironment Q1 beats Wall Street view , Sept 7 - AeroVironment Inc posted a first-quarter profit as revenue rose 62 percent on higher sales of its drones.,topStory
ALGN,Align Technology Inc,20110907,UPDATE 1-Align Tech to close New Jersey unit  cut 119 jobs , * To merge New Jersey operations with San Jose unit   (Follows alerts),topStory
GOOG,Alphabet Inc,20110907,Yahoo CEO Bartz fired over the phone  rocky run ends ,SAN FRANCISCO Yahoo Inc Chairman Roy Bostock fired CEO Carol Bartz over the phone on Tuesday  ending a tumultuous tenure marked by stagnation and a rift with Chinese partner Alibaba. | Video ,topStory
GOOG,Alphabet Inc,20110907,Exclusive: Facebook doubles first-half revenue ,SAN FRANCISCO Facebook's revenue doubled to $1.6 billion in 2011's first half  a source with knowledge of its financials told Reuters  underscoring its appeal to advertisers while it grapples with intensifying competition from the likes of Google Inc.,normal
GOOG,Alphabet Inc,20110907,Nvidia up on outlook  analysts skeptical ,Shares of Nvidia Corp  jumped more than 11 percent on Wednesday  as investors bet on strong sales for the company's chips used in mobile devices like smartphones and tablets.,normal
GOOG,Alphabet Inc,20110907,Nvidia up on outlook  analysts skeptical ,Shares of Nvidia Corp jumped more than 11 percent on Wednesday  as investors bet on strong sales for the company's chips used in mobile devices like smartphones and tablets.,normal
GOOG,Alphabet Inc,20110907,China's Jingdong Mall plans $4-$5 billion U.S. IPO: IFR ,HONG KONG Chinese online retailer Jingdong Mall is set to kick off an IPO process next week that could be the most daring bet yet on U.S. investors' appetite for Chinese stocks.,normal
GOOG,Alphabet Inc,20110907,UPDATE 3-China's Jingdong Mall plans $4-$5 bln US IPO - IFR , * "Beauty parade" next week in Beijing to pick IPO banks,normal
GOOG,Alphabet Inc,20110907,Verizon sets launch for delayed Motorola Bionic ,NEW YORK Verizon Wireless said it will start selling the high-speed Bionic phone from Motorola Mobility  on Sept 8  months after the device had been expected to launch.,normal
GOOG,Alphabet Inc,20110907,UPDATE 1-Verizon sets launch for delayed Motorola Bionic , NEW YORK  Sept 7 Verizon Wireless  the biggest U.S. mobile provider  said it will start selling the high-speed Bionic phone from Motorola Mobility  on Sept 8  months after the device had been expected to launch.,normal
GOOG,Alphabet Inc,20110907,UPDATE 1-China's Jingdong Mall plans $4-5 bln US IPO -IFR , * "Beauty parade" next week in Beijing to pick underwriters,normal
GOOG,Alphabet Inc,20110907,US STOCKS-Futures rebound after 3-day decline; Yahoo eyed , * Futures up: S&P 11.6 pts  Dow 103 pts  Nasdaq 25.25 pts,normal
AMZN,Amazoncom Inc,20110907,Amazon's Selipsky bullish on AWS profitability ,SEATTLE Ever since Amazon Web Services emerged as the next big thing for e-commerce giant Amazon.com Inc a few years ago  Wall Street has debated whether the business mints money or just breaks even.,topStory
AMZN,Amazoncom Inc,20110907,Amazon's Selipsky bullish on AWS profitability , SEATTLE  Sept 7 Ever since Amazon Web Services emerged as the next big thing for e-commerce giant Amazon.com Inc  a few years ago  Wall Street has debated whether the business mints money or just breaks even.,normal
AMZN,Amazoncom Inc,20110907,Best Buy unveils new third-party Marketplace ,SAN FRANCISCO Best Buy Co said on Wednesday it will offer products online from other sellers through a new third-party Marketplace as the electronics retailer tries to better compete with Internet rivals Amazon.com and eBay Inc.,normal
AMZN,Amazoncom Inc,20110907,UPDATE 1-Best Buy unveils new third-party Marketplace , * Buy.com among six third-party sellers signed up  (Adds details of third-party sellers  share price  exec comment),normal
AMZN,Amazoncom Inc,20110907,Best Buy unveils new third-party marketplace , SAN FRANCISCO  Sept 7 Best Buy Co  said on Wednesday it will offer products online from other sellers through a new third-party Marketplace as the electronics retailer tries to better compete with online rivals Amazon.com  and eBay Inc .,normal
AMZN,Amazoncom Inc,20110907,EBay hires ex-Thomson Reuters executive Wenig ,SAN FRANCISCO EBay Inc hired former Thomson Reuters Corp executive Devin Wenig as president of its global marketplaces unit  the online commerce and auction site's largest division.,normal
AAPL,Apple Inc,20110907,Nvidia up on outlook  analysts skeptical ,Shares of Nvidia Corp  jumped more than 11 percent on Wednesday  as investors bet on strong sales for the company's chips used in mobile devices like smartphones and tablets.,topStory
AAPL,Apple Inc,20110907,Nvidia up on outlook  analysts skeptical ,Shares of Nvidia Corp jumped more than 11 percent on Wednesday  as investors bet on strong sales for the company's chips used in mobile devices like smartphones and tablets.,normal
AAPL,Apple Inc,20110907,RIM investor urges fast shake-up ,TORONTO An activist shareholder in Research In Motion said on Tuesday it wants the struggling BlackBerry maker to consider selling itself or spinning off its patent portfolio  sending RIM's share price higher.,normal
ARNA,Arena Pharmaceuticals Inc,20110907,Starbucks CEO campaigns to end Washington gridlock ,LOS ANGELES Starbucks Corp Chief Executive Howard Schultz called on Americans on Tuesday to deluge U.S. lawmakers with demands to end the partisan gridlock that he said is paralyzing Washington.,topStory
BIDU,Baidu Inc,20110907,Sany head tops China billionaire list in record year ,BEIJING Heavy machinery magnate Liang Wengen has usurped the top spot among China's billionaires  according to a survey released on Wednesday that called 2011 a record year for the country's super rich.,topStory
BIDU,Baidu Inc,20110907,Sany head tops China billionaire list in record year , BEIJING  Sept 7 Heavy machinery magnate Liang Wengen has usurped the top spot among China's billionaires  according to a survey released on Wednesday that called 2011 a record year for the country's super rich.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110907,Cerberus-owned NewPage files for Chapter 11 ,WILMINGTON  Del./NEW YORK NewPage Corp   the biggest maker of magazine paper in North America  filed for bankruptcy on Wednesday  succumbing to falling demand as advertisers and readers move online.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110907,UPDATE 6-Cerberus-owned NewPage files for Chapter 11 , * Largest non-financial U.S. bankruptcy in two years  (Adds names of lenders),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110907,Lehman asks US judge for $500 mln Barclays payback , NEW YORK  Sept 7 Lehman Brothers Holdings Inc -- whose North American business was taken over by Barclays Plc in 2008 -- has asked a U.S. judge on Wednesday to force the British bank to pay it back $500 million it says was meant to go to employees.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110907,Lehman asks U.S. judge for $500 million Barclays payback ,NEW YORK Lehman Brothers Holdings Inc -- whose North American business was taken over by Barclays Plc in 2008 -- has asked a U.S. judge on Wednesday to force the British bank to pay it back $500 million it says was meant to go to employees.,normal
