ACIW,ACI Worldwide Inc,20110915,UPDATE 4-Fundtech drops S1 for 'superior' PE offer , * GTCR's $23.33/shr cash offer at 33 pct premium to Fundtech Wed close,topStory
GOOG,Alphabet Inc,20110915,RIM results  outlook stun investors even after warning ,Research In Motion reported a steep drop in quarterly profit on limp sales of its smartphones and tablets  and offered investors little hope of a turnaround anytime soon  sending its shares tumbling. | Video ,topStory
GOOG,Alphabet Inc,20110915,UPDATE 4-RIM results  outlook stun investors even after warning , * Q2 EPS $0.80  revenue $4.2 bln; sees Q3 EPS $1.20-$1.40,normal
GOOG,Alphabet Inc,20110915,Bulk of Oracle copyright claims vs Google allowed ,SAN FRANCISCO A U.S. judge will allow the bulk of Oracle Corp's copyright infringement claims against Google Inc over the Java programing language  according to a court ruling on Thursday.,normal
GOOG,Alphabet Inc,20110915,UPDATE 1-Bulk of Oracle copyright claims vs Google allowed , * Bulk of Oracle's claims on copyright can move forward,normal
GOOG,Alphabet Inc,20110915,HOW TO PLAY IT - Did Netflix's very bad day create value? , THE ISSUE: Netflix Inc   one of the most closely-watched "momentum" stocks"  dropped nearly 20 percent on Thursday. Is it time to buy 'bargain' shares in the fast-expanding web video service?,normal
GOOG,Alphabet Inc,20110915,FTC proposes kids' online privacy rule update ,A proposed update of the U.S. online privacy rule for children would revise definitions of personal information and beef up parental consent mechanisms to reflect technological changes.,normal
GOOG,Alphabet Inc,20110915,How to play it: Did Netflix's very bad day create value? ,THE ISSUE: Netflix Inc  one of the most closely-watched "momentum" stocks"  dropped nearly 20 percent on Thursday. Is it time to buy 'bargain' shares in the fast-expanding web video service?,normal
GOOG,Alphabet Inc,20110915,UPDATE 1-US proposes kids' online privacy rule update , * Adds provision addressing location-tracking  (Rewrites with further details of proposal  reaction),normal
GOOG,Alphabet Inc,20110915,Google to launch local shopping service in Japan: Nikkei ,Google Inc's Japanese unit will launch an online search service on Friday that will display the prices and availability of products at stores near the shopper's location  the Nikkei business daily reported.,normal
GOOG,Alphabet Inc,20110915,UPDATE 1-Google to launch local shopping service in Japan-Nikkei , Sept 16 Google Inc's Japanese unit will launch an online search service on Friday that will display the prices and availability of products at stores near the shopper's location  the Nikkei business daily reported.,normal
AMZN,Amazoncom Inc,20110915,Netflix lowers U.S. subscriber forecast; shares fall ,Netflix Inc cut its third-quarter forecast by 1 million U.S. subscribers  sending its shares down nearly 19 percent  as the company known for rapid growth expects more fallout from a price increase on its DVD service. | Video ,topStory
AMZN,Amazoncom Inc,20110915,UPDATE 5-Netflix lowers US subscriber forecast; shares fall , * Shares end 19 pct lower  (Adds comments by Netflix executive  adds analyst comments  updates share prices),normal
AMZN,Amazoncom Inc,20110915,Judge extends time for Google digital books talks ,NEW YORK Google Inc and authors and publishers groups have about nine more months to untangle their six-year-old legal dispute over plans to create the world's largest digital library  a federal judge said on Thursday.,normal
AMZN,Amazoncom Inc,20110915,Judge extends time for Google digital books talks , NEW YORK  Sept 15 Google Inc  and authors and publishers groups have about nine more months to untangle their six-year-old legal dispute over plans to create the world's largest digital library  a federal judge said on Thursday.,normal
AMZN,Amazoncom Inc,20110915,D.Post invests as Germans step up online shopping , HAMBURG  Sept 15 Deutsche Post DHL  plans to invest in its German parcel business as it banks on consumers buying more goods online instead of in bricks-and-mortar stores.,normal
AMSC,American Superconductor Corporation,20110915,US SMALL/MIDCAPS-Retail stocks up as consumer endures , NEW YORK  Sept 15 Small and midcap retail stocks outperformed the wider market on Thursday on growing optimism that the U.S. consumer was not yet succumbing to the economic weakness seen in other areas.,topStory
AMSC,American Superconductor Corporation,20110915,American Superconductor sues China's Sinovel , Sept 15 American Superconductor Corp  said it was filing civil and criminal charges in China against Sinovel Wind Group Co Ltd   its largest customer and one of the top wind turbine makers  for "illegal" use of its intellectual property.,normal
AAPL,Apple Inc,20110915,RIM results  outlook stun investors even after warning ,Research In Motion reported a steep drop in quarterly profit on limp sales of its smartphones and tablets  and offered investors little hope of a turnaround anytime soon  sending its shares tumbling. | Video ,topStory
AAPL,Apple Inc,20110915,UPDATE 4-RIM results  outlook stun investors even after warning , * Q2 EPS $0.80  revenue $4.2 bln; sees Q3 EPS $1.20-$1.40,normal
AAPL,Apple Inc,20110915,HOW TO PLAY IT - Did Netflix's very bad day create value? , THE ISSUE: Netflix Inc   one of the most closely-watched "momentum" stocks"  dropped nearly 20 percent on Thursday. Is it time to buy 'bargain' shares in the fast-expanding web video service?,normal
AAPL,Apple Inc,20110915,Apple settles with Queens stores over knockoffs ,Two stores in Queens  New York  accused of peddling unauthorized Apple Inc accessories have agreed to hand over all products in their inventories bearing the word "Apple" or any of the company's ubiquitous trademarks.,normal
AAPL,Apple Inc,20110915,Apple settles with Queens stores over knockoffs , Sept 15 Two stores in Queens  New York  accused of peddling unauthorized Apple Inc  accessories have agreed to hand over all products in their inventories bearing the word "Apple" or any of the company's ubiquitous trademarks.,normal
AAPL,Apple Inc,20110915,FTC proposes kids' online privacy rule update ,A proposed update of the U.S. online privacy rule for children would revise definitions of personal information and beef up parental consent mechanisms to reflect technological changes.,normal
AAPL,Apple Inc,20110915,How to play it: Did Netflix's very bad day create value? ,THE ISSUE: Netflix Inc  one of the most closely-watched "momentum" stocks"  dropped nearly 20 percent on Thursday. Is it time to buy 'bargain' shares in the fast-expanding web video service?,normal
AAPL,Apple Inc,20110915,UPDATE 1-US proposes kids' online privacy rule update , * Adds provision addressing location-tracking  (Rewrites with further details of proposal  reaction),normal
AAPL,Apple Inc,20110915,US FTC seeks boost in online privacy for children , Sept 15 The Federal Trade Commission is proposing new safeguards to heighten protection of children's personal information online.,normal
AAPL,Apple Inc,20110915,HP should reconsider dumping TouchPad: research firm ,HELSINKI Hewlett-Packard Co (HP) should reconsider its decision to dump its TouchPad tablet since the device could double the value of the PC division HP plans to spin off  technology research firm Canalys said in a note to clients.,normal
BIDU,Baidu Inc,20110915,Baidu's Qunar planning 2012 U.S. IPO: MarketWatch ,A travel website majority-owned by Chinese search engine Baidu is planning a 2012 U.S. initial public offering  according to MarketWatch.,topStory
BIDU,Baidu Inc,20110915,Baidu's Qunar planning 2012 U.S. IPO - report , Sept 15 A travel website majority-owned by Chinese search engine Baidu  is planning a 2012 U.S. initial public offering  according to MarketWatch.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110915,PRESS DIGEST - Financial Times - Sept 15 , Britain is to sue the European Central Bank over rules that it claims handicap the City of London and would force one of the biggest clearing houses to move to the euro area. http://www.ft.com/cms/s/0/146a256e-dee1-11e0-9130-00144feabdc0.html,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110915,Barclays close to deal for UPP stake: report ,LONDON Barclays Capital  is close to selling its majority stake in Britain's University Partnerships Program (UPP)  in a deal that could be worth close to 1 billion pounds  the Financial Times reported on Thursday.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110915,Barclays close to deal for UPP stake - FT , LONDON  Sept 15 Barclays Capital  is close to selling its majority stake in Britain's University Partnerships Programme (UPP)  in a deal that could be worth close to 1 billion pounds  the Financial Times reported on Thursday.,normal
DLBL,Barclays PLC,20110915,PRESS DIGEST - Financial Times - Sept 15 , Britain is to sue the European Central Bank over rules that it claims handicap the City of London and would force one of the biggest clearing houses to move to the euro area. http://www.ft.com/cms/s/0/146a256e-dee1-11e0-9130-00144feabdc0.html,topStory
DLBL,Barclays PLC,20110915,Barclays close to deal for UPP stake: report ,LONDON Barclays Capital  is close to selling its majority stake in Britain's University Partnerships Program (UPP)  in a deal that could be worth close to 1 billion pounds  the Financial Times reported on Thursday.,normal
DLBL,Barclays PLC,20110915,Barclays close to deal for UPP stake - FT , LONDON  Sept 15 Barclays Capital  is close to selling its majority stake in Britain's University Partnerships Programme (UPP)  in a deal that could be worth close to 1 billion pounds  the Financial Times reported on Thursday.,normal
DTYL,Barclays PLC,20110915,PRESS DIGEST - Financial Times - Sept 15 , Britain is to sue the European Central Bank over rules that it claims handicap the City of London and would force one of the biggest clearing houses to move to the euro area. http://www.ft.com/cms/s/0/146a256e-dee1-11e0-9130-00144feabdc0.html,topStory
DTYL,Barclays PLC,20110915,Barclays close to deal for UPP stake: report ,LONDON Barclays Capital  is close to selling its majority stake in Britain's University Partnerships Program (UPP)  in a deal that could be worth close to 1 billion pounds  the Financial Times reported on Thursday.,normal
DTYL,Barclays PLC,20110915,Barclays close to deal for UPP stake - FT , LONDON  Sept 15 Barclays Capital  is close to selling its majority stake in Britain's University Partnerships Programme (UPP)  in a deal that could be worth close to 1 billion pounds  the Financial Times reported on Thursday.,normal
BIIB,Biogen Inc,20110915,UPDATE 1-Elan adds new directors after years of pressure , Sept 15 Elan Corp Plc  named two new non-executive directors to its board -- Dr. Andrew von Eschenbach  a former commissioner of the U.S. Food and Drug Administration  and Hans Peter Hasler  former chief operating officer at biotechnology company Biogen Idec Inc .,topStory
CSTR,CapStar Financial Holdings Inc,20110915,Netflix lowers U.S. subscriber forecast; shares fall ,Netflix Inc cut its third-quarter forecast by 1 million U.S. subscribers  sending its shares down nearly 19 percent  as the company known for rapid growth expects more fallout from a price increase on its DVD service. | Video ,topStory
CSTR,CapStar Financial Holdings Inc,20110915,UPDATE 5-Netflix lowers US subscriber forecast; shares fall , * Shares end 19 pct lower  (Adds comments by Netflix executive  adds analyst comments  updates share prices),normal
