ACIW,ACI Worldwide Inc,20110916,UPDATE 1-S1 terminates Fundtech merger agreement , * Fundtech agrees to be bought by PE firm GTCR for $390 mln,topStory
ATVI,Activision Blizzard Inc,20110916,Shares of video game companies swing on reviews ,NEW YORK Want to know why video game stocks pop or drop? Check the reviews.,topStory
ADBE,Adobe Systems Incorporated,20110916,EBay builds new division to woo developers ,SAN FRANCISCO Ebay Inc is building a new division to woo developers and attract more merchants as the company tries to emulate the success of Apple Inc's iOS platform in the e-commerce world.,topStory
ADBE,Adobe Systems Incorporated,20110916,EBay builds new division to woo developers ,  * E-commerce giant revives X.com from PayPal's early days,normal
ADBE,Adobe Systems Incorporated,20110916,Bernanke  Europe hold key to aiding rally ,NEW YORK Wall Street hopes for more Fed action and clear signs European leaders will follow through on their new urgency to tackle the euro zone debt crisis if U.S. stocks are to build on their best week since early July.,normal
ADBE,Adobe Systems Incorporated,20110916,Wall St Week Ahead: Bernanke  Europe hold key to aiding rally , NEW YORK  Sept 16 Wall Street hopes for more Fed action and clear signs European leaders will follow through on their new urgency to tackle the euro zone debt crisis if U.S. stocks are to build on their best week since early July.,normal
GOOG,Alphabet Inc,20110916,PE firms circling AOL turn attention to Yahoo ,NEW YORK The troubles at Yahoo Inc are proving to be a headache for AOL  that other deeply challenged Internet company trying to turn around its fortunes. | Video ,topStory
GOOG,Alphabet Inc,20110916,PE firms circling AOL turn attention to Yahoo , NEW YORK  Sept 16 The troubles at Yahoo Inc  are proving to be a headache for AOL   that other deeply challenged Internet company trying to turn around its fortunes.,normal
GOOG,Alphabet Inc,20110916,Twitter's board loses two early investors ,Two of Twitter's earliest investors have left the company's board of directors  the latest change to the fast-growing social media company's leadership.,normal
GOOG,Alphabet Inc,20110916,EBay builds new division to woo developers ,SAN FRANCISCO Ebay Inc is building a new division to woo developers and attract more merchants as the company tries to emulate the success of Apple Inc's iOS platform in the e-commerce world.,normal
GOOG,Alphabet Inc,20110916,EBay builds new division to woo developers ,  * E-commerce giant revives X.com from PayPal's early days,normal
GOOG,Alphabet Inc,20110916,BlackBerry maker's missteps stir talk of its sale ,Research In Motion's dismal quarterly results  the latest in a string of disappointments for shareholders  may have pleased prospective buyers coveting the BlackBerry maker's treasure trove of wireless patents.,normal
GOOG,Alphabet Inc,20110916,BlackBerry bashed as questions swirl about future ,Investors drove Research In Motion's stock down 20 percent on Friday as dismal quarterly results raised prospects that the BlackBerry maker will be sold  broken up  or at least placed under new leadership. | Video ,normal
GOOG,Alphabet Inc,20110916,UPDATE 2-BlackBerry bashed as questions swirl about future , * Co-CEOs under fire; analyst says management in denial,normal
GOOG,Alphabet Inc,20110916,Fund-amentals: Is Fidelity overstretching Feingold? ,NEW YORK Jeffrey Feingold's workload at Fidelity Investments has exploded  leading some fund analysts to say he's being stretched too thin.,normal
GOOG,Alphabet Inc,20110916,Twitter's board loses two early investors , Sept 16 Two of Twitter's earliest investors have left the company's board of directors  the latest change to the fast-growing social media company's leadership.,normal
AMZN,Amazoncom Inc,20110916,EBay builds new division to woo developers ,SAN FRANCISCO Ebay Inc is building a new division to woo developers and attract more merchants as the company tries to emulate the success of Apple Inc's iOS platform in the e-commerce world.,topStory
AMZN,Amazoncom Inc,20110916,EBay builds new division to woo developers ,  * E-commerce giant revives X.com from PayPal's early days,normal
AMSC,American Superconductor Corporation,20110916,Sinovel denies AMSC's charges of IP theft , Sept 16 Sinovel Wind Group Co Ltd  denied allegations of intellectual property theft by American Superconductor Corp and said the U.S. wind turbine parts maker was unable to meet the Chinese company's standards.,topStory
AAPL,Apple Inc,20110916,EBay builds new division to woo developers ,SAN FRANCISCO Ebay Inc is building a new division to woo developers and attract more merchants as the company tries to emulate the success of Apple Inc's iOS platform in the e-commerce world.,topStory
AAPL,Apple Inc,20110916,EBay builds new division to woo developers ,  * E-commerce giant revives X.com from PayPal's early days,normal
AAPL,Apple Inc,20110916,BlackBerry maker's missteps stir talk of its sale ,Research In Motion's dismal quarterly results  the latest in a string of disappointments for shareholders  may have pleased prospective buyers coveting the BlackBerry maker's treasure trove of wireless patents.,normal
AAPL,Apple Inc,20110916,BlackBerry bashed as questions swirl about future ,Investors drove Research In Motion's stock down 20 percent on Friday as dismal quarterly results raised prospects that the BlackBerry maker will be sold  broken up  or at least placed under new leadership. | Video ,normal
AAPL,Apple Inc,20110916,UPDATE 2-BlackBerry bashed as questions swirl about future , * Co-CEOs under fire; analyst says management in denial,normal
AAPL,Apple Inc,20110916,Irish startup sells translation for app developers ,Irish startup Tethras on Friday rolled out a translation service aimed at helping mobile application developers target non-English speaking users.,normal
AAPL,Apple Inc,20110916,Irish startup sells translation for app developers ,Irish startup Tethras on Friday rolled out a translation service aimed at helping mobile application developers target non-English speaking users.,normal
