ATVI,Activision Blizzard Inc,20110921,EA wants Facebook's users  $3 billion in digital sales ,NEW YORK Electronic Arts Inc may never recover its Silicon Valley swagger. But maybe it doesn't have to  its top executive says.,topStory
ADBE,Adobe Systems Incorporated,20110921,US STOCKS-Wall St sinks after Fed statement cites 'risks' , * Dow off 2.5 pct  S&P off 2.9 pct  Nasdaq off 2 pct * For up-to-the-minute market news see [STXNEWS/US]  (Updates to close),topStory
ADBE,Adobe Systems Incorporated,20110921,US STOCKS-Wall St extends losses after Fed statement , * Dow off 0.9 pct  S&P off 1.2 pct  Nasdaq off 0.2 pct * For up-to-the-minute market news see [STXNEWS/US]  (Updates with Fed statement  changes byline),normal
ADBE,Adobe Systems Incorporated,20110921,US STOCKS-Wall St trims bets ahead of Fed statement , * Oracle forecasts profit above estimates; sends techs up,normal
ADBE,Adobe Systems Incorporated,20110921,US STOCKS-Wall St slips ahead of Fed policy statement , * Oracle forecasts profit above estimates; tech sector up,normal
ADBE,Adobe Systems Incorporated,20110921,US STOCKS-Wall St flat ahead of Fed; Oracle boosts techs , * Oracle forecasts profit above estimates; tech sector up,normal
ADBE,Adobe Systems Incorporated,20110921,US STOCKS-Wall St set to open flat ahead of Fed statement , * Futures: S&P off 0.2 pts  Dow off 28 pts  Nasdaq up 1.75,normal
ADBE,Adobe Systems Incorporated,20110921,US STOCKS-Futures dip as investors await Fed statement , * Futures off: S&P 6 pts  Dow 33 pts  Nasdaq 12.75 pts,normal
ADBE,Adobe Systems Incorporated,20110921,US STOCKS-Futures flat ahead of Fed statement , * Markets anticipate modest monetary easing from the Fed,normal
GOOG,Alphabet Inc,20110921,Schmidt says Google has not cooked search results ,WASHINGTON Google Inc has not cooked its search results to favor its own products and listings  Executive Chairman Eric Schmidt told a U.S. Senate hearing looking into whether the search giant abuses its power.,topStory
GOOG,Alphabet Inc,20110921,UPDATE 4-Schmidt says Google has not cooked search results , * Senator Lee: Google decides who wins  fails on Internet,normal
GOOG,Alphabet Inc,20110921,UPDATE 2-Netflix  Discovery in streaming deal for TV shows , * Discovery's first major release of long-form Web content  (Adds Netflix comments),normal
GOOG,Alphabet Inc,20110921,Hulu has more than 1 million paying subscribers: CEO ,NEW YORK Hulu  the popular online video service which has been put up for sale by its joint owners  now has more than 1 million paying subscribers  Chief Executive Jason Kilar said on Wednesday.,normal
GOOG,Alphabet Inc,20110921,UPDATE 1-Hulu has more than 1 mln paying subs - CEO , * Hulu sale still being evaluated - News Corp COO Carey,normal
GOOG,Alphabet Inc,20110921,Exclusive: Facebook seeks exec to build Hollywood  media ties ,SAN FRANCISCO Facebook is looking to hire a big-name executive to cultivate relationships and strike deals with the film and music industries to bolster its media offerings. | Video ,normal
GOOG,Alphabet Inc,20110921,Wyse PocketCloud hits emerging mobile cloud market ,U.S.-based Wyse Technology has rolled out a new version of its PocketCloud application  enabling free sharing of music and videos between consumers' mobile devices.,normal
GOOG,Alphabet Inc,20110921,UPDATE 1-Wyse PocketCloud hits emerging mobile clound market , * Prices service at $1/month  well below rivals  (Adds analyst comment  details),normal
GOOG,Alphabet Inc,20110921,Google spurns Oracle $2.2 billion Android damage claim ,Google Inc urged a federal judge to reject an Oracle Corp expert's recommendation that it pay more than $2.2 billion for infringing patents for Java technology used in the Android operating system.,normal
GOOG,Alphabet Inc,20110921,UPDATE 1-Google spurns Oracle $2.2 bln Android damage claim ,   * Oracle claimed Google infringed Java patents in Android,normal
AMZN,Amazoncom Inc,20110921,Privacy terms throw snag in B&N-Borders IP deal , * Barnes & Noble won Borders' customer info at auction,topStory
AMZN,Amazoncom Inc,20110921,UPDATE 2-Netflix  Discovery in streaming deal for TV shows , * Discovery's first major release of long-form Web content  (Adds Netflix comments),normal
AMZN,Amazoncom Inc,20110921,Wyse PocketCloud hits emerging mobile cloud market ,U.S.-based Wyse Technology has rolled out a new version of its PocketCloud application  enabling free sharing of music and videos between consumers' mobile devices.,normal
AMZN,Amazoncom Inc,20110921,UPDATE 1-Wyse PocketCloud hits emerging mobile clound market , * Prices service at $1/month  well below rivals  (Adds analyst comment  details),normal
AMZN,Amazoncom Inc,20110921,PocketCloud hits emerging mobile cloud market , Sept 21 U.S. firm Wyse Technology on Wednesday rolled out a new version of its PocketCloud application  enabling free sharing of music and videos between consumers' mobile devices.,normal
AMZN,Amazoncom Inc,20110921,French papers team up to break Apple stranglehold ,PARIS Apple's tight control over media content on its iPad is about to fall foul of some of France's most powerful newspapers and magazines  which hope that by teaming up they can stop the technology giant from dictating the terms of their distribution.,normal
AMZN,Amazoncom Inc,20110921,French papers team up to break Apple stranglehold , * Growing dismay among publishers on Apple's iPad terms,normal
AMKR,Amkor Technology Inc,20110921,UPDATE 1-Taiwan's ASE to invest $3.7 bln in Shanghai semicon plant , * ASE expects $8.5 bln revenue from Shanghai plants   (Adds other details and share price),topStory
AAPL,Apple Inc,20110921,Sprint CEO: 2011 targets exclude any iPhone launch ,NEW YORK Sprint Nextel Corp would need to change its full year guidance for 2011 if the company started selling the Apple Inc iPhone  Chief Executive Dan Hesse said on Wednesday at a conference.,topStory
AAPL,Apple Inc,20110921,UPDATE 2-Sprint CEO: 2011 targets exclude any iPhone launch , * Says DoJ may not insist on 4 national U.S. operators  (Adds AT&T comment  share price update),normal
AAPL,Apple Inc,20110921,EA wants Facebook's users  $3 billion in digital sales ,NEW YORK Electronic Arts Inc may never recover its Silicon Valley swagger. But maybe it doesn't have to  its top executive says.,normal
AAPL,Apple Inc,20110921,HOW TO PLAY IT: Solyndra case: Solar's darkest hour ,   THE ISSUE: The once squeaky-clean solar power industry hits its nadir as Solyndra's executives invoke the Fifth Amendment when Congress asks the solar power manufacturer Friday to explain how it took a $535 million loan and quickly went bankrupt. Will the shakeout it spurs in solar create value in the stocks?,normal
AAPL,Apple Inc,20110921,Wyse PocketCloud hits emerging mobile cloud market ,U.S.-based Wyse Technology has rolled out a new version of its PocketCloud application  enabling free sharing of music and videos between consumers' mobile devices.,normal
AAPL,Apple Inc,20110921,UPDATE 1-Wyse PocketCloud hits emerging mobile clound market , * Prices service at $1/month  well below rivals  (Adds analyst comment  details),normal
AAPL,Apple Inc,20110921,PocketCloud hits emerging mobile cloud market , Sept 21 U.S. firm Wyse Technology on Wednesday rolled out a new version of its PocketCloud application  enabling free sharing of music and videos between consumers' mobile devices.,normal
AAPL,Apple Inc,20110921,US STOCKS-Wall St trims bets ahead of Fed statement , * Oracle forecasts profit above estimates; sends techs up,normal
AAPL,Apple Inc,20110921,Sprint CEO: 2011 targets exclude any iPhone launch , NEW YORK  Sept 21 Sprint Nextel  would need to change its full year guidance for 2011 if the company started selling the Apple Inc  iPhone  Chief Executive Dan Hesse said on Wednesday.,normal
AAPL,Apple Inc,20110921,US STOCKS-Wall St slips ahead of Fed policy statement , * Oracle forecasts profit above estimates; tech sector up,normal
AAWW,Atlas Air Worldwide Holdings,20110921,UPDATE 1-Atlas Air cancels orders for 3 747-8F freighters , Sept 21 Atlas Air Worldwide Holdings  said on Wednesday it has terminated orders for three early-production Boeing 747-8 Freighter jets  citing lengthy delivery delays and "performance considerations.",topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110921,Lehman to drop appeals over Barclays sale ,NEW YORK Lehman Brothers Holdings Inc  said it will drop its appeal of a bankruptcy court's ruling upholding Barclays Plc's  purchase of Lehman's North American business in 2008 to avoid an unnecessary strain on its remaining assets.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110921,UPDATE 4-Lehman to drop appeals over Barclays sale , * Will not appeal follow-up ruling over employee bonuses,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110921,Obama says American jobs can help the world ,NEW YORK U.S. President Barack Obama sought support for his job creation plan at a philanthropic summit on Wednesday  saying improving the prospects of the world's richest economy was good for the world.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110921,Obama says American jobs can help the world , * Corporate leaders say social good now a core strategy,normal
