AVAV,AeroVironment Inc,20110923,Drone makers seek out new targets ,Almost a century after the first pilot-less plane was test launched from the back of a truck in the English village of Upavon  unmanned aircraft vehicles (UAV)  or drones  are smarter  more lethal ... and seeking new growth drivers.,topStory
ALXN,Alexion Pharmaceuticals Inc,20110923,UPDATE 3-US backs Alexion drug for another rare blood disease , * Shares rise 5 percent  (Adds revised outlook  EU committee opinion  analyst comment),topStory
ALXN,Alexion Pharmaceuticals Inc,20110923,FDA approves Alexion's rare blood disease drug ,U.S. health regulators cleared on Friday an Alexion Pharmaceuticals Inc drug for adults and children with a very rare genetic disorder  as the company expands the uses of its flagship medicine.,normal
GOOG,Alphabet Inc,20110923,Groupon COO jumps ship after 5 months ,SAN FRANCISCO Groupon's chief operating officer is leaving to join Google Inc five months after joining the company  and ahead of a highly-anticipated initial public offering.,topStory
GOOG,Alphabet Inc,20110923,UPDATE 2-Groupon COO jumps ship after 5 months , SAN FRANCISCO  Sept 23 Groupon's chief operating officer is leaving to join Google Inc   five months after joining the company  and ahead of a highly-anticipated initial public offering.,normal
GOOG,Alphabet Inc,20110923,After Facebook event  a dot-com boom-scaled party ,SAN FRANCISCO When somebody who has been played by Justin Timberlake in a Hollywood movie decides to throw a party  the expectations are pretty high.,normal
GOOG,Alphabet Inc,20110923,After Facebook event  a dot-com boom-scaled party , SAN FRANCISCO  Sept 23 When somebody who has been played by Justin Timberlake in a Hollywood movie decides to throw a party  the expectations are pretty high.,normal
GOOG,Alphabet Inc,20110923,Oracle seeks $1.16 billion from Google in Android case ,Oracle Corp on Thursday estimated it suffered roughly $1.16 billion of damages from Google Inc's alleged copyright and patent infringement of Java technology used in the Android operating system.,normal
GOOG,Alphabet Inc,20110923,US STOCKS-Wall St to open lower on European woes , * Futures off: S&P 4.4 pts  Dow 39 pts  Nasdaq 8 pts,normal
GOOG,Alphabet Inc,20110923,US STOCKS-Futures fall on Greece  global slowdown concerns , * Futures off: S&P 17.9 pts  Dow 180 pts  Nasdaq 34.25 pts,normal
GOOG,Alphabet Inc,20110923,US STOCKS-Futures off on euro zone  global slowdown concerns , * Futures off: S&P 14.7 pts  Dow 118 pts  Nasdaq 24.5 pts,normal
GOOG,Alphabet Inc,20110923,Competitors circle around as Netflix stumbles ,LOS ANGELES Missteps by Netflix Inc have opened the door to competitors seeking to grab disgruntled customers who are looking for new options for video rentals and instant online streaming.,normal
GOOG,Alphabet Inc,20110923,PREVIEW-UPDATE 1-Competitors circle around as Netflix stumbles , * Tech giants could jump in as Netflix falters  (Adds details paragraphs 3  10),normal
AMZN,Amazoncom Inc,20110923,Amazon expected to unveil tablet next week ,Amazon.com Inc  which revolutionized reading with its Kindle e-reader  is expected to unveil a tablet computer next week that analysts say will seriously challenge Apple's market dominating iPad.,topStory
AMZN,Amazoncom Inc,20110923,UPDATE 2-Amazon expected to unveil tablet next week , Sept 23 Amazon.com Inc   which revolutionized reading with its Kindle e-reader  is expected to unveil a tablet computer next week that analysts say will seriously challenge Apple's  market dominating iPad.,normal
AMZN,Amazoncom Inc,20110923,California governor signs tax deal with Amazon ,SAN FRANCISCO A peace treaty between California's government and Amazon.com Inc  became official on Friday with Governor Jerry Brown's signature on legislation striking a compromise between the two sides on taxing online sales.,normal
AMZN,Amazoncom Inc,20110923,California governor signs tax deal with Amazon ,SAN FRANCISCO A peace treaty between California's government and Amazon.com Inc became official on Friday with Governor Jerry Brown's signature on legislation striking a compromise between the two sides on taxing online sales.,normal
AMZN,Amazoncom Inc,20110923,California governor signs tax deal with Amazon , SAN FRANCISCO  Sept 23 A peace treaty between California's government and Amazon.com Inc  became official on Friday with Governor Jerry Brown's signature on legislation striking a compromise between the two sides on taxing online sales.,normal
AMZN,Amazoncom Inc,20110923,Amazon to hold press conference next week , NEW YORK  Sept 23 Amazon.com Inc  is holding a press conference in New York on coming Wednesday  according to an invite sent to Reuters on Friday.,normal
AMZN,Amazoncom Inc,20110923,Amazon wins "one-click" purchasing patent appeal ,WASHINGTON Online retail giant Amazon.com Inc won another round in the patent fight over its "one-click" purchasing system as an appeals court ruled on Friday that it did not infringe technology patented by Cordance Corp.,normal
AMZN,Amazoncom Inc,20110923,Amazon wins "one-click" purchasing patent appeal , WASHINGTON  Sept 23 Online retail giant Amazon.com Inc  won another round in the patent fight over its "one-click" purchasing system as an appeals court ruled on Friday that it did not infringe technology patented by Cordance Corp.,normal
AMZN,Amazoncom Inc,20110923,Competitors circle around as Netflix stumbles ,LOS ANGELES Missteps by Netflix Inc have opened the door to competitors seeking to grab disgruntled customers who are looking for new options for video rentals and instant online streaming.,normal
AMZN,Amazoncom Inc,20110923,PREVIEW-UPDATE 1-Competitors circle around as Netflix stumbles , * Tech giants could jump in as Netflix falters  (Adds details paragraphs 3  10),normal
AMSC,American Superconductor Corporation,20110923,UPDATE 2-AMSC sees Q2 loss on key customer exit , * Sees Q2 loss/shr $0.53 vs est $0.01   (Adds Q2 outlook  background in paragraphs 2-4),topStory
AAPL,Apple Inc,20110923,Earnings calls wake up to Wall Street pain ,NEW YORK Earnings forecasts for U.S. companies are starting to feel the pain on Wall Street and in the broader economy as the odds of another recession rise.,topStory
AAPL,Apple Inc,20110923,UPDATE-Wall St Week Ahead:Earnings calls wake up to Wall St pain ,  (Updates with U.S. stock indexes' losses for the week)  * Analysts cut Q3 earnings growth to 13.7 pct from 17 pct  * Forecasts start to pull back for Q4 and 2012  * Financials seen most vulnerable; tech targets rise,normal
AAPL,Apple Inc,20110923,Wall St Week Ahead: Earnings calls wake up to Wall St pain ,    * Analysts cut Q3 earnings growth to 13.7 pct from 17 pct  * Forecasts start to pull back for Q4 and 2012  * Financials seen most vulnerable; tech targets rise,normal
AAPL,Apple Inc,20110923,Mexico's Maxcom to launch TV streaming  video ,MEXICO CITY Mexico's Maxcom Telecomunicaciones is set to launch an online video and live television rental service using a technology that allows streaming with a very low broadband speed.,normal
AAPL,Apple Inc,20110923,Mexico's Maxcom to launch TV streaming  video , MEXICO CITY  Sept 23 Mexico's Maxcom Telecomunicaciones is set to launch an online video and live television rental service using a technology that allows streaming with a very low broadband speed.,normal
AAPL,Apple Inc,20110923,Amazon expected to unveil tablet next week ,Amazon.com Inc  which revolutionized reading with its Kindle e-reader  is expected to unveil a tablet computer next week that analysts say will seriously challenge Apple's market dominating iPad.,normal
AAPL,Apple Inc,20110923,UPDATE 2-Amazon expected to unveil tablet next week , Sept 23 Amazon.com Inc   which revolutionized reading with its Kindle e-reader  is expected to unveil a tablet computer next week that analysts say will seriously challenge Apple's  market dominating iPad.,normal
AAPL,Apple Inc,20110923,Silicon Valley flop Color tries to reinvent itself ,SAN FRANCISCO Bill Nguyen is getting what many Silicon Valley entrepreneurs can only dream of: a second shot.,normal
AAPL,Apple Inc,20110923,Wooga aims to top gaming charts: CEO ,HELSINKI Owners of Wooga  the German social gaming firm  want to build the company into one of the top gaming firms globally by 2020 and they are not looking for a quick exit  its co-founder said in an interview.,normal
BIDU,Baidu Inc,20110923,IPO VIEW-China Web IPO flow to US threatened by crackdown , * Review comes amid accounting scandals  protest worries,topStory
