AXAS,Abraxas Petroleum Corporation,20110926,Lack of sand helps explain well costs gap -Kodiak , * Flooding delayed shipment of sand for fracking -Abraxas,topStory
GOOG,Alphabet Inc,20110926,Motorola Solutions probed for bribery: report ,Motorola Solutions Inc  is being investigated by U.S. regulatory authorities on whether the company paid bribes to win business in Europe  the Wall Street Journal reported  citing people familiar with the matter.,topStory
GOOG,Alphabet Inc,20110926,Motorola Solutions probed for bribery - WSJ , Sept 26 Motorola Solutions Inc  is being investigated by U.S. regulatory authorities on whether the company paid bribes to win business in Europe  the Wall Street Journal reported  citing people familiar with the matter.,normal
GOOG,Alphabet Inc,20110926,After Facebook event  a dot-com boom-scaled party ,SAN FRANCISCO When somebody who has been played by Justin Timberlake in a Hollywood movie decides to throw a party  the expectations are pretty high.,normal
GOOG,Alphabet Inc,20110926,CORRECTED - After Facebook event  a dot-com boom-scaled party , SAN FRANCISCO  Sept 23 When somebody who has been played by Justin Timberlake in a Hollywood movie decides to throw a party  the expectations are pretty high.,normal
GOOG,Alphabet Inc,20110926,RPT-EU should note Microsoft  Skype bundling risks-rival , (Repeats to extra subscriber codes with no change to text),normal
GOOG,Alphabet Inc,20110926,EU should note Microsoft  Skype bundling risks-rival , * Messagenet says EU should block anticompetitive bundling,normal
GOOG,Alphabet Inc,20110926,Netflix signs pay TV deal for Dreamworks animation ,Online video rental company Netflix Inc said it won pay TV rights to Dreamworks Animation movies starting in 2013  the first time a major Hollywood studio has chosen an Internet streaming player over a traditional cable channel.,normal
GOOG,Alphabet Inc,20110926,Samsung's legal woes threaten to crimp tablets  chips ,SEOUL An intensifying legal battle between Samsung Electronics Co and Apple Inc is expected to crimp growth at one of the fastest growing businesses of the Korean company  while threatening to worsen business ties with the firm's largest customer. | Video ,normal
GOOG,Alphabet Inc,20110926,Samsung to launch its first Microsoft Mango phone from late Oct , SEOUL  Sept 26 Samsung Electronics   the world's second-biggest handset maker  said on Monday that it will release its first smartphone based on the latest version of Microsoft Corp's mobile operating system starting in Italy from the end of October.,normal
GOOG,Alphabet Inc,20110926,UPDATE 1-Samsung's legal woes threaten to crimp tablets  chips , * Apple blocks Samsung from selling new tablets in Germany,normal
AMZN,Amazoncom Inc,20110926,Borders  B&N get court's OK on $14 million IP sale ,NEW YORK A bankruptcy judge gave Borders Group Inc  the go-ahead to sell its customer information to former rival Barnes & Noble Inc  after both sides addressed concerns about customer privacy.,topStory
AMZN,Amazoncom Inc,20110926,Borders  B&N get court's OK on $14 million IP sale , NEW YORK  Sept 26 A bankruptcy judge gave Borders Group Inc  the go-ahead to sell its customer information to former rival Barnes & Noble Inc  after both sides addressed concerns about customer privacy.,normal
AMZN,Amazoncom Inc,20110926,Netflix signs pay TV deal for Dreamworks animation ,Online video rental company Netflix Inc said it won pay TV rights to Dreamworks Animation movies starting in 2013  the first time a major Hollywood studio has chosen an Internet streaming player over a traditional cable channel.,normal
AMZN,Amazoncom Inc,20110926,UPDATE 1-Amazon snaps up Fox shows for more streaming , NEW YORK  Sept 26 Online retailer Amazon.com  expanded its catalog of TV shows and movies for Web streaming by inking a new deal with News Corp's  Fox Networks.,normal
AMZN,Amazoncom Inc,20110926,PRESS DIGEST - New York Times - Sept 26 , Sept 26 The New York Times reported the following stories on its business pages on Monday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
AMZN,Amazoncom Inc,20110926,Amazon's tablet serious challenge to Apple's iPad: analysts ,Amazon.com Inc  which revolutionized reading with its Kindle e-reader  is expected to unveil a tablet computer this week that analysts say will seriously challenge Apple's market dominating iPad.,normal
AMZN,Amazoncom Inc,20110926,Netflix edges out HBO for Dreamworks deal-NY Times , LOS ANGELES  Sept 25 Netflix Inc  has won a deal to pipe Dreamworks Animation  movies starting in 2013  the first time a major Hollywood studio has chosen Internet streaming over traditional pay TV  The New York Times reported on Sunday.,normal
AMED,Amedisys Inc,20110926,Amedisys: clarity on cuts could ease share pain ,Amedisys Inc and other home healthcare providers would rather the U.S. government make the industry swallow a bitter pill of reimbursement cuts today than spread the pain over the next few years.,topStory
AAPL,Apple Inc,20110926,Euro zone hope revives optimism on Wall Street ,NEW YORK Stocks rose on Monday as sentiment swung toward hope that European officials would find a way to cut Greece's debt and shore up European banks. | Video ,topStory
AAPL,Apple Inc,20110926,Kodak shares hit 38-year low on borrowing concerns ,Eastman Kodak Co  shares fell to a 38-year low after the photography pioneer drew down a credit line by $160 million  raising concerns about cash flow generation and its ability to compete against digital rivals under the strategy set forth by CEO Antonio Perez.,normal
AAPL,Apple Inc,20110926,UPDATE 3-Kodak shares hit 38-year low on borrowing concerns , * Shares close down 27 percent  (Rewrites story throughout; adds comments about credit withdrawal  CEO tenure),normal
AAPL,Apple Inc,20110926,Apple stock falls on report of iPad supply slowdown ,Apple Inc shares slipped on Monday following an analyst report that said the company was cutting orders from suppliers of parts for its iPad tablet.,normal
AAPL,Apple Inc,20110926,UPDATE 4-Apple stock falls on report of iPad supply slowdown , * Analyst inquiries show slowdown in supply chain orders,normal
AAPL,Apple Inc,20110926,US STOCKS-Euro-zone hope revives optimism on Wall Street , * Dow up 2.5 pct  S&P 500 up 2.3 pct  Nasdaq up 1.4 pct,normal
AAPL,Apple Inc,20110926,CORRECTED - US STOCKS-Dow  S&P gain on euro zone hopes  Apple falls , (Corrects 15th paragraph to clarify that DJ Indexes didn't say that technical issues inaccurately reflected stock prices. This error also appeared in previous versions of this story.),normal
AAPL,Apple Inc,20110926,UPDATE 1-NTT DoCoMo to boost its smartphone offerings-Nikkei , Sept 27 Japanese cellular carrier NTT DoCoMo Inc  is looking to cash in on demand for smartphones by filling up its entire upmarket mobile handset lineup with these devices by November  the Nikkei business daily reported.,normal
AAPL,Apple Inc,20110926,T-Mobile USA promises speed boost from new phones ,T-Mobile USA plans next month to launch two smartphones that double the speed of its wireless data service in the hope of attracting new customers to the No. 4 U.S. mobile provider.,normal
AAPL,Apple Inc,20110926,T-Mobile USA promises speed boost from new phones ,  Sept 26 T-Mobile USA plans next month to launch two smartphones that double the speed of its wireless data service in the hope of attracting new customers to the No. 4 U.S. mobile provider.,normal
