AMZN,Amazoncom Inc,20111007,Customer-service leader Zappos trips up ,* Project WMS like open heart surgery on moving train-CEO,topStory
AMCX,AMC Networks Inc,20111007,Netflix strikes agreement with AMC for zombie show ,Netflix and AMC Networks Inc have signed a new licensing agreement that gives the popular streaming video service exclusive rights in the United States and Canada to the hit show "The Walking Dead.",topStory
AMCX,AMC Networks Inc,20111007,UPDATE 2-Netflix strikes agreement with AMC for zombie show ,Oct 7 Netflix and AMC Networks Inc have signed a new licensing agreement that gives the popular streaming video service exclusive rights in the United States and Canada to the hit show "The Walking Dead.",normal
AAPL,Apple Inc,20111007,AT&T seeing "extraordinary demand" for new iPhone ,AT&T  said on Friday it has seen "extraordinary demand" for Apple Inc's  latest iPhone with over 200 000 pre-orders in the first 12 hours.,topStory
AAPL,Apple Inc,20111007,Sony picks up movie rights for Steve Jobs bio ,LOS ANGELES (TheWrap.com) - Sony has picked up the movie rights to Walter Isaacson's upcoming biography of Steve Jobs for Mark Gordon to produce  TheWrap has confirmed.,normal
AAPL,Apple Inc,20111007,UPDATE 1-AT&T seeing "extraordinary demand" for new iPhone ,Oct 7 AT&T said on Friday it has seen "extraordinary demand" for Apple Inc's latest iPhone with over 200 000 pre-orders in the first 12 hours.,normal
AAPL,Apple Inc,20111007,New York crime ring was sweet on Apple: police ,NEW YORK A New York-based crime ring that used forged credit cards to mainly buy and resell Apple products overseas has been busted  police said on Friday in what was described as the largest identity fraud case in U.S. history.,normal
AAPL,Apple Inc,20111007,New York crime ring was sweet on Apple - police ,NEW YORK  Oct 7 A New York-based crime ring that used forged credit cards to mainly buy and resell Apple products overseas has been busted  police said on Friday in what was described as the largest identity fraud case in U.S. history.,normal
AAPL,Apple Inc,20111007,Steve Jobs' funeral is taking place Friday: report ,The funeral for Apple Inc co-founder Steve Jobs is taking place on Friday  the Wall Street Journal cited a person familiar with the matter as saying. | Video ,normal
AAPL,Apple Inc,20111007,RPT-Steve Jobs' funeral is taking place Friday-WSJ ,Oct 7 The funeral for Apple Inc  co-founder Steve Jobs is taking place on Friday  the Wall Street Journal cited a person familiar with the matter as saying.,normal
AAPL,Apple Inc,20111007,Steve Jobs' funeral is taking place Friday-WSJ ,Oct 7 The funeral for Apple Inc  co-founder Steve Jobs is taking place on Friday  the Wall Street Journal cited a person familiar with the matter as saying.,normal
AAPL,Apple Inc,20111007,Steve Jobs biography pushed up for release ,The release date for a Steve Jobs biography has been pushed up to October 24 in the wake of the Apple co-founder's death on Wednesday  according to a spokesman for publishing house Simon & Schuster. | Video ,normal
AAPL,Apple Inc,20111007,Jobs authorized biography so his kids can know him ,CUPERTINO  Calif./SAN FRANCISCO Steve Jobs  in pain and too weak to climb stairs a few weeks before his death  wanted his children to understand why he wasn't always there for them  according to the author of his highly anticipated biography. | Video ,normal
LIFE,aTyr Pharma Inc,20111007,Illumina outlook drags down genetic tools sector ,Shares of Illumina Inc  fell 35 percent and dragged down its peers on Friday  a day after the maker of genetic analysis tools forecast a weak third quarter on uncertainty related to research funding in the United States and Europe.,topStory
BMLP,Bank Of Montreal,20111007,Manitoba sells C$300 mln 5-yr debentures ,NEW YORK  Oct 7 The Canadian province on Manitoba sold C$300 million ($288 million) of five-year debentures on Friday  according to a term sheet seen by Reuters.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20111007,New Issue-BG Energy Capital sells $3 bln in 3 parts ,Oct 7 BG Energy Capital PLC on Thursday sold $3 billion of senior unsecured notes in three parts in the 144a private placement market  said IFR  a Thomson Reuters service.      Barclays Capital  Citigroup  Mizuho  and RBC were the joint bookrunning managers for the sale. BORROWER: BG ENERGY CAPITAL PLC TRANCHE 1 AMT $750 MLN      COUPON 2.875 PCT    MATURITY 10/15/2016 TYPE SR NTS       ISS PRICE 99.833    FIRST PAY 4/15/2012 MOODY'S A2        YIELD 2.911 PCT     SETTLEMENT 10/12/201,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20111007,Barclays starts India Tech coverage; Rates Infy  HCL Tech 'overweight' ,MUMBAI  Oct 7 Barclays Capital has started coverage on the Indian technology sector with an overweight rating on Infosys Ltd. and HCL Technologies  citing higher growth rate for the next five years.,normal
DLBL,Barclays PLC,20111007,New Issue-BG Energy Capital sells $3 bln in 3 parts ,Oct 7 BG Energy Capital PLC on Thursday sold $3 billion of senior unsecured notes in three parts in the 144a private placement market  said IFR  a Thomson Reuters service.      Barclays Capital  Citigroup  Mizuho  and RBC were the joint bookrunning managers for the sale. BORROWER: BG ENERGY CAPITAL PLC TRANCHE 1 AMT $750 MLN      COUPON 2.875 PCT    MATURITY 10/15/2016 TYPE SR NTS       ISS PRICE 99.833    FIRST PAY 4/15/2012 MOODY'S A2        YIELD 2.911 PCT     SETTLEMENT 10/12/201,topStory
DLBL,Barclays PLC,20111007,Barclays starts India Tech coverage; Rates Infy  HCL Tech 'overweight' ,MUMBAI  Oct 7 Barclays Capital has started coverage on the Indian technology sector with an overweight rating on Infosys Ltd. and HCL Technologies  citing higher growth rate for the next five years.,normal
