AKAM,Akamai Technologies Inc,20111012,UPDATE 1-Akamai shares surge on Google deal report ,* Akamai a long-running subject of takeover rumors-analyst,topStory
AMGN,Amgen Inc,20111012,UPDATE 2-Amgen signals R&D changes to employees ,Oct 12 Amgen Inc   the world's largest biotechnology company  has told its research and development staff it is evaluating changes in its R&D programs  a company spokeswoman said on Wednesday.,topStory
AAPL,Apple Inc,20111012,RIM scrambles to end global BlackBerry outage ,TORONTO/LONDON The company that makes the BlackBerry smartphone is working frantically to end a three-day global service disruption that has frustrated millions of its customers and pumped up pressure on its management to make sweeping changes. | Video ,topStory
AAPL,Apple Inc,20111012,PREVIEW-After iPhone's debut  Cook must reposition Apple brand ,Oct 12 Apple Inc  debuts its fifth generation iPhone this week minus its visionary leader for the first time. But CEO Tim Cook may already be thinking ahead to his greatest challenge: repositioning the company's fabled marketing apparatus to safeguard the brand.,normal
AAPL,Apple Inc,20111012,Bullish Apple investors start calling for dividend ,Apple Inc is starting to hear a common refrain from investors: Show us the money.,normal
AAPL,Apple Inc,20111012,After iPhone's debut  Cook must reposition Apple brand ,Apple Inc debuts its fifth generation iPhone this week minus its visionary leader for the first time. But CEO Tim Cook may already be thinking ahead to his greatest challenge: repositioning the company's fabled marketing apparatus to safeguard the brand.,normal
AAPL,Apple Inc,20111012,PREVIEW-After iPhone's debut  Cook must reposition Apple brand ,Oct 12 Apple Inc debuts its fifth generation iPhone this week minus its visionary leader for the first time. But CEO Tim Cook may already be thinking ahead to his greatest challenge: repositioning the company's fabled marketing apparatus to safeguard the brand.,normal
AAPL,Apple Inc,20111012,Punishing China no boon for U.S. manufacturing jobs ,LONDON For every Apple iPad sold in the United States  the U.S. trade deficit with China increases by about $275.,normal
AAPL,Apple Inc,20111012,Bullish Apple investors start calling for dividend ,Oct 12 Apple Inc is starting to hear a common refrain from investors: Show us the money.,normal
AAPL,Apple Inc,20111012,UPDATE 3-BlackBerry outages spread to North America ,* Shares down 1.75 pct in Toronto  down 0.5 pct on Nasdaq,normal
AAPL,Apple Inc,20111012,Millions of BlackBerry users cut off for third day ,LONDON  Oct 12 Millions of BlackBerry users around the world were left without text communication services for a third day on Wednesday as Research in Motion  struggled to fix what it said was a switching failure in its private network.,normal
AAPL,Apple Inc,20111012,Samsung says upgrades smartphones to avoid Dutch sales ban ,SEOUL  Oct 12 Samsung Electronics Co  said on Wednesday it will soon release upgraded versions of three Galaxy smartphones in Europe to get around temporary sales bans on earlier versions of products that violated an Apple  patent.,normal
ASML,ASML Holding NV,20111012,UPDATE 4-ASML sees slowdown in chip sector ,* Q3 net profit 355 mln euros  above forecast 329.9 mln euros,topStory
BIDU,Baidu Inc,20111012,REFILE-DEALTALK-China's US companies mull restructuring as crackdown looms ,* VIEs used to circumvent China restrictions on foreigners,topStory
BMLP,Bank Of Montreal,20111012,AltaGas sells C$200 mln note - term sheet ,Oct 12 AltaGas Ltd on Wednesday sold C$200 million ($196 million) of notes due Jan. 17  2019  according to a term sheet seen by Reuters.,topStory
CME,CME Group Inc,20111012,Europe highlights urgency for new U.S. swaps rules ,CHICAGO Europe's debt problems are increasing anxiety about the vulnerability of global markets as too many new U.S. derivatives rules intended to prevent a repeat of the 2008 crisis have yet to be defined.,topStory
CME,CME Group Inc,20111012,Europe highlights urgency for new U.S. swaps rules ,* Many U.S. rules for derivatives market yet to be defined,normal
CMCSA,Comcast Corporation,20111012,Universal abandons "Tower Heist" early video on demand ,LOS ANGELES (TheWrap) - Universal cried uncle on Wednesday.,topStory
DISCA,Discovery Communications Inc,20111012,Exclusive: Ten high-risk U.S. companies named by governance firm ,NEW YORK News Corp  and Discovery Communications  have been flagged as two of the top 10 riskiest American companies based on a new gauge that looks at weak corporate governance  accounting red flags and high leverage.,topStory
DISCB,Discovery Communications Inc,20111012,Exclusive: Ten high-risk U.S. companies named by governance firm ,NEW YORK News Corp  and Discovery Communications  have been flagged as two of the top 10 riskiest American companies based on a new gauge that looks at weak corporate governance  accounting red flags and high leverage.,topStory
DISCK,Discovery Communications Inc,20111012,Exclusive: Ten high-risk U.S. companies named by governance firm ,NEW YORK News Corp  and Discovery Communications  have been flagged as two of the top 10 riskiest American companies based on a new gauge that looks at weak corporate governance  accounting red flags and high leverage.,topStory
EBAY,eBay Inc,20111012,eBay and Facebook unveil e-commerce partnership ,SAN FRANCISCO Facebook executive and eBay Inc board member Katie Mitic unveiled a partnership between the two companies designed to create a new crop of e-commerce applications with social networking features.,topStory
EBAY,eBay Inc,20111012,UPDATE 1-EBay CEO positive in face of weak economy ,SAN FRANCISCO  Oct 12 EBay Inc Chief Executive John Donahoe gave a positive outlook on Tuesday in the face of slowing economic growth and early signs of a weak holiday shopping season.,normal
EBAY,eBay Inc,20111012,Facebook and eBay unveil e-commerce partnership ,SAN FRANCISCO Facebook executive and eBay Inc  board member Katie Mitic unveiled a partnership between the two companies designed to create a new crop of e-commerce applications with social networking features.,normal
EBAY,eBay Inc,20111012,eBay and Facebook unveil e-commerce partnership ,SAN FRANCISCO  Oct 12 Facebook executive and eBay Inc board member Katie Mitic unveiled a partnership between the two companies designed to create a new crop of e-commerce applications with social networking features.,normal
EBAY,eBay Inc,20111012,RPT-EBay to deepen Facebook relationship ,SAN FRANCISCO  Oct 11 EBay Inc is set to deepen its relationship with social network leader Facebook at a developer conference this week  a person familiar with the e-commerce company said on Tuesday.,normal
EBAYL,eBay Inc,20111012,eBay and Facebook unveil e-commerce partnership ,SAN FRANCISCO Facebook executive and eBay Inc board member Katie Mitic unveiled a partnership between the two companies designed to create a new crop of e-commerce applications with social networking features.,topStory
EBAYL,eBay Inc,20111012,UPDATE 1-EBay CEO positive in face of weak economy ,SAN FRANCISCO  Oct 12 EBay Inc Chief Executive John Donahoe gave a positive outlook on Tuesday in the face of slowing economic growth and early signs of a weak holiday shopping season.,normal
