ATVI,Activision Blizzard Inc,20111115,Vivendi sells 35 mln shares of game unit Activision ,PARIS  Nov 15 Vivendi said it had sold 35 million shares of video game maker Activision Blizzard   reducing its stake by roughly 3 percent to 60 percent.,topStory
AMZN,Amazoncom Inc,20111115,Amazon tablet has chips from TI  Samsung  Hynix ,Amazon.com Inc's Kindle Fire tablet computer uses components from Texas Instruments  Samsung  LG and Hynix Semiconductor  according to repair firm iFixit  which cracked the device open on Tuesday.,topStory
AMZN,Amazoncom Inc,20111115,UPDATE 3-Amazon tablet has chips from TI  Samsung  Hynix ,Nov 15 Amazon.com Inc's Kindle Fire tablet computer uses components from Texas Instruments   Samsung   LG and Hynix Semiconductor   according to repair firm iFixit  which cracked the device open on Tuesday.,normal
AMZN,Amazoncom Inc,20111115,Amazon ships Fire early as competition heats up ,Amazon.com Inc began shipping its Kindle Fire on Monday  a day earlier than it expected and extending its lead time over Barnes & Noble Inc's rival Nook tablet. | Video ,normal
ASYS,Amtech Systems Inc,20111115,UPDATE 1-Amtech Systems sees loss in Q1 2012  shares fall ,Nov 15 Solar equipment supplier Amtech Systems Inc posted fourth-quarter results that beat analysts' estimates but forecast a loss in the current quarter citing weak revenue and higher research and development costs.,topStory
ANSS,ANSYS Inc,20111115,Autodesk Q3 beats Street ,Design software maker Autodesk Inc's  third-quarter results beat Wall Street estimates on strong demand across all its geographies.,topStory
ANSS,ANSYS Inc,20111115,UPDATE 1-Autodesk Q3 beats Street ,Nov 15 Design software maker Autodesk Inc's third-quarter results beat Wall Street estimates on strong demand across all its geographies.,normal
AAPL,Apple Inc,20111115,UPDATE 2-Disney CEO Iger on Apple board  Levinson chairman ,* Post-Jobs appointments come amid rising media ambitions,topStory
AAPL,Apple Inc,20111115,Sting's digital scrapbook playing at an iPad near you ,NEW YORK Turning 60 and celebrating 25 years as a solo performer  Sting has done what no other musician has done before -- he made an "appumentary" for the iPad.,normal
AAPL,Apple Inc,20111115,Sting's digital scrapbook playing at an iPad near you ,NEW YORK  Nov 15 Turning 60 and celebrating 25 years as a solo performer  Sting has done what no other musician has done before -- he made an "appumentary" for the iPad.,normal
AAPL,Apple Inc,20111115,UK Blackberry users pass 8 million mark ,LONDON  Nov 15 Research In Motion Ltd (RIM)  the maker of Blackberry smartphones  said its subscriber base in the UK had passed the 8 million milestone as it unveiled a new cloud-based music service in the country,normal
AAPL,Apple Inc,20111115,China Mobile aims to complete next phase 4G trial by June ,HONG KONG  Nov 15 China Mobile  expects to finish the second-phase of its fourth-generation (4G) network trials by June  a senior company executive said on Tuesday  as the world's largest mobile carrier tries to boost its data services to attract high-end users.,normal
