ARAY,Accuray Incorporated,20111116,UPDATE 1-Accuray to cut 5 pct jobs to reduce cost ,Nov 16 Medical device maker Accuray Inc  said it would cut about 5 percent of its workforce  or 51 jobs  to reduce cost following its acquisition of smaller rival TomoTherapy earlier this year.,topStory
ATVI,Activision Blizzard Inc,20111116,French austerity measures knock Vivendi profit target ,PARIS Europe's largest telecoms and entertainment group  Vivendi   was forced to scale back its profit target for the year because of an increase in corporate tax rates by the French government to help reduce the national budget deficit.,topStory
ATVI,Activision Blizzard Inc,20111116,UPDATE 3-French austerity measures knock Vivendi profit target ,* Rise in dividend for 2011 confirmed   (Recasts  adds shares  analysts),normal
AMZN,Amazoncom Inc,20111116,UPDATE 1-Google launches music service ,* Google has partnered with 3 of the 4 major record labels,topStory
AMZN,Amazoncom Inc,20111116,UPDATE 1-Google launches music service ,* Google has partnered with 3 of the 4 major record labels,normal
AAPL,Apple Inc,20111116,UPDATE 1-Google launches music service ,* Google has partnered with 3 of the 4 major record labels,topStory
AAPL,Apple Inc,20111116,UPDATE 1-Google launches music service ,* Google has partnered with 3 of the 4 major record labels,normal
AAPL,Apple Inc,20111116,Steve Jobs documentary film debuts in limited release ,LOS ANGELES (TheWrap.com) - For 70 raw  revealing minutes -- a year before his comeback at Apple -- Steve Jobs was captured on tape ... wry  emotional and bitter.,normal
AAPL,Apple Inc,20111116,Nokia aims to undercut rivals with volume focus ,BARCELONA Nokia plans to undercut its Windows Phone rivals to give its new smartphones a foothold in the market before trying to improve margins  its Chief Executive Stephen Elop said on Wednesday.,normal
AAPL,Apple Inc,20111116,Nokia to launch Windows tablet mid-2012: report ,PARIS Cellphone maker Nokia plans to launch a tablet that runs on Microsoft's Windows operating system in the summer of 2012  the head of Nokia France told Les Echos newspaper in an interview published on Wednesday.,normal
AAPL,Apple Inc,20111116,REFILE-Nokia to launch Windows tablet mid-2012 -report ,PARIS  Nov 16 Cellphone maker Nokia  plans to launch a tablet that runs on Microsoft's  Windows operating system in the summer of 2012  the head of Nokia France told Les Echos newspaper in an interview published on Wednesday.,normal
AAPL,Apple Inc,20111116,Apple  with eye on media  names Disney's Iger to board ,Apple Inc moved to shore up its board after the death of Silicon Valley legend Steve Jobs  appointing Walt Disney Co chief executive Bob Iger to its board to propel its media ambitions.,normal
AAPL,Apple Inc,20111116,UPDATE 3-Disney CEO Iger on Apple board  Levinson chairman ,* Post-Jobs appointments come amid rising media ambitions,normal
AMAT,Applied Materials Inc,20111116,UPDATE 3-Applied Materials warns of "challenging economy" ,SAN FRANCISCO  Nov 16 Chip gear maker Applied Materials Inc gave a cautious quarterly revenue outlook and warned it expects to be affected by a tough economy.,topStory
AMAT,Applied Materials Inc,20111116,Applied Materials warns of "challenging economy" ,SAN FRANCISCO Chip gear maker Applied Materials Inc  gave a cautious quarterly revenue outlook and warned it expects to be affected by a tough economy.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20111116,New Issue-BHP Billiton Fin sells $3 bln notes in 3 parts ,Nov 16 BHP Billiton Finance Ltd on Wednesday sold $3 billion of three-part notes  said IFR  a Thomson Reuters service.      Barclays Capital and J.P. Morgan were the joint bookrunning managers for the sale. BORROWER: BHP BILLITON FINANCE LTD TRANCHE 1 AMT $1 BLN        COUPON 1.125 PCT     MATURITY  11/21/2014 TYPE NTS          ISS PRICE 99.645     FIRST PAY  5/21/2012 MOODY'S A1        YIELD 1.246 PCT      SETTLEMENT 11/21/2011 S&P A-PLUS        SPREAD 85 BPS        PAY FREQ SEMI-AN,topStory
