AMZN,Amazoncom Inc,20111129,Retail stocks up after strong holiday weekend ,After a blockbuster performance over the long Thanksgiving weekend  risk-taking retailers such as Macy's Inc  and Amazon.com Inc  were rewarded with big gains in their shares  while chains that are still tinkering with their strategies reaped smaller rewards. | Video ,topStory
AAPL,Apple Inc,20111129,UPDATE 1-HTC does not violate FlashPoint patent  ITC says ,Nov 29 HTC Corp   the world's No. 5 smartphone maker  does not infringe patented technology owned by FlashPoint Technology in making its smartphones with digital cameras  the International Trade Commission said on Tuesday.,topStory
AAPL,Apple Inc,20111129,RIM to offer security features for iPhone  Android ,TORONTO Research In Motion is introducing a software tool that gives corporate customers the option of linking employees' personal iPhones to the BlackBerry network without compromising security.,normal
AAPL,Apple Inc,20111129,UPDATE 1-RIM to offer security features for iPhone  Androids ,* RIM's Mobile Fusion to work on corporate iPhones  Androids   * New software may protect RIM's corporate base - analysts   * No detail on price until Q1 release; will be "competitive"   * Shares jump 8 pct; still down about 70 pct this year,normal
AAPL,Apple Inc,20111129,Apple beats Android in Britain ,The long-awaited iPhone 4S launch helped Apple Inc take top spot in the British smartphone market in October  overtaking phones using Google Inc's Android platform  data from research firm Kantar Worldpanel ComTech showed on Monday.,normal
BMLP,Bank Of Montreal,20111129,Greater Toronto Airports Auth sells C$400 mln notes ,Nov 29 (Reuters) The Greater Toronto Airports Authority on Tuesday sold C$400 million ($388 million) of 30-year medium-term notes  according to a term sheet seen by Reuters.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20111129,S&P criteria change reduces ratings on big banks ,NEW YORK Standard & Poor's reduced its credit ratings on 15 big banking companies  mostly in the Europe and United States  on Tuesday as the result of a sweeping overhaul of its ratings criteria.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20111129,S&P criteria change reduces ratings on big banks ,NEW YORK  Nov 29 Standard & Poor's reduced its credit ratings on several big banks in the United States and Europe on Tuesday as the result of an overhaul of its ratings criteria.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20111129,New Issue-John Deere Capital sells $1.1 bln notes in 2 parts ,Nov 29 John Deere Capital Corp on Tuesday sold $1.1 billion of notes in two parts  said IFR  a Thomson Reuters service.     Barclays Capital  Deutsche Bank and J.P. Morgan were the joint bookrunning manager for the sale. BORROWER: JOHN DEERE CAPITAL CORP TRANCHE 1 AMT $600 MLN      COUPON 1.25 PCT      MATURITY    12/2/2014 TYPE NTS          ISS PRICE 99.871     FIRST PAY    6/2/2012 MOODY'S A2        YIELD 1.294          SETTLEMENT  12/2/2011 S&P SINGLE-A      SPREAD 90 BPS        P,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20111129,MOVES-Citi Private Bank  Robert W. Baird  Barclays Wealth ,Nov 29 The following financial service industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20111129,TABLE-Companies exposed to carbon price crash ,LONDON  Nov 29    Prices for U.N.-backed carbon credits fell to a new record low below 5 euros last week  as anxiety about economic growth fuelled panic selling.	     The U.N.'s Clean Development Mechanism is already suffering from record credit issuance and uncertainty about its future after emissions-cutting pact the Kyoto Protocol expires in 2012.	     Under the scheme  countries or private investors can finance projects that cut emissions of six greenhouse gases in countries with,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20111129,CORRECTED-New Issue-CADES adds 280 mln euros to 2021 bond ,November 29 (Reuters) -Following are terms and conditions,normal
DLBL,Barclays PLC,20111129,S&P criteria change reduces ratings on big banks ,NEW YORK Standard & Poor's reduced its credit ratings on 15 big banking companies  mostly in the Europe and United States  on Tuesday as the result of a sweeping overhaul of its ratings criteria.,topStory
DLBL,Barclays PLC,20111129,S&P criteria change reduces ratings on big banks ,NEW YORK  Nov 29 Standard & Poor's reduced its credit ratings on several big banks in the United States and Europe on Tuesday as the result of an overhaul of its ratings criteria.,normal
DLBL,Barclays PLC,20111129,New Issue-John Deere Capital sells $1.1 bln notes in 2 parts ,Nov 29 John Deere Capital Corp on Tuesday sold $1.1 billion of notes in two parts  said IFR  a Thomson Reuters service.     Barclays Capital  Deutsche Bank and J.P. Morgan were the joint bookrunning manager for the sale. BORROWER: JOHN DEERE CAPITAL CORP TRANCHE 1 AMT $600 MLN      COUPON 1.25 PCT      MATURITY    12/2/2014 TYPE NTS          ISS PRICE 99.871     FIRST PAY    6/2/2012 MOODY'S A2        YIELD 1.294          SETTLEMENT  12/2/2011 S&P SINGLE-A      SPREAD 90 BPS        P,normal
DLBL,Barclays PLC,20111129,MOVES-Citi Private Bank  Robert W. Baird  Barclays Wealth ,Nov 29 The following financial service industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DLBL,Barclays PLC,20111129,TABLE-Companies exposed to carbon price crash ,LONDON  Nov 29    Prices for U.N.-backed carbon credits fell to a new record low below 5 euros last week  as anxiety about economic growth fuelled panic selling.	     The U.N.'s Clean Development Mechanism is already suffering from record credit issuance and uncertainty about its future after emissions-cutting pact the Kyoto Protocol expires in 2012.	     Under the scheme  countries or private investors can finance projects that cut emissions of six greenhouse gases in countries with,normal
DLBL,Barclays PLC,20111129,CORRECTED-New Issue-CADES adds 280 mln euros to 2021 bond ,November 29 (Reuters) -Following are terms and conditions,normal
DTYL,Barclays PLC,20111129,S&P criteria change reduces ratings on big banks ,NEW YORK Standard & Poor's reduced its credit ratings on 15 big banking companies  mostly in the Europe and United States  on Tuesday as the result of a sweeping overhaul of its ratings criteria.,topStory
DTYL,Barclays PLC,20111129,S&P criteria change reduces ratings on big banks ,NEW YORK  Nov 29 Standard & Poor's reduced its credit ratings on several big banks in the United States and Europe on Tuesday as the result of an overhaul of its ratings criteria.,normal
DTYL,Barclays PLC,20111129,New Issue-John Deere Capital sells $1.1 bln notes in 2 parts ,Nov 29 John Deere Capital Corp on Tuesday sold $1.1 billion of notes in two parts  said IFR  a Thomson Reuters service.     Barclays Capital  Deutsche Bank and J.P. Morgan were the joint bookrunning manager for the sale. BORROWER: JOHN DEERE CAPITAL CORP TRANCHE 1 AMT $600 MLN      COUPON 1.25 PCT      MATURITY    12/2/2014 TYPE NTS          ISS PRICE 99.871     FIRST PAY    6/2/2012 MOODY'S A2        YIELD 1.294          SETTLEMENT  12/2/2011 S&P SINGLE-A      SPREAD 90 BPS        P,normal
