ACHC,Acadia Healthcare Company Inc,20120904,CORRECTED-Acadia buys residential treatment facility in Illinois for $90 mln ,(Corrects paragraph two to say Timberline had a revenue of about $33 mln  not earnings),topStory
AMZN,Amazoncom Inc,20120904,Amazon and Epix strike movie deal; Netflix shares drop ,Amazon Inc and Hollywood studio partnership Epix struck a three-year deal that adds about 3 000 movies to Amazon's video streaming library  ramping up competition with the likes of Netflix Inc and Apple Inc.,topStory
AAPL,Apple Inc,20120904,S.Korea-Market Factors to watch Sept 5 ,SEOUL  Sept 5 Following is a list of events in South Korea as well as news stories and press reports that may influence financial markets.       TOP STORIES >Apple sets Sept 12 event  latest iPhone expected    >China warns US not to take sides in sea disputes    >Hyundai Motor union OKs wage deal                   >Clinton faces China balancing act amid tensions        MARKETS >S.Korea won falls on importers; bonds down          >KOSPI slip in mixed trade as carmake,topStory
AAPL,Apple Inc,20120904,No proof hackers stole Apple data from laptop: FBI ,NEW YORK The FBI said on Tuesday there was "no evidence" to support claims that hacking group Anonymous infiltrated an FBI agent's laptop and lifted a file with identification numbers for more than 12 million Apple Inc products.,normal
AAPL,Apple Inc,20120904,UPDATE 1-No proof hackers stole Apple data from laptop - FBI ,NEW YORK  Sept 4 The FBI said on Tuesday there was "no evidence" to support claims that hacking group Anonymous infiltrated an FBI agent's laptop and lifted a file with identification numbers for more than 12 million Apple Inc products.,normal
AAPL,Apple Inc,20120904,Amazon and Epix strike movie deal; Netflix shares drop ,Amazon Inc and Hollywood studio partnership Epix struck a three-year deal that adds about 3 000 movies to Amazon's video streaming library  ramping up competition with the likes of Netflix Inc and Apple Inc.,normal
AAPL,Apple Inc,20120904,No proof hackers stole Apple data from agent's laptop -FBI ,NEW YORK  Sept 4 The FBI on Tuesday said there was "no evidence" to support claims that hacking group Anonymous had infiltrated an FBI agent's laptop and lifted a file with identification numbers for more than 12 million Apple products.,normal
AAPL,Apple Inc,20120904,US STOCKS SNAPSHOT - S&P 500 ends near flat  but Apple supports ,NEW YORK  Sept 4 U.S. stocks closed flat on Tuesday as investors continued to await clarity on European Central Bank plans to shore up heavily indebted countries  but the market ended off its lows on strength in Apple Inc.,normal
AAPL,Apple Inc,20120904,US STOCKS SNAPSHOT -Nasdaq turns positive as Apple gains ,NEW YORK  Sept 4 U.S. stocks cut losses and the Nasdaq turned positive on Tuesday as Apple Inc hit a session high after an announcement that it would hold a press event next week sparked speculation it was about to unveil an updated version of its smartphone.,normal
AAPL,Apple Inc,20120904,BRIEF-Apple shares near session high ,NEW YORK  Sept 4 Apple Inc :  * Shares near session high following announcement of September 12 media event,normal
AAPL,Apple Inc,20120904,Apple sets September 12 event  latest iPhone expected ,SAN FRANCISCO Apple Inc distributed invitations to an event in San Francisco on September 12  setting the stage for what is widely expected to be the release of the iPhone 5.,normal
AAPL,Apple Inc,20120904,UPDATE 1-Apple sets Sept 12 event  latest iPhone expected ,SAN FRANCISCO  Sept 4 Apple Inc  distributed invitations to an event in San Francisco on Sept. 12  setting the stage for what is widely expected to be the release of the iPhone 5.,normal
BIDU,Baidu Inc,20120904,ADR REPORT-Biadu stands out in weak market ,NEW YORK  Sept 4 Baidu Inc was a standout in an otherwise lackluster market for overseas shares on Tuesday after China's largest search engine said it will invest more than $1.6 billion to set up a cloud computing center.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20120904,MOVES-Societe Generale  Canaccord Financial  RBS  Barclays ,Sept 4 The following financial services industry appointments and departures were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20120904,Exclusive: Libor probe claims Barclays executive and a trader ,NEW YORK The fallout from an investigation into the attempted manipulation of global benchmark interest rates has again rocked Barclays Plc  as the bank recently ousted a top executive and a trader in New York for their roles in the scandal  according to regulatory filings obtained on Tuesday.,normal
DLBL,Barclays PLC,20120904,MOVES-Societe Generale  Canaccord Financial  RBS  Barclays ,Sept 4 The following financial services industry appointments and departures were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
DLBL,Barclays PLC,20120904,Exclusive: Libor probe claims Barclays executive and a trader ,NEW YORK The fallout from an investigation into the attempted manipulation of global benchmark interest rates has again rocked Barclays Plc  as the bank recently ousted a top executive and a trader in New York for their roles in the scandal  according to regulatory filings obtained on Tuesday.,normal
DTYL,Barclays PLC,20120904,MOVES-Societe Generale  Canaccord Financial  RBS  Barclays ,Sept 4 The following financial services industry appointments and departures were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
DTYL,Barclays PLC,20120904,Exclusive: Libor probe claims Barclays executive and a trader ,NEW YORK The fallout from an investigation into the attempted manipulation of global benchmark interest rates has again rocked Barclays Plc  as the bank recently ousted a top executive and a trader in New York for their roles in the scandal  according to regulatory filings obtained on Tuesday.,normal
CETV,Central European Media Enterprises Ltd,20120904,Broadcaster CME to place 50 mln euros in notes ,PRAGUE  Sept 4 Central European Media Enterprises (CME)  will privately place 50 million euros in 11.625 percent coupon senior notes due in 2016  the broadcaster said on Tuesday.,topStory
CME,CME Group Inc,20120904,ADVISORY-Alert on CME Group withdrawn ,Sept 4 Please be advised that the alert "CME announces launch of an offering of 11.625% senior notes due 2016" is withdrawn. It was from Central European Media Enterprises Ltd and not from CME Group Inc. Please find the correct alert on,topStory
CME,CME Group Inc,20120904,ADVISORY-Alert on CME Group withdrawn ,Sept 4 Please be advised that the alert "CME announces launch of an offering of 11.625% senior notes due 2016" is withdrawn. It was from Central European Media Enterprises Ltd and not from CME Group Inc. Please find the correct alert on,normal
EQIX,Equinix Inc,20120904,UPDATE 1-Equinix to sell 16 data centers for $75 mln ,Sept 4 Equinix Inc said it plans to sell 16 data centers to an investment group for about $75 million  exiting nine markets in the United States.,topStory
EQIX,Equinix Inc,20120904,Equinix to sell 16 data centers for $75 mln ,Sept 4 Equinix Inc said it plans to sell 16 data centers in the United States to an investment group for about $75 million.,normal
FB,Facebook Inc,20120904,Facebook says no secondary offering to cover tax bill ,SAN FRANCISCO Facebook Inc promised not to sell stock to cover a nearly $2 billion tax bill and said it will allow employees to cash in their stock weeks ahead of schedule  moving to soothe nervous investors and its own staff as its share price spirals downward.,topStory
FB,Facebook Inc,20120904,UPDATE 1-Facebook says no secondary offering to cover tax bill ,SAN FRANCISCO  Sept 4 Facebook Inc  promised not to sell stock to cover a nearly $2 billion tax bill and said it will allow employees to cash in their stock weeks ahead of schedule  moving to soothe nervous investors and its own staff as its share price spirals downward.,normal
FB,Facebook Inc,20120904,Facebook to use cash  credit to meet stock compensation tax bill ,SAN FRANCISCO  Sept 4 Facebook Inc will not conduct a secondary share offering to cover a nearly $2 billion tax bill for its employees' stock compensation and has moved up the date on which employees can sell shares  the company said in a regulatory filing on Tuesday.,normal
FB,Facebook Inc,20120904,BRIEF-Facebook shares hit new record low ,NEW YORK  Sept 4 Facebook Inc :  * Shares close down 1.8 percent to hit new closing low at $17.73,normal
FB,Facebook Inc,20120904,UPDATE 1-EU to clear UK mobile operators' e-wallet plan-source ,* EU Commission due to decide on joint venture by Sept. 19,normal
FNSR,Finisar Corporation,20120904,Finisar first-quarter misses Wall Street view  sees weaker second-quarter profit ,Finisar Corp reported first-quarter results that fell short of Wall Street expectations as the optical communication components maker continued to grapple with slowing demand in Europe and China  and forecast a weak second-quarter profit.,topStory
FNSR,Finisar Corporation,20120904,Finisar 1st-qtr misses Wall Street view  sees weaker 2nd-qtr profit ,Sept 4 Finisar Corp reported first-quarter results that fell short of Wall Street expectations as the optical communication components maker continued to grapple with slowing demand in Europe and China  and forecast a weak second-quarter profit.,normal
FNSR,Finisar Corporation,20120904,BRIEF-Finisar shares down 1.1 pct after the bell following results ,NEW YORK  Sept 4 Finisar Corp :  * Shares were down 1.1 percent after the bell following the release of its results.,normal
FRAN,Francesca&#39;s Holdings Corporation,20120904,Francesca's CEO to retire  shares fall ,Francesca's Holdings Corp's  Chief Executive John De Meritt  who helped the women's specialty retailer better understand fast-changing fashion trends  will retire at the end of this year.,topStory
FRAN,Francesca&#39;s Holdings Corporation,20120904,Francesca's CEO to retire  shares fall ,Sept 4 Francesca's Holdings Corp's  Chief Executive John De Meritt  who helped the women's specialty retailer better understand fast-changing fashion trends  will retire at the end of this year.,normal
FRAN,Francesca&#39;s Holdings Corporation,20120904,BRIEF-Francesca's shares down 4.6 pct after the bell following results ,NEW YORK  Sept 4 Francesca's Holdings Corp :  * Shares were down 4.6 percent after the bell following the release of its results.,normal
GRMN,Garmin Ltd,20120904,Satnav battle heats up as drivers look for new gadgets ,BERLIN Garmin Ltd and TomTom NV are gearing up for battle as the world's two biggest navigation companies plan to lure customers back with new products offering extra features.,topStory
GRMN,Garmin Ltd,20120904,Satnav battle heats up as drivers look for new gadgets ,* Competition from smartphone  free navigation could ease,normal
GRPN,Groupon Inc,20120904,Starbucks to offer deal through LivingSocial ,Starbucks Corp  the world's largest coffee chain  is offering consumers a deal this week through daily-deal company LivingSocial  a vote of confidence in Groupon Inc's main rival.,topStory
GRPN,Groupon Inc,20120904,UPDATE 1-Starbucks to offer deal through LivingSocial ,* Starbucks  LivingSocial plan to sell at least 1 mln vouchers,normal
GRPN,Groupon Inc,20120904,Starbucks to offer deal through LivingSocial ,Sept 4 Starbucks Corp  the world's largest coffee chain  is offering consumers a deal this week through daily-deal company LivingSocial  a vote of confidence in Groupon Inc's main rival.,normal
IPXL,Impax Laboratories Inc,20120904,Impax settles lawsuit with Sanofi's Genzyme ,Generic drug company Impax Laboratories Inc said it agreed to settle a lawsuit with French drugmaker Sanofi SA regarding the production and sale of the generic versions of two kidney disease drugs.,topStory
IPXL,Impax Laboratories Inc,20120904,Impax settles lawsuit with Sanofi's Genzyme ,Sept 4 Generic drug company Impax Laboratories Inc said it agreed to settle a lawsuit with French drugmaker Sanofi SA regarding the production and sale of the generic versions of two kidney disease drugs.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20120904,MOVES-Societe Generale  Canaccord Financial  RBS  Barclays ,Sept 4 The following financial services industry appointments and departures were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20120904,Exclusive: Libor probe claims Barclays executive and a trader ,NEW YORK The fallout from an investigation into the attempted manipulation of global benchmark interest rates has again rocked Barclays Plc  as the bank recently ousted a top executive and a trader in New York for their roles in the scandal  according to regulatory filings obtained on Tuesday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20120904,MOVES-Societe Generale  Canaccord Financial  RBS  Barclays ,Sept 4 The following financial services industry appointments and departures were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20120904,Exclusive: Libor probe claims Barclays executive and a trader ,NEW YORK The fallout from an investigation into the attempted manipulation of global benchmark interest rates has again rocked Barclays Plc  as the bank recently ousted a top executive and a trader in New York for their roles in the scandal  according to regulatory filings obtained on Tuesday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20120904,MOVES-Societe Generale  Canaccord Financial  RBS  Barclays ,Sept 4 The following financial services industry appointments and departures were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20120904,Exclusive: Libor probe claims Barclays executive and a trader ,NEW YORK The fallout from an investigation into the attempted manipulation of global benchmark interest rates has again rocked Barclays Plc  as the bank recently ousted a top executive and a trader in New York for their roles in the scandal  according to regulatory filings obtained on Tuesday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20120904,MOVES-Societe Generale  Canaccord Financial  RBS  Barclays ,Sept 4 The following financial services industry appointments and departures were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20120904,Exclusive: Libor probe claims Barclays executive and a trader ,NEW YORK The fallout from an investigation into the attempted manipulation of global benchmark interest rates has again rocked Barclays Plc  as the bank recently ousted a top executive and a trader in New York for their roles in the scandal  according to regulatory filings obtained on Tuesday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20120904,MOVES-Societe Generale  Canaccord Financial  RBS  Barclays ,Sept 4 The following financial services industry appointments and departures were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20120904,Exclusive: Libor probe claims Barclays executive and a trader ,NEW YORK The fallout from an investigation into the attempted manipulation of global benchmark interest rates has again rocked Barclays Plc  as the bank recently ousted a top executive and a trader in New York for their roles in the scandal  according to regulatory filings obtained on Tuesday.,normal
FLAT,iPath US Treasury Flattener ETN,20120904,MOVES-Societe Generale  Canaccord Financial  RBS  Barclays ,Sept 4 The following financial services industry appointments and departures were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
FLAT,iPath US Treasury Flattener ETN,20120904,Exclusive: Libor probe claims Barclays executive and a trader ,NEW YORK The fallout from an investigation into the attempted manipulation of global benchmark interest rates has again rocked Barclays Plc  as the bank recently ousted a top executive and a trader in New York for their roles in the scandal  according to regulatory filings obtained on Tuesday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20120904,MOVES-Societe Generale  Canaccord Financial  RBS  Barclays ,Sept 4 The following financial services industry appointments and departures were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20120904,Exclusive: Libor probe claims Barclays executive and a trader ,NEW YORK The fallout from an investigation into the attempted manipulation of global benchmark interest rates has again rocked Barclays Plc  as the bank recently ousted a top executive and a trader in New York for their roles in the scandal  according to regulatory filings obtained on Tuesday.,normal
STPP,iPath US Treasury Steepener ETN,20120904,MOVES-Societe Generale  Canaccord Financial  RBS  Barclays ,Sept 4 The following financial services industry appointments and departures were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
STPP,iPath US Treasury Steepener ETN,20120904,Exclusive: Libor probe claims Barclays executive and a trader ,NEW YORK The fallout from an investigation into the attempted manipulation of global benchmark interest rates has again rocked Barclays Plc  as the bank recently ousted a top executive and a trader in New York for their roles in the scandal  according to regulatory filings obtained on Tuesday.,normal
IPGP,IPG Photonics Corporation,20120904,IPG Photonics to buy precision laser tool maker ,Specialized laser maker IPG Photonics Corp  agreed to buy privately owned J.P. Sercel Associates for an undisclosed amount  adding precision laser products to its portfolio.,topStory
IPGP,IPG Photonics Corporation,20120904,IPG Photonics to buy precision laser tool maker ,Sept 4 Specialized laser maker IPG Photonics Corp agreed to buy privately owned J.P. Sercel Associates for an undisclosed amount  adding precision laser products to its portfolio.,normal
NFLX,Netflix Inc,20120904,Amazon and Epix strike movie deal; Netflix shares drop ,Amazon Inc and Hollywood studio partnership Epix struck a three-year deal that adds about 3 000 movies to Amazon's video streaming library  ramping up competition with the likes of Netflix Inc and Apple Inc.,topStory
NFLX,Netflix Inc,20120904,UPDATE 5-Amazon and Epix strike movie deal; Netflix shares drop ,* Deal adds about 3 000 titles to Amazon streaming video library,normal
NFLX,Netflix Inc,20120904,CORRECTED-UPDATE 2-Amazon and Epix strike movie deal ,(Corrects deal's mpact on Amazon video library in 1st paragraph; deal adds about 3 000 movies  does not double the library),normal
NWS,News Corporation,20120904,REFILE-UPDATE 2-News Corp nominates former Colombian president to board ,* Also nominates former U.S. Secretary of Labor Elaine L. Chao,topStory
NWS,News Corporation,20120904,News Corp nominates former Colombian president to board ,Rupert Murdoch's News Corp announced it nominated Álvaro Uribe  former president of Colombia  and Elaine L. Chao  former U.S. secretary of labor  to its board.,normal
NWS,News Corporation,20120904,News Corp nominates former Colombian President to board ,Sept 4 Media-conglomerate News Corporation  said it nominated Alvaro Uribe  former President of Colombia  and Elaine Chao  former U.S. secretary of labor  to its board.,normal
NWSA,News Corporation,20120904,REFILE-UPDATE 2-News Corp nominates former Colombian president to board ,* Also nominates former U.S. Secretary of Labor Elaine L. Chao,topStory
NWSA,News Corporation,20120904,News Corp nominates former Colombian president to board ,Rupert Murdoch's News Corp announced it nominated Álvaro Uribe  former president of Colombia  and Elaine L. Chao  former U.S. secretary of labor  to its board.,normal
NWSA,News Corporation,20120904,News Corp nominates former Colombian President to board ,Sept 4 Media-conglomerate News Corporation  said it nominated Alvaro Uribe  former President of Colombia  and Elaine Chao  former U.S. secretary of labor  to its board.,normal
RYAAY,Ryanair Holdings plc,20120904,Ryanair confident on Aer Lingus bid package ,LONDON Ryanair is confident it can allay competition concerns about its latest bid for rival Aer Lingus  its chief executive said on Tuesday  adding the budget airline was also seeking no more than a 25 percent stake in Stansted Airport.,topStory
RYAAY,Ryanair Holdings plc,20120904,Ryanair confident on Aer Lingus bid package ,LONDON Ryanair  is confident it can allay competition concerns about its latest bid for rival Aer Lingus   its chief executive said on Tuesday  adding the budget airline was also seeking no more than a 25 percent stake in Stansted Airport.,normal
RYAAY,Ryanair Holdings plc,20120904,UPDATE 1-Ryanair confident on Aer Lingus bid package ,LONDON  Sept 4 Ryanair is confident it can allay competition concerns about its latest bid for rival Aer Lingus  its chief executive said on Tuesday  adding the budget airline was also seeking no more than a 25 percent stake in Stansted Airport.,normal
RYAAY,Ryanair Holdings plc,20120904,BRIEF-Ryanair says confident on remedies package for Aer Lingus bid ,DUBLIN  Sept 4 Ryanair Holdings PLC :  * Confident its remedies package will satisfy regulators probing Aer Lingus,normal
SBUX,Starbucks Corporation,20120904,Starbucks to offer deal through LivingSocial ,Starbucks Corp  the world's largest coffee chain  is offering consumers a deal this week through daily-deal company LivingSocial  a vote of confidence in Groupon Inc's main rival.,topStory
SBUX,Starbucks Corporation,20120904,UPDATE 1-Starbucks to offer deal through LivingSocial ,* Starbucks  LivingSocial plan to sell at least 1 mln vouchers,normal
SBUX,Starbucks Corporation,20120904,Starbucks to offer deal through LivingSocial ,Sept 4 Starbucks Corp  the world's largest coffee chain  is offering consumers a deal this week through daily-deal company LivingSocial  a vote of confidence in Groupon Inc's main rival.,normal
CG,The Carlyle Group LP,20120904,RLPC-Carlyle seeks payout with RAC debt deal-bankers ,LONDON  Sept 4 Private equity firm Carlyle Group wants to pay itself a dividend from its UK roadside rescue business RAC a year after buying it  as the company's performance improves on the back of cost cuts  banking sources said on Tuesday.,topStory
TCGP,The Carlyle Group LP,20120904,RLPC-Carlyle seeks payout with RAC debt deal-bankers ,LONDON  Sept 4 Private equity firm Carlyle Group wants to pay itself a dividend from its UK roadside rescue business RAC a year after buying it  as the company's performance improves on the back of cost cuts  banking sources said on Tuesday.,topStory
TIVO,TiVo Corporation,20120904,JP Morgan raises TiVo to overweight ,Sept 4 JP Morgan Securities raised TiVo Inc  to "overweight " citing strong subscriber growth and expectations of a favorable outcome for its patent dispute with Verizon Communications Inc next month.,topStory
TUES,Tuesday Morning Corp,20120904,Closeout retailer Tuesday Morning names new CEO ,Sept 4 Home decor retailer Tuesday Morning Corp  appointed Brady Churches as its chief executive  a month after former CEO Kathleen Mason filed a discrimination complaint after she was fired.,topStory
VRNA,Verona Pharma plc,20120904,BRIEF-Verona Pharma reports positive rpl554 data in COPD ,LONDON  Sept 4 Verona Pharma PLC :  * Reports bronchodilator data with rpl554 in copd patients at the 2012 European,topStory
VOD,Vodafone Group Plc,20120904,UPDATE 1-EU to clear UK mobile operators' e-wallet plan-source ,* EU Commission due to decide on joint venture by Sept. 19,topStory
VOD,Vodafone Group Plc,20120904,EU to clear UK mobile operators' e-wallet plan -source ,BRUSSELS  Sept 4 European Union regulators will approve plans by British mobile operators Vodafone  O2 and Everything Everywhere to set up a joint venture to allow users to make payments and purchases with their phones  a person following the deal said on Tuesday.,normal
MMM,3M Company,20120904,3M drops office products deal after U.S. antitrust objection ,WASHINGTON 3M Co is abandoning its plan to acquire Avery Dennison Corp's office products groups after antitrust authorities at the U.S. Justice Department threatened a civil lawsuit to block the deal  the department said on Tuesday.,topStory
MMM,3M Company,20120904,UPDATE 1-3M drops office products deal after US antitrust objection ,WASHINGTON  Sept 4 3M Co is abandoning its plan to acquire Avery Dennison Corp's office products groups after antitrust authorities at the U.S. Justice Department threatened a civil lawsuit to block the deal  the department said on Tuesday.,normal
