ADTN,ADTRAN Inc,20121003,Adtran sees fourth-quarter sales down from third quarter ,Network gear maker Adtran Inc  said typical seasonality and a weak spending environment may lead to a fall in fourth-quarter revenue  sending its shares down 8 percent to their lowest in three and a half years.,topStory
AAPL,Apple Inc,20121003,KDDI finalising iPad sale deal in Japan with Apple-Nikkei ,TOKYO  Oct 4 KDDI Corp is in the final stages of talks with Apple Inc to sell a new version of its iPad expected for release in Japan next month  in a move that would end rival Softbank Corp's monopoly on cellular-enabled iPads  the Nikkei business daily reported.,topStory
AAPL,Apple Inc,20121003,US STOCKS-Futures little changed ahead of data ,NEW YORK  Oct 3 U.S. stock index futures were little changed Wednesday as expectations that Spain will request a bailout offset concern over a slowing Chinese economy  with modest volume indicating a pause ahead of the release of key U.S. data.,normal
AAPL,Apple Inc,20121003,Samsung allowed to sell Galaxy Tab in U.S. as court lifts ban ,A U.S. court removed a temporary sales ban against Samsung Electronics Co Ltd's Galaxy Tab 10.1 won by Apple Inc in a patent dispute  allowing the South Korean company to sell the product in the United States.,normal
AAPL,Apple Inc,20121003,Samsung  battling Apple verdict  cites foreman's Seagate lawsuit ,SAN FRANCISCO Samsung Electronics Co Ltd said a major patent verdict in favor of Apple Inc should be overturned because the jury foreman did not disclose that he once was in litigation with Seagate Technology PLC  a company that counts Samsung as a major investor.,normal
AAPL,Apple Inc,20121003,Samsung  battling Apple verdict  cites foreman's Seagate lawsuit ,SAN FRANCISCO Samsung Electronics Co Ltd said a major patent verdict in favor of Apple Inc should be overturned because the jury foreman did not disclose that he once was in litigation with Seagate Technology PLC  a company that counts Samsung as a major investor.,normal
AAPL,Apple Inc,20121003,Samsung  battling Apple verdict  cites foreman's Seagate lawsuit ,SAN FRANCISCO  Oct 2 Samsung Electronics Co Ltd  said a major patent verdict in favor of Apple Inc  should be overturned because the jury foreman did not disclose that he once was in litigation with Seagate Technology PLC  a company that counts Samsung as a major investor.,normal
AMAT,Applied Materials Inc,20121003,UPDATE 2-Chip gear maker Applied Materials to cut jobs ,Oct 3 Applied Materials Inc said it would cut its workforce by 6 to 9 percent to reduce costs as it struggles with a slowdown in its chip manufacturing equipment business and troubles at its solar and display groups.,topStory
AMAT,Applied Materials Inc,20121003,Chip gear maker Applied Materials to cut jobs ,Applied Materials Inc said it would cut its workforce by between 6 percent and 9 percent to reduce costs as it struggles with a slowdown in its chip manufacturing equipment business and troubles at its solar and display groups.,normal
AMAT,Applied Materials Inc,20121003,Chip gear maker Applied Materials to cut jobs ,Oct 3 Chip gear maker Applied Materials Inc  said it would implement certain workforce reduction programs  which will affect about 900 to 1300 jobs  or 6 to 9 percent  of its global workforce.,normal
ADP,Automatic Data Processing Inc,20121003,U.S. companies add jobs in September  service sector expands ,NEW YORK U.S. companies added more jobs than expected in September  while activity in the vast services sector picked up  suggesting the economy remained on track for modest growth. | Video ,topStory
ADP,Automatic Data Processing Inc,20121003,U.S. companies add 162 000 jobs in September ,NEW YORK U.S. companies added 162 000 jobs in September  more than economists expected but still pointing to slow improvement in the labor market  data from a payrolls processor showed on Wednesday.,normal
ADP,Automatic Data Processing Inc,20121003,TREASURIES-Bonds slightly lower after ADP  before ISM ,* ADP payrolls report slightly stronger than forecast     * ISM report on service sector due at 1400 GMT     * Focus on employment component of ISM report     * Market mainly waiting for U.S. payrolls data due Friday       By Ellen Freilich     NEW YORK  Oct 3 U.S. Treasuries prices slipped on Wednesday after a stronger-than-forecast labor market report and before a widely followed report on the nation's service sector.     Payrolls processor ADP's report that U.S. private employers ,normal
ADP,Automatic Data Processing Inc,20121003,WRAPUP 1-U.S. companies add 162 000 jobs in Sept ,NEW YORK  Oct 3 U.S. companies added 162 000 jobs in September  more than economists expected but still pointing to slow improvement in the labor market  data from a payrolls processor showed on Wednesday.,normal
ADP,Automatic Data Processing Inc,20121003,UPDATE 1-U.S. private sector adds 162 000 jobs in Sept - ADP ,NEW YORK  Oct 3 U.S. companies added 162 000 jobs in September  more than economists expected but still pointing to slow improvement in the labor market  data from a payrolls processor showed on Wednesday.,normal
ADP,Automatic Data Processing Inc,20121003,Dollar hits day's peak vs yen after US ADP jobs report ,NEW YORK  Oct 3 The dollar hit session highs against the yen on Wednesday after data showed the U.S. economy created more private-sector jobs than expected last month.,normal
BIOL,Biolase Inc,20121003,Biolase shares soar as dental laser device gets approval ,Biolase Inc  said health regulators in Europe and the United States granted approval for its laser device Epic 10 for use in soft tissue dental surgery and other procedures  sending its shares up as much as 34 percent.,topStory
CTXS,Citrix Systems Inc,20121003,Citrix  Palo Alto Networks strike strategic partnership ,Business software maker Citrix Systems and security software company Palo Alto Networks have entered a strategic partnership to offer joint application delivery and security products.,topStory
CTXS,Citrix Systems Inc,20121003,Citrix  Palo Alto Networks strike strategic partnership ,Oct 3 Business software maker Citrix Systems  and security software company Palo Alto Networks  have entered a strategic partnership to offer joint application delivery and security products.,normal
CME,CME Group Inc,20121003,UPDATE 1-CME  ICE drop position limit plans after ruling against CFTC ,Oct 3 Exchange operators CME Group and ICE Futures U.S. said on Wednesday they would stick with their existing position limits regimes after a court threw out the U.S. Commodity Futures Trading Commission's (CFTC) new rule to curb commodity market speculation.,topStory
CME,CME Group Inc,20121003,CME sticks with its own position limits after ruling against CFTC ,Exchange operator CME Group said on Wednesday it will maintain its existing position limits regime after the U.S. Commodity Futures Trading Commission's (CFTC) new rule to curb commodity market speculation was thrown out by a court.,normal
CME,CME Group Inc,20121003,CME sticks with its own position limits after ruling against CFTC ,Oct 3 Exchange operator CME Group said on Wednesday it will maintain its existing position limits regime after the U.S. Commodity Futures Trading Commission's (CFTC) new rule to curb commodity market speculation was thrown out by a court.,normal
CRWS,Crown Crafts Inc,20121003,TEXT-Fitch rates Crown Castle debt offering 'BB-' ,Oct 3 - Fitch Ratings has assigned a 'BB-' rating to Crown Castle International Corp.'s (CCIC) $1.65 billion unsecured senior notes due 2023. The company intends to use the net proceeds from the notes offering  together with cash on hand and funds from its revolving credit facility  to finance its towers acquisition from T-Mobile USA  Inc. The Rating Outlook is Stable.  Crown's ratings are supported by strong recurring cash flows generated from its leasing operations  a robust EBITDA margin that,topStory
DRYS,DryShips Inc,20121003,DryShips COO steps down ,Oct 3 Greece-based drybulk shipper DryShips Inc  said its chief operating officer Pankaj Khanna stepped down to pursue other interests.,topStory
