MDRX,Allscripts Healthcare Solutions Inc,20121008,Allscripts gets first offers from PE group: report ,Allscripts Healthcare Solutions Inc received offers from a private-equity consortium including Blackstone Group LP and Carlyle Group LP  Bloomberg reported  sending the healthcare company's shares up 6 percent in premarket trade.,topStory
ANGO,AngioDynamics Inc,20121008,BRIEF-AngioDynamics shares down 4.8 pct after the bell following results ,NEW YORK  Oct 8 AngioDynamics Inc :  * Shares were down 4.8 percent after the bell following the release of its results.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20121008,New Issue- Enel prices dual tranche deal ,Underlying govt bond    Over Mid-swaps  equivalent to 316.2bp,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20121008,New Issue- Intesa Sanpaolo SPA prices 1.25 bln euro 2019 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 357.9bp,normal
DLBL,Barclays PLC,20121008,New Issue- Enel prices dual tranche deal ,Underlying govt bond    Over Mid-swaps  equivalent to 316.2bp,topStory
DLBL,Barclays PLC,20121008,New Issue- Intesa Sanpaolo SPA prices 1.25 bln euro 2019 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 357.9bp,normal
DTYL,Barclays PLC,20121008,New Issue- Enel prices dual tranche deal ,Underlying govt bond    Over Mid-swaps  equivalent to 316.2bp,topStory
DTYL,Barclays PLC,20121008,New Issue- Intesa Sanpaolo SPA prices 1.25 bln euro 2019 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 357.9bp,normal
CSCO,Cisco Systems Inc,20121008,Exclusive: Cisco cuts ties to China's ZTE after Iran probe ,LONDON Cisco Systems Inc. has ended a longstanding sales partnership with ZTE Corp after an internal investigation into allegations that the Chinese telecommunications equipment maker sold Cisco networking gear to Iran. | Video ,topStory
CSCO,Cisco Systems Inc,20121008,Polycom seeks edge over rivals with new videoconferencing product ,Oct 8 Polycom  which competes with Cisco in videoconferencing  hopes to move ahead of the pack with its new cloud-based product in a market it says will be worth $12 billion by 2015.,normal
CSCO,Cisco Systems Inc,20121008,BRIEF-Inmarsat - Inmarsat & Cisco agree satellite services alliance ,LONDON  Oct 8 Inmarsat PLC :  * Inmarsat & Cisco agree satellite services alliance,normal
CBRL,Cracker Barrel Old Country Store Inc,20121008,Cracker Barrel reviewing Biglari claims on chairman experience ,Oct 8 A Cracker Barrel Old Country Store Inc  spokesman said the company is reviewing a letter sent by its largest shareholder  Biglari Holdings Inc  that questioned its incoming chairman's professional experience.,topStory
CTIC,CTI BioPharma Corp,20121008,BRIEF-Cell Therapeutics shares up in premarket trade ,NEW YORK  Oct 8 Cell Therapeutics Inc :  * Shares up 6.4 percent in premarket trade,topStory
DISH,DISH Network Corporation,20121008,Gannett and Dish reach contract deal  avoid blackout ,Gannett Co Inc said it reached a deal with Charles Ergen's Dish Network Corp on Monday avoiding a blackout that would have prevented some Dish customers in the United States from seeing content broadcast by networks ABC  NBC and CBS.,topStory
DISH,DISH Network Corporation,20121008,UPDATE 2-Gannett and Dish reach contract deal  avoid blackout ,Oct 8 Gannett Co Inc said it reached a deal with Charles Ergen's Dish Network Corp on Monday avoiding a blackout that would have prevented some Dish customers in the United States from seeing content broadcast by networks ABC  NBC and CBS.,normal
DISH,DISH Network Corporation,20121008,Gannett extends negotiation deadline with Dish ,Gannett Co Inc and Dish Network Corp have agreed to extend their negotiation deadline by several hours to reach a deal over fees that involve the satellite TV provider's controversial digital video recorder.,normal
DISH,DISH Network Corporation,20121008,Gannett extends negotiation deadline with Dish ,Oct 8 Gannett Co Inc and Dish Network Corp have agreed to extend their negotiation deadline by several hours to reach a deal over fees that involve the satellite TV provider's controversial digital video recorder.,normal
FB,Facebook Inc,20121008,Facebook partners with retailers to test "want" button ,SAN FRANCISCO Facebook Inc is testing a feature that lets users of the social network create "wishlists" of home furnishings  clothing and other retail products  laying the groundwork for what some believe could be an eventual push into e-commerce.,topStory
FB,Facebook Inc,20121008,Facebook pitches new $20 million "Sponsored Stories" settlement ,Facebook Inc has proposed a revised $20 million settlement in a class action lawsuit accusing it of violating the rights of users through its "Sponsored Stories" advertising feature after a U.S. judge rejected an earlier accord.,normal
FB,Facebook Inc,20121008,Facebook partners with retailers to test "want" button ,SAN FRANCISCO Facebook Inc is testing a feature that lets users of the social network create "wishlists" of home furnishings  clothing and other retail products  laying the groundwork for what some believe could be an eventual push into e-commerce.,normal
FB,Facebook Inc,20121008,Facebook partners with retailers to test "want" button ,SAN FRANCISCO  Oct 8 Facebook Inc is testing a feature that lets users of the social network create "wishlists" of home furnishings  clothing and other retail products  laying the groundwork for what some believe could be an eventual push into e-commerce.,normal
FB,Facebook Inc,20121008,Facebook pitches new $20 million 'Sponsored Stories' settlement ,Oct 8 Facebook Inc has proposed a revised $20 million settlement in a class action lawsuit accusing it of violating the rights of users through its "Sponsored Stories" advertising feature after a U.S. judge rejected an earlier accord.,normal
IEP,Icahn Enterprises LP,20121008,UPDATE 1-Navistar names new board members  avoids proxy fight ,* Investors agree not to stage proxy fight at 2013 meeting,topStory
IPXL,Impax Laboratories Inc,20121008,Generic antidepressant not equivalent to original Wellbutrin: FDA ,The U.S. Food and Drug Administration said new data indicate that the generic version of the popular antidepressant Wellbutrin is not equivalent to the original drug manufactured by GlaxoSmithKline.,topStory
IOSP,Innospec Inc,20121008,TPC Group gets higher buyout offer from Innospec ,Chemicals maker TPC Group Inc  on Monday said it received a buyout proposal from Innospec Inc  worth as much as $721 million  topping an offer from two private equity firms made in August.,topStory
IOSP,Innospec Inc,20121008,UPDATE 3-TPC Group gets higher buyout offer from Innospec ,Oct 8 Chemicals maker TPC Group Inc on Monday said it received a buyout proposal from Innospec Inc  worth as much as $721 million  topping an offer from two private equity firms made in August.,normal
IOSP,Innospec Inc,20121008,TPC Group gets higher buyout offer from Innospec ,Chemicals maker TPC Group Inc  on Monday said it received a buyout proposal from Innospec Inc  worth as much as $721 million  topping an offer from two private equity firms made in August.,normal
IOSP,Innospec Inc,20121008,TPC Group gets higher buyout offer from Innospec ,Oct 8 Chemicals maker TPC Group Inc  said it received a buyout proposal from Innospec Inc  for $721.3 million  topping an offer made by private equity firms First Reserve Corp and SK Capital Partners.,normal
INTC,Intel Corporation,20121008,Exclusive: Intel's McAfee security plans layoffs ,BOSTON Intel Corp's McAfee security division is planning to lay off a "small percentage" of its workforce of about 7 100 employees  a company spokesman said on Monday.,topStory
INTC,Intel Corporation,20121008,UPDATE 1-EXCLUSIVE-Intel's McAfee security plans layoffs ,BOSTON  Oct 8 Intel Corp's McAfee security division is planning to lay off a "small percentage" of its workforce of about 7 100 employees  a company spokesman said on Monday.,normal
INTC,Intel Corporation,20121008,RPT-EXCLUSIVE-Intel's McAfee security group plans layoffs ,BOSTON  Oct 8 Intel Corp's McAfee security division is planning to lay off a "small percentage" of its workforce of about 7 100 employees  a company spokesman said on Monday.,normal
INTC,Intel Corporation,20121008,EXCLUSIVE-Intel's McAfee security group plans layoffs ,BOSTON  Oct 8 Intel Corp's McAfee security division is planning to lay off a "small percentage" of its workforce of about 7 100 employees  a company spokesman said on Monday.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121008,New Issue- Enel prices dual tranche deal ,Underlying govt bond    Over Mid-swaps  equivalent to 316.2bp,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20121008,New Issue- Intesa Sanpaolo SPA prices 1.25 bln euro 2019 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 357.9bp,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121008,New Issue- Enel prices dual tranche deal ,Underlying govt bond    Over Mid-swaps  equivalent to 316.2bp,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20121008,New Issue- Intesa Sanpaolo SPA prices 1.25 bln euro 2019 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 357.9bp,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121008,New Issue- Enel prices dual tranche deal ,Underlying govt bond    Over Mid-swaps  equivalent to 316.2bp,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20121008,New Issue- Intesa Sanpaolo SPA prices 1.25 bln euro 2019 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 357.9bp,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121008,New Issue- Enel prices dual tranche deal ,Underlying govt bond    Over Mid-swaps  equivalent to 316.2bp,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20121008,New Issue- Intesa Sanpaolo SPA prices 1.25 bln euro 2019 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 357.9bp,normal
