AMZN,Amazoncom Inc,20121019,Ecuador says companies join novel Amazon protection fund ,* About a dozen firms contributing to rainforest initiative,topStory
AAPL,Apple Inc,20121019,Apple drops Java after experts warn Mac users on its security ,BOSTON Apple Inc is removing old versions of Oracle Corp's Java software from Internet browsers on the computers of its customers when they install the latest update to its Mac operating system.,topStory
AAPL,Apple Inc,20121019,Apple drops Java after experts warn Mac users on its security ,BOSTON  Oct 19 Apple Inc is removing old versions of Oracle Corp's Java software from Internet browsers on the computers of its customers when they install the latest update to its Mac operating system.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20121019,Lloyds may face further $3.2 billion PPI hit -analysts ,* Lloyds Banking Group was biggest seller of PPI products,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20121019,Barclays to cut 40-50 EMEA equities staff -sources ,LONDON  Oct 19 Barclays is cutting just under 10 percent of the staff in its European equities operation as part of the overhaul of its investment bank  scaling back an area it had until recently been building up  people familiar with the matter said.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20121019,PRESS DIGEST - Financial Times - Oct 19 ,Barclays reported a spike in claims of unwanted insurance policies sold  forcing it to set aside a further 700 million pounds ($1.13 billion).,normal
DLBL,Barclays PLC,20121019,Lloyds may face further $3.2 billion PPI hit -analysts ,* Lloyds Banking Group was biggest seller of PPI products,topStory
DLBL,Barclays PLC,20121019,Barclays to cut 40-50 EMEA equities staff -sources ,LONDON  Oct 19 Barclays is cutting just under 10 percent of the staff in its European equities operation as part of the overhaul of its investment bank  scaling back an area it had until recently been building up  people familiar with the matter said.,normal
DLBL,Barclays PLC,20121019,PRESS DIGEST - Financial Times - Oct 19 ,Barclays reported a spike in claims of unwanted insurance policies sold  forcing it to set aside a further 700 million pounds ($1.13 billion).,normal
DTYL,Barclays PLC,20121019,Lloyds may face further $3.2 billion PPI hit -analysts ,* Lloyds Banking Group was biggest seller of PPI products,topStory
DTYL,Barclays PLC,20121019,Barclays to cut 40-50 EMEA equities staff -sources ,LONDON  Oct 19 Barclays is cutting just under 10 percent of the staff in its European equities operation as part of the overhaul of its investment bank  scaling back an area it had until recently been building up  people familiar with the matter said.,normal
DTYL,Barclays PLC,20121019,PRESS DIGEST - Financial Times - Oct 19 ,Barclays reported a spike in claims of unwanted insurance policies sold  forcing it to set aside a further 700 million pounds ($1.13 billion).,normal
CME,CME Group Inc,20121019,Analysis: Wheat trade sees bumps in the road for CME-KCBT ,CHICAGO The merger of wheat futures markets in Chicago and Kansas City should boost trading volumes and exchange profits  but grain traders are worried about the effect on hedging and cash market pricing for hard red winter wheat.,topStory
FB,Facebook Inc,20121019,Thiel could invest $150 million in AirBnb: report ,SAN FRANCISCO Peter Thiel  the PayPal co-founder and Facebook Inc's  first outside investor  is in talks to invest $150 million in Airbnb as part of a fresh investment round that would value the lodging rental start-up at $2.5 billion  the Wall Street Journal reported Friday  citing unnamed sources.,topStory
