ACRX,AcelRx Pharmaceuticals Inc,20121115,AcelRx pain treatment as effective as standard care in trial ,AcelRx Pharmaceuticals Inc said its drug-device combination for post-operative pain was at least as effective as the standard of care  suggesting it has the potential to replace the current treatment.,topStory
AMRN,Amarin Corporation plc,20121115,Teva Pharma  AstraZeneca seek to buy Amarin: report ,JERUSALEM Teva Pharmaceutical Industries   the world's largest generics drugmaker  is a leading candidate to buy Irish biopharmaceutical company Amarin   Israel's Calcalist financial daily reported on Thursday.,topStory
ARII,American Railcar Industries Inc,20121115,TEXT-S&P Bulletin:Greenbrier rtgs unaffected by Icahn buy ,Nov 15 - Standard & Poor's Ratings Services said today that its ratings and outlook on Greenbrier Cos. Inc. (B/Positive/--) are not immediately affected by the Schedule 13D filed by Carl Icahn and related entities (including American Railcar Industries Inc.  (ARI  B+/Stable/--)) with the Securities and Exchange Commission  reporting that they have acquired beneficial ownership of 9.9% of Greenbrier's common stock. Greenbrier subsequently indicated that Mr. Icahn seeks to have conversations with ,topStory
AMAT,Applied Materials Inc,20121115,UPDATE 2-Applied Materials warns of lower revenue  eyes recovery ,SAN FRANCISCO  Nov 15 Top chip gear-maker Applied Materials forecast current-quarter revenues below expectations as it struggles with a slowdown in spending on chip manufacturing equipment and troubles at its solar and display groups.,topStory
AMAT,Applied Materials Inc,20121115,BRIEF-Applied Materials expects less investment by foundry customers in 2013 than 2012 ,SAN FRANCISCO  Nov 15 Applied Materials Inc  :  * CEO says expects healthy investment by foundry customers in 2013  but lower,normal
AMAT,Applied Materials Inc,20121115,Applied Materials warns of lower revenue  eyes recovery ,SAN FRANCISCO Top chip gear-maker Applied Materials forecast current-quarter revenues below expectations as it struggles with a slowdown in spending on chip manufacturing equipment and troubles at its solar and display groups.,normal
AMAT,Applied Materials Inc,20121115,Applied Materials' quarterly revenue beats Street ,SAN FRANCISCO  Nov 15 Top chip gear-maker Applied Materials posted fiscal fourth-quarter revenue of $1.65 billion  down from $2.18 billion in the year-ago period as it struggles with a slowdown in spending on chip manufacturing equipment and troubles at its solar and display groups.,normal
AMAT,Applied Materials Inc,20121115,BRIEF-Applied Materials shares up 1.7 pct after the bell following results ,NEW YORK  Nov 15 Applied Materials Inc :  * Shares were up 1.7 percent after the bell following the release of its results.,normal
ASML,ASML Holding NV,20121115,UPDATE 1-ASML sees "pretty dire" memory chip market in 2013 ,BARCELONA  Nov 15 ASML  the leading supplier of chip-making equipment  said it expected demand in the memory sector to be weak in 2013  despite a rise in NAND memory prices in recent weeks.,topStory
ASML,ASML Holding NV,20121115,ASML sees "pretty dire" memory chip market in 2013 ,BARCELONA  Nov 15 ASML  the leading supplier of chip-making equipment  said it expected demand in the memory sector to be weak in 2013  despite a rise in NAND memory prices in recent weeks.,normal
ADSK,Autodesk Inc,20121115,Autodesk profit beats on cost cuts  shares up ,Autodesk Inc's  third-quarter profit beat analysts' estimates as it managed to cut costs but the design software maker forecast current quarter below expectations.,topStory
ADSK,Autodesk Inc,20121115,BRIEF-Autodesk shares turn higher in after-hours trade; last up 3.6 pct ,NEW YORK  Nov 15 Autodesk Inc :  * Shares turned higher in after-hours trade and were last trading up 3.6 percent.,normal
ADSK,Autodesk Inc,20121115,BRIEF-Autodesk shares down 1 pct after the bell following results ,NEW YORK  Nov 15 Autodesk Inc :  * Shares were down 1 percent after the bell following the release of its results.,normal
ADSK,Autodesk Inc,20121115,Autodesk posts lower profit on weak demand in emerging markets ,Nov 15 Autodesk Inc  the maker of design software AutoCAD  reported a lower quarterly profit due to weak demand in emerging markets.,normal
CSIQ,Canadian Solar Inc,20121115,UPDATE 2-Canadian Solar cuts shipment forecast  bets on power plants ,* Cuts full-year shipment forecast to 1.5 GW-1.6 GW  from 1.8 GW-2.0 GW,topStory
CSIQ,Canadian Solar Inc,20121115,Canadian Solar revenue falls on weak prices ,Nov 15 Solar products maker Canadian Solar Inc  reported a 35 percent fall in third-quarter revenue due to a steep decline in prices of panels that convert sunlight into electricity.,normal
PLCE,Children&#39;s Place Inc (The),20121115,Children's Place cuts profit view on post-Sandy promotions ,Children's Place Retail Stores Inc  cut its full-year profit forecast citing increased promotional activity in the fourth quarter after superstorm Sandy battered the U.S. northeast.,topStory
PLCE,Children&#39;s Place Inc (The),20121115,Children's Place cuts profit view on post-Sandy promotions ,Nov 15 Children's Place Retail Stores Inc  cut its full-year adjusted profit forecast citing increased promotional activity after superstorm Sandy battered the U.S. northeast  from where the company draws almost a third of its revenue.,normal
CSCO,Cisco Systems Inc,20121115,Cisco to buy Cloupia for $125 million ,NEW YORK Cisco Systems  plans to buy Cloupia  a privately held data center software company  for about $125 million  including retention-based incentives.,topStory
CSCO,Cisco Systems Inc,20121115,Cisco to buy Cloupia for $125 million ,NEW YORK  Nov 15 Cisco Systems plans to buy Cloupia  a privately held data center software company  for about $125 million  including retention-based incentives.,normal
CME,CME Group Inc,20121115,CME lowers gold  silver  copper  natgas margins ,Nov 15 The CME Group on Thursday lowered margins for natural gas  gold  silver  copper  lean hog and live cattle futures  effective after close of business on Tuesday  Nov. 20.     CME  the biggest operator of U.S. futures exchanges  cut initial margins on COMEX 100 Gold Futures 18.5 percent to $7 425 a contract from $9 113  but left maintenance margins for the yellow metal unchanged.     The exchange operator trimmed maintenance margins to trade silver to $11 000 per contract  from ,topStory
DLTR,Dollar Tree Inc,20121115,Dollar Tree gives strong profit view for holiday quarter ,Dollar Tree Inc  reported a higher quarterly profit on Thursday as it controlled costs  and the retailer forecast holiday-quarter earnings above most analysts' estimates.,topStory
DLTR,Dollar Tree Inc,20121115,UPDATE 2-Dollar Tree gives strong profit view for holiday quarter ,* Quarterly profit of 51 cents a share beats analysts' view,normal
DVAX,Dynavax Technologies Corporation,20121115,FDA panel backs Dynavax's hep B vaccine efficacy  not safety ,A U.S. Food and Drug Administration panel voted unanimously to recommend the effectiveness of Dynavax Inc's hepatitis B vaccine Heplisav  but raised concerns about its safety  asking for more data from studies on a wider population.,topStory
EBAY,eBay Inc,20121115,EU to set up online market for surplus military equipment ,BRUSSELS  Nov 15 Cash-strapped European Union countries  trying to get the most value out of shrinking defence budgets  will soon be able to sell or swap surplus tanks or fighter jets on a new eBay-style electronic marketplace.,topStory
