ACAD,ACADIA Pharmaceuticals Inc,20121127,UPDATE 1-Acadia antipsychotic for Parkinson's succeeds in trial ,* Achieves antipsychotic effect without loss of motor function,topStory
AMZN,Amazoncom Inc,20121127,Cyber Monday sales best ever  for Amazon's Kindle too ,Internet sales jumped more than 30 percent on Cyber Monday  making it the biggest online shopping day ever  according to data released on Tuesday.,topStory
AMZN,Amazoncom Inc,20121127,UPDATE 3-Cyber Monday sales best ever  for Amazon's Kindle too ,* Cyber Monday sales up 30.3 percent over 2011 - IBM     * Amazon says its Kindle devices had biggest sales day ever     * ChannelAdvisor says client sales growth stronger on eBay than Amazon       By Alistair Barr     Nov 27 Internet sales jumped more than 30 percent on Cyber Monday  making it the biggest online shopping day ever  according to data released on Tuesday.       Walmart.com  the online division of Walmart U.S.  had its best sales day in history  a spokeswoman said.     ,normal
AMZN,Amazoncom Inc,20121127,Brazil reports continued decline in Amazon forest destruction ,BRASILIA  Nov 27 Brazil has something to tout at global climate change talks that began this week in Doha: destruction of the world's largest rainforest is still slowing at a record pace.,normal
AMZN,Amazoncom Inc,20121127,ChannelAdvisor reports faster holiday sales growth on eBay ,SAN FRANCISCO ChannelAdvisor said on Tuesday that client sales on eBay Inc's online marketplace grew faster than on Amazon.com Inc's website during the crucial first five days of the holiday shopping season.,normal
AMZN,Amazoncom Inc,20121127,ChannelAdvisor reports faster holiday sales growth on eBay ,SAN FRANCISCO  Nov 27 ChannelAdvisor said on Tuesday that client sales on eBay Inc's online marketplace grew faster than on Amazon.com Inc's  website during the crucial first five days of the holiday shopping season.,normal
AMZN,Amazoncom Inc,20121127,Amazon says big weekend Kindle sales more than double 2011 level ,Nov 27 Cyber Monday was the biggest day ever for sales of Amazon.com Inc's Kindle electronic devices  the online retail giant said on Tuesday  without saying how many it actually sold.     On Monday  Nov. 26  when retailers offered big deals online for "Cyber Monday " Amazon.com cut the price of the Kindle Fire tablet by $30 to $129 and it was the biggest Cyber Monday deal ever for Amazon.com  the company said.     Nine of the top 10 best-selling products on Amazon.com since it unvei,normal
AAPL,Apple Inc,20121127,Apple has top U.S. smartphone  passes Google: research firm ,HELSINKI Early success for the iPhone 5 smartphone has helped Apple to overtake Google's Android software in the United States  research firm Kantar WorldPanel said on Tuesday. | Video ,topStory
AAPL,Apple Inc,20121127,RPT-UPDATE 1-Apple has top US smartphone  passes Google -research firm ,HELSINKI  Nov 27 Early success for the iPhone 5 smartphone has helped Apple to overtake Google's Android software in the United States  research firm Kantar WorldPanel said on Tuesday.,normal
AAPL,Apple Inc,20121127,UPDATE 1-Apple has top US smartrphone  passes Google -research firm ,* BlackBerry market share down everywhere but Germany   (New throughout with market reaction  data on Research in Motion),normal
EBAY,eBay Inc,20121127,UPDATE 3-Cyber Monday sales best ever  for Amazon's Kindle too ,* Cyber Monday sales up 30.3 percent over 2011 - IBM     * Amazon says its Kindle devices had biggest sales day ever     * ChannelAdvisor says client sales growth stronger on eBay than Amazon       By Alistair Barr     Nov 27 Internet sales jumped more than 30 percent on Cyber Monday  making it the biggest online shopping day ever  according to data released on Tuesday.       Walmart.com  the online division of Walmart U.S.  had its best sales day in history  a spokeswoman said.     ,topStory
EBAY,eBay Inc,20121127,ChannelAdvisor reports faster holiday sales growth on eBay ,SAN FRANCISCO ChannelAdvisor said on Tuesday that client sales on eBay Inc's online marketplace grew faster than on Amazon.com Inc's website during the crucial first five days of the holiday shopping season.,normal
