AAPL,Apple Inc,20121203,RPT-COLUMN-Why you need to sidestep Apple stock in tech investing ,CHICAGO  Dec 3 It's easy to believe in technology stocks again.,topStory
BIDU,Baidu Inc,20121203,China's dot-com darlings tap cheap global credit ,HONG KONG/SHANGHAI Chinese search engine company Baidu Inc paid a lower interest rate than Google Inc when it sold $750 million in 10-year bonds last month.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20121203,ON THE MOVE-Morgan Stanley hires brokers from Merrill  Barclays ,Dec 3 Morgan Stanley Wealth Management  one of the leading U.S. brokerages  said it has expanded its footprint in Florida  Ohio and New Jersey with hires from Merrill Lynch Wealth Management and Barclays Plc.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20121203,UPDATE 2-UBS nears deal with US  UK over Libor ,ZURICH/LONDON  Dec 3 Swiss bank UBS AG  is nearing a deal to settle claims some of its staff manipulated interest rates and could reach agreement with U.S. and British authorities by the end of the year  a person familiar with the matter said on Monday.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20121203,Goldman hires Barclays banker to run Saudi business: sources ,DUBAI Goldman Sachs Inc  has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20121203,Goldman hires Barclays banker to run Saudi business - sources ,DUBAI  Dec 3 Goldman Sachs Inc has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
DLBL,Barclays PLC,20121203,ON THE MOVE-Morgan Stanley hires brokers from Merrill  Barclays ,Dec 3 Morgan Stanley Wealth Management  one of the leading U.S. brokerages  said it has expanded its footprint in Florida  Ohio and New Jersey with hires from Merrill Lynch Wealth Management and Barclays Plc.,topStory
DLBL,Barclays PLC,20121203,UPDATE 2-UBS nears deal with US  UK over Libor ,ZURICH/LONDON  Dec 3 Swiss bank UBS AG  is nearing a deal to settle claims some of its staff manipulated interest rates and could reach agreement with U.S. and British authorities by the end of the year  a person familiar with the matter said on Monday.,normal
DLBL,Barclays PLC,20121203,Goldman hires Barclays banker to run Saudi business: sources ,DUBAI Goldman Sachs Inc  has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
DLBL,Barclays PLC,20121203,Goldman hires Barclays banker to run Saudi business - sources ,DUBAI  Dec 3 Goldman Sachs Inc has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
DTYL,Barclays PLC,20121203,ON THE MOVE-Morgan Stanley hires brokers from Merrill  Barclays ,Dec 3 Morgan Stanley Wealth Management  one of the leading U.S. brokerages  said it has expanded its footprint in Florida  Ohio and New Jersey with hires from Merrill Lynch Wealth Management and Barclays Plc.,topStory
