AMRN,Amarin Corporation plc,20121207,Amarin raises funding for heart drug  partnership worries pull down shares ,Biopharmaceutical company Amarin Corp Plc said it raised $100 million in non-equity financing that will help it form a sales force to launch its heart drug Vascepa  but disappointed investors hoping for a sale or partnership.,topStory
AAPL,Apple Inc,20121207,Apple and Samsung: A defining rivalry in a changed mobile market ,JAKARTA/SEOUL What a difference three months can make.,topStory
AAPL,Apple Inc,20121207,Apple and Samsung: A defining rivalry in a changed mobile market ,JAKARTA/SEOUL  Dec 7 What a difference three months can make.,normal
AAPL,Apple Inc,20121207,US STOCKS-Dow  S&P rise on jobs  but Apple bites Nasdaq again ,* Dow up 0.6 pct  S&P up 0.3 pct  Nasdaq down 0.4 pct   (Updates to close),normal
AAPL,Apple Inc,20121207,US STOCKS-Solid jobs data spurs little buying  Apple falls again ,* Dow up 0.4 pct  S&P up 0.1 pct  Nasdaq down 0.5 pct   (Updates to early afternoon),normal
AAPL,Apple Inc,20121207,EU regulators receive fresh patent complaints: official ,BRUSSELS EU regulators are examining fresh complaints about alleged infringements of technology patents  a senior EU antitrust official said on Friday  a sign of the increasing stakes in the battle to protect intellectual property rights.,normal
AAPL,Apple Inc,20121207,EU regulators receive fresh patent complaints - official ,BRUSSELS  Dec 7 EU regulators are examining fresh complaints about alleged infringements of technology patents  a senior EU antitrust official said on Friday  a sign of the increasing stakes in the battle to protect intellectual property rights.,normal
AAPL,Apple Inc,20121207,REFILE-INTERVIEW-China's mini Apple takes slice of smartphone pie ,* Xiaomi sees $2 bln revenue in 2012 on 7 million smartphone sales,normal
AAPL,Apple Inc,20121207,China's mini Apple takes slice of smartphone pie ,BEIJING China's Xiaomi Technology is a fairy tale for nerdy entrepreneurs. | Video ,normal
AAPL,Apple Inc,20121207,Apple to return some Mac production to U.S. in 2013 ,SAN FRANCISCO/NEW YORK Apple Inc plans to move some production of Macintosh computers to the United States from China next year  Chief Executive Tim Cook said in remarks published on Thursday  in what could be a important test of the nascent comeback in U.S. electronics manufacturing.,normal
AAPL,Apple Inc,20121207,UPDATE 4-Apple to return some Mac production to U.S. in 2013 ,* Some Mac production coming back to US from China-CEO Cook,normal
BIDU,Baidu Inc,20121207,TEXT-Fitch Rates Baidu USD Notes Final 'A' ,SEOUL/SYDNEY/SINGAPORE  December 07 (Fitch) Fitch Ratings has assigned Baidu Inc.'s (Baidu  'A'/Stable) USD750m 2.25% notes due 2017 and USD750m 3.5% notes due 2022 a final rating of 'A'.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20121207,Barclays to invest in Spanish "bad bank" -source ,LONDON  Dec 7 Britain's Barclays will invest in Spain's so-called 'bad bank' as a signal of its commitment to helping fix the country's banking troubles  a person familiar with the matter said on Friday.,topStory
DLBL,Barclays PLC,20121207,Barclays to invest in Spanish "bad bank" -source ,LONDON  Dec 7 Britain's Barclays will invest in Spain's so-called 'bad bank' as a signal of its commitment to helping fix the country's banking troubles  a person familiar with the matter said on Friday.,topStory
DTYL,Barclays PLC,20121207,Barclays to invest in Spanish "bad bank" -source ,LONDON  Dec 7 Britain's Barclays will invest in Spain's so-called 'bad bank' as a signal of its commitment to helping fix the country's banking troubles  a person familiar with the matter said on Friday.,topStory
CZR,Caesars Entertainment Corporation,20121207,TEXT-S&P:Caesars Entertainment rtgs not affected by upsize ,Dec 07 - Standard & Poor's Ratings Services said today that its corporate credit and issue-level ratings on Caesars Entertainment Corp. are unaffected by the upsizing of its recent notes issue to $750 million from the originally proposed $300 million. We expect the net increase in first lien debt from this transaction to approximate $400 million  as the company intends to use a portion of proceeds from the transaction to repay term loan debt  and over the near term  to continue to convert portio,topStory
CSCO,Cisco Systems Inc,20121207,Cisco bets on software and services for mid-term growth ,NEW YORK Cisco Systems laid out its mid-term growth strategy on Friday  betting on increased demand for software  services and security as it strives to become the world's leading information technology company.,topStory
CSCO,Cisco Systems Inc,20121207,UPDATE 1-Cisco bets on software and services for mid-term growth ,NEW YORK  Dec 7 Cisco Systems laid out its mid-term growth strategy on Friday  betting on increased demand for software  services and security as it strives to become the world's leading information technology company.,normal
CSCO,Cisco Systems Inc,20121207,BRIEF-Cisco CEO: Cisco has gone too long without major aquisition ,Dec 7 Cisco Systems Inc :  * CEO says Cisco has gone too long without a major aquisition  * CEO sees Cisco being more active in m&a,normal
CSCO,Cisco Systems Inc,20121207,BRIEF-Cisco sees doubling software revenue in next 5 years from $6 bln ,Dec 7 Cisco Systems Inc :  * CEO says wants to double software revenue in next 5 years  today at about $6,normal
FB,Facebook Inc,20121207,SEC wrestles with Internet age in Netflix case ,WASHINGTON A U.S. regulatory probe of Netflix Inc over disclosures made on its chief executive's Facebook page could prove an important test of whether a rule designed to prevent leaks to analysts can translate to the social media age.,topStory
FB,Facebook Inc,20121207,U.S. SEC wrestles with Internet age in Netflix case ,* SEC warned Netflix it may face action over Facebook post,normal
FB,Facebook Inc,20121207,Italian tax police visit Facebook's Milan offices ,MILAN Italian police have been carrying out checks at the Milan offices of Facebook to assess whether it regularly declared its income in Italy  an investigative source and the U.S. company said on Friday.,normal
FB,Facebook Inc,20121207,Italian tax police visit Facebook's Milan offices ,MILAN  Dec 7 Italian police have been carrying out checks at the Milan offices of Facebook to assess whether it regularly declared its income in Italy  an investigative source and the U.S. company said on Friday.,normal
FB,Facebook Inc,20121207,REFILE-UPDATE 3-Netflix says CEO's Facebook post triggered SEC notice ,* CEO Hastings says information posted was not "material",normal
HOVNP,Hovnanian Enterprises Inc,20121207,TEXT - Fitch affirms Hovnanian Enterprises Inc ,Dec 7 - Fitch Ratings has affirmed the ratings for Hovnanian Enterprises  Inc. (NYSE: HOV)  including the company's Issuer Default  Rating (IDR)  at 'CCC'. A complete list of rating actions follows this release.  The rating for HOV is influenced by the company's execution of its business  model  land policies  and geographic  price point and product line diversity.  The rating additionally reflects the company's liquidity position  substantial  debt and high leverage.   Fitch's housing forecasts,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20121207,Barclays to invest in Spanish "bad bank" -source ,LONDON  Dec 7 Britain's Barclays will invest in Spain's so-called 'bad bank' as a signal of its commitment to helping fix the country's banking troubles  a person familiar with the matter said on Friday.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20121207,Barclays to invest in Spanish "bad bank" -source ,LONDON  Dec 7 Britain's Barclays will invest in Spain's so-called 'bad bank' as a signal of its commitment to helping fix the country's banking troubles  a person familiar with the matter said on Friday.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20121207,Barclays to invest in Spanish "bad bank" -source ,LONDON  Dec 7 Britain's Barclays will invest in Spain's so-called 'bad bank' as a signal of its commitment to helping fix the country's banking troubles  a person familiar with the matter said on Friday.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20121207,Barclays to invest in Spanish "bad bank" -source ,LONDON  Dec 7 Britain's Barclays will invest in Spain's so-called 'bad bank' as a signal of its commitment to helping fix the country's banking troubles  a person familiar with the matter said on Friday.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20121207,Barclays to invest in Spanish "bad bank" -source ,LONDON  Dec 7 Britain's Barclays will invest in Spain's so-called 'bad bank' as a signal of its commitment to helping fix the country's banking troubles  a person familiar with the matter said on Friday.,topStory
FLAT,iPath US Treasury Flattener ETN,20121207,Barclays to invest in Spanish "bad bank" -source ,LONDON  Dec 7 Britain's Barclays will invest in Spain's so-called 'bad bank' as a signal of its commitment to helping fix the country's banking troubles  a person familiar with the matter said on Friday.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20121207,Barclays to invest in Spanish "bad bank" -source ,LONDON  Dec 7 Britain's Barclays will invest in Spain's so-called 'bad bank' as a signal of its commitment to helping fix the country's banking troubles  a person familiar with the matter said on Friday.,topStory
STPP,iPath US Treasury Steepener ETN,20121207,Barclays to invest in Spanish "bad bank" -source ,LONDON  Dec 7 Britain's Barclays will invest in Spain's so-called 'bad bank' as a signal of its commitment to helping fix the country's banking troubles  a person familiar with the matter said on Friday.,topStory
MSFT,Microsoft Corporation,20121207,EU regulators receive fresh patent complaints: official ,BRUSSELS EU regulators are examining fresh complaints about alleged infringements of technology patents  a senior EU antitrust official said on Friday  a sign of the increasing stakes in the battle to protect intellectual property rights.,topStory
