ACOR,Acorda Therapeutics Inc,20121220,Potentially game changing data awaits Acorda in 2013 ,NEW YORK Acorda Therapeutics Inc Chief Executive Ron Cohen is already looking to spring  when data on a new use for its lone product could spur renewed investor interest and provide funding to enable his company to develop even more therapies.,topStory
ADBE,Adobe Systems Incorporated,20121220,Adobe acquires social media firm Behance as it expands in cloud ,BOSTON Adobe Systems Inc  has acquired Behance  a privately held service that designers and companies use to display creative works over the Internet  expanding the software maker's Web-based offerings.,topStory
ADBE,Adobe Systems Incorporated,20121220,Adobe acquires social media firm Behance as it expands in cloud ,BOSTON  Dec 20 Adobe Systems Inc has acquired Behance  a privately held service that designers and companies use to display creative works over the Internet  expanding the software maker's Web-based offerings.,normal
MDRX,Allscripts Healthcare Solutions Inc,20121220,Allscripts shares plunge as company drops plan for sale ,Shares of Allscripts Healthcare Solutions Inc  fell as much as 17 percent on Thursday after the company abandoned plans to sell itself and instead introduced new management to run the company as an independent entity.,topStory
MDRX,Allscripts Healthcare Solutions Inc,20121220,UPDATE 1-Allscripts shares plunge as company drops plan for sale ,* Stock falls as much as 17 pct after announcement   (Updates with background),normal
MDRX,Allscripts Healthcare Solutions Inc,20121220,Allscripts shares plunge as company drops plan for sale ,Dec 20 Shares of Allscripts Healthcare Solutions Inc fell nearly 17 percent on Thursday after the company abandoned plans to sell itself and instead introduced new management to run the company as an independent entity.,normal
MDRX,Allscripts Healthcare Solutions Inc,20121220,Allscripts names new CEO to spearhead recovery ,Embattled healthcare technology firm Allscripts named its board member and former chief operating officer of rival Cerner Corp Paul Black as its CEO  replacing Glen Tullman  and said it ended a review of strategic alternatives.,normal
ARII,American Railcar Industries Inc,20121220,American Railcar sweetens offer for Greenbrier ,American Railcar Industries Inc   controlled by activist investor Carl Icahn  said it was willing to raise its offer for Greenbrier Cos Inc  after being snubbed by the smaller railcar maker.,topStory
ARII,American Railcar Industries Inc,20121220,REFILE-UPDATE 4-American Railcar sweetens offer for Greenbrier ,* American Railcar's previous offer was for $20/share  or $543 mln,normal
FOLD,Amicus Therapeutics Inc,20121220,Amicus shares fall after Fabry drug fails late-stage study ,Amicus Therapeutics Inc  lost nearly half of its market value after the company said its experimental drug to treat a rare  inherited disorder failed to meet the main goal of a late-stage study.,topStory
AAPL,Apple Inc,20121220,Apple presses case for Samsung sales ban in appeals filing ,WASHINGTON Tech giant Apple Inc  battling Samsung Electronics Co over patents in several countries  argued on Thursday that a U.S. appeals court should reconsider its decision to overturn a pretrial sales ban on Samsung for infringement.,topStory
AAPL,Apple Inc,20121220,Apple presses case for Samsung sales ban in appeals filing ,WASHINGTON  Dec 20 Tech giant Apple Inc   battling Samsung Electronics Co over patents in several countries  argued on Thursday that a U.S. appeals court should reconsider its decision to overturn a pretrial sales ban on Samsung for infringement.,normal
AAPL,Apple Inc,20121220,UPDATE 2-European Commission wades into global tech patents war ,BRUSSELS  Dec 20 EU regulators are poised to accuse Samsung of breaking competition rules in filing patent lawsuits against rival Apple  in the EU's first formal challenge to the consumer electronic industry's patent wars.,normal
AAPL,Apple Inc,20121220,Patent agency rejects Apple "pinch-to-zoom" patent in initial ruling ,U.S. patent authorities rejected Apple Inc's key "pinch-to-zoom" patent in an initial ruling  the second setback in less than two months for the iPhone maker in its patent battle with Samsung Electronics Co Ltd.,normal
AAPL,Apple Inc,20121220,UPDATE 1-US agency rejects Apple 'pinch-to-zoom' patent in initial ruling ,Dec 20 U.S. patent authorities rejected Apple Inc's key "pinch-to-zoom" patent in an initial ruling  the second setback in less than two months for the iPhone maker in its patent battle with Samsung Electronics Co Ltd .,normal
AAPL,Apple Inc,20121220,US agency makes initial ruling against Apple 'pinch-to-zoom' patent ,Dec 19 The U.S. Patent and Trademark Office has rejected Apple Inc's 'pinch-to-zoom' patent in a preliminary ruling that Samsung Electronics Co Ltd  argues supports its request for a new trial in the patent war against its rival.,normal
ARRS,ARRIS International plc,20121220,UPDATE 2-Google sells Motorola TV set-top business for $2.35 bln ,SAN FRANCISCO  Dec 19 Google Inc agreed to sell set-top TV box maker Motorola Home to Arris Group Inc  for $2.35 billion in cash and stock  the companies said on Wednesday.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20121220,UBS taps Barclays banker to head financial M&A in the Americas ,NEW YORK  Dec 20 UBS has tapped a former Barclays Bank Plc investment banker to lead its financial institutions group in the Americas  according to a memo seen by Reuters that was sent to UBS employees Thursday.,topStory
DLBL,Barclays PLC,20121220,UBS taps Barclays banker to head financial M&A in the Americas ,NEW YORK  Dec 20 UBS has tapped a former Barclays Bank Plc investment banker to lead its financial institutions group in the Americas  according to a memo seen by Reuters that was sent to UBS employees Thursday.,topStory
DTYL,Barclays PLC,20121220,UBS taps Barclays banker to head financial M&A in the Americas ,NEW YORK  Dec 20 UBS has tapped a former Barclays Bank Plc investment banker to lead its financial institutions group in the Americas  according to a memo seen by Reuters that was sent to UBS employees Thursday.,topStory
CME,CME Group Inc,20121220,UPDATE 4-ICE to buy NYSE Euronext for $8.2 bln ,Dec 20 In October  Jeff Sprecher  chief executive of upstart IntercontinentalExchange  approached NYSE Euronext CEO Duncan Niederauer with a modest proposal to team up on clearing trades in London.,topStory
ERIC,Ericsson,20121220,Ericsson to take $1.2 billion charge on ST-Ericsson stake ,STOCKHOLM Ericsson is taking a $1.2 billion charge in a bid to write off its exposure to ST-Ericsson  adding to doubts over the future of the loss-making joint venture after partner STMicroelectronics said it was pulling out.,topStory
