AAPL,Apple Inc,20121224,MARKET PULSE-Google  Apple  Vimpelcom  Yum Brands ,U.S. stock index futures pointed to a lower open for the shortened pre-holiday session on Wall Street on Monday  with futures for the S&P 500  down 0.6 percent  Dow Jones futures down 0.42 percent and Nasdaq 100 futures down 0.43 percent.,topStory
FB,Facebook Inc,20121224,Instagram furor triggers first class action lawsuit ,SAN FRANCISCO Facebook's Instagram photo sharing service has been hit with what appears to be the first civil lawsuit to result from changed service terms that prompted howls of protest last week.,topStory
MSFT,Microsoft Corporation,20121224,Mundie  one of Gates' successors  to retire from Microsoft ,NEW YORK Craig Mundie  one of two Microsoft Corp executives who took over Bill Gates' role at the company  has relinquished control of Microsoft's large research organization and is to retire from the company in 2014.,topStory
MSFT,Microsoft Corporation,20121224,Mundie  one of Gates' successors  to retire from Microsoft ,NEW YORK  Dec 24 Craig Mundie  one of two Microsoft Corp executives who took over Bill Gates' role at the company  has relinquished control of Microsoft's large research organization and is to retire from the company in 2014.,normal
SHLD,Sears Holdings Corporation,20121224,Sears Canada finance head to quit ,Dec 24 Sears Canada Inc said Chief Financial Officer Sharon Driscoll will resign  two years after being promoted as the finance head of the retailer which is in the middle of a turnaround plan.,topStory
CG,The Carlyle Group LP,20121224,Mitsubishi Chem to buy capsule maker from Carlyle: source ,Japan's Mitsubishi Chemical Holdings Corp  will acquire Qualicaps Co Ltd from U.S.-based Carlyle Group LP   a person familiar with the matter said on Tuesday  rewarding the buyout firm's second attempt to sell the drug capsule maker.,topStory
CG,The Carlyle Group LP,20121224,UPDATE 1-Mitsubishi Chem to buy capsule maker from Carlyle -source ,Dec 25 Japan's Mitsubishi Chemical Holdings Corp  will acquire Qualicaps Co Ltd from U.S.-based Carlyle Group LP  a person familiar with the matter said on Tuesday  rewarding the buyout firm's second attempt to sell the drug capsule maker.,normal
CG,The Carlyle Group LP,20121224,Some TCW executives depart before Carlyle buyout: sources ,NEW YORK A number of senior executives are leaving TCW Group just weeks before the Los Angeles-based asset manager is scheduled to be acquired by private equity firm Carlyle Group   according to two people familiar with the situation on Monday.,normal
CG,The Carlyle Group LP,20121224,Some TCW executives depart before Carlyle buyout-sources ,NEW YORK  Dec 24 A number of senior executives are leaving TCW Group just weeks before the Los Angeles-based asset manager is scheduled to be acquired by private equity firm Carlyle Group  a ccording to two people familiar with the situation on Monday.,normal
CG,The Carlyle Group LP,20121224,Mitsubishi Chem to buy capsule maker from Carlyle for about $590 mln - Nikkei ,Dec 25 Japan's Mitsubishi Chemical Holdings Corp  plans to acquire drug capsule maker Qualicaps Co from U.S.-based Carlyle Group for about 50 billion yen ($589.66 million) including debt  the Nikkei business daily said.,normal
CG,The Carlyle Group LP,20121224,Carlyle takes on KKR in race for Reynolds and Reynolds: sources ,NEW YORK Private equity firms Carlyle Group LP and KKR & Co LP have emerged as the lead contenders to take over Reynolds and Reynolds  a software company hoping to sell itself for $5 billion  three people familiar with the matter said.,normal
CG,The Carlyle Group LP,20121224,Carlyle takes on KKR in race for Reynolds and Reynolds-sources ,NEW YORK  Dec 24 Private equity firms Carlyle Group LP and KKR & Co LP have emerged as the lead contenders to take over Reynolds and Reynolds  a software company hoping to sell itself for $5 billion  three people familiar with the matter said.,normal
TCGP,The Carlyle Group LP,20121224,Mitsubishi Chem to buy capsule maker from Carlyle: source ,Japan's Mitsubishi Chemical Holdings Corp  will acquire Qualicaps Co Ltd from U.S.-based Carlyle Group LP   a person familiar with the matter said on Tuesday  rewarding the buyout firm's second attempt to sell the drug capsule maker.,topStory
TCGP,The Carlyle Group LP,20121224,UPDATE 1-Mitsubishi Chem to buy capsule maker from Carlyle -source ,Dec 25 Japan's Mitsubishi Chemical Holdings Corp  will acquire Qualicaps Co Ltd from U.S.-based Carlyle Group LP  a person familiar with the matter said on Tuesday  rewarding the buyout firm's second attempt to sell the drug capsule maker.,normal
TCGP,The Carlyle Group LP,20121224,Some TCW executives depart before Carlyle buyout: sources ,NEW YORK A number of senior executives are leaving TCW Group just weeks before the Los Angeles-based asset manager is scheduled to be acquired by private equity firm Carlyle Group   according to two people familiar with the situation on Monday.,normal
TCGP,The Carlyle Group LP,20121224,Some TCW executives depart before Carlyle buyout-sources ,NEW YORK  Dec 24 A number of senior executives are leaving TCW Group just weeks before the Los Angeles-based asset manager is scheduled to be acquired by private equity firm Carlyle Group  a ccording to two people familiar with the situation on Monday.,normal
TCGP,The Carlyle Group LP,20121224,Mitsubishi Chem to buy capsule maker from Carlyle for about $590 mln - Nikkei ,Dec 25 Japan's Mitsubishi Chemical Holdings Corp  plans to acquire drug capsule maker Qualicaps Co from U.S.-based Carlyle Group for about 50 billion yen ($589.66 million) including debt  the Nikkei business daily said.,normal
TCGP,The Carlyle Group LP,20121224,Carlyle takes on KKR in race for Reynolds and Reynolds: sources ,NEW YORK Private equity firms Carlyle Group LP and KKR & Co LP have emerged as the lead contenders to take over Reynolds and Reynolds  a software company hoping to sell itself for $5 billion  three people familiar with the matter said.,normal
TCGP,The Carlyle Group LP,20121224,Carlyle takes on KKR in race for Reynolds and Reynolds-sources ,NEW YORK  Dec 24 Private equity firms Carlyle Group LP and KKR & Co LP have emerged as the lead contenders to take over Reynolds and Reynolds  a software company hoping to sell itself for $5 billion  three people familiar with the matter said.,normal
APA,Apache Corporation,20121224,UPDATE 2-Chevron to buy stake in Kitimat LNG from Encana  EOG ,* Terms undisclosed  analyst estimates Encana  EOG paid $450 mln,topStory
