CAVM,Cavium Inc,20130617,BRIEF-Cavium licenses Imagination Tech architecture ,LONDON  June 17 Imagination Technologies Group PLC  :  * Signs license agreement with cavium for imagination's latest mipsr5,topStory
DISH,DISH Network Corporation,20130617,Sprint files lawsuit against Dish and Clearwire ,Sprint Nextel Corp has filed a lawsuit against Dish Network Corp and Clearwire Corp to prevent the completion of Dish's offer for Clearwire's shares.,topStory
DISH,DISH Network Corporation,20130617,Sprint files lawsuit against Dish and Clearwire ,June 17 Sprint Nextel Corp has filed a lawsuit against Dish Network Corp and Clearwire Corp  to prevent the completion of Dish's offer for Clearwire's shares.,normal
EBAY,eBay Inc,20130617,EBay CEO confident of getting China payments license ,SAN FRANCISCO EBay Inc's  PayPal division will become the first foreign company to secure a payments license in China  CEO John Donahoe predicted  but he cautioned that the e-commerce giant is taking a cautious approach to expansion in the country. | Video ,topStory
EBAY,eBay Inc,20130617,REUTERS SUMMIT-Ebay CEO confident of getting China payments license ,(For other news from Reuters Global Technology Summit  click on  http://www.reuters.com/summit/Tech13),normal
EBAYL,eBay Inc,20130617,EBay CEO confident of getting China payments license ,SAN FRANCISCO EBay Inc's  PayPal division will become the first foreign company to secure a payments license in China  CEO John Donahoe predicted  but he cautioned that the e-commerce giant is taking a cautious approach to expansion in the country. | Video ,topStory
EBAYL,eBay Inc,20130617,REUTERS SUMMIT-Ebay CEO confident of getting China payments license ,(For other news from Reuters Global Technology Summit  click on  http://www.reuters.com/summit/Tech13),normal
LBTYA,Liberty Global plc,20130617,RPT-Fitch downgrades Virgin Media to 'B+' on acquisition by Liberty Global; outlook stable ,June 17 (The following statement was released by the rating agency),topStory
LBTYB,Liberty Global plc,20130617,RPT-Fitch downgrades Virgin Media to 'B+' on acquisition by Liberty Global; outlook stable ,June 17 (The following statement was released by the rating agency),topStory
LBTYK,Liberty Global plc,20130617,RPT-Fitch downgrades Virgin Media to 'B+' on acquisition by Liberty Global; outlook stable ,June 17 (The following statement was released by the rating agency),topStory
NFLX,Netflix Inc,20130617,REFILE-US STOCKS-Wall St rises in volatile session before Fed meeting ,* Terex tumbles after outlook  Time Warner falls on downgrade,topStory
