ATVI,Activision Blizzard Inc,20130801,Activision CEO says 'business as usual' after buyback deal ,SAN FRANCISCO Activision Blizzard Inc will conduct "business as usual" for now while it explores growth and acquisition opportunities  the video game publisher's CEO said on Thursday after sealing a deal last week to buy back most of parent company Vivendi's stake for more than $8 billion.,topStory
AMCX,AMC Networks Inc,20130801,DIARY-NON S&P WEEK AHEAD - Part III ,** For events before Aug 08 - please click on or .  ** For events before Aug 06 - please click on or .   - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -  DATE     GMT/MP  COMPANY NAME AND PERIOD                   SYMBOL     EPS     No.OF   YEAR AGO                                                                     ESTIMATE   EST     EPS 08 Aug    BMO    Q2 2013 Advance Auto Parts                       1.49    21     1.34 08 Aug    AMC    Q1 2013 Anc,topStory
AAPL,Apple Inc,20130801,US ITC delays decision on whether Samsung infringes Apple's patents ,WASHINGTON  Aug 1 The U.S. International Trade Commission said on Thursday that it would delay a decision on whether devices made by Samsung Electronics Co Ltd  infringe on Apple Inc's patents.,topStory
AAPL,Apple Inc,20130801,Laird first-half underlying profit falls 37 pct ,Aug 1 Laird Plc  a maker of electronic components  reported a 37 percent fall in first-half profit as a drop in revenue from its largest customer - widely assumed to be Apple  - continued to hurt business.,normal
AAPL,Apple Inc,20130801,Apple CEO met China Mobile head  discussed cooperation ,BEIJING/SINGAPORE Apple Inc CEO Tim Cook on Tuesday met with the head of China Mobile Ltd  the world's largest mobile carrier by subscribers and the only Chinese carrier that doesn't offer iPhones and iPads.,normal
AAPL,Apple Inc,20130801,REFILE-UPDATE 2-Apple CEO met China Mobile head  discussed cooperation ,BEIJING/SINGAPORE  July 31 Apple Inc  CEO Tim Cook on Tuesday met with the head of China Mobile Ltd   the world's largest mobile carrier by subscribers and the only Chinese carrier that doesn't offer iPhones and iPads.,normal
AAPL,Apple Inc,20130801,Apple fixing bug that allows fake charging stations to hack iPhones ,LAS VEGAS  July 31 Apple Inc's next software update for its iPhones and iPads will fix a security flaw that allows hackers to engage in spying and cyber crimes when the victim connects the device to a fake charging station  the company said on Wednesday.,normal
ADP,Automatic Data Processing Inc,20130801,Payroll processor ADP forecasts full-year results below estimates ,Payroll processor Automatic Data Processing Inc  forecast full-year results below analysts' estimates after reporting lower-than-expected quarterly earnings as expenses rose.,topStory
ADP,Automatic Data Processing Inc,20130801,UPDATE 1-Payroll processor ADP forecasts full-year results below estimates ,Aug 1 Payroll processor Automatic Data Processing Inc forecast full-year results below analysts' estimates after reporting lower-than-expected quarterly earnings as expenses rose.,normal
ADP,Automatic Data Processing Inc,20130801,REFILE-Payrolls processor ADP's profit falls as expenses rise ,Aug 1 Payroll processor Automatic Data Processing Inc reported an 11 percent fall in fourth-quarter profit  hurt by higher expenses.,normal
ADP,Automatic Data Processing Inc,20130801,Payrolls processor ADP's profit falls as expenses rise ,Payroll processor Automatic Data Processing Inc  reported an 11 percent fall in fourth-quarter profit  hurt by higher expenses.,normal
CHKE,Cherokee Inc,20130801,Father challenges adoption of Native American daughter ,CHARLESTON  South Carolina The birth father of a girl of Cherokee heritage whose adoption has been finalized by South Carolina courts asked the adoptive parents to reconsider taking the child on Thursday  citing her emotional well-being.,topStory
DISH,DISH Network Corporation,20130801,UPDATE 3-DirecTV subscriber growth in Latin America slows ,Aug 1 Satellite TV provider DirecTV  missed earnings estimates and added fewer subscribers than expected in Latin America  raising concerns the company's biggest growth engine had slowed  which sent its shares lower.,topStory
FB,Facebook Inc,20130801,Snowden gets job offer from Russia's version of Facebook ,MOSCOW American fugitive Edward Snowden was offered a job by Russia's top social networking site on Thursday  hours after the former intelligence contractor received a year-long asylum in Russia.,topStory
FB,Facebook Inc,20130801,Government requests for Twitter users' data on the rise ,SAN FRANCISCO  July 31 Twitter is under increasing pressure from governments around the world to release user's private information  with requests rising 40 percent in the first six months of the year  the microblogging company said Wednesday in its semi-annual transparency report.,normal
HALO,Halozyme Therapeutics Inc,20130801,UPDATE 1-Halozyme drug delivery technology in doubt after trial halted ,* Says partner ViroPharma halts trial after unexpected antibody production,topStory
HWKN,Hawkins Inc,20130801,New Issue-Air Products and Chemicals prices 300 mln euro 2020 bond ,August 1 (Reuters) -Following are terms and conditions of a bond priced on Wednesday(31 July 2013).  Borrower                Air Products and Chemicals Inc Issue Amount            300 million euro Maturity Date           August 07  2020 Coupon                  2.0 pct Reoffer price           99.58 Spread                  50 basis points Underlying govt bond    Over Mid-swaps Payment Date            August 07  2013 Le,topStory
MELI,MercadoLibre Inc,20130801,MercadoLibre attracts more users  profit tops expectations ,Latin American e-commerce company MercadoLibre Inc  reported quarterly results above analysts' expectations as more customers used its platform to trade merchandise online.,topStory
MELI,MercadoLibre Inc,20130801,MercadoLibre profit beats as more customers sell goods online ,Aug 1 Latin American e-commerce company MercadoLibre Inc reported quarterly results above analysts' expectations as more customers used its platform to trade merchandise online.,normal
MORN,Morningstar Inc,20130801,Pimco Total Return Fund up 0.49 pct in July -Morningstar ,NEW YORK  Aug 1 The Pimco Total Return Fund  the world's largest mutual fund  posted a positive return of 0.49 percent in July after suffering its weakest performance since 2008 in June  preliminary data from Morningstar showed Thursday.,topStory
MYL,Mylan NV,20130801,Mylan earnings rise  but dollar drags on revenue ,Generic drugmaker Mylan Inc reported a quarterly profit that edged past Wall Street expectations but said weakness of the Indian and Japanese currencies against the dollar would put 2013 revenue at the low end of its forecast range of $7 billion to $7.4 billion.,topStory
MYL,Mylan NV,20130801,UPDATE 2-Mylan earnings rise  but dollar drags on revenue ,Aug 1 Generic drugmaker Mylan Inc  reported a quarterly profit that edged past Wall Street expectations but said weakness of the Indian and Japanese currencies against the dollar would put 2013 revenue at the low end of its forecast range of $7 billion to $7.4 billion.,normal
MYL,Mylan NV,20130801,Mylan second quarter earnings rise  but foreign exchange drags ,Aug 1 Generic drugmaker Mylan Inc said on Thursday that its second-quarter earnings rose  but forecast 2013 revenue would be at the low end of an expected $7 billion to $7.4 billion range because of the weakening of India's and Japan's currencies against the dollar.,normal
PCRX,Pacira Pharmaceuticals Inc,20130801,Pacira Pharma pain drug fails late-stage trial ,Pacira Pharmaceuticals Inc said its lead drug did not meet the main goal in a late-stage trial of reducing pain for patients undergoing a surgical procedure called posterolateral thoracotomy.,topStory
RYAAY,Ryanair Holdings plc,20130801,Ryanair July passenger numbers rise 1 pct on year ,DUBLIN  Aug 1 Low-cost carrier Ryanair's  passenger traffic rose 1 percent in July from a year earlier to 8.84 million  while the average load factor was unchanged at 88 percent  it said on Thursday.,topStory
SYNA,Synaptics Incorporated,20130801,Synaptics profit nearly quadruples on jump in sales to phone makers ,Touchscreen chipmaker Synaptics Inc's  profit nearly quadrupled in the fourth-quarter due to a surge in sales to mobile phone makers.,topStory
SYNA,Synaptics Incorporated,20130801,Synaptics profit nearly quadruples on jump in sales to phone makers ,Aug 1 Touchscreen chipmaker Synaptics Inc's  profit nearly quadrupled in the fourth-quarter due to a surge in sales to mobile phone makers.,normal
VOD,Vodafone Group Plc,20130801,UPDATE 1-Vodafone's Humm to lead new European unit ,LONDON  Aug 1 Vodafone is to merge its northern and southern European units into one division to be led by Philipp Humm  to help the mobile operator sharpen its new focus on rolling out internet services across the region.,topStory
VOD,Vodafone Group Plc,20130801,Vodafone restructures to create one European unit ,LONDON Vodafone said on Thursday it would merge its northern  central and southern European regions into one unit which will be led by Philipp Humm.,normal
