AMCX,AMC Networks Inc,20130802,DIARY-NON S&P WEEK AHEAD - Part II ,** For events before Aug 08 please click on          - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -  DATE     GMT/MP  COMPANY NAME AND PERIOD                   SYMBOL     EPS     No.OF   YEAR AGO                                                                     ESTIMATE   EST     EPS 08 Aug    BMO    Q2 2013 Advance Auto Parts                       1.49    21     1.34 08 Aug    AMC    Q1 2013 Anchor Bancorp Wisconsin Inc         N/A    N/A     N/A,topStory
AAPL,Apple Inc,20130802,Apple battling U.S.  states over proposed e-book limits ,NEW YORK Apple Inc is headed for a showdown with the U.S. government and dozens of states  which on Friday urged that tough new restrictions be imposed on the company for illegally conspiring to raise e-book prices.,topStory
AAPL,Apple Inc,20130802,UPDATE 4-Apple battling U.S.  states over proposed e-book limits ,NEW YORK  Aug 2 Apple Inc is headed for a showdown with the U.S.  government and dozens of states  which on Friday urged that tough new restrictions be imposed on the company for illegally conspiring to raise e-book prices.,normal
AAPL,Apple Inc,20130802,U.S.  states propose remedy for Apple e-book price-fixing ,NEW YORK  Aug 2 Apple Inc deserves a five-year ban from entering anticompetitive e-book distribution contracts  and should also end its business arrangements with five major publishers with which it conspired to raise e-book prices  federal and state regulators said on Friday.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20130802,Gavilon taps Barclays to find a buyer for company -sources ,NEW YORK  Aug 2 Gavilon  which earlier this year sold its grain-trading business  has retained Barclays  to help it find a buyer for its remaining energy business in a deal that could fetch around $1 billion  according to two people familiar with the matter.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20130802,Barclays names commodities trading chief for the Americas ,NEW YORK  Aug 2 Barclays Capital's Robert Bogucki will take on the additional role of head of commodities trading for the Americas  a person familiar with the business said.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20130802,Barclays pays steep price for PRA change of plan ,* Regulator applies more lenient approach to bank's rivals,normal
DLBL,Barclays PLC,20130802,Gavilon taps Barclays to find a buyer for company -sources ,NEW YORK  Aug 2 Gavilon  which earlier this year sold its grain-trading business  has retained Barclays  to help it find a buyer for its remaining energy business in a deal that could fetch around $1 billion  according to two people familiar with the matter.,topStory
DLBL,Barclays PLC,20130802,Barclays names commodities trading chief for the Americas ,NEW YORK  Aug 2 Barclays Capital's Robert Bogucki will take on the additional role of head of commodities trading for the Americas  a person familiar with the business said.,normal
DLBL,Barclays PLC,20130802,Barclays pays steep price for PRA change of plan ,* Regulator applies more lenient approach to bank's rivals,normal
DTYL,Barclays PLC,20130802,Gavilon taps Barclays to find a buyer for company -sources ,NEW YORK  Aug 2 Gavilon  which earlier this year sold its grain-trading business  has retained Barclays  to help it find a buyer for its remaining energy business in a deal that could fetch around $1 billion  according to two people familiar with the matter.,topStory
