AMZN,Amazoncom Inc,20130903,Bezos offers clues to Washington Post: patience  experimentation ,Sept 3 Jeff Bezos  the founder of Amazon  who shocked media watchers when he agreed to buy The Washington Post  told the struggling newspaper he will guide it using the same approach that successfully shaped his e-commerce site and turned it into the world's largest online retailer.,topStory
AMGN,Amgen Inc,20130903,Amgen  Cytokinetics heart failure drug misses goal in study ,AMSTERDAM An experimental heart failure drug from Amgen and Cytokinetics missed its goal of improving shortness of breath in a mid-stage clinical trial  leaving its future uncertain.,topStory
AMGN,Amgen Inc,20130903,Amgen  Cytokinetics heart failure drug misses goal in study ,AMSTERDAM  Sept 3 An experimental heart failure drug from Amgen and Cytokinetics missed its goal of improving shortness of breath in a mid-stage clinical trial  leaving its future uncertain.,normal
AAPL,Apple Inc,20130903,UPDATE 2-Verizon to roadshow potential record bond issue next week ,NEW YORK/LONDON  Sept 3 (IFR/LPC) - Verizon Communications could steal the record from Apple  for the biggest bond issue ever to hit the global markets in coming weeks  as it begins the process of raising US$50bn of bonds to pay for part of the US$130bn price take on the 45% stake in Verizon Wireless that it is buying from Vodafone.,topStory
AAPL,Apple Inc,20130903,UPDATE 1-New iPhone expected as Apple asks media to Sept. 10 event ,SAN FRANCISCO  Sept 3 Apple Inc on Tuesday sent official invitations to a Sept. 10 event at which it is expected to unveil the latest version of the iPhone  possibly in colors other than its trademark black and white.,normal
ARQL,ArQule Inc,20130903,ArQule to cut liver cancer drug dose on safety concerns ,Drugmaker ArQule Inc said it would lower the dose of its experimental liver cancer drug for a second time  after a late-stage trial showed that patients on the therapy were becoming more susceptible to infection.,topStory
ARQL,ArQule Inc,20130903,UPDATE 1-ArQule to cut liver cancer drug dose on safety concerns ,(Adds background  analyst comment  updates share movement),normal
ARQL,ArQule Inc,20130903,Safety committee raises concern over ArQule's liver cancer drug ,Sept 3 Drugmaker ArQule Inc said a late-stage trial of its liver cancer drug showed high incidence of low white blood cell count in patients  leading to an independent safety committee recommending the company lower the drug dose.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20130903,Barclays to sell UAE retail bank as revamp gathers pace ,DUBAI Barclays Plc  will sell its retail bank in the United Arab Emirates  highlighting the challenges foreign banks face in the Gulf competing against cash-rich local rivals who are finding it easier to meet stricter rules on risk.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20130903,UPDATE 1-Barclays to sell UAE retail bank as revamp gathers pace ,* Barclays follows other U.K. banks in selling UAE business,normal
DLBL,Barclays PLC,20130903,Barclays to sell UAE retail bank as revamp gathers pace ,DUBAI Barclays Plc  will sell its retail bank in the United Arab Emirates  highlighting the challenges foreign banks face in the Gulf competing against cash-rich local rivals who are finding it easier to meet stricter rules on risk.,topStory
DLBL,Barclays PLC,20130903,UPDATE 1-Barclays to sell UAE retail bank as revamp gathers pace ,* Barclays follows other U.K. banks in selling UAE business,normal
DTYL,Barclays PLC,20130903,Barclays to sell UAE retail bank as revamp gathers pace ,DUBAI Barclays Plc  will sell its retail bank in the United Arab Emirates  highlighting the challenges foreign banks face in the Gulf competing against cash-rich local rivals who are finding it easier to meet stricter rules on risk.,topStory
DTYL,Barclays PLC,20130903,UPDATE 1-Barclays to sell UAE retail bank as revamp gathers pace ,* Barclays follows other U.K. banks in selling UAE business,normal
CYTK,Cytokinetics Incorporated,20130903,Amgen  Cytokinetics heart failure drug misses goal in study ,AMSTERDAM An experimental heart failure drug from Amgen and Cytokinetics missed its goal of improving shortness of breath in a mid-stage clinical trial  leaving its future uncertain.,topStory
CYTK,Cytokinetics Incorporated,20130903,Amgen  Cytokinetics heart failure drug misses goal in study ,AMSTERDAM  Sept 3 An experimental heart failure drug from Amgen and Cytokinetics missed its goal of improving shortness of breath in a mid-stage clinical trial  leaving its future uncertain.,normal
ESPR,Esperion Therapeutics Inc,20130903,Esperion's drug lowers blood fat in mid-stage study ,Esperion Therapeutics Inc said its drug reduced levels of bad blood fat in a mid-stage trial among patients with high levels of cholesterol  when added to a standard of care treatment.,topStory
ESPR,Esperion Therapeutics Inc,20130903,Esperion's drug lowers blood fat in mid-stage study ,Sept 3 Esperion Therapeutics Inc said its drug reduced levels of bad blood fat in a mid-stage trial among patients with high levels of cholesterol  when added to a standard of care treatment.,normal
FB,Facebook Inc,20130903,Ride service Uber hires new CFO from Google ,SAN FRANCISCO Privately held ride service Uber  which has raised more than $300 million from investors  announced on Tuesday it hired a chief financial officer and a head of growth with experience at publicly held companies Google Inc and Facebook Inc.,topStory
