AGEN,Agenus Inc,20130905,UPDATE 3-GSK cancer vaccine disappoints in melanoma trial ,* MAGE-A3 vaccine fails to extend disease-free survival in trial,topStory
AMCX,AMC Networks Inc,20130905,BRIEF-Entertainment One agrees exclusive three-year deal with AMC Networks ,Sept 5 Entertainment One Ltd :  * Exclusive three-year television output deal with AMC Networks * Source text for Eikon:  * For more news  please click here,topStory
AAPL,Apple Inc,20130905,Japan's DoCoMo to begin selling iPhone as early as autumn -sources ,TOKYO  Sept 6 NTT DoCoMo Inc  Japan's largest mobile carrier  will begin selling Apple Inc's  iPhone as early as this autumn  sources familiar with the matter said on Friday.,topStory
AAPL,Apple Inc,20130905,DoCoMo to offer Apple's iPhone - Nikkei ,Sept 6 Japan's NTT DoCoMo Inc is expected to offer Apple Inc's iPhone as early as autumn  catching up with rivals KDDI Corp and SoftBank Corp  the Nikkei said.,normal
AAPL,Apple Inc,20130905,Australian teen tests Apple tolerance with new iPhone leak ,SYDNEY  Sept 5 An Australian teenager who has built an online following by leaking pictures of upcoming Apple Inc products has done it again  showing off the purported fingerprint scanner of the latest iPhone ahead of its expected launch next week.,normal
AAPL,Apple Inc,20130905,Apple invites media to Beijing event on September 11 ,BEIJING Apple Inc has invited Chinese journalists to an event in Beijing on September 11  a company spokeswoman said  just hours after it is widely expected to unveil its newest iPhone models in the United States. | Video ,normal
AAPL,Apple Inc,20130905,UPDATE 2-Apple invites media to Beijing event on Sept 11 ,BEIJING  Sept 4 Apple Inc has invited Chinese journalists to an event in Beijing on Sept. 11  a company spokeswoman said  just hours after it is widely expected to unveil its newest iPhone models in the United States.,normal
ASML,ASML Holding NV,20130905,Fitch Upgrades ASML to 'BBB+'; Stable Outlook ,(The following statement was released by the rating agency) LONDON  September 05 (Fitch) Fitch Ratings has upgraded Netherlands-based ASML  Holding N.V.'s (ASML) Long-term Issuer Default Rating (IDR) and senior unsecured  rating to 'BBB+' from 'BBB.' The Outlook on the IDR is Stable.  The upgrade takes into account ASML's increasing strength in an industry  critical to technology advances across global electronics  its strong customer  relationships and limited competition. Although exposed in t,topStory
ADP,Automatic Data Processing Inc,20130905,CORRECTED-UPDATE 8-Crude oil up but gains capped by worries about Fed ,(Corrects source of private employer jobs data to ADP  not U.S. Labor Department; error first appeared in Update 7; makes clear in paragraph three that a U.S. Senate panel voted on Wednesday to support a military strike on Syria.),topStory
ADP,Automatic Data Processing Inc,20130905,TREASURIES-U.S. 10-year yield rises close to 3 percent level on upbeat data ,* Two-year yield above 0.50 percent  1st time since June 2011,normal
ADP,Automatic Data Processing Inc,20130905,WRAPUP 3-U.S. jobs  service sector data suggest Fed could taper soon ,* U.S. service sector growth accelerates in August     * ADP private payrolls rise 176 000 in August     * Jobless claims fall to near five-year low in latest week     * Unit labor costs flat in second quarter       By Jason Lange and Luciana Lopez     WASHINGTON/NEW YORK  Sept 5 Solid U.S. jobs and service sector data on Thursday bolstered views the Federal Reserve could start slowing its bond-buying program as soon as this month  but plunging orders for factory goods highlighted un,normal
ADP,Automatic Data Processing Inc,20130905,TREASURIES-U.S. yields hit 25-month highs on upbeat services data ,* U.S. services sector growth strongest in almost 8 years-ISM,normal
ADP,Automatic Data Processing Inc,20130905,FOREX-Dollar climbs vs euro  currency basket on ADP and Draghi ,* ECB's Draghi says rates on hold for extended period     * Dollar/yen hits 100 yen  BoJ stays on hold     * Market looks to Friday's U.S. nonfarm payrolls       NEW YORK  Sept 5 The dollar rose to a six-week peak against the euro on Thursday after European Central Bank President Mario Draghi said the bank's Governing Council expects the key ECB interest rates to remain at present or lower levels for an extended period.     Earlier  the bank left its main interest rate unchanged at a,normal
ADP,Automatic Data Processing Inc,20130905,TREASURIES-U.S. bond prices trim losses after ADP jobs data ,NEW YORK  Sept 5 U.S. Treasuries prices trimmed losses on Thursday after payroll processor ADP said U.S. companies added 176 000 jobs in August  slightly below the 180 000 increase forecast among economists polled by Reuters.,normal
COST,Costco Wholesale Corporation,20130905,US STOCKS-Wall St ticks up on data but Fed caution caps gains ,NEW YORK  Sept 5 U.S. stocks edged up on Thursday  rising for a third day after strong data indicated improving economic conditions  with caution capping gains ahead of Friday's payrolls report and its implication on the Federal Reserve's stimulus program.,topStory
COST,Costco Wholesale Corporation,20130905,WRAPUP 3-U.S. retailers rely on deep discounts to win back-to-school shoppers ,NEW YORK  Sept 5 Many U.S. retailers reported stronger-than-expected August sales on Thursday  but they had to use steep discounts to attract back-to-school shoppers.,normal
COST,Costco Wholesale Corporation,20130905,Wall Street ticks up on data but Fed caution caps gains ,NEW YORK U.S. stocks edged up on Thursday  rising for a third day after strong data indicated improving economic conditions  with caution capping gains ahead of Friday's payrolls report and its implication on the Federal Reserve's stimulus program.,normal
COST,Costco Wholesale Corporation,20130905,WRAPUP 3-US retailers rely on discounts to win back-to-school shoppers ,NEW YORK  Sept 5 Some U.S. retailers reported stronger-than-expected August sales on Thursday  but many of them had to resort to deep discounts to attract back-to-school shoppers.,normal
COST,Costco Wholesale Corporation,20130905,US STOCKS-Wall St edges up on data; on pace for 3rd straight gain ,* Syria in focus after resolution passes Senate committee,normal
COST,Costco Wholesale Corporation,20130905,US STOCKS-Wall St advances on data; on track for 3rd straight gain ,* Syria in focus after resolution passes Senate committee,normal
COST,Costco Wholesale Corporation,20130905,US STOCKS-Wall St to open little changed after data flurry ,* Syria in focus after resolution passes Senate committee,normal
