AMZN,Amazoncom Inc,20130909,Traditional U.S. stores fight Amazon for online sales ,U.S. bricks and mortar retailers are racing to catch up with e-commerce giant Amazon.com in fast-growing online sales.,topStory
AAPL,Apple Inc,20130909,Investors bullish ahead of Apple iPhone launch ,SAN FRANCISCO/CHICAGO Investors are hoping that Apple Inc will unleash some of its old magic when it takes the wraps off its latest iPhone on Tuesday  with many building bullish share and options positions. | Video ,topStory
AAPL,Apple Inc,20130909,Seoul shares seen higher on China optimism  Wall St rally ,SEOUL  Sept 10 Seoul shares are set to rise on Tuesday as global markets  led by Wall Street  were buoyed by upbeat Chinese data that eased concerns of a sharp slowdown in the world's second-largest economy.      U.S. stocks rallied on Monday  with the Nasdaq ending at its highest level since September 2000  while the S&P 500 rose for the fifth straight session  posting its best daily performance since Aug. 1 as upbeat August trade and inflation data from China suggested that Asia's ,normal
AAPL,Apple Inc,20130909,Investors bullish ahead of Apple iPhone launch ,SAN FRANCISCO/CHICAGO  Sept 9 Investors are hoping that Apple Inc will unleash some of its old magic when it takes the wraps off its latest iPhone on Tuesday  with many building bullish share and options positions.,normal
AAPL,Apple Inc,20130909,Koch brothers move into electronics with $7.2 billion Molex deal ,Privately owned Koch Industries will buy Molex Inc  a maker of electronic connectors for companies including Apple Inc  for about $7.2 billion to give the billionaire Koch brothers a way to diversify from their traditional holdings in energy  chemicals and paper.,normal
AAPL,Apple Inc,20130909,EU regulators tell Samsung to offer more to end antitrust case ,BRUSSELS European Union regulators have told Samsung Electronics to offer more concessions to settle EU charges that its use of patent lawsuits against rival Apple breached antitrust rules after a first offer fell short.,normal
AAPL,Apple Inc,20130909,UPDATE 1-EU regulators tell Samsung to offer more to end antitrust case ,BRUSSELS  Sept 9 European Union regulators have told Samsung Electronics to offer more concessions to settle EU charges that its use of patent lawsuits against rival Apple breached antitrust rules after a first offer fell short.,normal
AAPL,Apple Inc,20130909,EU regulators tell Samsung to offer more to end antitrust case ,BRUSSELS  Sept 9 European Union regulators have told Samsung Electronics to offer more concessions to settle EU charges that its use of patent lawsuits against rival Apple breached antitrust rules after a first offer fell short.,normal
AAPL,Apple Inc,20130909,MARKET PULSE-Molex  MTR Gaming  Apple  Xerox  Hanwha Solarone ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
AAPL,Apple Inc,20130909,MARKET PULSE-Unilife  Apple  Sony  Oncolytics  Biodel  BlackBerry ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
AAPL,Apple Inc,20130909,MARKET PULSE-Apple  Sony  Oncolytics  Biodel  BlackBerry ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
