ATVI,Activision Blizzard Inc,20131022,Activision CEO  co-chairman control 25 percent of votes ,SAN FRANCISCO Activision Blizzard Inc  CEO Bobby Kotick and Co-chairman Brian Kelly control more than a quarter of voting interest in the company after completing their $8.2 billion deal to buy back most of its shares from Vivendi   the videogames publisher said on Monday.,topStory
AMZN,Amazoncom Inc,20131022,States' online 'Amazon tax' fight may land in U.S. Supreme Court: lawyers ,WASHINGTON Diverging high court rulings in New York and Illinois over 'Amazon taxes' point to a possible U.S. Supreme Court case to settle questions about the legality of states taxing online retail sales  lawyers said on Monday.,topStory
AMGN,Amgen Inc,20131022,U.S. drug giant Amgen raises full-year revenue outlook ,Amgen Inc   which this month closed a nearly $10 billion acquisition of cancer drug maker Onyx Pharmaceuticals  reported higher-than-expected  third-quarter profit as results were helped by a large U.S. government order for one of its white blood cell boosters.,topStory
AMGN,Amgen Inc,20131022,UPDATE 2-U.S. drug giant Amgen raises full-year revenue outlook ,Oct 22 Amgen Inc  which this month closed a nearly $10 billion acquisition of cancer drug maker Onyx Pharmaceuticals  reported higher-than-expected  third-quarter profit as results were helped by a large U.S. government order for one of its white blood cell boosters.,normal
AMGN,Amgen Inc,20131022,Amgen 3rd quarter profit rises; boosts 2013 revenue forecast ,Oct 22 Amgen Inc  which this month closed a nearly $10 billion acquisition of cancer drug maker Onyx Pharmaceuticals  reported a higher third-quarter profit  helped by an 18 percent increase in sales of its white blood cell boosters.,normal
AAPL,Apple Inc,20131022,Apple unveils iPad Air  new Macs for holidays ,SAN FRANCISCO Apple Inc on Tuesday offered free upgrades for life on its operating system and business software  and unveiled thinner iPads and faster Mac computers ahead of a competitive holiday shopping season. | Video ,topStory
AAPL,Apple Inc,20131022,UPDATE 5-Apple unveils iPad Air  new Macs for holidays ,SAN FRANCISCO  Oct 22 Apple Inc on Tuesday offered free upgrades for life on its operating system and business software  and unveiled thinner iPads and faster Mac computers ahead of a competitive holiday shopping season.,normal
AAPL,Apple Inc,20131022,T-Mobile US to offer some free data with latest Apple iPad ,NEW YORK T-Mobile US plans to offer free data downloads of up to 200 megabytes per month to customers who buy the latest Apple Inc iPad  as the No. 4 US mobile service tries to lure cost-conscious customers away from its bigger rivals.,normal
AAPL,Apple Inc,20131022,T-Mobile US to offer some free data with latest Apple iPad ,NEW YORK  Oct 22 T-Mobile US plans to offer free data downloads of up to 200 megabytes per month to customers who buy the latest Apple Inc iPad  as the No. 4 US mobile service tries to lure cost-conscious customers away from its bigger rivals.,normal
AAPL,Apple Inc,20131022,Apple kicks off Tuesday event  expected to show new iPads ,SAN FRANCISCO  Oct 22 Apple Inc Chief Executive Officer Tim Cook kicked off a product event on Tuesday at which the company is expected to introduce slimmer  faster iPads in time for the holidays.,normal
AAPL,Apple Inc,20131022,UPDATE 3-Nokia launches tablet to join Microsoft gadget push ,ABU DHABI/HELSINKI  Oct 22 Nokia  unveiled its first tablet computer and new large-screen smartphones  which will form part of Microsoft's push in consumer devices when it takes over the Finnish company's handset business.,normal
