AMCX,AMC Networks Inc,20131031,DIARY-NON S&P WEEK AHEAD - Part III ,** For events before Nov 07 please click on.       ** For events before Nov 05 please click on.   - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -  DATE     GMT/MP  COMPANY NAME AND PERIOD                   SYMBOL     EPS     No.OF   YEAR AGO                                                                     ESTIMATE   EST     EPS  07 Nov    BMO    Q3 2013 Atlas Air Worldwide Holdings Inc      1.34     9     1.26 07 Nov    AMC    Q3 2013 Cambium Lear,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20131031,Barclays promotes Attea to co-head of US securitized products ,NEW YORK  Oct 31 (IFR) - Barclays has promoted Martin Attea to co-head of its US securitized-products group  replacing Diane Rinnovatore  who has left the firm after 16 years  according to sources familiar with the matter.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20131031,Fitch: Barclays' Q313 Results Dented by Fixed Income Markets; Leverage Key Target for Bank ,(The following statement was released by the rating agency) MILAN/LONDON  October 31 (Fitch) Fitch Ratings says that Barclays plc's  (A/Stable/F1/a) Q313 performance reflected a weak trading environment in the  quarter but also resilience of its non-securities businesses and improved  capitalisation  leverage and reduction in risk-weighted assets (RWA).  The results have no immediate impact on Barclays' ratings  which are based on  Fitch's expectation that the bank will achieve its planned cost ,normal
BBRG,Bravo Brio Restaurant Group Inc,20131031,Saudi Telecom to take ownership of Wataniya's Saudi unit ,* Bravo is a push-to-talk operator with 180 000 subscribers in Saudi,topStory
CRESY,Cresud SACIF y A,20131031,UPDATE 1-China Construction Bank buys Brazil's BicBanco for $725 mln ,(Adds details from filing and background about midsize bank segment),topStory
CRESY,Cresud SACIF y A,20131031,China Construction Bank buys Brazil's Bicbanco for 1.62 bln reais ,SAO PAULO  Oct 31 Brazil's Banco Industrial e Comercial SA said in a filing Thursday it reached an agreement to sell 72 percent of its capital to China Construction Bank  which may delist the publicly traded Brazilian bank.   (Reporting by Reese Ewing; Editing by Gary Hill),normal
CRWS,Crown Crafts Inc,20131031,UPDATE 1-Food packager Crown to buy Mivisa Envases to expand in Spain ,* Crown to buy Mivisa from funds managed by Blackstone  N+1 Mercapital,topStory
DISCA,Discovery Communications Inc,20131031,Discovery shares rise on strong results  fee growth expected ,Discovery Communications Inc  shares rose more than 4 percent on Thursday after the company reported strong U.S. advertising growth and pledged to increase the fees it receives from operators that carry its networks next quarter.,topStory
DISCB,Discovery Communications Inc,20131031,Discovery shares rise on strong results  fee growth expected ,Discovery Communications Inc  shares rose more than 4 percent on Thursday after the company reported strong U.S. advertising growth and pledged to increase the fees it receives from operators that carry its networks next quarter.,topStory
DISCK,Discovery Communications Inc,20131031,Discovery shares rise on strong results  fee growth expected ,Discovery Communications Inc  shares rose more than 4 percent on Thursday after the company reported strong U.S. advertising growth and pledged to increase the fees it receives from operators that carry its networks next quarter.,topStory
DSPG,DSP Group Inc,20131031,DSP Group sees weaker Q4 after Q3 profit beats estimates ,JERUSALEM  Oct 31 Multimedia chip maker DSP Group forecast weaker fourth-quarter earnings as it topped third-quarter estimates despite slowing demand for cordless telephones.,topStory
EBAY,eBay Inc,20131031,Twitter-backer Benchmark Capital raises new venture fund ,SAN FRANCISCO Benchmark Capital  the firm behind companies ranging from eBay  to Twitter  is raising a new venture fund  according to a person familiar with the situation.,topStory
EBAY,eBay Inc,20131031,REFILE-Twitter-backer Benchmark Capital raises new venture fund ,SAN FRANCISCO  Oct 31 Benchmark Capital  the firm behind companies ranging from eBay to Twitter  is raising a new venture fund  according to a person familiar with the situation.,normal
EBAYL,eBay Inc,20131031,Twitter-backer Benchmark Capital raises new venture fund ,SAN FRANCISCO Benchmark Capital  the firm behind companies ranging from eBay  to Twitter  is raising a new venture fund  according to a person familiar with the situation.,topStory
