AMCN,AirMedia Group Inc,20131119,BRIEF-AirMedia sees Q4 2013 revenue $76 million to $79 million ,Nov 19 Airmedia Group Inc :  * Announces unaudited third quarter 2013 financial results  * Q3 revenue fell 5.6 percent to $69 million  * Sees Q4 2013 revenue $76 million to $79 million  * Sees Q4 2013 revenue down 4.4 to 8 percent  * Q3 net loss per ads $0.06  * Source text for Eikon   * Further company coverage,topStory
AMZN,Amazoncom Inc,20131119,German online sales growth forecast revised up to 44 pct ,BERLIN  Nov 19 German online sales will grow by a faster than expected rate of 44 percent in 2013 to 39.8 billion euros ($53.83 billion)  or more than 9 percent of total retail sales  the country's e-commerce trade association BVH said on Tuesday.,topStory
ATRS,Antares Pharma Inc,20131119,BRIEF-Antares Pharma appoints David Bergstrom as senior vice president ,Nov 19 Antares Pharma Inc :  * Appoints David H. Bergstrom as senior vice president pharmaceutical,topStory
AAPL,Apple Inc,20131119,Trader gets 30 months in prison for $1 billion Apple stock scheme ,A former trader was sentenced to 2 1/2 years in prison on Tuesday for an unauthorized purchase of about $1 billion in Apple Inc stock that eventually led to the demise of financial services firm Rochdale Securities.,topStory
AAPL,Apple Inc,20131119,Trader gets 30 months in prison for $1 bln Apple stock scheme ,Nov 19 A former trader was sentenced to 2 1/2 years in prison on Tuesday for an unauthorized purchase of about $1 billion in Apple Inc stock that eventually led to the demise of financial services firm Rochdale Securities.,normal
AAPL,Apple Inc,20131119,In retrial  Apple and Samsung make final pitches to jury ,SAN JOSE  California Apple Inc tried to persuade U.S. jurors to keep intact a historic verdict it won against Samsung Electronics Co Ltd last year  while the Korean company argued that Apple has overstated its injuries from patent violations.,normal
AAPL,Apple Inc,20131119,UPDATE 2-In retrial  Apple and Samsung make final pitches to jury ,SAN JOSE  Calif.  Nov 19 Apple Inc  tried to persuade U.S. jurors to keep intact a historic verdict it won against Samsung Electronics Co Ltd last year  while the Korean company argued that Apple has overstated its injuries from patent violations.,normal
AAPL,Apple Inc,20131119,In retrial  Apple and Samsung make final pitches to jury ,SAN JOSE  Calif.  Nov 19 Apple Inc  argued in court on Tuesday that Samsung had failed to present meaningful evidence to rebut allegations that the Korean electronics giant had improperly used the iPhone maker's patented technology.,normal
AZPN,Aspen Technology Inc,20131119,GlaxoSmithKline to divest $740 million stake in South Africa's Aspen ,LONDON GlaxoSmithKline said on Tuesday it planned to reduce its investment in South African drugmaker Aspen Pharmacare by one third  although it would retain a board seat and a significant shareholding.,topStory
AZPN,Aspen Technology Inc,20131119,UPDATE 1-GlaxoSmithKline to divest $740 mln stake in S.Africa's Aspen ,LONDON  Nov 19 GlaxoSmithKline said on Tuesday it planned to reduce its investment in South African drugmaker Aspen Pharmacare by one third  although it would retain a board seat and a significant shareholding.,normal
AZPN,Aspen Technology Inc,20131119,BRIEF-GSK to divest one-third of 19 pct stake in Aspen ,Nov 19 GlaxoSmithKline Plc :  * GSK intends to divest part holding in Aspen  * GSK to retain board seat and significant shareholding  * Disposal will be through a placing of ordinary shares in Aspen to institutional investors  * Offering is expected to comprise up to 28.2 million Aspen ordinary shares  * Offer price will be determined by an accelerated bookbuild process which is to start immediately  * Further announcement will be made following completion of the bookbuild and pricin,normal
AUBN,Auburn National Bancorporation Inc,20131119,Preview: Jacksonville State at Auburn ,The priority for Auburn when it hosts Jacksonville State on Tuesday will be perimeter defense after the Tigers allowed 72 second-half points in seeing a 14-point lead turn into a 111-92 defeat to Northwestern State on Friday. “Our defense the last 16 minutes was non-existent  unacceptable ” Auburn coach Tony Barbee said after the Tigers were throttled on their home court. Things figure to go better against a Gamecocks squad that is winless in four games and has yet to score more than 75 points.,topStory
ADSK,Autodesk Inc,20131119,Autodesk eyes further growth from manufacturing  3D designs ,TEL AVIV The manufacturing sector and a shift to cloud computing and an increase in three-dimensional (3D) designs look to drive growth in the coming years at computer-aided design (CAD) software maker Autodesk   a senior official said.,topStory
ADSK,Autodesk Inc,20131119,Autodesk eyes further growth from manufacturing  3D designs ,TEL AVIV  Nov 19 The manufacturing sector and a shift to cloud computing and an increase in three-dimensional (3D) designs look to drive growth in the coming years at computer-aided design (CAD) software maker Autodesk  a senior official said.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20131119,MOVES- Aviva  Blackstone  Barclays  Hiscox  Hartford Funds ,Nov 19 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20131119,Exclusive: Barclays weighs index unit sale after MSCI approach - sources ,NEW YORK Barclays Plc  is exploring options for its index business after equity index provider MSCI Inc  approached the British bank recently about buying the unit  according to several people familiar with the situation.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20131119,Fitch Assigns Barclays plc's Perpetual Contingent Convertible Notes 'BB+' Final Rating ,(The following statement was released by the rating agency) LONDON/MILAN  November 19 (Fitch) Fitch Ratings has assigned Barclays plc's  (A/Stable/F1/a) USD2bn 8.25% fixed rate resetting perpetual subordinated  contingent convertible securities (CCS) a 'BB+' final rating. The rating is in  line with the expected rating assigned on 4 November 2013. KEY RATING DRIVERS The CCS are additional Tier 1 (AT1) instruments with fully discretionary  interest payments and are subject to conversion into Barc,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20131119,RESEARCH ALERT-Barclays: Jefferies cuts target price ,Nov 19 Barclays PLC :  * Jefferies cuts target price to 364p from 367p; rating buy For a summary of rating and price target changes on U.S. companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/US    For a summary of rating and price target changes on Canadian companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/CA,normal
BMRN,BioMarin Pharmaceutical Inc,20131119,U.S. FDA panel backs BioMarin's Morquio A Syndrome drug ,An experimental drug to treat Morquio A Syndrome  a rare genetic disorder that causes skeletal malformation and a variety of related lung  eye  ear and heart problems  should be approved  an advisory panel to the U.S. Food and Drug Administration concluded on Tuesday.,topStory
BMRN,BioMarin Pharmaceutical Inc,20131119,UPDATE 2-U.S. FDA panel backs BioMarin's Morquio A Syndrome drug ,Nov 19 An experimental drug to treat Morquio A Syndrome  a rare genetic disorder that causes skeletal malformation and a variety of related lung  eye  ear and heart problems  should be approved  an advisory panel to the U.S. Food and Drug Administration concluded on Tuesday.,normal
BMRN,BioMarin Pharmaceutical Inc,20131119,FDA panel backs approval of BioMarin's Morquio A Syndrome drug ,Nov 19 A federal advisory panel has recommended approval of an experimental drug to treat a rare genetic disorder known as Morquio A Syndrome that causes skeletal malformation and a variety of related lung  eye  ear and heart problems.,normal
