AERI,Aerie Pharmaceuticals Inc,20131203,BRIEF-Aerie Pharmaceuticals: Needham starts with buy ,Dec 3 Dec 3 Aerie Pharmaceuticals Inc :  * Needham starts with buy rating and $18 price target For a summary of rating and price target changes on U.S. companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/US    For a summary of rating and price target changes on Canadian companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/CA,topStory
AMZN,Amazoncom Inc,20131203,US STOCKS-Dow  S&P fall for 3rd straight day; retail weighs ,* Automakers' shares fall after November sales  but Tesla soars,topStory
AMZN,Amazoncom Inc,20131203,UPDATE 2-Early start hurts Black Friday sales  Cyber Monday hits record ,Dec 3 U.S. retailers rolled out holiday promotions earlier in November this year  denting sales growth over the Thanksgiving weekend that typically marks the beginning of the holiday spending period  according to data released Tuesday by ShopperTrak.,normal
AMZN,Amazoncom Inc,20131203,COLUMN-Amazon  drones and low returns: James Saft ,(James Saft is a Reuters columnist. The opinions expressed are his own),normal
AMZN,Amazoncom Inc,20131203,US STOCKS-Wall St declines for third day  led by consumer stocks ,* Tesla's stock jumps after Morgan Stanley names it a top pick,normal
AMZN,Amazoncom Inc,20131203,Illegal miners infest Venezuela's Amazon ,PUERTO AYACUCHO  Venezuela From the air  the thick green canopy that covers the Venezuelan Amazon is pocked with ever more frequent small holes.,normal
AMZN,Amazoncom Inc,20131203,Google takes on Amazon by cutting cloud service prices ,SAN FRANCISCO Google Inc will lower prices on cloud services as the search giant gears up to take on Amazon.com Inc  International Business Machines Corp and Microsoft Corp in the fast-growing market of Internet services for corporations.,normal
AMZN,Amazoncom Inc,20131203,Google takes on Amazon by cutting cloud service prices ,SAN FRANCISCO  Dec 3 Google Inc will lower prices on cloud services as the search giant gears up to take on Amazon.com Inc  International Business Machines Corp and Microsoft Corp in the fast-growing market of Internet services for corporations.,normal
AMZN,Amazoncom Inc,20131203,Amazon  drones and low returns: James Saft ,Jeff Bezos' plan to deliver Amazon.com packages by drone isn't just an idea which skirts the line between satire and reality.,normal
AMZN,Amazoncom Inc,20131203,COLUMN-Amazon  drones and low returns: James Saft ,(James Saft is a Reuters columnist. The opinions expressed are his own),normal
AAPL,Apple Inc,20131203,China Mobile briefly takes pre-orders for iPhones -Fortune.com ,China Mobile Ltd  the world's largest mobile phone carrier  has quietly begun taking pre-orders for Apple Inc's iPhones  according to a report on Fortune.com.,topStory
AAPL,Apple Inc,20131203,Deals of the day- Mergers and acquisitions ,(Adds Adcock Ingram  Energa  Nordea Bank  Alitalia  Ben Venue  TIM Participacoes  Douglas  Mercator; updates Novartis  OncoMed  Kerning  Malaysia Airports),normal
AAPL,Apple Inc,20131203,US STOCKS-Wall St declines for third day  led by consumer stocks ,* Tesla's stock jumps after Morgan Stanley names it a top pick,normal
AAPL,Apple Inc,20131203,UPDATE 1-China Mobile briefly takes pre-orders for iPhones -Fortune.com ,Dec 3 China Mobile Ltd  the world's largest mobile phone carrier  has quietly begun taking pre-orders for Apple Inc's iPhones  according to a report on Fortune.com.,normal
AAPL,Apple Inc,20131203,US STOCKS-Wall St falls on Fed concern after 8-week run higher ,* Yum Brands' November China sales flat  sending shares down,normal
AAPL,Apple Inc,20131203,US STOCKS-Wall St opens lower on Fed worry after 8-week run up ,* Indexes down: Dow 0.42 pct  S&P 0.31 pct  Nasdaq 0.19 pct,normal
AAPL,Apple Inc,20131203,US STOCKS-Wall St to open lower on Fed taper jitters ,NEW YORK  Dec 3 U.S. stocks were poised for a lower open on Tuesday  indicating the S&P 500 may fall for a third consecutive session  on concerns the Federal Reserve may begin to reduce its stimulus earlier than some had anticipated.,normal
AAPL,Apple Inc,20131203,China Mobile briefly takes pre-orders for iPhones -Fortune.com ,Dec 3 China Mobile Ltd  the world's largest mobile phone carrier  has quietly begun taking pre-orders for Apple Inc's iPhones  according to a report on Fortune.com.,normal
AAPL,Apple Inc,20131203,US STOCKS-Futures decline on Fed taper timing concerns ,NEW YORK  Dec 3 U.S. stock index futures fell on Tuesday  indicating the S&P 500 may fall for a third consecutive day on concerns a reduction in stimulus by the Federal Reserve may be on the horizon earlier than some had anticipated.,normal
AUBN,Auburn National Bancorporation Inc,20131203,Iowa State 99  Auburn 70 ,No. 18 Iowa State 99  Auburn 70: Dustin Hogue established career highs of 22 points and 16 rebounds as the host Cyclones rolled past the Tigers in the Big 12/SEC Challenge.,topStory
ADP,Automatic Data Processing Inc,20131203,TREASURIES-U.S. bond prices rise on Fed buy-back  weaker stocks ,* Prices rise in light data day in heavy economic data week     * Fed buys $4.7 bln government debt in two operations     * U.S. sells $104 bln in T-bills at lower interest rates     * ADP jobs  ISM services  new home sales  Beige Book on tap       By Karen Brettell and Richard Leong     NEW YORK  Dec 3 U.S. Treasuries prices rose on Tuesday  bolstered by two bouts of bond purchases from the Federal Reserve and a slump in Wall Street stocks partly on worries about the Federal Reserve,topStory
BMLP,Bank Of Montreal,20131203,UPDATE 2-Bank of Montreal shares fall on disappointing U.S. profit ,* Canada's No. 4 bank is first to report quarterly results   (Adds analyst comments  stock prices  details),topStory
BMLP,Bank Of Montreal,20131203,Bank of Montreal Q4 profit inches higher; dividend raised ,TORONTO  Dec 3 Bank of Montreal  Canada's No. 4 bank  said on Tuesday its quarterly profit rose 1 percent as stronger wealth management profit was offset by weaker trading results.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20131203,Barclays fixes terms on euro CoCo ,LONDON  Dec 3 (IFR) - Barclays PLC is poised to price its first euro-denominated Additional Tier 1 bond at a yield of 8% on Tuesday  according to a market source.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20131203,UPDATE 1-Books reach EUR7bn on Barclays' inaugural euro AT1 ,LONDON  Dec 3 (IFR) - Barclays will declare the European Additional Tier 1 market well and truly open later on Tuesday when it prices a EUR1bn perpetual non-call seven-year issue  the first from a national champion in the single currency.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20131203,Books reach EUR7bn on Barclays' inaugural euro AT1 ,LONDON  Dec 3 (IFR) - The first euro denominated Additional Tier 1 issue for Barclays Plc has attracted around EUR7bn of investor demand  according to a lead manager.,normal
CBOE,CBOE Holdings Inc,20131203,MOVES-Macquarie Capital  Taconic  CBOE  Dynasty Financial ,Dec 3 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
CELG,Celgene Corporation,20131203,OncoMed stock doubles after cancer drug deal with Celgene ,Shares of OncoMed Pharmaceuticals Inc more than doubled on Tuesday after the biotechnology company said Celgene Corp would help it develop and market six of its experimental anti-cancer stem cell drugs.,topStory
CELG,Celgene Corporation,20131203,UPDATE 2-OncoMed stock doubles after cancer drug deal with Celgene ,* Celgene stock down 1.4 pct   (Adds CEO  analyst comments  details on deal; updates share price),normal
CELG,Celgene Corporation,20131203,BRIEF-Oncomed Pharma up 62.1 pct premarket after Celgene deal ,NEW YORK  Dec 3 OncoMed Pharmaceuticals Inc  :  * Shares up 62.1 percent premarket  to develop six cancer drugs with Celgene,normal
PLCE,Children&#39;s Place Inc (The),20131203,INDIA PRESS-US retailer Children's Place may partner Arvind-Times of India ,Note: Reuters has not verified this story and does not vouch for its accuracy.,topStory
CMCSA,Comcast Corporation,20131203,Singer Rita Ora joins 'Fifty Shades of Grey' film ,LOS ANGELES British R&B singer Rita Ora will be the latest addition to Universal Pictures' "Fifty Shades of Grey" film  the Comcast Corp-owned studio said on Monday.,topStory
CMCSA,Comcast Corporation,20131203,Singer Rita Ora joins 'Fifty Shades of Grey' film ,LOS ANGELES  Dec 2 British R&B singer Rita Ora will be the latest addition to Universal Pictures' "Fifty Shades of Grey" film  the Comcast Corp-owned studio said on Monday.,normal
CNAT,Conatus Pharmaceuticals Inc,20131203,BRIEF-Conatus Pharma shares up 26.2 pct premarket ,NEW YORK  Dec 3 Conatus Pharmaceuticals Inc  :  * Shares up 26.2 percent in premarket trading,topStory
EBAY,eBay Inc,20131203,UPDATE 2-Early start hurts Black Friday sales  Cyber Monday hits record ,Dec 3 U.S. retailers rolled out holiday promotions earlier in November this year  denting sales growth over the Thanksgiving weekend that typically marks the beginning of the holiday spending period  according to data released Tuesday by ShopperTrak.,normal
EBAYL,eBay Inc,20131203,UPDATE 2-Early start hurts Black Friday sales  Cyber Monday hits record ,Dec 3 U.S. retailers rolled out holiday promotions earlier in November this year  denting sales growth over the Thanksgiving weekend that typically marks the beginning of the holiday spending period  according to data released Tuesday by ShopperTrak.,normal
ERIC,Ericsson,20131203,RPT-Fitch Affirms Ericsson at 'BBB+'; Outlook Negative ,Dec 3 (The following statement was released by the rating agency),topStory
FB,Facebook Inc,20131203,Facebook phases in 'Unfollow' button ,Facebook Inc has replaced its "Hide All" button with the more succinct "Unfollow " letting users block all messages and posts from selected friends.,topStory
FB,Facebook Inc,20131203,Facebook phases in "Unfollow" button ,Dec 3 Facebook Inc has replaced its "Hide All" button with the more succinct "Unfollow " letting users block all messages and posts from selected friends.,normal
MSFT,Microsoft Corporation,20131203,Google takes on Amazon by cutting cloud service prices ,SAN FRANCISCO Google Inc will lower prices on cloud services as the search giant gears up to take on Amazon.com Inc  International Business Machines Corp and Microsoft Corp in the fast-growing market of Internet services for corporations.,topStory
MSFT,Microsoft Corporation,20131203,Google takes on Amazon by cutting cloud service prices ,SAN FRANCISCO  Dec 3 Google Inc will lower prices on cloud services as the search giant gears up to take on Amazon.com Inc  International Business Machines Corp and Microsoft Corp in the fast-growing market of Internet services for corporations.,normal
MORN,Morningstar Inc,20131203,Pimco Total Return Fund had $3.7 billion outflow in November: Morningstar ,The Pimco Total Return fund  the world's largest bond fund  had an outflow of $3.7 billion in November  its seventh straight month  bringing estimated year-to-date outflows to $36.9 billion  according to Morningstar.,topStory
OHRP,Ohr Pharmaceuticals Inc,20131203,Ohr aims big with eye drop to rival blockbusters ,Patients who are being treated for a leading cause of blindness among the elderly might be able to scale back on eye injections if trials confirm the potential of an eye drop being developed by a small New York-based company.,topStory
OHRP,Ohr Pharmaceuticals Inc,20131203,Ohr aims big with eye drop to rival blockbusters ,* Ohr seeks to follow commercial success of Regeneron  Roche,normal
OMED,OncoMed Pharmaceuticals Inc,20131203,Deals of the day- Mergers and acquisitions ,(Adds Adcock Ingram  Energa  Nordea Bank  Alitalia  Ben Venue  TIM Participacoes  Douglas  Mercator; updates Novartis  OncoMed  Kerning  Malaysia Airports),topStory
OMED,OncoMed Pharmaceuticals Inc,20131203,OncoMed stock doubles after cancer drug deal with Celgene ,Shares of OncoMed Pharmaceuticals Inc more than doubled on Tuesday after the biotechnology company said Celgene Corp would help it develop and market six of its experimental anti-cancer stem cell drugs.,normal
OMED,OncoMed Pharmaceuticals Inc,20131203,UPDATE 2-OncoMed stock doubles after cancer drug deal with Celgene ,* Celgene stock down 1.4 pct   (Adds CEO  analyst comments  details on deal; updates share price),normal
OMED,OncoMed Pharmaceuticals Inc,20131203,BRIEF-Oncomed Pharma up 62.1 pct premarket after Celgene deal ,NEW YORK  Dec 3 OncoMed Pharmaceuticals Inc  :  * Shares up 62.1 percent premarket  to develop six cancer drugs with Celgene,normal
REGN,Regeneron Pharmaceuticals Inc,20131203,Ohr aims big with eye drop to rival blockbusters ,* Ohr seeks to follow commercial success of Regeneron  Roche,topStory
RYAAY,Ryanair Holdings plc,20131203,Ryanair has not offered to take part in Alitalia cash call ,ROME Ryanair  has not offered to take part in Italian airline Alitalia's  poorly received 300 million euro ($407 million) capital increase  the chief executive of the Irish budget carrier said on Tuesday.,topStory
RYAAY,Ryanair Holdings plc,20131203,UPDATE 1-Ryanair has not offered to take part in Alitalia cash call ,ROME  Dec 3 Ryanair has not offered to take part in Italian airline Alitalia's poorly received 300 million euro ($407 million) capital increase  the chief executive of the Irish budget carrier said on Tuesday.,normal
RYAAY,Ryanair Holdings plc,20131203,Ryanair says has not offered to participate in Alitalia capital hike ,ROME  Dec 3 Ryanair has not offered to participate in Alitalia's  planned capital increase  the chief executive of the Irish low-cost carrier said on Tuesday.,normal
SHLD,Sears Holdings Corporation,20131203,Lampert fund distributes 7.4 mln Sears shares to limited partners ,NEW YORK  Dec 3 Billionaire Edward Lampert's hedge fund  ESL Partners  distributed about 7.4 million shares of U.S. retailer Sears Holdings Corp to investors in the fund  according to a regulatory filing on Tuesday.,topStory
TSLA,Tesla Inc ,20131203,US STOCKS-Dow  S&P fall for 3rd straight day; retail weighs ,* Automakers' shares fall after November sales  but Tesla soars,topStory
TSLA,Tesla Inc ,20131203,US STOCKS-Wall St declines for third day  led by consumer stocks ,* Tesla's stock jumps after Morgan Stanley names it a top pick,normal
TSLA,Tesla Inc ,20131203,US STOCKS-Wall St falls on Fed concern after 8-week run higher ,* Yum Brands' November China sales flat  sending shares down,normal
TSLA,Tesla Inc ,20131203,BRIEF-Tesla shares up 11.9 pct in high volume ,NEW YORK  Dec 3 Tesla Motors Inc :  * Up 11.9 percent in high volume; Morgan Stanley names stock "top pick",normal
TSLA,Tesla Inc ,20131203,BRIEF-Tesla Motors shares up 5.7 pct premarket ,NEW YORK  Dec 3 Tesla Motors Inc :  * Shares up 5.7 percent in premarket trading,normal
CG,The Carlyle Group LP,20131203,HK's next hot IPO banks on China funeral growth ,* Fu Shou Yuan International Group Ltd seeks to raise $200 mln,normal
TCGP,The Carlyle Group LP,20131203,HK's next hot IPO banks on China funeral growth ,* Fu Shou Yuan International Group Ltd seeks to raise $200 mln,normal
ANF,Abercrombie & Fitch Company,20131203,Abercrombie shareholder wants CEO replaced or company sold ,An Abercrombie & Fitch Co  shareholder urged the teen apparel retailer to replace Chief Executive Mike Jeffries after his contract expires in February  failing which the company should consider selling itself.,topStory
ANF,Abercrombie & Fitch Company,20131203,UPDATE 2-Abercrombie shareholder wants CEO replaced or company sold ,Dec 3 An Abercrombie & Fitch Co  shareholder urged the teen apparel retailer to replace Chief Executive Mike Jeffries after his contract expires in February  failing which the company should consider selling itself.,normal
ANF,Abercrombie & Fitch Company,20131203,Abercrombie shareholder wants CEO Jeffries replaced ,Dec 3 An Abercrombie & Fitch Co  shareholder called on the teen apparel retailer to replace Chief Executive Mike Jeffries after his contract expires in February  saying his re-election could further dent shareholder confidence in the board.,normal
AET,Aetna Inc,20131203,UnitedHealth says health reform to cost up to $1 per share in 2014 ,UnitedHealth Group Inc  said on Tuesday that it expects U.S. healthcare reform to have a net drag on earnings of 90 cents to $1 per share in 2014 due to changes in the individual and Medicare businesses as well as new taxes and fees.,topStory
AET,Aetna Inc,20131203,UnitedHealth says health reform to cost up to $1 per share in 2014 ,Dec 3 UnitedHealth Group Inc said on Tuesday that it expects U.S. healthcare reform to have a net drag on earnings of 90 cents to $1 per share in 2014 due to changes in the individual and Medicare businesses as well as new taxes and fees.,normal
AGU,Agrium Inc,20131203,Agrium says not considering potash job cuts ,Dec 3 Canadian potash producer Agrium Inc  said on Tuesday that it is not planning job cuts at its Vanscoy  Saskatchewan  mine  even after larger fertilizer rival Potash Corp of Saskatchewan revealed plans to slash staff.,topStory
AZN,Astrazeneca PLC,20131203,AstraZeneca awarded $76 million from Apotex for Prilosec generic ,NEW YORK A U.S. federal judge has awarded AstraZeneca Plc $76 million in damages from generic drug manufacturer Apotex for infringing upon patents for AstraZeneca's blockbuster heartburn drug  Prilosec  between 2003 and 2007.,topStory
AZN,Astrazeneca PLC,20131203,AstraZeneca awarded $76 million from Apotex for Prilosec generic ,NEW YORK  Dec 3 A U.S. federal judge has awarded AstraZeneca Plc $76 million in damages from generic drug manufacturer Apotex for infringing upon patents for AstraZeneca's blockbuster heartburn drug  Prilosec  between 2003 and 2007.,normal
BAC,Bank of America Corporation,20131203,New Issue- Bank of America prices dual tranche deal ,For news about this issuer  double click on the issuer RIC ,topStory
BMO,Bank Of Montreal,20131203,UPDATE 2-Bank of Montreal shares fall on disappointing U.S. profit ,* Canada's No. 4 bank is first to report quarterly results   (Adds analyst comments  stock prices  details),topStory
BMO,Bank Of Montreal,20131203,Bank of Montreal Q4 profit inches higher; dividend raised ,TORONTO  Dec 3 Bank of Montreal  Canada's No. 4 bank  said on Tuesday its quarterly profit rose 1 percent as stronger wealth management profit was offset by weaker trading results.,normal
BCS,Barclays PLC,20131203,Barclays fixes terms on euro CoCo ,LONDON  Dec 3 (IFR) - Barclays PLC is poised to price its first euro-denominated Additional Tier 1 bond at a yield of 8% on Tuesday  according to a market source.,topStory
BCS,Barclays PLC,20131203,UPDATE 1-Books reach EUR7bn on Barclays' inaugural euro AT1 ,LONDON  Dec 3 (IFR) - Barclays will declare the European Additional Tier 1 market well and truly open later on Tuesday when it prices a EUR1bn perpetual non-call seven-year issue  the first from a national champion in the single currency.,normal
BCS,Barclays PLC,20131203,Books reach EUR7bn on Barclays' inaugural euro AT1 ,LONDON  Dec 3 (IFR) - The first euro denominated Additional Tier 1 issue for Barclays Plc has attracted around EUR7bn of investor demand  according to a lead manager.,normal
ABX,Barrick Gold Corporation,20131203,Munk's well-connected successor looks to fix Barrick ,Soon after he joined Barrick Gold Corp's  board last year  John Thornton  the designated successor to founder and chairman Peter Munk  took a company team to visit Ford Motor Co  and learn about the automaker's turnaround story.,topStory
ABX,Barrick Gold Corporation,20131203,CORRECTED-NEWSMAKER-Munk's well-connected successor looks to fix Barrick ,Dec 3 Soon after he joined Barrick Gold Corp's  board last year  John Thornton  the designated successor to founder and chairman Peter Munk  took a company team to visit Ford Motor Co and learn about the automaker's turnaround story.,normal
ABX,Barrick Gold Corporation,20131203,NEWSMAKER-Munk's well-connected successor looks to fix Barrick , ,normal
BA,Boeing Company (The),20131203,BlackBerry says making headway with corporate  gov't clients ,* Morgan Stanley  Boeing  among those testing new offering,topStory
BA,Boeing Company (The),20131203,Rockwell Collins sees 'pretty significant' odds to supply new 777X ,Rockwell Collins Inc   which makes cockpit systems for airplanes  on Tuesday said it sees "pretty significant" opportunities to supply systems on Boeing's newest commercial airliner  the 777X.,normal
BA,Boeing Company (The),20131203,Rockwell Collins sees 'pretty significant' odds to supply new 777X ,Dec 3 Rockwell Collins Inc  which makes cockpit systems for airplanes  on Tuesday said it sees "pretty significant" opportunities to supply systems on Boeing's newest commercial airliner  the 777X.,normal
BA,Boeing Company (The),20131203,Ryanair has not offered to take part in Alitalia cash call ,ROME Ryanair  has not offered to take part in Italian airline Alitalia's  poorly received 300 million euro ($407 million) capital increase  the chief executive of the Irish budget carrier said on Tuesday.,normal
BP,BP plc,20131203,UK  trade groups tell US court ban against BP unfair ,HOUSTON The U.S. Environmental Protection Agency may have been too harsh when it banned BP Plc from lucrative federal contracts as punishment for its 2010 Macondo oil spill  the UK and prominent business groups said on Tuesday.,topStory
BP,BP plc,20131203,UPDATE 1-UK  trade groups tell US court ban against BP unfair ,HOUSTON  Dec 3 The U.S. Environmental Protection Agency may have been too harsh when it banned BP Plc from lucrative federal contracts as punishment for its 2010 Macondo oil spill  the UK and prominent business groups said on Tuesday.,normal
BP,BP plc,20131203,UK  trade groups tell US court ban against BP unfair ,HOUSTON  Dec 3 The U.S. Environmental Protection Agency may have been too harsh when it banned BP Plc from lucrative federal contracts as punishment for its 2010 Macondo oil spill  the United Kingdom and prominent business groups said on Tuesday.,normal
BP,BP plc,20131203,BP wins U.S. appeals court reprieve over some Gulf spill payments ,BP Plc won a legal reprieve in its effort to avoid payments to those whose losses were not traceable to the 2010 Gulf of Mexico oil spill  potentially sparing the oil company of extra costs.,normal
BP,BP plc,20131203,BP wins U.S. appeals court reprieve over some Gulf spill payments ,Dec 2 BP Plc won a legal reprieve in its effort to avoid payments to those whose losses were not traceable to the 2010 Gulf of Mexico oil spill  potentially sparing the oil company of extra costs.,normal
CPN,Calpine Corporation,20131203,Calpine to buy Texas power plant but delay plan for new units ,HOUSTON Calpine Corp  said Monday it will expand its fleet of power plants in Texas  but delay construction of two "quick-start" peaker plants until a debate over electric market reform is settled.,topStory
CHL,China Mobile (Hong Kong) Ltd,20131203,UPDATE 1-China Mobile briefly takes pre-orders for iPhones -Fortune.com ,Dec 3 China Mobile Ltd  the world's largest mobile phone carrier  has quietly begun taking pre-orders for Apple Inc's iPhones  according to a report on Fortune.com.,topStory
CHL,China Mobile (Hong Kong) Ltd,20131203,China's Tencent brand valued at $34 bln  close to Wal-Mart ,BEIJING  Dec 3 Internet services company Tencent Holdings Ltd has grown so rapidly it's now China's most valuable listed technology brand  with a value even closing in on that of Wal-Mart Stores Inc  a report published on Tuesday shows.,normal
C,Citigroup Inc,20131203,EU readies multi-million euro benchmark rigging fines: sources ,BRUSSELS EU antitrust regulators will impose record multi-million euro fines on six banks including Citigroup  Deutsche Bank and Royal Bank of Scotland on Wednesday for rigging key interest rate benchmarks  sources said.,topStory
DHI,DR Horton Inc,20131203,Businesses win in U.S. court ruling on worker arbitration pacts ,U.S. employers can use arbitration agreements to require employees to resolve disputes on an individual basis  a federal appeals court has ruled  marking a victory for companies and a setback for labor groups,topStory
DHI,DR Horton Inc,20131203,Businesses win in U.S. court ruling on worker arbitration pacts ,Dec 3 U.S. employers can use arbitration agreements to require employees to resolve disputes on an individual basis  a federal appeals court has ruled  marking a victory for companies and a setback for labor groups,normal
DB,Deutsche Bank AG,20131203,Deutsche to place up to 10 mln Gagfah shares for Fortress ,FRANKFURT  Dec 3 Deutsche Bank said on Tuesday it would begin the placement on the open market of up to 10 million shares in German real estate group Gagfah  on behalf of investor Fortress Investment Group LLC.,topStory
LLY,Eli Lilly and Company,20131203,Novartis opens animal health books to Bayer and Lilly: sources ,FRANKFURT Swiss drugmaker Novartis is ready to sell its animal health subsidiary and has opened its books to Bayer and other rivals interested in a business that could change hands for more than 3 billion euros ($4.1 billion)  sources familiar with the matter told Reuters.,topStory
E,ENI SpA,20131203,Oil spill coats river  sea near ENI Nigeria facility ,YENAGOA  Nigeria A large oil spill near Nigeria's Brass facility  run by ENI  has spread through the sea and swamps of the oil producing Niger Delta region  local residents and the company said on Monday.,topStory
F,Ford Motor Company,20131203,UPDATE 2-Canada auto sales set record November  Ford leads pack ,TORONTO  Dec 3 Ford Motor Co's Canadian arm maintained its spot as the country's best selling brand  data released on Tuesday showed  as growing demand for trucks helped power a sixth consecutive monthly record for Canadian vehicle sales in November.,topStory
F,Ford Motor Company,20131203,BRIEF-Ford sees November sales rate at mid-16 mln  including medium and heavy trucks ,DETROIT  Dec 3 Ford Motor Co :  * Us sales analyst says annual sales rate for US auto industry for November was,normal
F,Ford Motor Company,20131203,CORRECTED-NEWSMAKER-Munk's well-connected successor looks to fix Barrick ,Dec 3 Soon after he joined Barrick Gold Corp's  board last year  John Thornton  the designated successor to founder and chairman Peter Munk  took a company team to visit Ford Motor Co and learn about the automaker's turnaround story.,normal
F,Ford Motor Company,20131203,NEWSMAKER-Munk's well-connected successor looks to fix Barrick , ,normal
F,Ford Motor Company,20131203,Chrysler's November sales rise 16 pct  top expectations ,Dec 3 Chrysler Group LLC said its U.S. vehicle sales in November jumped 16 percent from a year before  beating analysts' expectations.,normal
F,Ford Motor Company,20131203,CORRECTED-China car lobby opposes rule change on foreign ownership ,(Corrects full names of Ford and Toyota in seventh paragraph  fixes typo in penultimate paragraph and drops extraneous word in final paragraph),normal
GM,General Motors Company,20131203,BRIEF-GM sees US auto industry exiting year at 16 million vehicle monthly sales rate ,DETROIT  Dec 3 General Motors Co on conference call:  * VP of US sales operations says small business deliveries up 38 percent versus,topStory
GSK,GlaxoSmithKline PLC,20131203,Britain's Cameron defends GSK's business practices in China ,SHANGHAI  Dec 3 British Prime Minister David Cameron on Tuesday mounted a robust defence of GlaxoSmithKline's  business practices in China - where it is being investigated for alleged bribery - calling the firm "very decent".,topStory
