ADXS,Advaxis Inc,20131209,BRIEF-Advaxis up 22 pct premarket; signs license deal with Global BioPharma to develop ADXS-HPV in Asia ,NEW YORK  Dec 9 Advaxis Inc :  * Up 22 percent to $4.38 in premarket; signs license deal with Global bioPharma to develop,topStory
AAPL,Apple Inc,20131209,Qualcomm plans smartphone chips with 64-bit technology ,SAN FRANCISCO Qualcomm Inc said on Monday it will make smartphone chips with 64-bit features typically found in personal computers  following Apple Inc and opening the way to more efficient mobile gadgets.,topStory
AAPL,Apple Inc,20131209,Qualcomm plans smartphone chips with 64-bit technology ,SAN FRANCISCO  Dec 9 Qualcomm Inc said on Monday it will make smartphone chips with 64-bit features typically found in personal computers  following Apple Inc  and opening the way to more efficient mobile gadgets.,normal
AAPL,Apple Inc,20131209,Three ways for investors to catch the global tailwind in 2014 ,(The author is a columnist for Reuters. The opinions expressed are his own.),normal
AAPL,Apple Inc,20131209,COLUMN-Three ways for investors to catch the global tailwind in 2014 ,CHICAGO  Dec 9 There is a growing consensus that U.S. stocks  as well as stocks around the world  are going to catch a tailwind going into 2014.,normal
AAPL,Apple Inc,20131209,U.S. tech companies call for more controls on surveillance ,LONDON Eight major U.S. web companies  including Apple  Google and Facebook  made a joint call on Monday for tighter controls on how governments collect personal data  intensifying the furor over online surveillance.,normal
AAPL,Apple Inc,20131209,UPDATE 1-U.S. tech companies call for more controls on surveillance , ,normal
AAPL,Apple Inc,20131209,Samsung may need to offer more to settle patent dispute: Almunia ,PARIS Samsung Electronics Co Ltd will likely need to do more to settle an investigation over whether its use of patent lawsuits against Apple Inc breached EU rules  the EU antitrust chief said on Monday.,normal
AAPL,Apple Inc,20131209,UPDATE 1-Samsung may need to offer more to settle patent dispute - Almunia ,PARIS  Dec 9 Samsung Electronics Co Ltd  will likely need to do more to settle an investigation over whether its use of patent lawsuits against Apple Inc breached EU rules  the EU antitrust chief said on Monday.,normal
AAPL,Apple Inc,20131209,Samsung may need to offer more to settle patent dispute - Almunia ,BRUSSELS  Dec 9 Samsung Electronics  will likely need to improve its offer to the European Union regulator to address patent issues with rivals such as Apple Inc.  the European Competition Commissioner said on Monday.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20131209,Barclays favors nickel in 2014  bearish on gold and oil ,* Brent seen averaging $101 a barrel in Q1 vs about $110 now,topStory
CHTR,Charter Communications Inc,20131209,Time Warner Cable  Charter execs see benefits of deals but in no rush ,Time Warner Cable's incoming chief executive Rob Marcus said on Monday he is in no hurry to sell the company  while Charter's CEO Tom Rutledge  a potential suitor  said the smaller company sees benefits in growing through acquisitions.,topStory
CHTR,Charter Communications Inc,20131209,UPDATE 1-Time Warner Cable  Charter execs see benefits of deals but in no rush ,Dec 9 Time Warner Cable's incoming chief executive Rob Marcus said on Monday he is in no hurry to sell the company  while Charter's CEO Tom Rutledge  a potential suitor  said the  smaller company sees benefits in growing through acquisitions.,normal
CHTR,Charter Communications Inc,20131209,Time Warner Cable incoming CEO says in no rush to sell company ,Dec 9 Time Warner Cable's incoming chief executive Rob Marcus said on Monday he is not in a hurry to sell the company and that management is focused on running the business for the "long haul.",normal
CMCSA,Comcast Corporation,20131209,UPDATE 1-Time Warner Cable  Charter execs see benefits of deals but in no rush ,Dec 9 Time Warner Cable's incoming chief executive Rob Marcus said on Monday he is in no hurry to sell the company  while Charter's CEO Tom Rutledge  a potential suitor  said the  smaller company sees benefits in growing through acquisitions.,normal
CMCSA,Comcast Corporation,20131209,Time Warner Cable incoming CEO says in no rush to sell company ,Dec 9 Time Warner Cable's incoming chief executive Rob Marcus said on Monday he is not in a hurry to sell the company and that management is focused on running the business for the "long haul.",normal
CMTL,Comtech Telecommunications Corp,20131209,BRIEF-Comtech Telecommunications shares up 5.5 pct after the bell ,NEW YORK  Dec 9 Comtech Telecommunications Corp  :  * Shares up 5.5 percent after the bell after it announced an increase in its annual dividend and increased its stock repurchase program.,topStory
FB,Facebook Inc,20131209,U.S. tech companies call for more controls on surveillance ,LONDON Eight major U.S. web companies  including Apple  Google and Facebook  made a joint call on Monday for tighter controls on how governments collect personal data  intensifying the furor over online surveillance.,topStory
FB,Facebook Inc,20131209,UPDATE 1-U.S. tech companies call for more controls on surveillance , ,normal
FEYE,FireEye Inc,20131209,Chinese hackers spied on Europeans before G20 meeting: researcher ,BOSTON Chinese hackers eavesdropped on the computers of five European foreign ministries before last September's G20 Summit  which was dominated by the Syrian crisis  according to research by computer security firm FireEye Inc,topStory
FEYE,FireEye Inc,20131209,Chinese hackers spied on Europeans before G20 meeting-researcher ,BOSTON  Dec 9 Chinese hackers eavesdropped on the computers of five European foreign ministries before last September's G20 Summit  which was dominated by the Syrian crisis  according to research by computer security firm FireEye Inc,normal
HOLX,Hologic Inc,20131209,Hologic names new CEO  adds two Icahn nominees to board ,Medical device maker Hologic Inc  named a former Stryker Corp  CEO as its chief executive  and said it appointed two directors backed by Carl Icahn to its board as part of a settlement with the activist investor.,topStory
INFI,Infinity Pharmaceuticals Inc,20131209,BRIEF-Infinity Pharma up 13 percent premarket after updated IPI-145 data ,NEW YORK  Dec 9 Infinity Pharmaceuticals Inc  :  * Pharma up 13 percent to $16.90 in premarket after updated IPI-145 data,topStory
MGIC,Magic Software Enterprises Ltd,20131209,Harden boosts Rockets past Magic ,HOUSTON -- There were moments this season when Houston Rockets guard James Harden was chastised for his lackluster commitment to defense and an overall malaise toward anything outside of scoring.,topStory
NIHD,NII Holdings Inc,20131209,UPDATE 1-NII to cut jobs  expects higher prepaid user losses in Mexico ,Dec 9 NII Holdings Inc  which provides telecom services under the Nextel brand in Latin America  said it would cut more than 1 400 jobs in its market operations and over 25 percent of the workforce at its Virginia headquarters.,topStory
NIHD,NII Holdings Inc,20131209,NII to cut jobs  expects higher prepaid user losses in Mexico ,Dec 9 NII Holdings Inc  which provides telecom services under the Nextel brand in Latin America  said it would cut more than 1 400 jobs in its market operations and over 25 percent of its workforce at its Virginia headquarters.,normal
