AAPL,Apple Inc,20131211,Biometric smartphones to be mainstream in 2014: Ericsson ,STOCKHOLM Biometric smartphones are expected to become mainstream next year as leading handset makers follow the lead of Apple Inc. into fingerprint recognition technology  an Ericsson report on consumer trends showed on Wednesday.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20131211,KKR  Carlyle vie for optical retailer National Vision -sources ,NEW YORK  Dec 11 KKR & Co LP and Carlyle Group LP are competing for National Vision Inc  the fourth-largest U.S. retailer of eyeglasses and contact lenses  in an auction that could fetch up to $1 billion  people familiar with the matter said this week.,normal
CSCO,Cisco Systems Inc,20131211,Cisco loses court challenge to Microsoft's takeover of Skype ,LUXEMBOURG Microsoft fended off a challenge to its $8.5 billion takeover of messaging service Skype as Europe's second-highest court ruled against claims by rival Cisco that the 2011 deal would harm competition.,topStory
CSCO,Cisco Systems Inc,20131211,UPDATE 3-Cisco loses court challenge to Microsoft's takeover of Skype ,* Cisco and Microsoft compete in corporate communications,normal
CSCO,Cisco Systems Inc,20131211,Analysis: Some Cisco investors urge an exit from set-top box unit ,NEW YORK Cisco Systems Inc Chief Executive John Chambers is facing growing pressure from investors to exit its television set-top box business  where revenue has been plummeting and profit margins trail the rest of the company.,normal
CSCO,Cisco Systems Inc,20131211,Deals of the day- Mergers and acquisitions ,Dec 11 The following bids  mergers  acquisitions and disposals were reported by 1000 GMT on Wednesday:,normal
CSCO,Cisco Systems Inc,20131211,EU court upholds Microsoft  Skype deal  rejects Cisco challenge ,LUXEMBOURG  Dec 11 Europe's second highest court upheld on Wednesday a decision by EU regulators clearing Microsoft's $8.5 billion takeover of Skype two years ago  rejecting a challenge by the world's top network equipment maker Cisco Systems Inc.,normal
COST,Costco Wholesale Corporation,20131211,US STOCKS-Fed taper anxiety triggers profit taking on Wall St ,* LabCorp tumbles after outlook  Quest Diagnostics follows,topStory
COST,Costco Wholesale Corporation,20131211,Higher operating expenses pinch Costco profit ,Costco Wholesale Corp  reported a first-quarter profit that fell short of analysts' estimates  hurt by higher stock-based compensation expenses and spending on technology.,normal
COST,Costco Wholesale Corporation,20131211,UPDATE 2-Higher operating expenses pinch Costco profit ,Dec 11 Costco Wholesale Corp reported a first-quarter profit  that fell short of analysts' estimates  hurt by higher stock-based compensation expenses and spending on technology.,normal
COST,Costco Wholesale Corporation,20131211,US STOCKS-Wall St falls as budget deal sets off Fed taper worry ,* Dow down 0.6 pct; S&P 500 off 0.8 pct; Nasdaq down 1 pct,normal
COST,Costco Wholesale Corporation,20131211,RPT-US STOCKS-Wall St dips as investors mull Fed tapering after budget deal ,NEW YORK  Dec 11 Wall Street fell modestly on Wednesday as investors weighed the possibility of a wind-down of U.S. Federal Reserve stimulus in the wake of a provisional budget deal reached in Wahington.,normal
COST,Costco Wholesale Corporation,20131211,US STOCKS-Wall St dips as investors mull Fed tapering after budget deal ,NEW YORK  Dec 11 Wall Street fell modestly on Wednesday as investors weighed the possibility of a wind-down of U.S. Federal Reserve stimulus in the wake of a provisional budget deal reached in Wahington.,normal
COST,Costco Wholesale Corporation,20131211,US STOCKS-Wall St set for flat open as market digests budget deal ,NEW YORK  Dec 11 Wall Street was set to open little changed on Wednesday as investors assessed a provisional budget deal reached in Washington and its potential impact on an expected wind-down of Federal Reserve stimulus.,normal
COST,Costco Wholesale Corporation,20131211,US STOCKS-Futures little changed as market digests budget deal ,NEW YORK  Dec 11 U.S. stock index futures were little changed on Wednesday as investors assessed a provisional budget deal reached in Washington and its potential impact of an expected wind-down of Federal Reserve stimulus.,normal
COST,Costco Wholesale Corporation,20131211,BRIEF-Costco Wholesale shares down following results ,NEW YORK  Dec 11 Costco Wholesale Corp :  * Shares down 4.3 percent in premarket trade following results,normal
COST,Costco Wholesale Corporation,20131211,Costco profit misses estimates ,Dec 11 Costco Wholesale Corp's  first-quarter profit missed Wall Street estimates  weighed down by lower gasoline prices and weak foreign currencies.,normal
CYTR,CytRx Corporation,20131211,CytRx's cancer treatment meets main goal  shares soar ,CytRx Corp said its experimental cancer treatment improved survival rates in untreated soft tissue sarcoma patients without the disease progressing  compared with standard chemotherapy alone  sending the company's shares up as much as 83 percent.,topStory
CYTR,CytRx Corporation,20131211,UPDATE 1-CytRx's cancer treatment meets main goal  shares soar ,(Adds CEO and analyst comments  background  share movement),normal
CYTR,CytRx Corporation,20131211,CytRx's cancer drug meets main goal  shares soar ,Dec 11 CytRx Corp said its experimental cancer drug improved survival rates in soft tissue sarcoma patients without the disease progressing  compared to chemotherapy alone  sending its shares up 75 percent before the bell.,normal
CYTR,CytRx Corporation,20131211,BRIEF-Cytrx up 25.5 percent premarket after phase 2b clinical trial results ,NEW YORK  Dec 11 CytRx Corp :  * Up 25.5 percent to $3 in premarket after phase 2b clinical trial results of aldoxorubicin,normal
ERIC,Ericsson,20131211,Biometric smartphones to be mainstream in 2014: Ericsson ,STOCKHOLM Biometric smartphones are expected to become mainstream next year as leading handset makers follow the lead of Apple Inc. into fingerprint recognition technology  an Ericsson report on consumer trends showed on Wednesday.,topStory
FB,Facebook Inc,20131211,Facebook to join S&P 500 ,Standard & Poor's on Wednesday said Facebook Inc will join its S&P 500 stock index after the close of trading on December 20  cementing the social media network's rise into one of the biggest  most powerful U.S. companies.,topStory
FB,Facebook Inc,20131211,Facebook to join S&P 500 ,Dec 11 Standard & Poor's on Wednesday said Facebook Inc will join its S&P 500 stock index after the close of trading on Dec. 20  cementing the social media network's rise into one of the biggest  most powerful U.S. companies.,normal
FB,Facebook Inc,20131211,BRIEF-Facebook shares up 4 pct in extended trading  to join S&P 500 index ,NEW YORK  Dec 11 Facebook Inc :  * Shares up 4 percent in extended trading  to join S&P 500 index,normal
GRPN,Groupon Inc,20131211,BRIEF-Groupon up 2.9 percent premarket; Wells Fargo raises to outperform rating ,NEW YORK  Dec 11 Groupon Inc :  * Up 2.9 percent to $10.33 in premarket; Wells Fargo raises to outperform rating,topStory
JBLU,JetBlue Airways Corporation,20131211,Southwest Air to bid aggressively for Reagan National slots ,Dec 11 Southwest Airlines Co plans to bid aggressively for takeoff and landing rights at Reagan National Airport near Washington  as it looks to bring more competition to the nation's capital  a senior company executive said.,normal
