ALGT,Allegiant Travel Company,20131223,YOUR MONEY - What to expect if your kid is flying solo ,(The author is a Reuters' contributor. The opinions expressed are his own.),normal
AMZN,Amazoncom Inc,20131223,Chevron appeals to top Ecuador court in pollution case ,QUITO U.S. energy company Chevron Corp appealed on Monday to Ecuador's highest court  asking it to cancel a $9.5 billion fine for polluting the Amazon rainforest in a long-running case.,topStory
AMZN,Amazoncom Inc,20131223,Alibaba rival JD.com to top sales target as Chinese shoppers flock to Internet ,BEIJING JD.com  China's second-largest e-commerce site  is set to exceed 100 billion yuan ($16.47 billion) in annual sales for the first time in a market that has drawn investment from global retailing names such as Amazon and Wal-Mart.,normal
AMZN,Amazoncom Inc,20131223,Alibaba rival JD.com to top sales target as Chinese shoppers flock to Internet ,BEIJING  Dec 23 JD.com  China's second-largest e-commerce site  is set to exceed 100 billion yuan ($16.47 billion) in annual sales for the first time in a market that has drawn investment from global retailing names such as Amazon  and Wal-Mart.,normal
AAPL,Apple Inc,20131223,Dow  S&P hit record highs; Apple's China deal lifts techs ,NEW YORK U.S. stocks climbed on Monday  with the Dow and S&P 500 advancing to all-time highs as a distribution deal by Apple Inc with China Mobile boosted the technology sector.,topStory
AAPL,Apple Inc,20131223,US STOCKS-Dow  S&P hit record highs; Apple's China deal lifts techs ,* Facebook ends at record high on first day in the S&P 500,normal
AAPL,Apple Inc,20131223,Australia shares seen rising on Wall St record highs  trade shortened ,SYDNEY  Dec 24 Australian shares were set to rise on Tuesday  tracking a positive lead from Wall Street after Apple Inc lifted the technology sector on its deal with China Mobile.     The market will be closed earlier on Christmas eve.      * Local share price index futures rose 0.5 percent to 5 296  a 4.1 point premium/discount to the underlying S&P/ASX 200 index close. The benchmark gained 0.5 percent to three-week highs on Monday.     * New Zealand's benchmark NZX 50 index rose 0.,normal
AAPL,Apple Inc,20131223,US STOCKS-Dow  S&P end at record highs as Apple deal lifts techs ,* Facebook ends at record high on first day in the S&P 500,normal
AAPL,Apple Inc,20131223,UPDATE 1-Apple  China Mobile sign long-awaited deal to sell iPhones , ,normal
AAPL,Apple Inc,20131223,Hot 2014 investing tip: Don't chase 2013 ,CHICAGO This year  the stock market has been glowing as brightly as the seasonal lights that now bedeck holiday streetscapes.,normal
AAPL,Apple Inc,20131223,COLUMN-Hot 2014 investing tip: Don't chase 2013 ,CHICAGO  Dec 23 This year  the stock market has been glowing as brightly as the seasonal lights that now bedeck holiday streetscapes.,normal
AAPL,Apple Inc,20131223,US STOCKS-Wall St rallies to record highs  buoyed by Apple deal ,* Dow  S&P 500 at all-time highs; last week was best in months,normal
AAPL,Apple Inc,20131223,Strong ARM helps FTSE notch up four-session winning streak ,LONDON  Dec 23 Britain's shares rose for a fourth straight day on Monday as chip designer ARM was boosted by the prospect of more orders from key client Apple  while optimism about U.S. growth underpinned the broader market.,normal
AAPL,Apple Inc,20131223,Strong ARM helps FTSE notch up 4-session winning streak ,LONDON  Dec 23 Britain's shares rose for a fourth straight day on Monday as chip designer ARM was boosted by the prospect of more orders from key client Apple and optimism about U.S. growth underpinned the broader market.,normal
