AMZN,Amazoncom Inc,20140505,Ticketfly taps former Amazon exec for operating role ,SAN FRANCISCO  May 5 Ticketfly  which harnesses data analytics to promote events  hired a former Amazon executive to run day-to-day operations as the start-up adds more events to its roster and lays the groundwork to expand internationally.,topStory
AMCX,AMC Networks Inc,20140505,DIARY-NON S&P WEEK AHEAD - Part II ,** For events before May 07 please click on        For events after  May 11 please click on       - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -  DATE     GMT/MP  COMPANY NAME AND PERIOD                   SYMBOL     EPS     No.OF   YEAR AGO                                                                     ESTIMATE   EST     EPS 07 May    AMC    Q1 2014 American Capital  LTD                 0.22     6     0.21 07 May           Q1 2014 Ares Commerci,topStory
AAPL,Apple Inc,20140505,US STOCKS-Wall St ends up as ISM data upbeat; Apple above $600 ,* Services sector grows in April  fastest pace in 8 months,topStory
AAPL,Apple Inc,20140505,US STOCKS-Wall St ends up as ISM data upbeat; Apple above $600 ,* Services sector grows in April  fastest pace in 8 months,normal
AAPL,Apple Inc,20140505,REFILE-US STOCKS SNAPSHOT-Wall St ends higher  Apple closes above $600 ,(Corrects to show Apple shares haven't closed above $600 since October 2012  not since October),normal
AAPL,Apple Inc,20140505,Jury leaves damages Samsung must pay Apple unchanged at $119.6 million ,SAN JOSE  California A U.S. jury on Monday left the total damages Samsung Electronics Co Ltd must pay Apple Inc unchanged at $119.6 million  after additional deliberations in a trial where the South Korean smartphone maker was found to have infringed three Apple patents.,normal
AAPL,Apple Inc,20140505,UPDATE 2-Jury leaves damages Samsung must pay Apple unchanged at $119.6 mln ,SAN JOSE  Calif.  May 5 A U.S. jury on Monday left the total damages Samsung Electronics Co Ltd  must pay Apple Inc unchanged at $119.6 million  after additional deliberations in a trial where the South Korean smartphone maker was found to have infringed three Apple patents.,normal
AAPL,Apple Inc,20140505,Deals of the day- Mergers and acquisitions ,(Adds Alsea  UniCredit  Qatar Airways  Staples  Pfizer  Endurance Specialty  Ascometal  updates Alstom),normal
AAPL,Apple Inc,20140505,Jury leaves total damages Samsung must pay Apple unchanged at $119.6 mln ,SAN JOSE  Calif.  May 5 A U.S. jury on Monday left the total damages Samsung Electronics Co Ltd  must pay Apple Inc unchanged at $119.6 million after additional deliberations in a trial where the South Korean smartphone maker was found to have infringed three Apple patents.,normal
AAPL,Apple Inc,20140505,Apple on medical tech hiring spree  a possible hint of iWatch plans ,SAN FRANCISCO Apple Inc is building a team of senior medical technology executives  raising hackles in the biotechnology community and offering a hint of what the iPhone maker may be planning for its widely expected iWatch and other wearable technology.,normal
AAPL,Apple Inc,20140505,INSIGHT-Apple on medical tech hiring spree  a possible hint of iWatch plans ,SAN FRANCISCO  May 5 Apple Inc is building a team of senior medical technology executives  raising hackles in the biotechnology community and offering a hint of what the iPhone maker may be planning for its widely expected iWatch and other wearable technology.,normal
