ADBE,Adobe Systems Incorporated,20140523,UPDATE 1-Apple  Google  Intel  Adobe to pay $325 mln to settle hiring lawsuit ,(Adds comment from plaintiffs' lawyer  details about plaintiffs),topStory
GOOG,Alphabet Inc,20140523,UPDATE 1-Apple  Google  Intel  Adobe to pay $325 mln to settle hiring lawsuit ,(Adds comment from plaintiffs' lawyer  details about plaintiffs),topStory
GOOG,Alphabet Inc,20140523,Google developing tablet with advanced vision capabilities - WSJ ,Google Inc  is developing a new 7-inch tablet that can capture 3-D images  and plans to produce about 4 000 of these prototypes beginning next month  the Wall Street Journal reported  citing people briefed on the company's plans.,normal
GOOG,Alphabet Inc,20140523,Google developing tablet with advanced vision capabilities - WSJ ,May 22 Google Inc is developing a new 7-inch tablet that can capture 3-D images  and plans to produce about 4 000 of these prototypes beginning next month  the Wall Street Journal reported  citing people briefed on the company's plans.,normal
GOOGL,Alphabet Inc,20140523,UPDATE 1-Apple  Google  Intel  Adobe to pay $325 mln to settle hiring lawsuit ,(Adds comment from plaintiffs' lawyer  details about plaintiffs),topStory
GOOGL,Alphabet Inc,20140523,Google developing tablet with advanced vision capabilities - WSJ ,Google Inc  is developing a new 7-inch tablet that can capture 3-D images  and plans to produce about 4 000 of these prototypes beginning next month  the Wall Street Journal reported  citing people briefed on the company's plans.,normal
GOOGL,Alphabet Inc,20140523,Google developing tablet with advanced vision capabilities - WSJ ,May 22 Google Inc is developing a new 7-inch tablet that can capture 3-D images  and plans to produce about 4 000 of these prototypes beginning next month  the Wall Street Journal reported  citing people briefed on the company's plans.,normal
AMGN,Amgen Inc,20140523,Qiagen wins U.S. approval for test to accompany Amgen cancer drug ,FRANKFURT U.S. health regulators on Friday approved Qiagen NV's gene-testing kit to identify those colorectal cancer patients most likely to benefit from Amgen Inc's drug  Vectibix  Qiagen said.,topStory
AMGN,Amgen Inc,20140523,Qiagen wins U.S. approval for test to accompany Amgen cancer drug ,FRANKFURT  May 23 U.S. health regulators on Friday approved Qiagen NV's gene-testing kit to identify those colorectal cancer patients most likely to benefit from Amgen Inc's drug  Vectibix  Qiagen said.,normal
AAPL,Apple Inc,20140523,UPDATE 1-Apple  Google  Intel  Adobe to pay $325 mln to settle hiring lawsuit ,(Adds comment from plaintiffs' lawyer  details about plaintiffs),topStory
AAPL,Apple Inc,20140523,Apple  other tech firms formally agree to $325 mln hiring accord ,May 23 Four major Silicon Valley companies have formally agreed to pay $324.5 million to settle claims brought by employees accusing them of colluding not to poach each other's talent.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20140523,Barclays slapped with $44 million fine over gold price fix ,LONDON Barclays Plc has been fined 26 million pounds ($43.8 million) for failures in internal controls that allowed a trader to manipulate the setting of gold prices  just a day after the bank was fined for rigging Libor interest rates in 2012.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20140523,How a Barclays' options trader manipulated the gold price fix ,LONDON Daniel Plunkett  an options trader at Barclays Plc  became the first person to be fined for manipulating the setting of gold prices by Britain's financial watchdog on Friday.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20140523,How a Barclays' options trader manipulated the gold price fix ,LONDON  May 23 Daniel Plunkett  an options trader at Barclays Plc  became the first person to be fined for manipulating the setting of gold prices by Britain's financial watchdog on Friday.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20140523,UPDATE 3-Barclays slapped with $44 mln fine over gold price fix ,* Gold price manipulation took place a day after Libor fine,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20140523,CORRECTED-Shareholders flex muscles as companies slow to change ,(Corrects fourth paragraph to show recommendations concerned only votes on pay reports  and that the comparison was with all of last year's AGMs  not just those held before May 6),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20140523,UK regulator fines Barclays over gold price setting ,LONDON  May 23 Britain's financial regulator has fined Barclays Plc 26 million pounds for control failings regarding price setting of gold prices.,normal
DLBL,Barclays PLC,20140523,Barclays slapped with $44 million fine over gold price fix ,LONDON Barclays Plc has been fined 26 million pounds ($43.8 million) for failures in internal controls that allowed a trader to manipulate the setting of gold prices  just a day after the bank was fined for rigging Libor interest rates in 2012.,topStory
DLBL,Barclays PLC,20140523,How a Barclays' options trader manipulated the gold price fix ,LONDON Daniel Plunkett  an options trader at Barclays Plc  became the first person to be fined for manipulating the setting of gold prices by Britain's financial watchdog on Friday.,normal
DLBL,Barclays PLC,20140523,How a Barclays' options trader manipulated the gold price fix ,LONDON  May 23 Daniel Plunkett  an options trader at Barclays Plc  became the first person to be fined for manipulating the setting of gold prices by Britain's financial watchdog on Friday.,normal
