ALGT,Allegiant Travel Company,20140616,Update-Moody's rates Allegiant's unsecured notes at B1  affirms Ba3 CFR  outlook stable ,For the full text of this story please click the following link:,topStory
GOOG,Alphabet Inc,20140616,Dutch plan for self-driving trucks within five years ,AMSTERDAM  June 16 Self-driving trucks could begin delivering goods from Rotterdam  Europe's largest port  to other Dutch cities within five years under a plan by a group of logistics and technology companies unveiled on Monday.,topStory
GOOGL,Alphabet Inc,20140616,Dutch plan for self-driving trucks within five years ,AMSTERDAM  June 16 Self-driving trucks could begin delivering goods from Rotterdam  Europe's largest port  to other Dutch cities within five years under a plan by a group of logistics and technology companies unveiled on Monday.,topStory
AMZN,Amazoncom Inc,20140616,Wounded lions headed for survival clash in Amazon ,MANAUS Brazil Cameroon's Indomitable Lions must improve on a toothless display in their opening match when they face Croatia in the hot and humid Amazon city of Manaus in Group A on Wednesday while having to cope with the loss of pack leader Samuel Eto’o.,topStory
AMZN,Amazoncom Inc,20140616,Sherlock Holmes belongs to the public  U.S. court rules ,Fifty Sherlock Holmes works published before 1923 by Arthur Conan Doyle are in the public domain  a U.S. appeals court said on Monday  and others may refer to them freely without paying licensing fees to the Scottish writer's estate.,normal
AMZN,Amazoncom Inc,20140616,UPDATE 1-Sherlock Holmes belongs to the public  U.S. court rules ,June 16 Fifty Sherlock Holmes works published before 1923 by Arthur Conan Doyle are in the public domain  a U.S. appeals court said on Monday  and others may refer to them freely without paying licensing fees to the Scottish writer's estate.,normal
AMZN,Amazoncom Inc,20140616,Sherlock Holmes belongs to the public  U.S. court rules ,June 16 A U.S. appeals court said 50 Sherlock Holmes works published before 1923 by Arthur Conan Doyle are in the public domain  and others may refer freely to them without paying licensing fees to the Scottish writer's estate.,normal
AAL,American Airlines Group Inc,20140616,American Air  union reach tentative pacts for US Airways workers ,American Airlines Group  on Monday said the company and the Machinists' union reached tentative agreements covering more than 11 000 employed at US Airways as mechanics  maintenance training specialists and baggage handlers.,topStory
AAL,American Airlines Group Inc,20140616,UPDATE 1-American Air  union reach tentative pacts for US Airways workers ,(Adds terms of tentative contracts  quote from Machinists' union spokesman),normal
AAL,American Airlines Group Inc,20140616,American Airlines reaches tentative agreements with Machinists ,American Airlines Group Inc said it reached three tentative agreements with the International Association of Machinists  covering more than 11 000 US Airways mechanics  fleet service agents and maintenance training specialists.,normal
AAL,American Airlines Group Inc,20140616,American Airlines reaches tentative agreements with Machinists ,June 16 American Airlines Group Inc said it reached three tentative agreements with the International Association of Machinists  covering more than 11 000 US Airways mechanics  fleet service agents and maintenance training specialists.,normal
BIDU,Baidu Inc,20140616,RPT-Fitch Rates Baidu's Notes Final 'A' ,June 16 (The following statement was released by the rating agency),topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20140616,MOVES- Nasdaq  Barclays  JP Morgan Asset Management ,June 16 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
DLBL,Barclays PLC,20140616,MOVES- Nasdaq  Barclays  JP Morgan Asset Management ,June 16 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
DTYL,Barclays PLC,20140616,MOVES- Nasdaq  Barclays  JP Morgan Asset Management ,June 16 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
