ALXN,Alexion Pharmaceuticals Inc,20140903,UK watchdog backs Alexion's "very expensive" drug ,LONDON  Sept 4 Britain's healthcare cost watchdog has recommended a drug to treat a rare blood disease from U.S. biotech group Alexion Pharmaceuticals  even though it said the medicine was "very expensive".,topStory
GOOG,Alphabet Inc,20140903,Apple  Google resume talks with tech workers in hiring lawsuit: filing ,SAN FRANCISCO Four technology companies  including Apple  and Google   have resumed mediation talks with tech workers in a high-profile lawsuit over hiring practices in Silicon Valley  according to a court filing.,topStory
GOOG,Alphabet Inc,20140903,UPDATE 1-Apple  Google resume talks with tech workers in hiring lawsuit -filing ,SAN FRANCISCO  Sept 3 Four technology companies  including Apple and Google  have resumed mediation talks with tech workers in a high-profile lawsuit over hiring practices in Silicon Valley  according to a court filing.,normal
GOOG,Alphabet Inc,20140903,Google's Calico  AbbVie forge deal against diseases of aging ,U.S. drugmaker AbbVie Inc  and Calico  a new company set up by Google Inc  to cure diseases of aging  will each invest $250 million to help create Calico research facilities and collaborate on discovery and development of new medicines.,normal
GOOG,Alphabet Inc,20140903,UPDATE 2-Google's Calico  AbbVie forge deal against diseases of aging ,Sept 3 U.S. drugmaker AbbVie Inc and Calico  a new company set up by Google Inc to cure diseases of aging  will each invest $250 million to help create Calico research facilities and collaborate on discovery and development of new medicines.,normal
GOOG,Alphabet Inc,20140903,Apple  Google resume talks with tech workers in hiring lawsuit -filing ,SAN FRANCISCO  Sept 3 Four tech companies including Apple and Google have resumed mediation talks with tech workers who are suing over hiring practices in Silicon Valley  according to a court filing on Wednesday.,normal
GOOG,Alphabet Inc,20140903,AbbVie  Calico forge deal against age-related diseases , ,normal
GOOG,Alphabet Inc,20140903,India's smartphone wars: Google's Android One adds to Samsung's worries ,* Android One threatens much pricing pressure for Samsung,normal
GOOG,Alphabet Inc,20140903,Google starts quantum computing research project ,Google Inc said a research team led by physicist John Martinis from the University of California Santa Barbara will join the company to start a project to build new quantum information processors based on superconducting electronics.,normal
GOOG,Alphabet Inc,20140903,Google starts quantum computing research project ,Sept 2 Google Inc said a research team led by physicist John Martinis from the University of California Santa Barbara will join the company to start a project to build new quantum information processors based on superconducting electronics.,normal
GOOGL,Alphabet Inc,20140903,Apple  Google resume talks with tech workers in hiring lawsuit: filing ,SAN FRANCISCO Four technology companies  including Apple  and Google   have resumed mediation talks with tech workers in a high-profile lawsuit over hiring practices in Silicon Valley  according to a court filing.,topStory
GOOGL,Alphabet Inc,20140903,UPDATE 1-Apple  Google resume talks with tech workers in hiring lawsuit -filing ,SAN FRANCISCO  Sept 3 Four technology companies  including Apple and Google  have resumed mediation talks with tech workers in a high-profile lawsuit over hiring practices in Silicon Valley  according to a court filing.,normal
GOOGL,Alphabet Inc,20140903,Google's Calico  AbbVie forge deal against diseases of aging ,U.S. drugmaker AbbVie Inc  and Calico  a new company set up by Google Inc  to cure diseases of aging  will each invest $250 million to help create Calico research facilities and collaborate on discovery and development of new medicines.,normal
