VNET,21Vianet Group Inc,20140910,US STOCKS-21Vianet shares fall  attract bearish options bets ,NEW YORK  Sept 10 21Vianet Group Inc's  shares were down sharply and among the mostly actively traded stocks on the Nasdaq on Wednesday.,topStory
GOOG,Alphabet Inc,20140910,Deals of the day- Mergers and acquisitions ,(Adds Google  Itaú Unibanco Holding  Chiquita  UBS  AngloGold Ashanti  Telecom Italia SpA  Aspen  Kommunalkredit  Lamda  Visteon  Locke Lord),topStory
GOOG,Alphabet Inc,20140910,U.S. court revives Microsoft co-founder's patent suit vs tech companies ,A U.S. appeals court on Wednesday revived part of a patent lawsuit brought by Microsoft co-founder Paul Allen against AOL  Apple  Google and Yahoo  saying a lower court incorrectly found that the tech companies didn't infringe one of its patents.,normal
GOOG,Alphabet Inc,20140910,Google buys high-tech spoon maker  expands healthcare focus ,SAN FRANCISCO Google Inc has acquired the maker of a high-tech spoon that helps people suffering from neurodegenerative tremors to eat  the Internet company's latest foray into the healthcare and biotechnology market.,normal
GOOG,Alphabet Inc,20140910,Google buys high-tech spoon maker  expands healthcare focus ,SAN FRANCISCO  Sept 10 Google Inc   has acquired the maker of a high-tech spoon that helps people suffering from neurodegenerative tremors to eat  the Internet company's latest foray into the healthcare and biotechnology market.,normal
GOOG,Alphabet Inc,20140910,REFILE-UPDATE 1-Danish reformer gets EU antitrust stick; German to police the Internet ,BRUSSELS  Sept 10 Europe's incoming competition and telecoms chiefs will have their plates full for the next five years as one tackles global companies suspected of acting unfairly while the other seeks to keep the Internet open and let online services flow freely.,normal
GOOG,Alphabet Inc,20140910,EU's Almunia says won't finish Google probe before end-October ,WASHINGTON European Union regulators will not finish a four-year investigation into Google by the end of October  the bloc's outgoing antitrust chief said on Wednesday.,normal
GOOG,Alphabet Inc,20140910,UPDATE 1-EU's Almunia says won't finish Google probe before end-October ,WASHINGTON  Sept 10 European Union regulators will not finish a four-year investigation into Google by the end of October  the bloc's outgoing antitrust chief said on Wednesday.,normal
GOOG,Alphabet Inc,20140910,Ireland appoints data protection chief with corporate background ,DUBLIN  Sept 10 Ireland has appointed a government official with experience at multinational companies as its new data protection commissioner to head up a body which acts as regulator to the likes of Google and Facebook  outside North America.,normal
GOOG,Alphabet Inc,20140910,EU's Almunia says won't finish Google probe before end-October ,WASHINGTON  Sept 10 Europe's antitrust chief Joaquin Almunia said on Wednesday that he will not be able to wrap up a four-year investigation into Google before he leaves office at the end of next month.,normal
GOOGL,Alphabet Inc,20140910,Deals of the day- Mergers and acquisitions ,(Adds Google  Itaú Unibanco Holding  Chiquita  UBS  AngloGold Ashanti  Telecom Italia SpA  Aspen  Kommunalkredit  Lamda  Visteon  Locke Lord),topStory
GOOGL,Alphabet Inc,20140910,U.S. court revives Microsoft co-founder's patent suit vs tech companies ,A U.S. appeals court on Wednesday revived part of a patent lawsuit brought by Microsoft co-founder Paul Allen against AOL  Apple  Google and Yahoo  saying a lower court incorrectly found that the tech companies didn't infringe one of its patents.,normal
GOOGL,Alphabet Inc,20140910,Google buys high-tech spoon maker  expands healthcare focus ,SAN FRANCISCO Google Inc has acquired the maker of a high-tech spoon that helps people suffering from neurodegenerative tremors to eat  the Internet company's latest foray into the healthcare and biotechnology market.,normal
GOOGL,Alphabet Inc,20140910,Google buys high-tech spoon maker  expands healthcare focus ,SAN FRANCISCO  Sept 10 Google Inc   has acquired the maker of a high-tech spoon that helps people suffering from neurodegenerative tremors to eat  the Internet company's latest foray into the healthcare and biotechnology market.,normal
GOOGL,Alphabet Inc,20140910,REFILE-UPDATE 1-Danish reformer gets EU antitrust stick; German to police the Internet ,BRUSSELS  Sept 10 Europe's incoming competition and telecoms chiefs will have their plates full for the next five years as one tackles global companies suspected of acting unfairly while the other seeks to keep the Internet open and let online services flow freely.,normal
GOOGL,Alphabet Inc,20140910,EU's Almunia says won't finish Google probe before end-October ,WASHINGTON European Union regulators will not finish a four-year investigation into Google by the end of October  the bloc's outgoing antitrust chief said on Wednesday.,normal
GOOGL,Alphabet Inc,20140910,UPDATE 1-EU's Almunia says won't finish Google probe before end-October ,WASHINGTON  Sept 10 European Union regulators will not finish a four-year investigation into Google by the end of October  the bloc's outgoing antitrust chief said on Wednesday.,normal
GOOGL,Alphabet Inc,20140910,Ireland appoints data protection chief with corporate background ,DUBLIN  Sept 10 Ireland has appointed a government official with experience at multinational companies as its new data protection commissioner to head up a body which acts as regulator to the likes of Google and Facebook  outside North America.,normal
GOOGL,Alphabet Inc,20140910,EU's Almunia says won't finish Google probe before end-October ,WASHINGTON  Sept 10 Europe's antitrust chief Joaquin Almunia said on Wednesday that he will not be able to wrap up a four-year investigation into Google before he leaves office at the end of next month.,normal
AMZN,Amazoncom Inc,20140910,Brazil confirms Amazon deforestation sped up in 2013 ,SAO PAULO The destruction of the world's largest rainforest accelerated last year with a 29 percent spike in deforestation  according to final figures released by the Brazilian government on Wednesday that confirmed a reversal in gains seen since 2009.,topStory
AMZN,Amazoncom Inc,20140910,Brazil confirms Amazon deforestation sped up in 2013 ,SAO PAULO  Sept 10 The destruction of the world's largest rainforest accelerated last year with a 29 percent spike in deforestation  according to final figures released by the Brazilian government on Wednesday that confirmed a reversal in gains seen since 2009.,normal
AMZN,Amazoncom Inc,20140910,RadioShack plunges after brokerage cuts price target to $0 ,Troubled electronics retailer RadioShack Corp's shares have lost nearly a third of their value since brokerage Wedbush Securities said on Tuesday the company could file for bankruptcy soon  making the stock worthless by the end of this year.,normal
AMZN,Amazoncom Inc,20140910,RadioShack plunges after brokerage cuts price target to $0 ,Sept 10 Troubled electronics retailer RadioShack Corp's shares have lost nearly a third of their value since brokerage Wedbush Securities said on Tuesday the company could file for bankruptcy soon  making the stock worthless by the end of this year.,normal
AMZN,Amazoncom Inc,20140910,Rocket's $6.5 billion float plan joins e-commerce listings rush ,BERLIN German venture capital firm Rocket Internet unveiled plans for a stock market listing that could value the company behind dozens of online start-ups at $6.5 billion  riding a wave of e-commerce flotations.,normal
AAPL,Apple Inc,20140910,In search of the missing 'i' in Apple's Watch ,SAN FRANCISCO/NEW YORK Apple Inc's Tuesday launch was a marketing extravaganza stuffed full of gadgets  corporate hyperbole and celebrities of every stripe. One thing was missing: the "i" in front of the Watch.,topStory
AAPL,Apple Inc,20140910,In search of the missing 'i' in Apple's Watch ,SAN FRANCISCO/NEW YORK  Sept 10 Apple Inc's  Tuesday launch was a marketing extravaganza stuffed full of gadgets  corporate hyperbole and celebrities of every stripe. One thing was missing: the "i" in front of the Watch.,normal
AAPL,Apple Inc,20140910,Apple payments service may boost sales of larger iPhones ,The addition of a mobile payments service to Apple Inc's next iPhone could help to boost sales of the larger-screen phones and claw back market share lost to mobiles running on Google Inc's Android platform. | Video ,normal
AAPL,Apple Inc,20140910,Apple hires senior Gap marketing exec: AdAge ,Apple Inc is planning to hire Gap Inc executive  Marcela Aguilar  as director-global marketing communications  website Ad Age reported on Wednesday.,normal
AAPL,Apple Inc,20140910,Apple hires senior Gap marketing exec : AdAge ,Apple Inc is planning to hire Gap Inc executive  Marcela Aguilar  as director-global marketing communications  website Ad Age reported on Wednesday.,normal
AAPL,Apple Inc,20140910,Apple hires senior Gap marketing exec -AdAge ,Sept 10 Apple Inc is planning to hire Gap Inc executive  Marcela Aguilar  as director-global marketing communications  website Ad Age reported on Wednesday.,normal
AAPL,Apple Inc,20140910,U.S. stocks rise on Apple; rate hike views boost dollar ,NEW YORK U.S. stocks rose on Wednesday  helped by a rebound in Apple shares  while expectations for a stronger economy and thus higher interest rates from the Federal Reserve boosted the dollar to a six-year high against the yen.,normal
AAPL,Apple Inc,20140910,US STOCKS-Wall St ends higher after 2 days of losses as Apple rebounds ,NEW YORK  Sept 10 A rebound in Apple  shares helped push U.S. stocks higher on Wednesday  breaking the market's two-day string of losses.,normal
AAPL,Apple Inc,20140910,US STOCKS SNAPSHOT-Apple leads market higher  energy weighs ,NEW YORK  Sept 10 A rebound in Apple  shares helped push U.S. stocks higher on Wednesday for the first session in three  while the energy sector lagged as crude prices fell.,normal
AAPL,Apple Inc,20140910,Retailers seen unlikely to warm up to Apple Pay ,Apple Inc's launch of its own tap-to-pay system using near-field communication in its new iPhones and smartwatches may not be a game changer after all.,normal
AZPN,Aspen Technology Inc,20140910,UPDATE 2-S.Africa's Aspen to sell U.S. drug rights to Mylan for up to $300 mln ,JOHANNESBURG  Sept 10 Aspen Pharmacare  is to sell the rights to market a blood clot drug in the United States to rival Mylan Inc for up to $300 million  it said on Wednesday  a move that would help Africa's top generic drugmaker pay down debt.,topStory
BIDU,Baidu Inc,20140910,BRIEF-Shenzhen Rapoo Tech in strategic agreement to provide services on Baidu platform ,* Says signs strategic agreement with search engine Baidu  to provide services on Baidu Inside platform,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20140910,MOVES-Barclays appoints Ex-Goldman banker to its Middle East team -Bloomberg ,Sept 11 Barclays Plc named Khaled Eldabag as co-head for its investment-banking arm in the Middle East and North Africa  Bloomberg reported on Wednesday.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20140910,Rose close to 'a great year' after two 2014 wins ,ATLANTA Tournament wins on both sides of the Atlantic have made 2014 "a good year" for world number five Justin Rose  who says a slightly better showing in the majors would have transformed his campaign into a great one.,normal
