GOOG,Alphabet Inc,20141110,MEDIA-Google in race with Facebook  Microsoft for a slice of digital India - Economic Times ,- Note: Reuters has not verified this story and does not vouch for its accuracy,topStory
GOOGL,Alphabet Inc,20141110,MEDIA-Google in race with Facebook  Microsoft for a slice of digital India - Economic Times ,- Note: Reuters has not verified this story and does not vouch for its accuracy,topStory
AAL,American Airlines Group Inc,20141110,In-flight Wi-Fi provider Gogo posts bigger loss as expenses rise ,In-flight internet services provider Gogo Inc posted a bigger quarterly loss as it spent more on expanding its services  sending its shares down 7 percent in premarket trading.,topStory
AAPL,Apple Inc,20141110,Exclusive: Apple's enterprise assault gets into higher gear ,SAN FRANCISCO Apple Inc  is embarking on its most aggressive expansion yet onto corporate turf  hiring a dedicated sales force to talk with potential clients like Citigroup Inc  and working in concert with a dozen or so developers  two sources familiar with its plans say.,topStory
AAPL,Apple Inc,20141110,Apple iOS bug makes devices vulnerable to attack: experts ,Researchers have warned that a bug in Apple Inc's  iOS operating system makes most iPhones and iPads vulnerable to cyber attacks by hackers seeking access to sensitive data and control of their devices.,normal
BSET,Bassett Furniture Industries Incorporated,20141110,UPDATE 1-International Market Centers files for IPO ,Nov 10 International Market Centers Inc  a provider of showroom space to home furniture and decor companies such as Bassett Furniture Industries and La-Z-Boy Inc   filed with U.S. regulators for an initial public offering of common stock.,topStory
CMCSA,Comcast Corporation,20141110,UPDATE 5-Obama pressures FCC for strong net neutrality rules ,WASHINGTON  Nov 10 U.S. President Barack Obama on Monday said Internet service providers should be regulated more like public utilities to make sure they grant equal access to all content providers  touching off intense protests from cable and telecoms companies and Republican lawmakers.,normal
COST,Costco Wholesale Corporation,20141110,Food costs eating into consumers' saving at the pump as holidays near ,Martha Franco says she hadn't really noticed the sharp drop in gasoline prices  even though the mother of three is always shuttling the kids around in her SUV. She has been paying closer attention to the soaring cost of meat instead.,normal
FB,Facebook Inc,20141110,'Kiss of Love' protests rattle Modi's conservative India ,NEW DELHI A mass-kissing campaign against moral policing in a southern Indian city has swept the country  advertised via Facebook  as urban youngsters challenge a deeply conservative society.,topStory
FB,Facebook Inc,20141110,'Kiss of Love' protests rattle Modi's conservative India ,NEW DELHI  Nov 10 A mass-kissing campaign against moral policing in a southern Indian city has swept the country  advertised via Facebook  as urban youngsters challenge a deeply conservative society.,normal
FB,Facebook Inc,20141110,MEDIA-Google in race with Facebook  Microsoft for a slice of digital India - Economic Times ,- Note: Reuters has not verified this story and does not vouch for its accuracy,normal
