ATVI,Activision Blizzard Inc,20141119,Activision settles investor suit for record $275 mln ,Nov 19 Videogame maker Activision Blizzard reached a record $275 million settlement over a lawsuit by a shareholder who opposed the company's 2013 deal to acquire its stock that was held by Vivendi SA.,topStory
GOOG,Alphabet Inc,20141119,Yahoo to replace Google as default U.S. Firefox search engine ,Yahoo Inc said on Wednesday it struck a deal to be the default search engine on the Firefox web browser on desktop PCs and mobile devices in the United States  replacing market leader Google Inc.,topStory
GOOG,Alphabet Inc,20141119,Yahoo to replace Google as default U.S. Firefox search engine ,Nov 19 Yahoo Inc said on Wednesday it struck a deal to be the default search engine on the Firefox web browser on desktop PCs and mobile devices in the United States  replacing market leader Google Inc.,normal
GOOG,Alphabet Inc,20141119,Google to launch its app store in China: The Information ,Google Inc plans to launch Google Play app store in China  The Information news website said  citing several people familiar with the matter.,normal
GOOG,Alphabet Inc,20141119,Google to launch its app store in China - The Information ,Nov 19 Google Inc plans to launch Google Play app store in China  The Information news website said  citing several people familiar with the matter.,normal
GOOGL,Alphabet Inc,20141119,Yahoo to replace Google as default U.S. Firefox search engine ,Yahoo Inc said on Wednesday it struck a deal to be the default search engine on the Firefox web browser on desktop PCs and mobile devices in the United States  replacing market leader Google Inc.,topStory
GOOGL,Alphabet Inc,20141119,Yahoo to replace Google as default U.S. Firefox search engine ,Nov 19 Yahoo Inc said on Wednesday it struck a deal to be the default search engine on the Firefox web browser on desktop PCs and mobile devices in the United States  replacing market leader Google Inc.,normal
GOOGL,Alphabet Inc,20141119,Google to launch its app store in China: The Information ,Google Inc plans to launch Google Play app store in China  The Information news website said  citing several people familiar with the matter.,normal
GOOGL,Alphabet Inc,20141119,Google to launch its app store in China - The Information ,Nov 19 Google Inc plans to launch Google Play app store in China  The Information news website said  citing several people familiar with the matter.,normal
AMZN,Amazoncom Inc,20141119,ProSiebenSat.1 says could sell a stake in Maxdome streaming service ,BARCELONA German broadcaster ProSiebenSat.1  does not rule out a partnership for its fast-growing online video streaming service Maxdome  which competes with Amazon and Netflix in the nascent market  a senior executive at the firm said on Wednesday.,topStory
AMZN,Amazoncom Inc,20141119,ProSiebenSat.1 says could sell a stake in Maxdome streaming service ,BARCELONA  Nov 19 German broadcaster ProSiebenSat.1 does not rule out a partnership for its fast-growing online video streaming service Maxdome  which competes with Amazon and Netflix in the nascent market  a senior executive at the firm said on Wednesday.,normal
AMZN,Amazoncom Inc,20141119,Amazon delivers blow to UK Royal Mail growth prospects ,LONDON Online retail giant Amazon's own delivery service will more than halve the growth potential for Royal Mail's parcels business  the former state-owned British company said on Wednesday  sending its shares lower.,normal
AMZN,Amazoncom Inc,20141119,UPDATE 2-Amazon delivers blow to UK Royal Mail growth prospects ,* Shares fall more than 8 percent   (Writes through  adds comments  shares),normal
AAPL,Apple Inc,20141119,Apple to offer Beats music service in iPhone  iPad: FT ,Apple Inc will bundle the subscription music service it bought from Beats into its iOS operating system early next year  the Financial Times reported.,topStory
AAPL,Apple Inc,20141119,Apple to offer Beats music service in iPhone  iPad - FT ,Nov 19 Apple Inc will bundle the subscription music service it bought from Beats into its iOS operating system early next year  the Financial Times reported.,normal
AAPL,Apple Inc,20141119,GT Advanced Tech creditors chafe at settlement deal with Apple ,Creditors of GT Advanced Technologies complained in a bankruptcy court filing that the sapphire company may have gotten too little in its proposed settlement with Apple Inc over legal claims stemming from a deal to supply sapphire screens.,normal
AAPL,Apple Inc,20141119,GT Advanced Tech creditors chafe at settlement deal with Apple ,Nov 19 Creditors of GT Advanced Technologies complained in a bankruptcy court filing that the sapphire company may have gotten too little in its proposed settlement with Apple Inc over legal claims stemming from a deal to supply sapphire screens.,normal
