AMZN,Amazoncom Inc,20141216,Seattle police find no explosives after Amazon HQ threat ,SEATTLE Seattle police searched for explosives at Amazon.com's headquarters after a threatening letter was found at a company building just north of the city's downtown district  but found nothing  authorities said on Monday.,topStory
AAPL,Apple Inc,20141216,Apple wins digital music U.S. antitrust trial ,OAKLAND  Calif. Apple Inc  won an antitrust trial on Tuesday when a U.S. jury decided the company did not act improperly when it restricted music purchases for iPod users to Apple's iTunes digital store.,topStory
AAPL,Apple Inc,20141216,Apple wins digital music U.S. antitrust trial ,OAKLAND  Calif. Apple Inc won an antitrust trial on Tuesday when a U.S. jury decided the company did not act improperly when it restricted music purchases for iPod users to Apple's iTunes digital store.,normal
AAPL,Apple Inc,20141216,UPDATE 2-Apple wins digital music U.S. antitrust trial ,OAKLAND  Calif.  Dec 16 Apple Inc won an antitrust trial on Tuesday when a U.S. jury decided the company did not act improperly when it restricted music purchases for iPod users to Apple's iTunes digital store.,normal
AAPL,Apple Inc,20141216,Apple wins digital music antitrust trial ,OAKLAND  Dec 16 Apple won an antitrust trial on Tuesday when a U.S. jury decided the company did not act improperly when it restricted music purchases for iPod users to Apple's iTunes digital store.,normal
AAPL,Apple Inc,20141216,Imagination Tech sees 'significant' improvement ahead after profit fall ,LONDON Imagination Technologies  the British company that supplies graphics processing to Apple Inc  said it expected an improved second half as costly investments which weighed on the first months of the year begin to pay off.,normal
AAPL,Apple Inc,20141216,UPDATE 1-Imagination Tech sees "significant" improvement ahead after profit fall ,* H1 adjusted pretax slumps 75 pct  reflecting higher investment,normal
ADP,Automatic Data Processing Inc,20141216,Air France wants 2015 freeze in ADP fees: report ,PARIS Air France has rejected a planned 2.4 percent hike in Aeroports de Paris fees for 2015 and wants a tariff freeze instead  Les Echos newspaper reported on Tuesday.,topStory
BIOL,Biolase Inc,20141216,BRIEF-Toutabo signs strategic partnership with Laser Group ,* Signs strategic partnership with Laser Group to become its exclusive subcontractor,topStory
BLRX,BioLineRx Ltd,20141216,Novartis buys 12.8 percent stake in BioLineRX in co-development deal ,JERUSALEM Swiss drugmaker Novartis AG bought a 12.8 percent stake in Israeli biopharmaceutical company BioLineRX Ltd as part of a multi-year collaboration deal  BioLineRX said on Tuesday.,topStory
BLRX,BioLineRx Ltd,20141216,Novartis buys 12.8 pct stake in BioLineRX in co-development deal ,JERUSALEM  Dec 16 Swiss drugmaker Novartis AG  bought a 12.8 percent stake in Israeli biopharmaceutical company BioLineRX Ltd as part of a multi-year collaboration deal  BioLineRX said on Tuesday.,normal
CZR,Caesars Entertainment Corporation,20141216,Caesars Entertainment unit defaults on $225 million bond interest payments ,Caesars Entertainment Operating Co (CEOC)  the main operating unit of Caesars Entertainment Corp  said it will not pay $225 million in bond interest payments  triggering a default on its $18.4 billion debt.,topStory
