AGEN,Agenus Inc,20141218,UPDATE 1-New GSK shingles vaccine may challenge Merck after strong test data ,* GSK vaccine cuts risk of shingles by 97.2 pct in over 50s,topStory
GOOG,Alphabet Inc,20141218,U.S. judge concerned Google antitrust lawsuit too vague ,SAN JOSE  Calif. A judge on Thursday said she would require consumers suing Google over its Android smartphone operating system to submit more factual details in order for an antitrust lawsuit to proceed  at a time when the Internet search company faces increased regulatory pressure.,topStory
GOOG,Alphabet Inc,20141218,UPDATE 1-U.S. judge concerned Google antitrust lawsuit too vague ,(Rewrites throughout to add judge orders more details in antitrust lawsuit against Google),normal
GOOG,Alphabet Inc,20141218,U.S. judge says concerned about Google antitrust lawsuit ,SAN JOSE  Calif.  Dec 18 A U.S. judge said on Thursday she would require consumers suing Google to submit additional factual details in order for an antitrust lawsuit over Android to proceed.,normal
GOOG,Alphabet Inc,20141218,Google looks to head off U.S. antitrust lawsuit over Android ,SAN JOSE  Calif. Google will try to persuade a U.S. judge on Thursday to dismiss an antitrust lawsuit over its Android smartphone operating system  as the Internet search company faces increased regulatory pressure from European authorities.,normal
GOOG,Alphabet Inc,20141218,Google looks to head off U.S. antitrust lawsuit over Android ,SAN JOSE  Calif.  Dec 18 Google will try to persuade a U.S. judge on Thursday to dismiss an antitrust lawsuit over its Android smartphone operating system  as the Internet search company faces increased regulatory pressure from European authorities.,normal
GOOGL,Alphabet Inc,20141218,U.S. judge concerned Google antitrust lawsuit too vague ,SAN JOSE  Calif. A judge on Thursday said she would require consumers suing Google over its Android smartphone operating system to submit more factual details in order for an antitrust lawsuit to proceed  at a time when the Internet search company faces increased regulatory pressure.,topStory
GOOGL,Alphabet Inc,20141218,UPDATE 1-U.S. judge concerned Google antitrust lawsuit too vague ,(Rewrites throughout to add judge orders more details in antitrust lawsuit against Google),normal
GOOGL,Alphabet Inc,20141218,U.S. judge says concerned about Google antitrust lawsuit ,SAN JOSE  Calif.  Dec 18 A U.S. judge said on Thursday she would require consumers suing Google to submit additional factual details in order for an antitrust lawsuit over Android to proceed.,normal
GOOGL,Alphabet Inc,20141218,Google looks to head off U.S. antitrust lawsuit over Android ,SAN JOSE  Calif. Google will try to persuade a U.S. judge on Thursday to dismiss an antitrust lawsuit over its Android smartphone operating system  as the Internet search company faces increased regulatory pressure from European authorities.,normal
GOOGL,Alphabet Inc,20141218,Google looks to head off U.S. antitrust lawsuit over Android ,SAN JOSE  Calif.  Dec 18 Google will try to persuade a U.S. judge on Thursday to dismiss an antitrust lawsuit over its Android smartphone operating system  as the Internet search company faces increased regulatory pressure from European authorities.,normal
AMZN,Amazoncom Inc,20141218,Stores fight back as Christmas delivery delays hit e-tailers ,BERLIN/PARIS  Dec 18 The Christmas rush is exposing the limitations of internet-only retailers as surging orders cause delivery delays  allowing Europe's shops to fight back with "click and collect" services and more in-store theatre.,topStory
AAPL,Apple Inc,20141218,RPT-Chinese shopping "agents" cash in on Russian currency slide ,SHANGHAI  Dec 18 In Blagoveshchensk on Russia's side of the Chinese border  Mou Jiani has turned her home into a warehouse  stocking up on Apple Inc iPhones  handbags and milk powder to sell back home as Chinese shoppers take advantage of the rouble's slide.,topStory
