AMZN,Amazoncom Inc,20150204,Deals of the day- Mergers and acquisitions ,Feb 4 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Wednesday:,topStory
ADP,Automatic Data Processing Inc,20150204,US STOCKS-Wall St ends lower with oil prices  renewed Greece worries ,* Indexes: Dow up 0.04 pct  S&P down 0.4 pct  Nasdaq down 0.2 pct   (Updates to close),topStory
ADP,Automatic Data Processing Inc,20150204,US STOCKS-S&P  Nasdaq slip after 2-day run up; energy drops with oil ,* Indexes: Dow up 0.1 pct  S&P off 0.3 pct  Nasdaq down 0.1 pct   (Updates to afternoon),normal
ADP,Automatic Data Processing Inc,20150204,US STOCKS-S&P  Nasdaq down after 2-day run up; biotechs  energy fall ,* Indexes: Dow up 0.1 pct  S&P off 0.4 pct  Nasdaq down 0.2 pct   (Updates to midday  changes byline),normal
ADP,Automatic Data Processing Inc,20150204,US STOCKS-Wall St dips after 2-day run as energy rally stalls ,* Indexes: Dow up 0.16 pct  S&P off 0.22 pct  Nasdaq 0.31 pct   (Adds ISM services data),normal
ADP,Automatic Data Processing Inc,20150204,US STOCKS-Wall St down after 2-day run after ADP as energy drags ,* Indexes off: Dow 0.2 pct  S&P 0.47 pct  Nasdaq 0.59 pct   (Updates to market open),normal
ADP,Automatic Data Processing Inc,20150204,US STOCKS-Wall St to open lower after 2-day run  ADP data ,* Futures off: Dow 18 pts  S&P 6.25 pts  Nasdaq 14.5 pts   (Adds ADP data  quote),normal
ADP,Automatic Data Processing Inc,20150204,TREASURIES-U.S. yields jump after ADP U.S. jobs data ,NEW YORK  Feb 4 U.S. Treasuries yields rose on Wednesday after the January reading on a gauge on U.S. private jobs creation supported the view of steady domestic employment growth and revived bets the Federal Reserve might raise interest rates in mid-2015.,normal
ADP,Automatic Data Processing Inc,20150204,U.S. private sector adds 213 000 workers in January: ADP ,U.S. private employers added 213 000 jobs in January  falling short of the median forecasts of analysts  a payrolls processor report showed on Wednesday.,normal
ADP,Automatic Data Processing Inc,20150204,US STOCKS-Futures dip after 2-day run; ADP data on tap ,NEW YORK  Feb 4 U.S. stock index futures dipped on Wednesday  after a two-day rally for the S&P 500 ahead of data on the labor market and the services sector.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150204,MOVES-Barclays EM syndicate director leaves bank ,Paul Kilby - Fadi Attia has left Barclays  where he was director on the emerging market syndicate desk in New York.,topStory
CME,CME Group Inc,20150204,CME Group to close Chicago  New York open-outcry futures trading pits ,Most open-outcry futures trading pits in Chicago and New York will close by July 2 due to almost all trading having moved to electronic platforms  the CME Group Inc said on Wednesday.,topStory
CME,CME Group Inc,20150204,CME Group to close Chicago  New York open-outcry futures trading pits ,Feb 4 Most open-outcry futures trading pits in Chicago and New York will close by July 2 due to almost all trading having moved to electronic platforms  the CME Group Inc  said on Wednesday.,normal
CTSH,Cognizant Technology Solutions Corporation,20150204,Cognizant forecasts higher revenue growth as healthcare spending rises ,Cognizant Technology Solutions Corp's fourth-quarter revenue rose more than expected and the IT services provider forecast a pick up in annual revenue growth as healthcare and financial services clients in North America boost spending.,topStory
CTSH,Cognizant Technology Solutions Corporation,20150204,UPDATE 3-Cognizant forecasts higher revenue growth as healthcare spending rises ,* Company's CFO sees significant opportunities in healthcare space,normal
CTSH,Cognizant Technology Solutions Corporation,20150204,Cognizant quarterly revenue rises on higher IT spending ,Feb 4 IT services provider Cognizant Technology Solutions Corp reported a 16.4 percent rise in quarterly revenue  helped by higher spending by healthcare and financial services customers.,normal
CMCSA,Comcast Corporation,20150204,UPDATE 2-U.S. FCC chief seeks tighter regulation of Internet providers ,WASHINGTON  Feb 4 The top U.S. communications regulator on Wednesday proposed to tighten regulations on Internet service providers by treating them more like public utilities  an approach endorsed by President Barack Obama.,normal
EA,Electronic Arts Inc,20150204,CORRECTED-UPDATE 2-'Grand Theft Auto' publisher Take-Two ups full-year profit forecast ,Feb 3 Take-Two Interactive Software Inc   the publisher of video games such as "Grand Theft Auto"  said it expects a slate of unreleased games to drive sales and raised its revenue and profit forecast for the full year.,normal
GILD,Gilead Sciences Inc,20150204,US STOCKS-S&P  Nasdaq slip after 2-day run up; energy drops with oil ,* Indexes: Dow up 0.1 pct  S&P off 0.3 pct  Nasdaq down 0.1 pct   (Updates to afternoon),topStory
GILD,Gilead Sciences Inc,20150204,US STOCKS-S&P  Nasdaq down after 2-day run up; biotechs  energy fall ,* Indexes: Dow up 0.1 pct  S&P off 0.4 pct  Nasdaq down 0.2 pct   (Updates to midday  changes byline),normal
GILD,Gilead Sciences Inc,20150204,Gilead drags healthcare shares down on drug price worries ,Healthcare shares plunged on Wednesday  lead by biotechnology stocks  after Gilead Sciences Inc said it gave health insurers steeper-than-expected discounts on its hepatitis C drugs  fueling worries that the broader sector would face increasing price pressure.,normal
GILD,Gilead Sciences Inc,20150204,Gilead drags healthcare shares down on drug price worries ,Feb 4 Healthcare shares plunged on Wednesday  lead by biotechnology stocks  after Gilead Sciences Inc  said it gave health insurers steeper-than-expected discounts on its hepatitis C drugs  fueling worries that the broader sector would face increasing price pressure.,normal
GLUU,Glu Mobile Inc,20150204,"Kim Kardashian" game maker Glu to develop Katy Perry game ,Mobile game developer Glu Mobile Inc said it would partner with top-selling singer Katy Perry to develop a new mobile game  which will include the "Firework" singer's voice and likeness.,topStory
GLUU,Glu Mobile Inc,20150204,UPDATE 1-"Kim Kardashian" game maker Glu to develop Katy Perry game ,Feb 4 Mobile game developer Glu Mobile Inc  said it would partner with top-selling singer Katy Perry to develop a new mobile game  which will include the "Firework" singer's voice and likeness.,normal
GLUU,Glu Mobile Inc,20150204,Glu Mobile to develop new Katy Perry game ,Feb 4 Mobile game developer Glu Mobile Inc  said it would partner with top-selling singer Katy Perry to develop a new mobile game  which will include her voice and likeness.,normal
GPRE,Green Plains Inc,20150204,Ethanol demand remains 'robust ' margins 'volatile' -Green Plains ,NEW YORK  Feb 4 Biofuels manufacturer Green Plains Inc said on Wednesday that ethanol demand remains robust in the United States and abroad  even as the industry faces volatile margins and pressure from lower energy prices.,topStory
HAS,Hasbro Inc,20150204,Exclusive: Hasbro pays Mexico tax authorities $65 million in settlement after probe ,MEXICO CITY The world's No. 2 toymaker  Hasbro Inc  has paid $65 million to Mexican tax authorities in a settlement  a spokeswoman for the company said on Wednesday  following a probe into the company for possible for tax avoidance.,topStory
NFLX,Netflix Inc,20150204,Netflix to enter Japan in fall of 2015: source ,Netflix Inc will launch its movie and TV streaming service in Japan in the fall of 2015  a source with knowledge of the matter said on Wednesday.,topStory
NFLX,Netflix Inc,20150204,Netflix to enter Japan in fall of 2015 -source ,Feb 4 Netflix Inc will launch its movie and TV streaming service in Japan in the fall of 2015  a source with knowledge of the matter said on Wednesday.,normal
NWS,News Corporation,20150204,Cable business  films help Fox beat estimates ,Twenty-First Century Fox Inc's quarterly profit beat analysts' estimates  helped by higher affiliate and advertising revenue in its cable business and the box-office success of "The Maze Runner" and "Gone Girl".,topStory
NWS,News Corporation,20150204,Saudi's Kingdom Holding sells 5.6 percent stake in News Corp ,DUBAI Saudi Arabia's Kingdom Holding   the investment firm owned by billionaire Prince Alwaleed bin Talal  sold most of its stake in media giant News Corp  as part of a portfolio review  it said on Wednesday.,normal
NWS,News Corporation,20150204,Saudi's Kingdom Holding says sells 5.6 pct stake in News Corp ,DUBAI  Feb 4 Saudi Arabia's Kingdom Holding   the investment firm owned by billionaire Prince Alwaleed bin Talal  reduced the size of its stake in media giant News Corp by 5.6 percent  it said on Wednesday.,normal
NWSA,News Corporation,20150204,Cable business  films help Fox beat estimates ,Twenty-First Century Fox Inc's quarterly profit beat analysts' estimates  helped by higher affiliate and advertising revenue in its cable business and the box-office success of "The Maze Runner" and "Gone Girl".,topStory
NWSA,News Corporation,20150204,Saudi's Kingdom Holding sells 5.6 percent stake in News Corp ,DUBAI Saudi Arabia's Kingdom Holding   the investment firm owned by billionaire Prince Alwaleed bin Talal  sold most of its stake in media giant News Corp  as part of a portfolio review  it said on Wednesday.,normal
NWSA,News Corporation,20150204,Saudi's Kingdom Holding says sells 5.6 pct stake in News Corp ,DUBAI  Feb 4 Saudi Arabia's Kingdom Holding   the investment firm owned by billionaire Prince Alwaleed bin Talal  reduced the size of its stake in media giant News Corp by 5.6 percent  it said on Wednesday.,normal
ODP,Office Depot Inc,20150204,Staples  Office Depot expect second time a charm in merger ,Staples Inc  and Office Depot  should find the second time is a charm as the top two U.S. office supply chains once again test the views of antitrust regulators in the rapidly changing retail landscape  experts said on Wednesday.,topStory
ODP,Office Depot Inc,20150204,UPDATE 6-Staples  Office Depot expect second time a charm in merger ,Feb 4 Staples Inc and Office Depot  should find the second time is a charm as the top two U.S. office supply chains once again test the views of antitrust regulators in the rapidly changing retail landscape  experts said on Wednesday.,normal
ODP,Office Depot Inc,20150204,Staples  Office Depot expect second time a charm in merger ,Staples Inc and Office Depot  should find the second time is a charm as the top two U.S. office supply chains once again test the views of antitrust regulators in the rapidly changing retail landscape  experts said on Wednesday.,normal
