ABMD,ABIOMED Inc,20150210,Abiomed beats fraud lawsuit as court encourages regulatory dealings ,A federal appeals court has thrown out a lawsuit accusing Abiomed Inc of deceiving shareholders about how it marketed its flagship heart pump  and said companies should be encouraged to deal with regulators without having to fear that such dealings could lead to securities fraud claims.,topStory
AKAM,Akamai Technologies Inc,20150210,Akamai revenue beats Street as security product sales swell ,Akamai Technologies Inc's quarterly profit and revenue beat market estimates as demand jumped both for its security products and mainstay content delivery businesses.,topStory
AKAM,Akamai Technologies Inc,20150210,UPDATE 3-Akamai revenue beats Street as security product sales swell ,* Shares up 5 pct after market   (Adds forecast  analyst comment  details; updates shares),normal
AKAM,Akamai Technologies Inc,20150210,Akamai quarterly revenue rises 23 pct ,Feb 10 Akamai Technologies Inc  whose services help companies deliver internet content faster  reported a 23 percent rise in quarterly revenue  helped by higher demand for its media and security products.,normal
GOOG,Alphabet Inc,20150210,Google to add medical details to health topic searches ,Google Inc said it would add a feature wherein online searches on health-related topics would display relevant medical details on the search page.,topStory
GOOG,Alphabet Inc,20150210,Google to add medical details to health topic searches ,Feb 10 Google Inc said it would add a feature wherein online searches on health-related topics would display relevant medical details on the search page.,normal
GOOGL,Alphabet Inc,20150210,Google to add medical details to health topic searches ,Google Inc said it would add a feature wherein online searches on health-related topics would display relevant medical details on the search page.,topStory
GOOGL,Alphabet Inc,20150210,Google to add medical details to health topic searches ,Feb 10 Google Inc said it would add a feature wherein online searches on health-related topics would display relevant medical details on the search page.,normal
AAPL,Apple Inc,20150210,US STOCKS-Wall St rises on Greek deal hopes; Apple hits record ,* Indexes up: Dow 0.79 pct  S&P 1.07 pct  Nasdaq 1.3 pct   (Updates to the close of trading),topStory
AAPL,Apple Inc,20150210,REFILE-US STOCKS-Wall St rises on Greek deal hopes even as energy drops ,NEW YORK  Feb 10 U.S. stocks rose on Tuesday on hopes that Greek debt negotiations could result in a deal that stabilizes Europe although a drop in oil prices limited the advance.,normal
AAPL,Apple Inc,20150210,Apple investing $850 million in California solar farm ,SAN FRANCISCO Apple Inc Chief Executive Tim Cook said on Tuesday the technology company is investing $850 million to help build a solar farm in California with solar panel maker First Solar.,normal
AAPL,Apple Inc,20150210,UPDATE 2-Apple investing $850 million in California solar farm ,SAN FRANCISCO  Feb 10 Apple Inc Chief Executive Tim Cook said on Tuesday the technology company is investing $850 million to help build a solar farm in California with solar panel maker First Solar.,normal
AAPL,Apple Inc,20150210,Apple investing $850 million in California solar farm ,SAN FRANCISCO  Feb 10 Apple Inc Chief Executive Tim Cook said on Tuesday the technology company is investing $850 million to build a solar farm in California with solar panel maker First Solar.,normal
AAPL,Apple Inc,20150210,BRIEF-Apple CEO cook says investing $850 million to build solar farm in Monterey ,SAN FRANCISCO  Feb 10 Apple Inc :  * CEO cook says company has $50 billion of revenue in emerging markets  * Apple's cook says investing $850 million to build solar farm in Monterey,normal
AAPL,Apple Inc,20150210,US STOCKS-Wall St rises on Greek deal hopes even as energy drops ,* Indexes up: Dow 0.43 pct  S&P 0.63 pct  Nasdaq 0.93 pct   (Adds data  updates to late morning),normal
AAPL,Apple Inc,20150210,New Issue- Apple prices a dual tranche deal ,where assigned  and hit the newskey (F9 on Reuters terminals),normal
AAPL,Apple Inc,20150210,CORRECTED-Apple sets initial price thoughts on Swiss franc bonds ,LONDON  Feb 10 (IFR) - Apple has set initial price thoughts on its new short 10-year and 15-year Swiss franc bonds.,normal
AAPL,Apple Inc,20150210,Apple soft-sounds short 10-year and 15-year Swiss Franc bonds ,LONDON  Feb 10 (IFR) - Apple is doing a feasibility check with Swiss franc investors for a short 10-year bond at 25 to 30bp over mid-swaps and a 15-year bond at 35 to 40bp over mid-swaps.,normal
BIDU,Baidu Inc,20150210,With China markets high  Baidu launches stock analysis finance app ,BEIJING  Feb 10 Chinese search engine company Baidu Inc is tapping renewed interest in equities trading by launching a stocks app using artificial intelligence to predict how stocks  sectors and markets may perform.,topStory
