AMZN,Amazoncom Inc,20150211,Exclusive-Survey: Trouble for Amazon Prime's two-day deliveries? ,SAN FRANCISCO/CHICAGO Amazon.com Inc packages ordered by its Prime members regularly arrived late over the holidays  a Reuters/Ipsos survey shows  reflecting the strain on the logistics network that transformed the company into an e-commerce powerhouse.,topStory
AAL,American Airlines Group Inc,20150211,American Airlines says to fly Dreamliner from Dallas to Beijing  Buenos Aires ,Feb 11 American Airlines Group Inc said Wednesday that it will launch newly acquired Boeing Co  787 Dreamliners into service to Beijing  China  and Buenos Aires  Argentina  from its Dallas hub beginning on June 2 and June 4  respectively.,topStory
AAPL,Apple Inc,20150211,US STOCKS-U.S. stock futures rise on Greek agreement after S&P ends flat ,* Indexes: Dow off 0.04 pct  S&P flat  Nasdaq up 0.28 pct   (Updates with Greek news  late markets moves),topStory
AAPL,Apple Inc,20150211,US STOCKS-Wall St ends flat while investors await Greece  Ukraine news ,* Indexes: Dow off 0.04 pct  S&P flat  Nasdaq up 0.28 pct   (Updates to late afternoon  adds commentary),normal
AAPL,Apple Inc,20150211,Icahn values Apple at more than $1 trillion ,Activist investor and major Apple Inc shareholder Carl Icahn said the iPhone maker's stock should be trading at $216  far above its record high of $124.92 hit on Wednesday.,normal
AAPL,Apple Inc,20150211,UPDATE 1-Icahn values Apple at more than $1 trillion ,Feb 11 Activist investor and major Apple Inc  shareholder Carl Icahn said the iPhone maker's stock should be trading at $216  far above its record high of $124.92 hit on Wednesday.,normal
AAPL,Apple Inc,20150211,US STOCKS SNAPSHOT-Wall St ends near flat; Apple gains late ,NEW YORK  Feb 11 U.S. stocks closed flat on Wednesday as concern about Greece and Ukraine was offset by gains in shares of Apple.,normal
AAPL,Apple Inc,20150211,Icahn values Apple at more than $1 trillion ,Feb 11 Activist investor Carl Icahn said Apple Inc's stock should be trading at $216  far above its record high of $124.92 hit on Wednesday.,normal
AAPL,Apple Inc,20150211,US STOCKS-Wall St flat before Greek deal talks; Apple lifts Nasdaq ,* Indexes: Dow off 0.23 pct  S&P off 0.01 pct  Nasdaq up 0.39 pct   (Updates to late morning  updates earnings data),normal
AAPL,Apple Inc,20150211,US STOCKS-Wall St little changed ahead of Greek deal talks ,* Indexes off: Dow off 0.28 pct  S&P 0.07 pct  Nasdaq up 0.21 pct   (Updates to market open),normal
AAPL,Apple Inc,20150211,US STOCKS-Wall St set for flat open; Greek deal talks on tap ,* Futures: Dow down 30 pts  S&P off 1.5 pts  Nasdaq up 2 pts   (Adds quote  updates prices),normal
