GOOG,Alphabet Inc,20150227,REFILE-Market Chatter-Corporate finance press digest ,Feb 27 The following corporate finance-related stories were reported by media:,normal
GOOGL,Alphabet Inc,20150227,REFILE-Market Chatter-Corporate finance press digest ,Feb 27 The following corporate finance-related stories were reported by media:,normal
AAPL,Apple Inc,20150227,Cook says Apple Watch will replace car keys: Telegraph ,Apple Watch will replace your car keys and its battery will last the whole day  Apple Inc's Chief Executive Tim Cook told the Telegraph in an interview.,topStory
AAPL,Apple Inc,20150227,UPDATE 1-Cook says Apple Watch will replace car keys - Telegraph ,Feb 27 Apple Watch will replace your car keys and its battery will last the whole day  Apple Inc's  Chief Executive Tim Cook told the Telegraph in an interview.,normal
AAPL,Apple Inc,20150227,Cook says Apple Watch might replace the need for car keys - Telegraph ,Apple Inc's latest product  the Apple Watch  might replace the need for car keys  Chief Executive Tim Cook told the Telegraph in an interview.,normal
AAPL,Apple Inc,20150227,Cook says Apple Watch might replace the need for car keys-Telegraph ,Feb 27 Apple Inc's latest product  the Apple Watch  might replace the need for car keys  Chief Executive Tim Cook told the Telegraph in an interview.,normal
AAPL,Apple Inc,20150227,CORRECTED-Icahn posts loss as fund hit in 2014 by oil plunge ,Feb 27 Billionaire Carl Icahn's publicly traded investment fund posted a loss in 2014  undone by plummeting oil prices  the company said in a regulatory filing on Friday.,normal
AAPL,Apple Inc,20150227,Ericsson sues Apple for telecom patent infringement ,STOCKHOLM Swedish mobile telecom gear maker Ericsson is suing Apple Inc for patent infringement after Apple refused Ericsson's offer to have a court determine fair licensing terms  Ericsson said on Friday.,normal
AAPL,Apple Inc,20150227,UPDATE 1-Ericsson sues Apple for telecom patent infringement ,STOCKHOLM  Feb 27 Swedish mobile telecom gear maker Ericsson is suing Apple Inc for patent infringement after Apple refused Ericsson's offer to have a court determine fair licensing terms  Ericsson said on Friday.,normal
AAPL,Apple Inc,20150227,Ericsson sues Apple for telecom patent infringement ,STOCKHOLM Swedish mobile telecom gear maker Ericsson is suing Apple Inc for patent infringement  Ericsson said on Friday.,normal
AAPL,Apple Inc,20150227,Ericsson sues Apple for telecom patent infringement ,STOCKHOLM  Feb 27 Swedish mobile telecom gear maker Ericsson is suing Apple Inc for patent infringement  Ericsson said on Friday.,normal
DISH,DISH Network Corporation,20150227,T-Mobile U.S. CEO says makes sense to team up with Dish ,FRANKFURT T-Mobile US  chief executive said on Friday it made sense to team up with U.S. satellite TV company Dish .,topStory
ERIC,Ericsson,20150227,Ericsson sues Apple for telecom patent infringement ,STOCKHOLM Swedish mobile telecom gear maker Ericsson is suing Apple Inc for patent infringement after Apple refused Ericsson's offer to have a court determine fair licensing terms  Ericsson said on Friday.,topStory
ERIC,Ericsson,20150227,America Movil to install Ericsson man at Telekom Austria-sources ,VIENNA  Feb 27 Mexico's America Movil  is set to install Ericsson manager Alejandro Plater as new operations chief at Telekom Austria  two sources with knowledge of the matter told Reuters on Friday.,normal
ERIC,Ericsson,20150227,BRIEF-Ericsson wins Radio Dot System from Verizon ,* Ericsson Radio Dot System installed at Verizon regional headquarters building in Metro Detroit  Link to press release: http://hugin.info/1061/R/1897997/673870.pdf Further company coverage:    (Reporting By Bjorn Rundstrom),normal
ERIC,Ericsson,20150227,UPDATE 1-Ericsson sues Apple for telecom patent infringement ,STOCKHOLM  Feb 27 Swedish mobile telecom gear maker Ericsson is suing Apple Inc for patent infringement after Apple refused Ericsson's offer to have a court determine fair licensing terms  Ericsson said on Friday.,normal
IEP,Icahn Enterprises LP,20150227,Icahn's investment fund posts first loss since 2008 on oil plunge ,NEW YORK Billionaire activist investor Carl Icahn's publicly traded investment fund posted its first annual loss since 2008 last year  undone by plummeting oil prices  the company said in a regulatory filing on Friday. | Video ,topStory
IEP,Icahn Enterprises LP,20150227,UPDATE 1-Icahn's investment fund posts first loss since 2008 on oil plunge ,NEW YORK  Feb 27 Billionaire activist investor Carl Icahn's publicly traded investment fund posted its first annual loss since 2008 last year  undone by plummeting oil prices  the company said in a regulatory filing on Friday.,normal
IEP,Icahn Enterprises LP,20150227,CORRECTED-Icahn posts loss as fund hit in 2014 by oil plunge ,Feb 27 Billionaire Carl Icahn's publicly traded investment fund posted a loss in 2014  undone by plummeting oil prices  the company said in a regulatory filing on Friday.,normal
INTC,Intel Corporation,20150227,British TV shows student picture of 'Jihadi John' in baseball cap ,LONDON British television broadcast the first picture of Mohammed Emwazi as a student on Friday  showing the man identified as the Islamic State "Jihadi John" killer with a mustache and goatee beard wearing a large baseball cap. | Video ,topStory
INTC,Intel Corporation,20150227,British PM Cameron vows to hunt down 'Jihadi John' ,LONDON British Prime Minister David Cameron vowed on Friday to use all means at his disposal to hunt down militants such as "Jihadi John" after the killer was identified as a Kuwaiti-born computer programming graduate from London. | Video ,normal
INTC,Intel Corporation,20150227,UPDATE 1-Lenovo to allay security concerns with free McAfee LiveSafe ,Feb 27 China's Lenovo Group Ltd on Friday said it will offer free subscriptions to Intel Corp  security software to customers who bought laptops that were shipped with a program known as "Superfish " which made PCs vulnerable to cyberattacks.,normal
INTC,Intel Corporation,20150227,'Jihadi John' killer from Islamic State beheading videos unmasked as Londoner ,LONDON/WASHINGTON The masked "Jihadi John" killer who fronted Islamic State beheading videos has been identified as Mohammed Emwazi  a British computer programming graduate from a well-to-do London family who was known to the security services.,normal
