AMCX,AMC Networks Inc,20150501,DIARY-NON S&P WEEK AHEAD ,Thomson Reuters Diary of Non S&P 500 Corporate earnings for U.S. companies     from May 1  2015.        S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                            ** This Diary does not provide the EPS estimate figures. EPS figures can retrived from Eikon.          Steps in Eikon to retrive the EPS:-      Eikon Indicator-> Home-> C,topStory
AAPL,Apple Inc,20150501,Wall St. ends up sharply as investors buy beaten-down shares ,U.S. stocks bounced back sharply on Friday as investors snapped up beaten-down shares in the healthcare and technology sectors  and as data gave further signs of a pickup in the economy. | Video ,topStory
AAPL,Apple Inc,20150501,US STOCKS-Wall St opens higher as tech  health stocks rebound ,* Indexes up: Dow 0.7 pct  S&P 0.6 pct  Nasdaq 0.8 pct   (Updates to open),normal
AAPL,Apple Inc,20150501,Apple eyes yen-denominated bond ,LONDON  May 1 (IFR) - Apple will start calls with fixed-income investors from May 7 ahead of a potential yen-denominated bond deal  according to a lead.,normal
CHTR,Charter Communications Inc,20150501,Charter loss widens on costs from Comcast-Time Warner Cable deal ,Cable company Charter Communications Inc  reported a bigger quarterly loss  hurt by costs from a failed deal between Comcast Corp  and Time Warner Cable Inc  that involved assets it was planning to buy.,topStory
CHTR,Charter Communications Inc,20150501,UPDATE 2-Charter loss widens on costs from Comcast-Time Warner Cable deal ,May 1 Cable company Charter Communications Inc  reported a bigger quarterly loss  hurt by costs from a failed deal between Comcast Corp and Time Warner Cable Inc that involved assets it was planning to buy.,normal
CHTR,Charter Communications Inc,20150501,BRIEF-Charter says it is considering video streaming services ,* Says it is considering video streaming services   Further company coverage:    (Reporting By Jennifer Saba),normal
CHTR,Charter Communications Inc,20150501,Charter Communications revenue rises 7.3 pct ,May 1 Charter Communications Inc  reported a 7.3 percent rise in first-quarter revenue  helped by strength in its internet and video businesses  but its net loss increased.,normal
CMCSA,Comcast Corporation,20150501,Charter loss widens on costs from Comcast-Time Warner Cable deal ,Cable company Charter Communications Inc  reported a bigger quarterly loss  hurt by costs from a failed deal between Comcast Corp  and Time Warner Cable Inc  that involved assets it was planning to buy.,topStory
CMCSA,Comcast Corporation,20150501,UPDATE 2-Charter loss widens on costs from Comcast-Time Warner Cable deal ,May 1 Cable company Charter Communications Inc  reported a bigger quarterly loss  hurt by costs from a failed deal between Comcast Corp and Time Warner Cable Inc that involved assets it was planning to buy.,normal
EXPE,Expedia Inc,20150501,Expedia shares soar on strong bookings despite strong U.S. dollar ,Expedia Inc on Thursday reported first-quarter profit that exceeded analysts' expectations as it earned more money from travel bookings in and outside the United States  despite foreign currencies falling relative to the U.S. dollar.,topStory
EXPE,Expedia Inc,20150501,UPDATE 2-Expedia shares soar on strong bookings despite strong U.S. dollar ,April 30 Expedia Inc on Thursday reported first-quarter profit that exceeded analysts' expectations as it earned more money from travel bookings in and outside the United States  despite foreign currencies falling relative to the U.S. dollar.,normal
ESRX,Express Scripts Holding Company,20150501,Express Scripts unit to pay $60 mln over Novartis kickbacks  US says ,NEW YORK U.S. authorities said on Friday that a unit of Express Scripts Holding Co will pay $60 million to resolve claims that it participated in a kickback scheme with Novartis AG to boost sales of a drug that led to improper government reimbursements.,topStory
ESRX,Express Scripts Holding Company,20150501,Express Scripts unit to pay $60 mln over Novartis kickbacks  U.S. says ,NEW YORK U.S. authorities said on Friday that a unit of Express Scripts Holding Co will pay $60 million to resolve claims that it participated in a kickback scheme with Novartis AG to boost sales of a drug that led to improper government reimbursements.,normal
ESRX,Express Scripts Holding Company,20150501,UPDATE 1-Express Scripts unit to pay $60 mln over Novartis kickbacks  US says ,NEW YORK  May 1 U.S. authorities said on Friday that a unit of Express Scripts Holding Co will pay $60 million to resolve claims that it participated in a kickback scheme with Novartis AG to boost sales of a drug that led to improper government reimbursements.,normal
ESRX,Express Scripts Holding Company,20150501,Express Scripts unit to pay $45 million to U.S. over Novartis kickback scheme ,NEW YORK  May 1 A unit of pharmacy benefits manager Express Scripts Holding Co will pay $45 million to resolve U.S. claims it participated in a kickback scheme with Novartis AG to boost sales of a drug that led to improper government reimbursements.,normal
GILD,Gilead Sciences Inc,20150501,Wall St. ends up sharply as investors buy beaten-down shares ,U.S. stocks bounced back sharply on Friday as investors snapped up beaten-down shares in the healthcare and technology sectors  and as data gave further signs of a pickup in the economy. | Video ,topStory
GILD,Gilead Sciences Inc,20150501,CORRECTED-US STOCKS-Wall St ends up sharply as investors buy beaten-down shares ,May 1 U.S. stocks bounced back sharply on Friday as investors snapped up beaten-down shares in the healthcare and technology sectors  and as data gave further signs of a pickup in the economy.,normal
GILD,Gilead Sciences Inc,20150501,US STOCKS-Wall St rebounds as investors buy beaten-down shares ,* Indexes up: Dow 0.95 pct  S&P 0.98 pct  Nasdaq 1.15 pct   (Updates to late afternoon),normal
GILD,Gilead Sciences Inc,20150501,US STOCKS-Nasdaq snaps four-day losing streak as health stocks rebound ,* Indexes up: Dow 0.7 pct  S&P 0.7 pct  Nasdaq 0.8 pct   (Updates to afternoon),normal
GILD,Gilead Sciences Inc,20150501,US STOCKS-Wall St opens higher as tech  health stocks rebound ,* Indexes up: Dow 0.7 pct  S&P 0.6 pct  Nasdaq 0.8 pct   (Updates to open),normal
KVHI,KVH Industries Inc,20150501,BRIEF-Colt Group Q1 revenue falls 1.3 pct to 394.6 mln euros ,* Revenue declined 1.3 pct from Q1'14  as a result of our prior year exit from low margin carrier voice trading contracts  offset by a first full quarter contribution from KVH which was acquired in December 2014,topStory
TSLA,Tesla Inc ,20150501,Tesla moves into batteries that store energy for homes  businesses ,LOS ANGELES Tesla Motors Inc  on Thursday unveiled Tesla Energy - storage systems or batteries for homes  companies and utilities that will expand its business beyond electric vehicles and tap into a fast-growing area of the energy industry. | Video ,topStory
TSLA,Tesla Inc ,20150501,UPDATE 3-Tesla moves into batteries that store energy for homes  businesses ,LOS ANGELES  April 30 Tesla Motors Inc  on Thursday unveiled Tesla Energy - storage systems or batteries for homes  companies and utilities that will expand its business beyond electric vehicles and tap into a fast-growing area of the energy industry.,normal
TSLA,Tesla Inc ,20150501,US STOCKS-Wall St set to open higher as construction  factory data eyed ,* Futures up: Dow 85 pts  S&P 7 pts  Nasdaq 9 pts   (Adds details  comment  updates prices),normal
TSLA,Tesla Inc ,20150501,BRIEF-Tesla moves into batteries that store energy for homes  businesses ,* Tesla CEO Elon Musk says "our goal is to fundamentally change the way the world uses energy on an extreme scale",normal
TSLA,Tesla Inc ,20150501,Tesla unveils suite of batteries for homes  businesses ,HAWTHORNE  Calif.  April 30 Tesla Motors Inc  Chief Executive Elon Musk unveiled Tesla Energy - a suite of batteries for homes  businesses and utilities - a highly-anticipated plan to expand its business beyond electric vehicles.,normal
MDCO,The Medicines Company,20150501,FDA approves the Medicines Co's pain drug device Ionsys ,The U.S. Food and Drug Administration approved the Medicines Co's drug device Ionsys for postoperative pain for hospital use  the company said on Thursday.,topStory
