ALDR,Alder BioPharmaceuticals Inc,20150515,BRIEF-Alder Biopharma says its single IV dose of ALD403 shows efficacy in treating migraine ,* Announced six-month follow-up data from phase 2 proof-of-concept clinical trial of ald403,topStory
GOOG,Alphabet Inc,20150515,Google's self-driving cars to hit roads  with steering wheels ,DETROIT Google Inc will begin testing self-driving cars of its own design on public roads this summer  but they will have steering wheels and brakes  which is not what the company described a year ago. | Video ,topStory
GOOG,Alphabet Inc,20150515,UPDATE 2-Google's self-driving cars to hit roads  with steering wheels ,DETROIT  May 15 Google Inc will begin testing self-driving cars of its own design on public roads this summer  but they will have steering wheels and brakes  which is not what the company described a year ago.,normal
GOOG,Alphabet Inc,20150515,Google versus Oracle case exposes differences within Obama administration ,SAN FRANCISCO/WASHINGTON The Obama administration has been locked in internal wrangling over what position to take in high profile litigation between two American technology giants  Google and Oracle  according to multiple sources familiar with the discussions. It faces an end-of-May deadline to decide whether to take sides in a case before the U.S. Supreme Court that will have wide implications for the technology industry.,normal
GOOG,Alphabet Inc,20150515,Google versus Oracle case exposes differences within Obama administration ,SAN FRANCISCO/WASHINGTON The Obama administration has been locked in internal wrangling over what position to take in high profile litigation between two American technology giants  Google and Oracle  according to multiple sources familiar with the discussions. It faces an end-of-May deadline to decide whether to take sides in a case before the U.S. Supreme Court that will have wide implications for the technology industry.,normal
GOOG,Alphabet Inc,20150515,INSIGHT-Google versus Oracle case exposes differences within Obama administration ,SAN FRANCISCO/WASHINGTON  May 15 The Obama administration has been locked in internal wrangling over what position to take in high profile litigation between two American technology giants  Google and Oracle  according to multiple sources familiar with the discussions. It faces an end-of-May deadline to decide whether to take sides in a case before the U.S. Supreme Court that will have wide implications for the technology industry.,normal
GOOG,Alphabet Inc,20150515,Google's new self-driving cars to hit roads  with steering wheels ,DETROIT  May 15 Google Inc's  self-driving cars will begin testing on public roads this summer  but it turns out they will have steering wheels and brakes  which is not what the company envisioned a year ago.,normal
GOOG,Alphabet Inc,20150515,RPT-INSIGHT-Google versus Oracle case exposes differences within Obama administration ,SAN FRANCISCO/WASHINGTON  May 15 The Obama administration has been locked in internal wrangling over what position to take in high profile litigation between two American technology giants  Google and Oracle  according to multiple sources familiar with the discussions. It faces an end-of-May deadline to decide whether to take sides in a case before the U.S. Supreme Court that will have wide implications for the technology industry.,normal
GOOG,Alphabet Inc,20150515,INSIGHT-Google versus Oracle case exposes differences within Obama administration ,SAN FRANCISCO/WASHINGTON  May 15 The Obama administration has been locked in internal wrangling over what position to take in high profile litigation between two American technology giants  Google and Oracle  according to multiple sources familiar with the discussions. It faces an end-of-May deadline to decide whether to take sides in a case before the U.S. Supreme Court that will have wide implications for the technology industry.,normal
GOOGL,Alphabet Inc,20150515,Google's self-driving cars to hit roads  with steering wheels ,DETROIT Google Inc will begin testing self-driving cars of its own design on public roads this summer  but they will have steering wheels and brakes  which is not what the company described a year ago. | Video ,topStory
GOOGL,Alphabet Inc,20150515,UPDATE 2-Google's self-driving cars to hit roads  with steering wheels ,DETROIT  May 15 Google Inc will begin testing self-driving cars of its own design on public roads this summer  but they will have steering wheels and brakes  which is not what the company described a year ago.,normal
GOOGL,Alphabet Inc,20150515,Google versus Oracle case exposes differences within Obama administration ,SAN FRANCISCO/WASHINGTON The Obama administration has been locked in internal wrangling over what position to take in high profile litigation between two American technology giants  Google and Oracle  according to multiple sources familiar with the discussions. It faces an end-of-May deadline to decide whether to take sides in a case before the U.S. Supreme Court that will have wide implications for the technology industry.,normal
GOOGL,Alphabet Inc,20150515,Google versus Oracle case exposes differences within Obama administration ,SAN FRANCISCO/WASHINGTON The Obama administration has been locked in internal wrangling over what position to take in high profile litigation between two American technology giants  Google and Oracle  according to multiple sources familiar with the discussions. It faces an end-of-May deadline to decide whether to take sides in a case before the U.S. Supreme Court that will have wide implications for the technology industry.,normal
GOOGL,Alphabet Inc,20150515,INSIGHT-Google versus Oracle case exposes differences within Obama administration ,SAN FRANCISCO/WASHINGTON  May 15 The Obama administration has been locked in internal wrangling over what position to take in high profile litigation between two American technology giants  Google and Oracle  according to multiple sources familiar with the discussions. It faces an end-of-May deadline to decide whether to take sides in a case before the U.S. Supreme Court that will have wide implications for the technology industry.,normal
GOOGL,Alphabet Inc,20150515,Google's new self-driving cars to hit roads  with steering wheels ,DETROIT  May 15 Google Inc's  self-driving cars will begin testing on public roads this summer  but it turns out they will have steering wheels and brakes  which is not what the company envisioned a year ago.,normal
GOOGL,Alphabet Inc,20150515,RPT-INSIGHT-Google versus Oracle case exposes differences within Obama administration ,SAN FRANCISCO/WASHINGTON  May 15 The Obama administration has been locked in internal wrangling over what position to take in high profile litigation between two American technology giants  Google and Oracle  according to multiple sources familiar with the discussions. It faces an end-of-May deadline to decide whether to take sides in a case before the U.S. Supreme Court that will have wide implications for the technology industry.,normal
GOOGL,Alphabet Inc,20150515,INSIGHT-Google versus Oracle case exposes differences within Obama administration ,SAN FRANCISCO/WASHINGTON  May 15 The Obama administration has been locked in internal wrangling over what position to take in high profile litigation between two American technology giants  Google and Oracle  according to multiple sources familiar with the discussions. It faces an end-of-May deadline to decide whether to take sides in a case before the U.S. Supreme Court that will have wide implications for the technology industry.,normal
AAPL,Apple Inc,20150515,Top U.S. hedge funds continued to dump Apple amid rally ,NEW YORK Top U.S. hedge fund management firms  including Leon Cooperman's Omega Advisors and Philippe Laffont's Coatue Management  continued to reduce or slash stakes altogether in Apple Inc  during the first quarter  as shares of the iPhone maker rallied.,topStory
AAPL,Apple Inc,20150515,UPDATE 1-Top U.S. hedge funds continued to dump Apple amid rally ,NEW YORK  May 15 Top U.S. hedge fund management firms  including Leon Cooperman's Omega Advisors and Philippe Laffont's Coatue Management  continued to reduce or slash stakes altogether in Apple Inc during the first quarter  as shares of the iPhone maker rallied.,normal
AAPL,Apple Inc,20150515,NYSE investigating technical glitch in options market ,NEW YORK NYSE Amex Options said on Friday it was investigating a technical issue involving the symbol range A through AZO  but excluding Apple Inc .,normal
AAPL,Apple Inc,20150515,NYSE investigating technical glitch in options market ,NEW YORK  May 15 NYSE Amex Options said on Friday it was investigating a technical issue involving the symbol range A through AZO  but excluding Apple Inc.,normal
AAPL,Apple Inc,20150515,Top U.S. hedge funds continue to dump Apple stakes amid rally ,NEW YORK  May 15 Top U.S. hedge fund management firms  including Leon Cooperman's Omega Advisors and Philippe Laffont's Coatue Management  continued to reduce or slash stakes altogether in Apple Inc during the first quarter  as shares of the iPhone maker rallied.,normal
AAPL,Apple Inc,20150515,HIGHLIGHTS-Top U.S. hedge funds continue to dump Apple  stakes ,NEW YORK  May 15 Top U.S. hedge fund management firms  including Leon Cooperman's Omega Advisors and Philippe Laffont's Coatue Management  continued to reduce or slash stakes altogether in Apple Inc during the first quarter  according to regulatory filings.,normal
AAPL,Apple Inc,20150515,At Sharp  decline marked by over-confidence  drift ,TOKYO In private conversations early last year  executives at Japanese display maker Sharp Corp dubbed their new client "winning horse"  reckoning fast-growing Chinese smartphone maker   Xiaomi would be a sure and lucrative bet.,normal
AAPL,Apple Inc,20150515,At Sharp  decline marked by over-confidence  drift , ,normal
AAPL,Apple Inc,20150515,Accessories for Apple's HomeKit to hit stores next month ,The first batch of home automation accessories  such as thermostats and garage door openers  compatible with Apple Inc’s software platform will go on sale in June  the tech company said Thursday.,normal
AMAT,Applied Materials Inc,20150515,Memory chip demand drives Applied Materials' revenue beat ,Applied Materials Inc   the No. 1 maker of machinery used to make semiconductor chips  posted quarterly profit and revenue above market estimates  largely driven by demand from makers of memory chips.,topStory
