ATVI,Activision Blizzard Inc,20150521,Judge OKs Activision $275 million shareholder settlement  $72 million for lawyers ,WILMINGTON  Del. A Delaware judge on Wednesday approved a $275 million shareholder settlement involving videogame maker Activision Blizzard Inc and awarded the small law firms that brought the case a $72.5 million fee.,topStory
GOOG,Alphabet Inc,20150521,Russia warns Google  Twitter and Facebook on law violations ,MOSCOW/FRANKFURT Russia's media watchdog has written to Google  Twitter and Facebook warning them against violating Russian Internet laws and a spokesman said on Thursday they risk being blocked if they do not comply with the rules.,topStory
GOOG,Alphabet Inc,20150521,Russia warns Google  Twitter and Facebook on law violations ,MOSCOW/FRANKFURT  May 21 Russia's media watchdog has written to Google  Twitter and Facebook warning them against violating Russian Internet laws and a spokesman said on Thursday they risk being blocked if they do not comply with the rules.,normal
GOOGL,Alphabet Inc,20150521,Russia warns Google  Twitter and Facebook on law violations ,MOSCOW/FRANKFURT Russia's media watchdog has written to Google  Twitter and Facebook warning them against violating Russian Internet laws and a spokesman said on Thursday they risk being blocked if they do not comply with the rules.,topStory
GOOGL,Alphabet Inc,20150521,Russia warns Google  Twitter and Facebook on law violations ,MOSCOW/FRANKFURT  May 21 Russia's media watchdog has written to Google  Twitter and Facebook warning them against violating Russian Internet laws and a spokesman said on Thursday they risk being blocked if they do not comply with the rules.,normal
AMZN,Amazoncom Inc,20150521,Searching for the next Alibaba in India ,MUMBAI Indian e-commerce firms are offering funding help and tech support to woo small retailers  emulating a strategy used by Chinese online retail giant Alibaba Group Holding Ltd to expand into the towns and villages home to the majority of consumers.,topStory
AMZN,Amazoncom Inc,20150521,Copying Alibaba  India e-tailers woo small sellers for growth ,MUMBAI Indian e-commerce firms are offering funding help and tech support to woo small retailers  emulating a strategy used by Chinese online retail giant Alibaba Group Holding Ltd to expand into the towns and villages home to the majority of consumers.,normal
AMZN,Amazoncom Inc,20150521,UPDATE 2-Royal Mail sees tough parcel market  focuses on costs ,* CEO Greene says no plans to quit   (Recasts  adds CEO  analyst quotes),normal
AAPL,Apple Inc,20150521,In China  firms flash green credentials as regulators loom ,SHANGHAI Apple Inc is planting trees  Mars may move to 'zero carbon' and Foxconn Technology Co Ltd is spending millions of dollars to give its factories a 'green' makeover  as companies operating in China face tighter rules on pollution.,topStory
AAPL,Apple Inc,20150521,In China  firms flash green credentials as regulators loom ,SHANGHAI Apple Inc  is planting trees  Mars may move to 'zero carbon' and Foxconn Technology Co Ltd  is spending millions of dollars to give its factories a 'green' makeover  as companies operating in China face tighter rules on pollution.,normal
AAPL,Apple Inc,20150521,In China  firms flash green credentials as regulators loom ,SHANGHAI  May 22 Apple Inc is planting trees  Mars may move to 'zero carbon' and Foxconn Technology Co Ltd is spending millions of dollars to give its factories a 'green' makeover  as companies operating in China face tighter rules on pollution.,normal
AAPL,Apple Inc,20150521,Carl Icahn says underweight Apple bets will hurt funds' performance ,NEW YORK Billionaire activist investor Carl Icahn said Thursday that mutual funds will increasingly realize that being underweight shares of Apple will hurt their performance as the technology giant continues to innovate.,normal
AAPL,Apple Inc,20150521,Carl Icahn says underweight Apple bets will hurt funds' performance ,NEW YORK  May 21 Billionaire activist investor Carl Icahn said Thursday that mutual funds will increasingly realize that being underweight shares of Apple will hurt their performance.,normal
AAPL,Apple Inc,20150521,UPDATE 2-Carmakers team up with General Atlantic to bid for Nokia map firm - sources ,* German automakers team with General Atlantic on Nokia HERE bid,normal
AAPL,Apple Inc,20150521,In dispute with Apple  SightSound urges judicial review of nixed patents ,SightSound Technologies LLC has reached back to the early 19th century and one of the U.S. Supreme Court's most important decisions to argue that the U.S. Patent and Trademark Office went beyond its authority in canceling the company's patents using the wrong process.,normal
AMAT,Applied Materials Inc,20150521,BRIEF-Taiwan's orders equipment from Applied Materials ,* Says orders equipment for T$704.8 million  ($23.19 million),topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20150521,MOVES-Barclays  Credit Suisse  Citigroup  Guggenheim Securities ,May 21 The following financial services industry appointments were announced on Thursday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20150521,UPDATE 2-Banks give Chicago breathing room to convert bonds ,CHICAGO  May 21 Banks that entered into credit and other deals related to variable-rate debt sold by the city of Chicago have agreed not to immediately demand $2.2 billion in payments triggered when the city's rating was cut to junk by Moody's Investors Service  according to city documents.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150521,MOVES-Morgan Stanley healthcare banker Truman joins Barclays ,May 21 Healthcare investment banker Jason Truman has left Morgan Stanley to join Barclays Plc in New York  according to an internal memo from the British bank seen by Reuters.,normal
BLUE,bluebird bio Inc,20150521,Bluebird's gene therapy continues to show promise in early study ,Biotech firm Bluebird Bio Inc said its experimental gene therapy continued to exhibit a positive effect in an ongoing early-stage study of patients with rare types of blood disorders.,topStory
BLUE,bluebird bio Inc,20150521,Bluebird's gene therapy continues to show promise in early study ,May 21 Biotech firm Bluebird Bio Inc  said its experimental gene therapy continued to exhibit a positive effect in an ongoing early-stage study of patients with rare types of blood disorders.,normal
