AMZN,Amazoncom Inc,20150527,Amazon's Europe changes to boost tax bill  add secrecy ,LONDON  May 26 Amazon's decision to change its tax-efficient European business structure could raise its tax bill by as much as $100 million a year but authorities will have to fight for additional money and any payments will be hidden from public view.,topStory
AAPL,Apple Inc,20150527,Apple SVP says car is 'ultimate mobile device' ,RANCHOS PALOS VERDES  Calif A senior Apple executive said developing a car would be the "ultimate mobile device" when asked about new products at a technology conference on Wednesday.,topStory
AAPL,Apple Inc,20150527,CBS CEO said met with Apple to discuss TV deal ,RANCHOS PALOS VERDES  Calif CBS Corp  CEO Leslie Moonves met with Apple Inc  last week to discuss a TV deal  he said at a technology conference Wednesday  and that discussions and negotiations for such a deal are ongoing.,normal
AAPL,Apple Inc,20150527,CBS CEO said met with Apple to discuss TV deal ,RANCHOS PALOS VERDES  Calif. May 27 CBS Corp  CEO Leslie Moonves met with Apple Inc last week to discuss a TV deal  he said at a technology conference Wednesday  and that discussions and negotiations for such a deal are ongoing.,normal
AMAT,Applied Materials Inc,20150527,BRIEF-Taiwan's UMC orders equipment from Applied Materials ,Further company coverage:    ($1 = 30.6270 Taiwan dollars)   (Reporting by Hong Kong and Singapore newsrooms),topStory
BIDU,Baidu Inc,20150527,BRIEF-Longmaster Infotech in strategic agreement with Baidu on online medical services ,* Says signs strategic agreement with Baidu Inc on online medical services,topStory
AVGO,Broadcom Limited,20150527,Avago nears deal for fellow chipmaker Broadcom: sources ,Avago Technologies Ltd is close to an agreement to acquire fellow chipmaker Broadcom Corp  people familiar with the matter said on Wednesday  in a deal that could boost Avago's clientele of top-tier smartphone companies.,topStory
AVGO,Broadcom Limited,20150527,Broadcom call buying surges on report of deal with Avago ,NEW YORK News that chipmaker Broadcom Corp is in talks to be bought by Avago Technologies Ltd spurred a flurry of trades in Broadcom's short-term calls  and timely buyers of the options could reap huge gains.,normal
AVGO,Broadcom Limited,20150527,UPDATE 2-Avago nears deal for fellow chipmaker Broadcom - sources ,May 27 Avago Technologies Ltd is close to an agreement to acquire fellow chipmaker Broadcom Corp   people familiar with the matter said on Wednesday  in a deal that could boost Avago's clientele of top-tier smartphone companies.,normal
AVGO,Broadcom Limited,20150527,US STOCKS-Tech  healthcare lead Wall St higher; Nasdaq hits record ,* Indexes end up: Dow 0.7 pct  S&P 0.9 pct  Nasdaq 1.5 pct   (Updates to close),normal
AVGO,Broadcom Limited,20150527,Deals of the day- Mergers and acquisitions ,May 27 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Wednesday:,normal
AVGO,Broadcom Limited,20150527,Broadcom in advanced talks to be bought by Avago - WSJ ,May 27 Chipmaker Broadcom Corp is in talks to be bought by Avago Technologies Ltd  the Wall Street Journal reported on Wednesday.,normal
CA,CA Inc,20150527,Fitch: CA's 'BBB+' IDR Unaffected by Acquisition of Rally Software ,(The following statement was released by the rating agency) NEW YORK  May 27 (Fitch) Fitch Ratings believes the ratings for CA  Inc. (CA)   including the 'BBB+' long-term Issuer Default Rating (IDR)  are unaffected by  the proposed acquisition of Rally Software Development Corp. (Rally).  Total rated debt was approximately $2.3 billion including CA's undrawn $1  billion revolving credit facility (RCF). A full list of current ratings follows  at the end of this release. CA announced it entered in,topStory
CZR,Caesars Entertainment Corporation,20150527,Caesars fends off challenge to control of its huge bankruptcy ,CHICAGO The operating unit of Caesars Entertainment Corp received court approval on Wednesday to remain in control of its bankruptcy for another six months.,topStory
CZR,Caesars Entertainment Corporation,20150527,Caesars fends off challenge to control of its huge bankruptcy ,CHICAGO The operating unit of Caesars Entertainment Corp  received court approval on Wednesday to remain in control of its bankruptcy for another six months.,normal
CZR,Caesars Entertainment Corporation,20150527,Caesars fends off challenge to control of its huge bankruptcy ,CHICAGO  May 27 The operating unit of Caesars Entertainment Corp received court approval on Wednesday to remain in control of its bankruptcy for another six months.,normal
CHTR,Charter Communications Inc,20150527,Charter-Time Warner Cable deal could spawn an online video service ,NEW YORK  May 27 Charter Communications Inc  executives are exploring whether to launch an online video service as part of its combination with larger rival Time Warner Cable Inc  in what would be an unprecedented move in the cable industry.,topStory
