ALGT,Allegiant Travel Company,20150529,U.S. FAA proposes penalties against Air Methods  Allegiant Air ,WASHINGTON The Federal Aviation Administration on Friday said it has proposed civil penalties against emergency medical helicopter operator Air Methods Corp and airline Allegiant Air for failing to comply with U.S. regulations.,topStory
GOOG,Alphabet Inc,20150529,Airbus Group starts $150 mln venture fund  Silicon Valley base ,PARIS  May 29 Airbus Group announced the creation of a $150 million venture capital fund and said it had hired a Google executive to run a new centre in Silicon Valley as it seeks to wave a digital wand over its heavy-manufacturing culture.,topStory
GOOG,Alphabet Inc,20150529,How advisers can get Google to like their websites ,When financial adviser Rick Kahler wanted to revamp his marketing strategy three years ago  he decided to learn about the hype surrounding “search optimization.”,normal
GOOG,Alphabet Inc,20150529,YOUR PRACTICE-How advisers can get Google to like their websites ,May 29 When financial adviser Rick Kahler wanted to revamp his marketing strategy three years ago  he decided to learn about the hype surrounding "search optimization.",normal
GOOG,Alphabet Inc,20150529,Fingerprint Cards shares at record after Google tie-up ,STOCKHOLM Swedish fingerprint sensor firm Fingerprint Cards said it had cooperated with Google on fingerprint recognition in the new Android software platform  as the U.S. software group looks to boost the use of fingerprint sensors on mobile phones.,normal
GOOG,Alphabet Inc,20150529,BRIEF-Fingerprint Cards sees Google market boost mainly from 2016 ,May 29 Fingerprint Cards CEO in Reuters telephone interview:,normal
GOOG,Alphabet Inc,20150529,BRIEF-Fingerprint Cards says supports Google's Android M preview ,* Says supports fingerprint sensor capabilities with google's android m developer preview,normal
GOOGL,Alphabet Inc,20150529,Airbus Group starts $150 mln venture fund  Silicon Valley base ,PARIS  May 29 Airbus Group announced the creation of a $150 million venture capital fund and said it had hired a Google executive to run a new centre in Silicon Valley as it seeks to wave a digital wand over its heavy-manufacturing culture.,topStory
GOOGL,Alphabet Inc,20150529,How advisers can get Google to like their websites ,When financial adviser Rick Kahler wanted to revamp his marketing strategy three years ago  he decided to learn about the hype surrounding “search optimization.”,normal
GOOGL,Alphabet Inc,20150529,YOUR PRACTICE-How advisers can get Google to like their websites ,May 29 When financial adviser Rick Kahler wanted to revamp his marketing strategy three years ago  he decided to learn about the hype surrounding "search optimization.",normal
GOOGL,Alphabet Inc,20150529,Fingerprint Cards shares at record after Google tie-up ,STOCKHOLM Swedish fingerprint sensor firm Fingerprint Cards said it had cooperated with Google on fingerprint recognition in the new Android software platform  as the U.S. software group looks to boost the use of fingerprint sensors on mobile phones.,normal
GOOGL,Alphabet Inc,20150529,BRIEF-Fingerprint Cards sees Google market boost mainly from 2016 ,May 29 Fingerprint Cards CEO in Reuters telephone interview:,normal
GOOGL,Alphabet Inc,20150529,BRIEF-Fingerprint Cards says supports Google's Android M preview ,* Says supports fingerprint sensor capabilities with google's android m developer preview,normal
AAPL,Apple Inc,20150529,Apple escapes trial on Find My iPhone feature  at least for now ,Apple Inc has managed to avoid a trial in a dispute with patent licensor Unwired Planet LLC over an iPhone feature that helps users relocate their lost or stolen device  just days before it was set to begin.,topStory
AAPL,Apple Inc,20150529,Apple buys German augmented-reality software maker Metaio ,FRANKFURT Apple Inc  has acquired Metaio  a German company whose technology melds real-world imagery and computer-generated elements into moving video presentations  according to a corporate filing.,normal
AAPL,Apple Inc,20150529,UPDATE 1-Apple buys German augmented-reality software maker Metaio ,FRANKFURT  May 29 Apple Inc has acquired Metaio  a German company whose technology melds real-world imagery and computer-generated elements into moving video presentations  according to a corporate filing.,normal
AAPL,Apple Inc,20150529,Apple buys German augmented-reality software maker Metaio ,FRANKFURT  May 29 Apple Inc has acquired Metaio  a German company whose software melds the physical world and computer-generated elements into video displays  according to a corporate filing that surfaced on Thursday. The terms were not disclosed.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150529,Exclusive: Stifel in lead to buy Barclays' U.S. wealth unit - sources ,Investment bank Stifel Financial Corp  is in advanced negotiations to acquire Barclays Plc's  U.S wealth management unit  according to three people familiar with the situation.,topStory
AVGO,Broadcom Limited,20150529,Avago to buy Broadcom for $37 billion in biggest-ever chip deal , (Corrects May 29 story to correct name in final paragraph to Foerster from Forester),topStory
AVGO,Broadcom Limited,20150529,CORRECTED-UPDATE 5-Avago to buy Broadcom for $37 bln in biggest-ever chip deal ,* To pay Broadcom shareholders $17 bln in cash  $20 bln in shares,normal
CLLS,Cellectis SA,20150529,French biotech firm Cellectis jumps on takeover hopes ,Shares in French cancer drugmaker Cellectis  hit an all-time high on Friday on hopes it would be the latest in a string of bid targets in the healthcare sector  after reported interest from companies including Pfizer .,topStory
CLLS,Cellectis SA,20150529,UPDATE 2-French biotech firm Cellectis jumps on takeover hopes ,May 29 Shares in French cancer drugmaker Cellectis hit an all-time high on Friday on hopes it would be the latest in a string of bid targets in the healthcare sector  after reported interest from companies including Pfizer .,normal
DLTR,Dollar Tree Inc,20150529,Dollar Tree to sell 330 Family Dollar stores to Sycamore Partners ,Discount retailer Dollar Tree Inc  agreed to sell 330 Family Dollar Stores Inc  stores to private equity firm Sycamore Partners to get antitrust approval for its $8.5 billion takeover of Family Dollar.,topStory
DLTR,Dollar Tree Inc,20150529,Dollar Tree to sell 330 Family Dollar stores to Sycamore Partners ,May 29 Discount retailer Dollar Tree Inc  agreed to sell 330 Family Dollar Stores Inc  stores to private equity firm Sycamore Partners to get antitrust approval for its $8.5 billion takeover of Family Dollar.,normal
EQIX,Equinix Inc,20150529,Equinix to buy TelecityGroup for $3.6 billion  Interxion deal ended ,LONDON/NEW YORK U.S. data center company Equinix Inc  said on Friday it would buy British peer TelecityGroup  in a deal worth 2.35 billion pounds ($3.6 billion) that would also end  Telecity's pursuit of a smaller European rival.,topStory
EQIX,Equinix Inc,20150529,UPDATE 2-Equinix to buy TelecityGroup for $3.6 bln  Interxion deal ended ,LONDON/NEW YORK  May 29 U.S. data center company Equinix Inc said on Friday it would buy British peer TelecityGroup in a deal worth 2.35 billion pounds ($3.6 billion) that would also end  Telecity's pursuit of a smaller European rival.,normal
EQIX,Equinix Inc,20150529,Equinix agrees to buy Telecity Group for 2.35 bln pounds ,LONDON  May 29 U.S. data centre company Equinix Inc said on Friday it had agreed to buy British peer Telecity Group in a deal worth 2.35 billion pounds ($3.60 billion)  creating the largest data centre player in Europe.,normal
INTC,Intel Corporation,20150529,US STOCKS-Wall St ends down after weak economic data but gains in May ,* Indexes down: Dow 0.6 pct  S&P 0.6 pct  Nasdaq 0.6 pct   (Updates to close),topStory
INTC,Intel Corporation,20150529,Deals of the day- Mergers and acquisitions ,May 29 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Friday:,normal
INTC,Intel Corporation,20150529,Intel close to deal to buy Altera for $16 billion: sources ,Intel Corp  has resumed negotiations to buy smaller chip maker Altera Corp  and is close to a $16 billion acquisition agreement  people familiar with the matter said on Friday. | Video ,normal
INTC,Intel Corporation,20150529,UPDATE 3-Intel nears deal to buy Altera for $16 bln - sources ,* Altera shares up 4.6 pct   (Adds analyst comment and background  updates share movement),normal
INTC,Intel Corporation,20150529,US STOCKS-Wall St slips on weak economic data ,* Indexes down: Dow 0.36 pct  S&P 0.24 pct  Nasdaq 0.11 pct   (Updates prices),normal
INTC,Intel Corporation,20150529,CORRECTED-UPDATE 5-Avago to buy Broadcom for $37 bln in biggest-ever chip deal ,* To pay Broadcom shareholders $17 bln in cash  $20 bln in shares,normal
INTC,Intel Corporation,20150529,US STOCKS-Wall St lower after first-quarter GDP contraction ,* Indexes down: Dow 0.58 pct  S&P 0.47 pct  Nasdaq 0.43 pct   (Adds quote  updates prices),normal
INTC,Intel Corporation,20150529,US STOCKS-Wall St lower after GDP data shows contraction ,* Indexes down: Dow 0.28 pct  S&P 0.19 pct  Nasdaq 0.12 pct   (Updates prices),normal
INTC,Intel Corporation,20150529,US STOCKS-Wall St futures unchanged  set for lower open after GDP data ,* Futures down: Dow 47 pts  S&P 5.5 pts  Nasdaq 14.25 pts   (Adds quote  updates prices),normal
INTC,Intel Corporation,20150529,Intel nears $15 bln deal to buy Altera - NY Post ,May 29 Intel Corp is close to a deal to buy smaller chip maker Altera Corp for about $15 billion  the New York Post reported.,normal
LBTYA,Liberty Global plc,20150529,RPT-Vodafone investors open to Liberty deal ,LONDON  May 28 Some of the biggest investors in Vodafone say they are open to a European tie-up with Liberty Global  as the British company is now in a stronger position to negotiate a deal with John Malone's cable group.,topStory
