AMZN,Amazoncom Inc,20150617,Amazon insists federal rules apply to U.S. deliveries by drone ,WASHINGTON Amazon.com  seeking to bolster its efforts to deliver products via drone  said on Tuesday that states and local communities should not be allowed to regulate unmanned aerial systems (UAS) authorized by federal aviation regulators.,topStory
AMSC,American Superconductor Corporation,20150617,Boston-area amateur golfer found guilty of insider trading ,A Boston-area amateur golfer was convicted on Tuesday of engaging in insider trading by tipping off friends about the business activities of American Superconductor Corp.,topStory
AMSC,American Superconductor Corporation,20150617,Boston-area amateur golfer found guilty of insider trading ,A Boston-area amateur golfer was convicted on Tuesday of engaging in insider trading by tipping off friends about the business activities of American Superconductor Corp.,normal
AMSC,American Superconductor Corporation,20150617,Boston-area amateur golfer found guilty of insider trading ,June 16 A Boston-area amateur golfer was convicted on Tuesday of engaging in insider trading by tipping off friends about the business activities of American Superconductor Corp.,normal
AAPL,Apple Inc,20150617,US STOCKS-Wall St dips as investors edgy ahead of Fed meet ,* Apple weighs on Nasdaq  S&P; UnitedHealth biggest drag on Dow,topStory
AAPL,Apple Inc,20150617,Apple loses Taiwan anti-competitive practices court case ,TAIPEI Apple Inc  has lost a lawsuit in which it was accused of engaging in anti-competitive practices and will be fined T$20 million ($647 124)  a Taiwan court said on Wednesday.,normal
AAPL,Apple Inc,20150617,Apple loses Taiwan anti-competitive practices court case ,TAIPEI Apple Inc has lost a lawsuit in which it was accused of engaging in anti-competitive practices and will be fined T$20 million ($647 124)  a Taiwan court said on Wednesday.,normal
AAPL,Apple Inc,20150617,Apple loses Taiwan anti-competitive practices court case ,TAIPEI  June 17 Apple Inc has lost a lawsuit in which it was accused of engaging in anti-competitive practices and will be fined T$20 million ($647 124)  a Taiwan court said on Wednesday.,normal
BIDU,Baidu Inc,20150617,UPDATE 1-German auto makers ready offer for HERE as deadline looms-sources ,FRANKFURT  June 17 Germany's premium auto makers BMW Daimler and Audi are preparing an offer for Nokia's maps business  as binding bids are due by end of Thursday  two sources familiar with the process told Reuters.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20150617,Barclays to refocus U.S. mortgage trading ,NEW YORK Barclays Plc  will no longer make markets for mortgage-backed bonds issued prior to the financial crisis as they have become less profitable under tighter British regulations on these securities  a bank spokesman said on Wednesday.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20150617,REFILE-Barclays to refocus U.S. mortgage trading ,NEW YORK  June 17 Barclays Plc will no longer make markets for mortgage-backed bonds issued prior to the financial crisis as they have become less profitable under tighter British regulations on these securities  a bank spokesman said on Wednesday.,normal
