ALXN,Alexion Pharmaceuticals Inc,20150626,Europe gives green light to new Novartis  Alexion drugs ,LONDON  June 26 New drugs from Novartis  and Alexion won a green light from European regulators on Friday  delivering a boost to both drugmakers and offering new treatment options for cancer and rare diseases.,topStory
GOOG,Alphabet Inc,20150626,Google starts road tests of new self-driving car prototypes ,SAN FRANCISCO Google Inc  said on Thursday it had started testing the latest prototypes of its self-driving cars on Mountain View  California roads  with safety drivers aboard.,topStory
GOOG,Alphabet Inc,20150626,Two rival self-driving cars have close call in California ,MOUNTAIN VIEW  Calif. Two self-driving prototype cars  one operated by Google Inc and the other by Delphi Automotive Plc  had a close call on a Silicon Valley street earlier this week  a Delphi executive told Reuters on Thursday.,normal
GOOG,Alphabet Inc,20150626,Two rival self-driving cars have close call in California ,MOUNTAIN VIEW  Calif.  June 25 Two self-driving prototype cars  one operated by Google Inc and the other by Delphi Automotive Plc  had a close call on a Silicon Valley street earlier this week  a Delphi executive told Reuters on Thursday.,normal
GOOGL,Alphabet Inc,20150626,Google starts road tests of new self-driving car prototypes ,SAN FRANCISCO Google Inc  said on Thursday it had started testing the latest prototypes of its self-driving cars on Mountain View  California roads  with safety drivers aboard.,topStory
GOOGL,Alphabet Inc,20150626,Two rival self-driving cars have close call in California ,MOUNTAIN VIEW  Calif. Two self-driving prototype cars  one operated by Google Inc and the other by Delphi Automotive Plc  had a close call on a Silicon Valley street earlier this week  a Delphi executive told Reuters on Thursday.,normal
GOOGL,Alphabet Inc,20150626,Two rival self-driving cars have close call in California ,MOUNTAIN VIEW  Calif.  June 25 Two self-driving prototype cars  one operated by Google Inc and the other by Delphi Automotive Plc  had a close call on a Silicon Valley street earlier this week  a Delphi executive told Reuters on Thursday.,normal
AMZN,Amazoncom Inc,20150626,Consumer Discretionary hedging activity up ahead of earnings ,NEW YORK Investors who have the most to win if Amazon  Disney and other consumer discretionary companies continue to push the sector higher are getting increasingly nervous  judging by their options activity.,topStory
AMZN,Amazoncom Inc,20150626,U.S. Air Force mulls plans to replace Russian rocket engines ,CAPE CANAVERAL  Fla.  June 26 A U.S. Air Force competition to develop a rocket propulsion system to end dependence on Russian rocket engines drew broad response from companies  the Air Force said on Friday.,normal
AMZN,Amazoncom Inc,20150626,Consumer Discretionary hedging activity up ahead of earnings ,NEW YORK  June 26 Investors who have the most to win if Amazon  Disney and other consumer discretionary companies continue to push the sector higher are getting increasingly nervous  judging by their options activity.,normal
AMZN,Amazoncom Inc,20150626,UK online pioneer hopes to strike oil with new tech venture ,LONDON One of the three founders of pioneering British online grocery retailer Ocado  which has warehouses but no stores  has taken control of a Silicon Valley-based firm with a similarly unique approach to the exploration for natural resources.,normal
AMZN,Amazoncom Inc,20150626,UK online pioneer hopes to strike oil with new tech venture ,LONDON  June 26 One of the three founders of pioneering British online grocery retailer Ocado  which has warehouses but no stores  has taken control of a Silicon Valley-based firm with a similarly unique approach to the exploration for natural resources.,normal
AAL,American Airlines Group Inc,20150626,Ex-America West pilots win U.S. court ruling on seniority rights ,A federal appeals court on Friday ordered a union negotiating seniority rights of former US Airways and America West pilots to stop favoring the US Airways pilots  in a divisive decade-old dispute overhanging the 2013 merger that created American Airlines Group Inc.,topStory
AAL,American Airlines Group Inc,20150626,Ex-America West pilots win U.S. court ruling on seniority rights ,June 26 A federal appeals court on Friday ordered a union negotiating seniority rights of former US Airways and America West pilots to stop favoring the US Airways pilots  in a divisive decade-old dispute overhanging the 2013 merger that created American Airlines Group Inc.,normal
AAPL,Apple Inc,20150626,Judge says $4.6 mln in uncashed Apple settlement checks should go to states ,Faced with the unexpected dilemma of what to do with nearly $4.6 million in uncashed checks from a settlement over Apple's alleged warranty breaches  a federal judge in California has decided the funds should be left with states as unclaimed property.,topStory
AAPL,Apple Inc,20150626,Apple says critical patent ruling game changer with Smartflash ,Apple Inc has once again stepped up its efforts to overturn a $533-million jury verdict won by patent holder Smartflash LLC  telling a federal judge a recent appeals court ruling makes the Smartflash patents invalid.,normal
PETX,Aratana Therapeutics Inc,20150626,Aratana's experimental appetite stimulator succeeds in study on dogs ,Animal health drugmaker Aratana Therapeutics Inc said its experimental appetite-stimulating drug was found effective in dogs in a pivotal study.,topStory
PETX,Aratana Therapeutics Inc,20150626,Aratana's experimental appetite stimulator succeeds in study on dogs ,June 26 Animal health drugmaker Aratana Therapeutics Inc said its experimental appetite-stimulating drug was found effective in dogs in a pivotal study.,normal
CA,CA Inc,20150626,Fitch Affirms CA  Inc.'s Ratings at 'BBB+'; Outlook Stable ,(The following statement was released by the rating agency) NEW YORK  June 26 (Fitch) Fitch Ratings has affirmed the ratings of CA  Inc.  (CA) at 'BBB+'  including the long-term Issuer Default Rating (IDR). The Rating  Outlook is Stable.  Fitch's actions affect approximately $2.3 billion of total debt  including CA's  undrawn $1 billion revolving credit facility (RCF). A full list of ratings  follows at the end of this press release. Overall  the ratings and Outlook reflect CA's strong competiti,topStory
CHTR,Charter Communications Inc,20150626,Charter lists consumer benefits to win merger approval ,Charter Communications Inc  formally argued for regulatory approval for its Time Warner Cable Inc  and Bright House Networks deals  saying consumers would benefit as Internet services would become cheaper and faster.,topStory
CHTR,Charter Communications Inc,20150626,Charter lists consumer benefits to win merger approval ,June 26 Charter Communications Inc  formally argued for regulatory approval for its Time Warner Cable Inc and Bright House Networks deals  saying consumers would benefit as Internet services would become cheaper and faster.,normal
INTC,Intel Corporation,20150626,US STOCKS-Nasdaq falls 1 pct as Micron  Intel weigh ,June 26 The Nasdaq Composite fell 1 percent in afternoon trading on Friday after weak forecast from Micron Technology dragged down chipmakers including Intel.,topStory
INTU,Intuit Inc,20150626,Intuit lays off 399 employees ,Intuit Inc  a maker of software that helps with tax-preparation  said it has laid off 399 people.,topStory
INTU,Intuit Inc,20150626,UPDATE 1-Intuit lays off 399 employees ,June 26 Intuit Inc  a maker of software that helps with tax-preparation  said it has laid off 399 people.,normal
INTU,Intuit Inc,20150626,Intuit lays off 399 workers  five percent of its workforce - TechCrunch ,June 26 Intuit Inc  which makes software that helps with tax-preparation  has laid off 399 people  or about 5 percent of its workforce  technology news website TechCrunch reported.,normal
JD,JDcom Inc,20150626,China e-commerce firm JD.com to launch credit-scoring rival to Alibaba's ,BEIJING/SHANGHAI China's No. 2 e-commerce firm JD.com Inc  is launching a Chinese consumer credit data system as a joint venture with U.S. credit-scoring technology company ZestFinance  taking on a rival service linked to the larger Alibaba Group Holding Ltd .,topStory
